Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Well, we finally made it. Episode 100. And it happens to coincide with Vampire Weekend's"
00:07;00:16;"biggest show ever at Madison Square Garden. Jake and I chop it up about live music, our"
00:16;00:23;"history at MSG, plus we'll take you there in real time. This is a cross-continental"
00:24;00:31;"LA, New York, very special. Time Crisis with Ezra King. B-B-B-B-B-B-B-B-Sport One."
00:32;00:39;"They passed me by, all of those great romances. You were a friend to a man, me, all my rightful"
00:39;00:54;"chances. My picture clear, everything seemed so easy. And so I dealt you the blow, when"
01:00;01:07;"a bus had to go. Now it's different, I want you to know. One of us is crying, one of us"
01:07;01:19;"is lying. Leave it only there. Time Crisis back once again. Man, this is a crazy episode."
01:19;01:27;"Not only is this episode 100, can you believe that? No, it's wild. Well, you know, Jake,"
01:27;01:32;"you haven't been on every episode. How many episodes has Jake been on? Like 91? Yeah."
01:32;01:38;"More? 95? Get a number crunch. Well, how many episodes did you do in New York back in the"
01:38;01:45;"summer of 2015? I feel like only like three or four. So when do I make my first appearance?"
01:45;01:53;"I was zigzagging in those early days. Bi-coastal. Yeah, bi-coastal elite. Time Crisis Wiki says,"
01:54;01:58;"Jake, you started on episode three. See, that makes sense to me. Like I did a couple and"
01:58;02:03;"then I was like in LA. I think I've missed a few. Oh yeah, you missed eight and nine."
02:03;02:08;"I was in China. And 11. Yeah, it was a little patchy. So is it possible Jake's done like"
02:08;02:15;"96, 95? Bulk of the series. 95. All right, well, we can still celebrate episode 100 together."
02:18;02:25;"Yeah. You'll always be the new guy to me. That's just like a classic like band thing."
02:25;02:31;"Like the Eagles or like, no, the Stones. Oh yeah. Ron Wood joining in like 1971 or something."
02:31;02:35;"Yeah. Sometimes it's half a joke. And then I think sometimes it like, it's kind of real."
02:35;02:40;"I could totally picture the Stones on like Voodoo Lounge tour in the nineties just being"
02:40;02:44;"like, you know what, dude, that's not how we do stuff. He's like, I've been in the band"
02:44;02:50;"20 years, man. Come on. Mick's just kind of like, come on, dude. Too soon. You weren't"
02:50;02:54;"there at Altamont, man. Yeah. You don't know what we've been through. So it's been a journey."
02:54;03:00;"100 Eps and you're playing MSG. Yeah. So this is both the hundredth episode and the Madison"
03:00;03:05;"Square Garden show, which I'm not going to make. Unfortunately. This is a real time crisis,"
03:05;03:11;"right? This is a semi banked up in that we're pre-taping our conversation right now in LA,"
03:11;03:18;"but then we'll be getting some colorful interviews and textures and sounds from the garden show."
03:18;03:23;"So what you're getting is kind of like a very postmodern collage of a mid August to mid"
03:23;03:30;"September LA, New York kind of thing. So yeah, Madison Square Garden, September 6th. What"
03:30;03:35;"day of the week is that? Friday. Nice dude. Friday night. Friday night in New York city."
03:35;03:41;"Still be dressed to kill. You know, it's wild. I found out that our Madison Square Garden show is"
03:41;03:48;"40 years to the day of a dead show at the garden. Sick. Of course they were doing a run a few nights,"
03:48;03:56;"but the Grateful Ted did perform September 6th, 1979 at the garden. I listened to a little bit"
03:56;04:01;"of the show. How was it? It was, um, I'm not a big enough dead head where I can like parse out the"
04:01;04:08;"different years in terms of the live recordings. Like I don't have a take on 79 real dead heads do,"
04:08;04:13;"but I'm sure in like really broad strokes, you can have some sense of early seventies late. Well,"
04:13;04:17;"even just by the songs. Oh yeah. Broad strokes. I get it. Yeah. But like people are like deep in"
04:17;04:22;"where they can be like 80 versus 79. I remember when I was checking out the show, I forget what"
04:22;04:28;"song I was listening to. I was like pretty fast, really fast eyes. Let's check out a brown eyed."
04:28;04:38;"Oh, I wouldn't say this is fast. This is like spirited. This feels good. Way better than too"
04:38;05:00;"slow. Keep that ambient room tone pretty high. Yeah."
05:01;05:15;"Yeah. It's good to remember. Like sometimes when I watch crowd videos from other people's shows,"
05:15;05:19;"cause like sometimes you're playing like a quiet song and you look out and you see many,"
05:19;05:24;"many people just like eyes focused on the band, taking it in. But still, anytime you play a quiet"
05:24;05:29;"song, you can hear some chatter. You're going to see some movement. And the more I watched like"
05:29;05:35;"other bands stuff, like you just got to accept like that's how it is for everybody. Sure. Anytime"
05:35;05:39;"you're playing in a venue bigger than like a small theater. Yeah. Somebody's going to have"
05:39;05:47;"to go get a drink. Some people checked out. It's about the vibe. I don't know why you're"
05:47;05:54;"going to just like jawbone through all of brown eyed women. You're talking about this drama at"
05:54;06:00;"work that happened. And I guess 1979 people didn't have cell phones. Probably some deadheads hadn't"
06:00;06:09;"seen each other in like a few months. Last time I saw you was Rochester. Man, I haven't seen you."
06:09;06:13;"Last April. That brown eyed sounded good. Yeah, that sounded great actually."
06:16;06:20;"China. Yeah."
06:20;06:29;"This feels kind of slow. I wonder if I was listening to a different show. Yeah. None of"
06:29;06:34;"this sounds too fast to me. Crowd is so loud. I can barely hear the band."
06:42;06:46;"Also, who's just like cheering mid song like,"
06:46;06:50;"like when they start, I guess the song technically just started."
06:50;07:12;"Pretty tight. Let's check out this Terrapin. So I just love like 1979 New York. Yeah. Just"
07:12;07:19;"like picture just like punk rock, like porno theaters in Times Square, early hip hop."
07:19;07:27;"The dead rolling through multiple nightstand. Just like outside. Just like funky ass 1979"
07:27;07:32;"New York. Like he has somebody blessed and rappers delight off like a giant boombox."
07:42;07:45;"Bob, we're like leaving the bus hearing a little bit of the"
07:45;07:49;"rappers delight coming out of a boombox. That's a bit of a different sound. Oh man."
07:49;07:55;"How many shows have you seen at MSG? Good question. Who have you seen? I know you've"
07:55;08:01;"seen Billy Joel. I saw Billy Joel there. Okay. I can probably go backwards. Cause like growing up,"
08:01;08:06;"I never really saw one. Like I definitely didn't go to anything there as a kid. So the first time"
08:06;08:12;"I'm pretty sure I went to Madison square garden was when I was like 16 or 17. I saw radio head"
08:12;08:19;"there. Sick. What tour? The amnesiac tour. Wow. Which really was kind of like the tour for kid"
08:19;08:24;"a and amnesiac. Cause they came out like saying a year or a year apart, but it was a good show."
08:24;08:29;"Played all the hits paranoid Android, right? Everything in its right place. Probably a"
08:29;08:34;"pyramid song. I have not heard amnesiac in probably like 15 years. Throw that on. Were"
08:34;08:39;"you into that? Yeah. I liked him. I actually liked him kneejack more than kid a contrarian."
08:39;08:43;"Well, I don't know. They both have great songs. I think today is like one of the most overrated"
08:43;08:49;"records in retrospect. The first song is tight. It really falls off like bar."
08:49;08:56;"Like, come on. That's actually, that's filler. I feel like we had this conversation before"
08:56;08:59;"I had this conversation with somebody. It definitely sounds like a Jake conversation"
08:59;09:03;"where there was something about like when these albums came out on the last episode,"
09:03;09:07;"we were talking about like that. I was at this age when I'm like the strokes and white stripes"
09:07;09:12;"came out that I was kind of like very good. Yeah. Like I was, I was like already just becoming,"
09:12;09:18;"we talked about this recently. Yeah. Very recently when those bands came out. Yeah. I could like see"
09:18;09:21;"the references and I love them and respected them, but I was just like lost some of that childlike"
09:21;09:26;"innocence. Also at the same time, it was like radio had coming out where I was felt like I was"
09:26;09:30;"like a full like music nerd consumer, like reading the press and being like, Oh yeah. Radio has"
09:30;09:37;"re-influenced by can. And then I'd like go by can Tago Mago at borders. That's tight. I definitely"
09:37;09:40;"doing your homework. Oh yeah. And then I'd like, listen to that and I'd be like, okay, I see what"
09:40;09:44;"they're saying. And then I just like got into can that way, which again is cool, but it's like,"
09:44;09:49;"it's a little bit less passionate than just the, being like 13 and just hearing a song just be"
09:49;09:53;"like, Whoa. And this was like the time I felt closest to radio head in my life with these"
09:53;09:57;"albums. I was really excited for them to come out. Cause you loved okay. Computer. Yes. And"
09:57;10:03;"the bends loved them both. Yeah. The great highly anticipated records. And I convinced myself that"
10:03;10:07;"I loved kid a, when it came out, cause I was so excited about it coming out. Well, cause there"
10:07;10:11;"were a lot of people who actually had the opposite thing where the kid came out, or at least this is"
10:11;10:15;"how the story goes. And people are like, Whoa, this doesn't sound like the radio head progressive"
10:15;10:20;"rock band that I like. It took some of the fans a minute to realize, Oh, this is a good album."
10:20;10:25;"I feel like we were expecting that they would come out with the like different crazy record,"
10:25;10:30;"like a deliberately artistically looking forward record. You knew they were going to do something."
10:30;10:34;"Yeah. Cause they like stepped it up hard because the bands is basically like a classic rock record."
10:34;10:45;"Yeah. Great record, but yeah, full classic rock. I love the bands. And then okay. Computer is like"
10:45;10:50;"much more abstract, weird. When you were a kid, you weren't one of those people who was like,"
10:50;10:55;"scandalized by like some glitchy instrumental do this. Yeah. And I was like really into it"
10:55;11:00;"for months, years. And then I just now looking back, I'm like, that's not, that's not that good."
11:00;11:05;"I love the controversial. Well, the thing I was going to say, and this is a conversation I could"
11:05;11:09;"picture having with you where we were talking about, and you're talking about that song,"
11:09;11:14;"national anthem. And I'm pretty sure I was like, you know, cause I know all like the nerd facts"
11:14;11:17;"about it. Cause I'd read about it a lot at that time. And I was like, Oh, did you know that they"
11:17;11:21;"actually wrote that riff when they were in middle school? And I feel like you were like, yeah,"
11:21;11:28;"sounds like it. That makes sense. It does suck. Throwing track two of kid egg. Is that song is"
11:28;11:33;"just like, what is this? Is this just going to be like, like a really half-assed version of one of"
11:33;11:37;"those like podcasts with people go through an entire album. We'll do half the record."
11:37;11:45;"The year was 2000, a new millennium radio head had just"
11:49;11:54;"I'm so familiar with like the really boring. I love it. But the story of radio head can get a"
11:54;12:00;"little borderline, like Marvel cinematic universe fandom, right? After the game changing success"
12:00;12:06;"of okay. Computer, everybody wanted to know what they do next, what they released,"
12:06;12:19;"change the world forever, like for a new millennium, for a new millennium."
12:19;12:32;"I don't know if I watch one too many YouTube videos about this. It actually makes that,"
12:32;12:37;"which is an amazing song sound bad to me. So that was yeah. Undeniably great song track two."
12:37;12:44;"Yesterday I woke up sucking a lemon. A lemon. So this I've probably not heard in like 10 years"
12:44;12:48;"track two. Track. This is sick. Track two is cool. Cause I remember just being like, what is this?"
12:48;12:55;"I mean, eventually I got to that point. Like I said, initially I was like, this is so sick."
12:55;12:58;"Yeah. This is like high art. I need to like absorb this and like,"
12:59;13:02;"understand it. Which is a good impulse to have."
13:02;13:11;"This sounds pretty good. But I was like, yeah, okay. Cool."
13:11;13:24;"This still sounds tasteful though 20 years later. I'm kind of into it right now."
13:25;13:31;"I mean, I haven't heard in 10 years, so that's like, that's kind of fresh."
13:31;13:47;"See that? Well, that's so interesting that they like took a riff. They wrote in middle school."
13:47;13:53;"Like maybe they were like, like, like maybe they were like, we're like getting too far up our own"
13:53;14:00;"arses here and we need to like pull back from the super, super limp biscuit."
14:00;14:06;"Now we're just picturing Tom York rapping about middle school over this."
14:20;14:23;"If they turn this song into kind of like, you know, like the first few Kanye albums,"
14:23;14:27;"there's always like this kind of like attempt to kind of tell the story of Kanye,"
14:27;14:32;"like from his childhood or his early years. If last call. Yeah. If this was like Radiohead,"
14:32;14:36;"just kind of like telling the story of like, you know what? We dropped three albums in the nines,"
14:36;14:41;"but don't get it twisted. Like this is how we came up. Oxford, England, rock scene."
14:41;14:50;"Yo, picture this eighth grade. We've been doing this since eighth grade, man."
14:50;15:01;"Yeah, this is weak. I'm not mad at it. If everything is right place,"
15:01;15:04;"undeniable classic. Yeah. It's like the two rock songs are kind of like,"
15:04;15:09;"they're good. They're just obviously less game changing. And then Idiotech is pretty undeniably"
15:09;15:16;"cool. Oh, yeah. Is this the one that's like has the same lyrics as Life in the Fast Lane?"
15:16;15:20;"Everything all of the time. Oh, yeah."
15:20;15:27;"Oh, yeah."
15:27;15:38;"Actually, that kind of sounds like a late Tom York lyric. I can totally picture that."
15:39;15:45;"Life in the fast lane. Everything all of the time."
15:45;15:50;"What are the other lyrics to Life in the Fast Lane? I don't know. I'm trying to think. It's"
15:50;16:00;"hard to hear with the music. She was a stone cold woman and she was terminally pretty."
16:01;16:08;"He was a hot headed man. He was brutally handsome and she was terminally pretty."
16:08;16:15;"She held him up and he held her for ransom in the heart of the cold, cold city."
16:15;16:21;"So far so good. It works. Had a nasty reputation as a cruel dude."
16:21;16:30;"Said he was ruthless, said he was crude. They had one thing in common. They were good in bed."
16:30;16:32;"She said faster, faster than light."
