Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Time Crisis, back one more time for 2019."
00:06;00:09;"That's right, it's the final show of the season."
00:09;00:16;"The gang unites for one last episode where we talk about everything from Fish to Goose"
00:16;00:22;"to the Grateful Dead, plus a rundown of this year's Grammys."
00:22;00:26;"All that, plus the ongoing fall of Seinfeld."
00:26;00:31;"This is Time Crisis with Ezra King."
00:31;00:35;"B-B-B-B-B-B-Beast War One."
01:21;01:24;"Time Crisis, back once again."
01:24;01:26;"We got just about everybody in the room."
01:26;01:27;"Full house."
01:27;01:28;"Seinfeld back."
01:28;01:29;"Hey, what's up?"
01:29;01:31;"[laughs]"
01:31;01:32;"Everybody's here."
01:32;01:35;"You know, just before we get into the topics of the day,"
01:35;01:37;"we got a lot to catch up on because we had some banked eps."
01:37;01:38;"Right."
01:38;01:39;"We had Gratefulsgiving."
01:39;01:44;"Wasn't there something in that episode which we recorded a few weeks ago?"
01:44;01:48;"We talked about how Thanksgiving, the word is played out, thankful is played out,"
01:48;01:50;"and grateful is a much deeper word."
01:50;01:55;"And then wasn't there something that Trump said some nutty thing about how people don't like the name Thanksgiving?"
01:55;01:56;"Oh, yeah."
01:56;01:57;"What did he say?"
01:57;01:58;"I missed that."
01:58;01:59;"Oh, wow."
01:59;02:03;"Trump claims that some people want to change the name of Thanksgiving."
02:03;02:06;"Oh, and those people are like bad liberals, like his enemies?"
02:06;02:07;"Yeah."
02:07;02:12;"So Washington Post said that Trump at his rally around the end of November"
02:12;02:17;"declared he would resist efforts by ""some people"" to change the name of Thanksgiving."
02:17;02:18;"Whoa, subtweet."
02:18;02:19;"Whoa."
02:19;02:20;"That's completely you."
02:20;02:25;"Is he talking about people who are like kind of calling it out similarly to Columbus Day maybe"
02:25;02:27;"to recognize indigenous people?"
02:27;02:28;"I'm sure that's what it is."
02:28;02:29;"He's like vague as ever."
02:29;02:31;"Or he might be talking about Gratefulsgiving."
02:31;02:35;"He said people have different ideas why it shouldn't be called Thanksgiving,"
02:35;02:39;"but everybody in this room knows that I know loves the name Thanksgiving, and we're not changing it."
02:39;02:44;"That actually sounds like more like it's directed at us because people who want to cancel Thanksgiving,"
02:44;02:48;"so to speak, and say this should be understandably a supportive--"
02:48;02:51;"people who say we should recognize this as an indigenous people's day,"
02:51;02:53;"they're not talking about renaming Thanksgiving."
02:53;02:55;"They're talking about ending Thanksgiving."
02:55;02:59;"The only people I've heard about who are talking about renaming Thanksgiving are us."
02:59;03:00;"That's true."
03:00;03:02;"Who wants to, I mean, end it?"
03:02;03:04;"I mean it's a day off from work."
03:04;03:07;"It's fun to, like, cook food with your family, right?"
03:07;03:08;"Who wants to end it?"
03:08;03:09;"That's not--"
03:09;03:10;"Well--"
03:10;03:11;"That's not fun."
03:11;03:12;"It is a Native American issue."
03:12;03:16;"Apparently some Native Americans would like to change the name to National Day of Mourning."
03:16;03:19;"I understand that perspective because if you're going to call it National Day of Mourning,"
03:19;03:22;"it doesn't make a lot of sense to be like,"
03:22;03:26;"""All right, but we can still get the family together to throw on the game and cook up some good food."""
03:26;03:27;"It's like--"
03:27;03:29;"On this National Day of Mourning?"
03:29;03:30;"Yeah."
03:30;03:34;"You kind of got to move the day off from work to a different day, I think."
03:34;03:35;"Yeah."
03:35;03:36;"I feel that."
03:36;03:42;"Anyway, I was just telling Jake before you got here, Seinfeld, that I was just texting with CT"
03:42;03:46;"because we're talking about this Jerry Garcia auction happening."
03:46;03:48;"Oh, what's on the block?"
03:48;03:50;"Well, it's a lot of comic books."
03:50;03:53;"The first few lots are comic books."
03:53;03:55;"These are a lot of 1950s comics."
03:55;03:56;"Was he a big collector?"
03:56;03:57;"Seems like it."
03:57;04:02;"He had 45 issues of EC Comics' The Haunt of Fear."
04:02;04:05;"Oh, yeah, there's a bunch of Mad magazines."
04:05;04:06;"That's kind of tight."
04:06;04:08;"Okay, I can see that a little more."
04:08;04:09;"Vault of Horror."
04:09;04:11;"Weird Science and Weird Science Fantasy."
04:11;04:13;"Tales from the Crypt."
04:13;04:17;"I mean, this could be cool, a Jerry Garcia group of 39 underground comics"
04:17;04:22;"because that's kind of his era, you know, like Zap, R. Crumb, the funky San Francisco stuff."
04:22;04:27;"I think the big thing people are excited about is one of his guitars called Alligator."
04:27;04:28;"But there's some cool stuff in here."
04:28;04:29;"How about this, Jake?"
04:29;04:32;"A Jerry Garcia two-sided test pressing for working man's debt."
04:32;04:35;"They think that might only go for $200 to $400."
04:35;04:37;"Is there a buy now price?"
04:37;04:38;"I don't think they do buy now."
04:38;04:39;"Wait, check this out, Jake."
04:39;04:44;"A Jerry Garcia gold sales award for the Grateful Dead album Europe 72."
04:44;04:46;"Expected to go between $6,000 and $8,000."
04:46;04:47;"Oh, this is funny."
04:47;04:51;"Now a gold record is $500,000 sales."
04:51;04:53;"Or now there's equivalents with streams."
04:53;04:56;"But back in the day, I'm zooming in on it, it says,"
04:56;05:00;"""Presented to Jerry Garcia to commemorate the sale of more than $1 million worth"
05:00;05:06;"of the Warner Brothers Records long-playing record album Europe 72."""
05:06;05:08;"Just straight up cash."
05:08;05:11;"I wonder what that retailed for back in '72, '73."
05:11;05:12;"Double record?"
05:12;05:13;"I think it was a triple."
05:13;05:14;"Oh, you're right."
05:14;05:15;"It was a triple."
05:15;05:16;"That's a lot."
05:16;05:20;"I'm going to guess $699 back in '72, '73."
05:20;05:21;"That's a lot of sales."
05:21;05:22;"This is pretty cool."
05:22;05:24;"A Jerry Garcia test pressing for the album Garcia."
05:24;05:28;"Annotated on the cover with a drawing in Garcia's hand."
05:28;05:30;"They're thinking this is going to be $1,500 to $2,500."
05:30;05:32;"It's like some little Jerry doodles."
05:32;05:34;"And then a test pressing of Garcia."
05:34;05:36;"I don't get the rock ephemera thing."
05:36;05:38;"Well, are you a collector of anything?"
05:38;05:39;"I have been."
05:39;05:42;"When I was a kid, baseball cards and comics."
05:42;05:47;"Well, Jake, also when I was talking about how there are a lot of Jerry Garcia's comics"
05:47;05:54;"going up for auction, Jake made a joke about a 1990 copy of Punisher War Journal"
05:54;05:56;"belonging to Jerry Garcia."
05:56;06:01;"And I was really taken aback because Punisher War Journal is a hyper-specific ref."
06:01;06:02;"I loved it when I was a kid."
06:02;06:05;"Because everybody knows Punisher, Frank Castle."
06:05;06:07;"And his renowned chain of burgers."
06:07;06:09;"His renowned chain of burgers."
06:09;06:10;"Punisher burgers."
06:10;06:12;"But so, Jake, you were reading."
06:12;06:15;"Let me get a number crunch on what Punisher War Journal is."
06:15;06:16;"Is it a limited series?"
06:16;06:18;"I think it's like Frank Miller."
06:18;06:19;"It ran for years."
