Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis, back again in 2020."
00:03;00:11;"On today's very special episode, Jake and I unite, and for the first time, we talk to Chris Kasky,"
00:11;00:16;"a co-founder of Pitchfork Music Festival and the writer of the infamous Jet Review."
00:16;00:22;"We also talk to Amy Brown, former Wendy's social media specialist, and hear about her wild ride"
00:22;00:25;"when it came to virality and savagely clapping back."
00:26;00:31;"This is a 2020 Time Crisis with Ezra King."
00:31;00:38;"[intro]"
01:20;01:24;"Time Crisis, back again. First show of 2020. What's up, Jake?"
01:24;01:28;"Happy New Year. Kind of late in the year to be saying that, but that's fine."
01:28;01:32;"Should we discuss it? That's kind of a really cliched thing to talk about."
01:32;01:32;"Yeah."
01:32;01:37;"We're not joined in the studio by Seinfeld. He's still abroad, I think, but it's a pretty"
01:37;01:42;"Seinfeld thing. In fact, I bet there is an episode of Curb that's just like, ""You know what,"
01:42;01:43;"January 15th?"""
01:43;01:44;"It's too late."
01:44;01:44;"It's too late."
01:44;01:50;"Well, because it's the first show of the year, kind of saying happy New Year to the TC crew."
01:50;01:53;"Yeah, I think it's appropriate."
01:53;01:54;"People on Twitter were upset that-"
01:54;01:56;"Up in arms."
01:56;02:00;"The first episode isn't airing until, I don't know, what, three weeks in?"
02:00;02:03;"With the biweekly show, it's kind of funky."
02:03;02:03;"Yeah."
02:03;02:05;"And also I was in Australia."
02:05;02:06;"Right."
02:06;02:11;"I was there for New Year's, even though our New Year's show was canceled."
02:11;02:12;"Due to a fire?"
02:12;02:17;"Due to the fires. We had four shows booked as part of this thing called Falls Festival,"
02:17;02:21;"kind of like a traveling festival where the artists go from place to place."
02:21;02:23;"And then we had two of our own shows."
02:23;02:27;"But so the show for New Year's, and we were supposed to be on stage counting down,"
02:27;02:34;"probably would have ripped some confetti, probably been like, ""Three, two, one, happy New Year."""
02:34;02:40;"Yeah. I'm pretty sure that's what we did last time we were down there for New Year's."
02:40;02:42;"Whatever, we would have had a ball."
02:42;02:48;"But that show was in a place called Lorne, which is in Victoria, which is the state where Melbourne"
02:48;02:50;"is, but it's not really close to Melbourne."
02:50;02:54;"I have a memory of just being in a van for hours to get there."
02:54;02:59;"But I think the way it was explained to us is there actually were already campers on site,"
02:59;03:02;"but it's not that that area was already on fire."
03:02;03:05;"It's just that the fires in the region were so out of control."
03:05;03:11;"And that area was so vulnerable because it's some kind of small town, one road in,"
03:11;03:14;"one road out through the hills or the mountains to the beach or something."
03:14;03:18;"And they're just like, ""Listen, it's not a situation where we could,"
03:18;03:21;"if the fires get within a hundred miles, we could just be like, 'You know what? Pack it up."
03:21;03:25;"It would be a disaster getting people in and out. It's way too dangerous.'"""
03:25;03:28;"And I was really into the idea of performing on New Year's."
03:28;03:30;"It's kind of like, ""You know what? Less to think about."
03:30;03:32;"Just be down there playing a great show."""
03:32;03:33;"Working."
03:33;03:34;"Just working."
03:34;03:37;"I love the idea of working on New Year's and also sharing the joy of music,"
03:37;03:39;"but very specifically working."
03:39;03:40;"I think I would feel somewhat..."
03:40;03:46;"Obviously, it's very different playing a concert versus just working at 7-Eleven."
03:46;03:49;"But I actually kind of think if I worked at 7-Eleven and somebody was like,"
03:49;03:51;"""Who wants New Year's shift?"" I'd be like, ""Let me do that one."""
03:51;03:52;"And then everybody would be like, ""What do you have planned?"""
03:52;03:54;"I'd be like, ""I'm working."""
03:54;03:54;"I feel you."
03:54;03:58;"Actually, now that I think about it, I wonder what the vibe is like in a typical 7-Eleven"
03:58;04:00;"as the clock strikes midnight."
04:00;04:04;"People late to parties, picking up 12 packs."
04:04;04:06;"""Oh my God, it's 11 and 58!"""
04:06;04:10;"Yeah, a dude holding the 18-pack of Modelo that I'm looking at right now,"
04:10;04:12;"just holding an 18-pack of Modelo."
04:12;04:14;"And he just kind of looks at the sales clerk."
04:14;04:19;"And then there's some older dude in pajama bottoms and a sweatshirt."
04:19;04:22;"Everybody just kind of looks at each other just like, ""Ugh!"""
04:22;04:23;"Just getting a hot dog."
04:23;04:24;"""Happy New Year."""
04:24;04:25;"Yeah, also it's funny."
04:25;04:29;"When you're not in a party situation or in a formal event,"
04:29;04:31;"because this is kind of what ended up happening to me,"
04:31;04:33;"if you're not where there's an official countdown,"
04:33;04:36;"I guess maybe somebody might have the TV on in a convenience store."
04:36;04:40;"But there's also that vibe of just kind of like nobody actually counted it down."
04:40;04:42;"So it's like the clock just struck midnight."
04:42;04:45;"The guy with the Modelo is like, ""Oh, yeah, happy New Year."""
04:45;04:45;"He's like, ""Oh, is it?"""
04:45;04:47;"He pulls out his phone."
04:47;04:49;"""Yep, actually it's 12.01."""
04:49;04:49;"Well, s***."
04:49;04:53;"Or maybe the TV is on in the convenience store."
04:53;04:55;"And then these strangers are just like, ""Are we doing this?"
04:55;04:58;"Are we doing a real half-assed countdown?"""
04:58;04:59;"It's just a line of three people."
04:59;05:00;"""Seven, six."""
05:00;05:01;"""Can I get a hot dog?"
05:01;05:03;"Five, four."""
05:03;05:07;"You just imagine you're fourth in line at Quick Check."
05:07;05:08;"And just you see it on TV."
05:08;05:10;"And just like everybody's kind of quiet."
05:10;05:11;"Just like doing, you know."
05:11;05:13;"""Yeah, can I get a pack of Marlboro Reds?"""
05:13;05:16;"And you're just like, ""Nine, eight, seven, six."""
05:16;05:24;"A few years ago, I was in line at a Best Western check-in in Honolulu, Hawaii."
05:24;05:25;"At New Year."
05:25;05:27;"Yes."
05:27;05:28;"This was on our trip."
05:28;05:30;"Yes, we took a trip to Hawaii."
05:30;05:30;"Oh, yeah."
05:30;05:34;"And then Hannah and I were flying back New Year's Eve for some reason."
05:34;05:36;"I don't know why we were doing that, but we were."
05:36;05:37;"That was a fun vacation in Hawaii."
05:37;05:38;"Yep."
05:38;05:40;"Jake and Hannah, me and Rashid, Ariel and Danielle."
05:40;05:41;"It was a great crew."
05:41;05:41;"Yep."
05:41;05:44;"I believe it was one of those situations where you guys had plans in LA."
05:44;05:46;"So we were all kind of like, ""Yo, stay."
05:46;05:47;"Yo, just stay."""
05:47;05:48;"And you guys were like, ""You know what?"
05:48;05:49;"We got plans in LA."
05:49;05:50;"We've had fun."
05:50;05:52;"But we're going to catch that early flight back."
05:52;05:55;"And that way we can go to the party or whatever in Los Angeles."""
05:55;05:58;"We were going to land at like 7 p.m."
05:58;05:59;"It was a reasonable plan."
05:59;05:59;"New Year's Eve."
05:59;06:01;"Totally reasonable."
06:01;06:02;"And then we're on the flight."
06:02;06:05;"We're a good like three hours into the flight over the Pacific."
06:05;06:10;"And they're like, ""Ladies and gentlemen, we're turning the plane back around to Honolulu."
06:10;06:12;"We have a mechanical issue."""
06:12;06:14;"And that's stressful."
06:14;06:15;"And it's just like, ""Really?"""
06:15;06:19;"So then it's like, ""Turn it around three hours back to Honolulu."""
06:19;06:25;"And then, so we get to Honolulu and it's like, I don't know, like 11, 15 p.m. at night."
06:25;06:28;"And then there's a whole, because there's a whole plane full of people trying to get"
06:28;06:30;"hotel rooms in Honolulu."
06:30;06:34;"There's a huge backup, the hotel shuttle, get to the hotel."
06:34;06:37;"Anyway, I just remember like standing in line."
06:37;06:38;"At the Best Western."
06:38;06:40;"It's like 11.58."
06:40;06:41;"This is literally you."
06:41;06:42;"You were in line in a public place."
06:42;06:44;"Was there a countdown happening?"
06:44;06:45;"There was no countdown."
06:45;06:51;"It was like a very dejected listless energy in the Best Western hotel lobby."
06:51;06:53;"And you must've been so burned out."
06:53;06:54;"We were bummed."
06:54;06:56;"And then, I mean, that sucks."
06:56;06:58;"Were you even aware when the clock struck midnight?"
06:58;06:59;"I think so."
06:59;07:00;"I think we were like standing in line."
07:00;07:03;"Do you not think of like standing in line and looking at your phone?"
07:03;07:03;"Yeah."
07:03;07:04;"Kind of zoned out."
07:04;07:06;"I've been there."
07:06;07:07;"Oh, it's 11.58."
07:07;07:10;"This sounds like something I may have talked about on TC before, but I remember one time"
07:10;07:13;"being in California."
07:13;07:14;"I was up in Palo Alto."
07:14;07:16;"I was staying with my girlfriend at the time."
07:16;07:18;"And I don't know if we were like jet lag."
07:18;07:22;"I can't remember what was going on, but I remember like hanging out at her family's"
07:22;07:26;"house and we were like thinking about driving into San Francisco on a holiday with traffic."
07:26;07:28;"Like that's a solid 50."
07:28;07:28;"Sure."
07:28;07:29;"Palo Alto into SF."
07:29;07:30;"Oh yeah."
07:30;07:33;"I think there was like some kind of thing that sounded like decent, but kind of lame."
07:33;07:35;"Just like a bunch of people are going to be at a bar."
07:35;07:38;"Those are so rough."
07:38;07:42;"It just feels like we're like, well, it's 9.30 PM and we're just kind of like, should"
07:42;07:42;"we do it?"
07:42;07:44;"And it's kind of tired."
07:44;07:46;"And basically we ended up going to sleep and sleeping through New Year's."
07:46;07:48;"And I remember waking up being like, that was the right call."
07:48;07:51;"I don't regret it at all."
07:51;07:54;"And I kind of feel like starting the year on the right note, rested."
07:54;07:59;"This past year, we were watching the film, The Departed."
07:59;08:00;"Oh, good."
08:00;08:00;"And looked at..."
08:00;08:01;"That's a good movie."
08:01;08:04;"Looked at my phone and I was like, oh, it's like 12.06."
08:04;08:04;"Cool."
08:04;08:06;"Wait, wait, you mean like..."
08:06;08:07;"Like a few weeks ago."
08:07;08:08;"Two weeks ago?"
08:08;08:08;"Yeah."
08:08;08:10;"We were with some other friends."
08:10;08:10;"Yeah."
08:10;08:13;"Jack Nicholson is like giving a monologue and you're just like..."
08:13;08:17;"It's like John Lennon said, I'm an artist."
08:17;08:20;"You give me a tuba, I'll get you something out of it."
08:20;08:24;"It's like that really stressful moment when like Matt Damon's like sending a text in his"
08:24;08:26;"pocket and it's like..."
08:26;08:27;"And you're just like..."
08:27;08:31;"Five, four, three, two, one."
08:31;08:49;"So anyway, I was looking forward to working."
08:49;08:50;"Right."
08:50;08:53;"But of course, the fires out there is a total nightmare."
08:53;08:54;"So and I'm obviously..."
08:54;08:59;"Nobody could fault the festival for putting safety first when things are so out of control."
08:59;09:02;"So of course, you didn't think twice about that part of it."
09:02;09:04;"But then it's kind of like, all right, so what are we doing?"
09:04;09:09;"And so we were just like in this hotel in Melbourne and people worked hard to like feel"
09:09;09:13;"like, well, where's a place where the whole band and crew can go and grab some pizza and"
09:13;09:13;"brews?"
09:13;09:17;"And they found like a cool rooftop bar where you could see the fireworks because they have"
09:17;09:22;"like fireworks that are like in the city, set off the top of buildings in like the downtown"
09:22;09:24;"central business district of Melbourne."
09:24;09:25;"Huh."
09:25;09:25;"But then..."
09:25;09:26;"Seems dicey."
09:26;09:28;"I don't think they would let people do that in New York."
09:28;09:29;"What else about the fires?"
09:29;09:34;"Well, it was, that was the topic of conversation because Melbourne, a lot of places have fireworks"
09:34;09:35;"in New Year's, right?"
09:35;09:39;"And Sydney actually is like the very famous ones, you know, down in the harbor by the"
09:39;09:39;"opera house."
09:39;09:44;"Sydney pops off for New Year's and you know, whatever, just being in Australia, naturally"
09:44;09:47;"talk to people and you see some of the national press and stuff."
09:47;09:51;"And there was a lot of like, people were so mad at the prime minister, Scott Morrison."
09:51;09:52;"So people were like..."
09:52;09:53;"He was on vacation somewhere?"
09:53;09:54;"Yeah."
09:54;09:56;"There's a lot of things people were criticizing him about."
09:56;10:00;"And then there's this vibe of kind of like, and you're really going to do like the Sydney"
10:00;10:05;"fireworks when tens or hundreds of thousands of people are like fighting for their lives"
10:05;10:06;"or losing their homes."
10:06;10:08;"And people were just like, it's in bad taste."
10:08;10:10;"So full band and crew hangout?"
10:10;10:11;"Full band and crew hangout."
10:11;10:12;"Night off."
10:12;10:12;"That sounds kind of..."
10:12;10:13;"It's a night off."
10:13;10:14;"Sounds kind of fun."
10:14;10:15;"It's kind of fun."
10:15;10:19;"But then you also like know you have so much coming up and there's so much travel involved"
10:19;10:20;"in Australia that it's like..."
10:20;10:21;"Yeah."
10:21;10:26;"And also I think because we knew why the festivals were canceled, you know, it's like"
10:26;10:29;"a weird energy in the air, I think."
10:29;10:29;"Yeah."
10:29;10:30;"Although, you know, you wouldn't..."
10:30;10:34;"It felt kind of like business as usual on the streets of Melbourne."
10:34;10:38;"When we finally came to play our own show in Melbourne, we had some technical issues."
10:38;10:42;"And the first couple of times the power went out, we had to like leave the stage."
10:42;10:46;"We're on like song three, playing Cape Cod and the power goes out once."
10:46;10:48;"And then the crew is kind of like, you guys should walk off stage."
10:48;10:48;"We're going to take them out."
10:48;10:50;"We're like, all right, guys, we'll be right back."
10:50;10:50;"We're going to fix this."
10:50;10:52;"Was this indoors or outdoors?"
10:52;10:52;"Indoors."
10:52;10:54;"And then it happened again."
10:54;10:57;"And we walk off stage and like our crew is kind of like, listen, we got one last thing"
10:57;10:58;"we can try to make this work."
10:58;11:01;"And I was just standing there being like, if this show can't happen."
11:01;11:03;"And we had like these like hardcore fans there."
11:03;11:06;"And I was like, oh man, I was like, that's going to be a real bummer."
11:06;11:07;"But it worked out."
11:07;11:07;"It was a good show."
11:07;11:09;"The Sydney show was great too."
11:09;11:10;"Well, welcome home."
11:10;11:11;"Back to the grind."
11:11;11:13;"Back to that TC grind."
11:13;11:14;"Back to the TC grind, man."
11:14;11:17;"I feel good about 2020 though."
11:17;11:20;"Did you make any New Year's resolutions or do you believe you're not allowed to say them?"
11:20;11:22;"No, I didn't make any resolutions."
11:22;11:23;"Did you?"
11:23;11:27;"No, I think this year I was like, you know, I just do all the things you're always putting off."
11:27;11:28;"Exercise, eat better."
11:28;11:29;"Oh yeah."
11:29;11:30;"I'm doing dry January."
11:30;11:31;"Oh yeah."
11:31;11:32;"Which is sort of like an annual event."
11:32;11:35;"This is very unusual that I'm drinking a Modelo and you're not."
11:35;11:35;"That's true."
11:35;11:37;"Roll reversal."
11:37;11:41;"So yeah, dry January, I feel like it's that and no nut November."
11:41;11:45;"I feel like in the past five or six years, they've really become a thing."
11:45;11:50;"I feel like dry January was like very trendy, like two years ago."
11:50;11:56;"I've noticed among my peer group, a lot less enthusiasm around dry January this year."
11:56;11:57;"What do you think that's about?"
11:57;11:59;"I think people are just like, eh, I don't wanna."
11:59;12:00;"I think it's that simple."
12:00;12:03;"I noticed an uptick in tweets that were kind of like, you know,"
12:03;12:05;"forgetting about self-care and wellness."
12:05;12:08;"And it was kind of like 2020, we're doing drugs again."
12:08;12:10;"I feel like that was kind of like a viral tweet."
12:10;12:10;"Interesting."
12:10;12:11;"I was seeing a lot of places."
12:11;12:13;"So maybe there is something that's like."
12:13;12:14;"F it."
12:14;12:15;"The world's on fire."
12:15;12:17;"Maybe this is kind of an F it year."
12:17;12:22;"I also just feel like I can only speak for myself, but I feel like my adult life has been"
12:22;12:26;"watching the wellness health industry just like grow and grow."
12:26;12:30;"There are a couple of Whole Foods near the town I grew up in, in Jersey."
12:30;12:32;"There's like a couple in Montclair, New Jersey."
12:32;12:33;"And I was always kind of like, yeah, you know,"
12:33;12:36;"it's like a slightly healthier supermarket."
12:36;12:39;"And I remember like when I got to college in the city,"
12:39;12:44;"it was right around when like some notable big Whole Foods opened in Manhattan."
12:44;12:46;"There was like the big one at Union."
12:46;12:47;"Yeah, there was the Union Square one."
12:47;12:51;"And there's also the big one at Columbus Circle in the Time Warner building."
12:51;12:53;"And I just kind of remember even at the time,"
12:53;12:55;"and I remember people were just like, oh, sick."
12:55;12:56;"We've got an awesome hot bar."
12:56;12:58;"And I remember even at the time being like, wait, this is like suburban."
12:58;13:00;"People like hyped on this."
13:00;13:01;"Totally."
13:01;13:03;"But then I was kind of like, oh, it's the Whole Foods era."
13:03;13:05;"At the time, I didn't know any of the backstory."
13:05;13:09;"And then I just kind of feel like between that and like various new ways of eating"
13:09;13:14;"and the kind of like rise of healthy food startups that happen a lot,"
13:14;13:16;"like, yeah, we're like disrupting this or that."
13:16;13:19;"And here's the version that has ancient grains or whatever."
13:19;13:21;"I just feel like there's been more and more of that stuff."
13:21;13:23;"I feel like there's been some times that like really random airports."
13:23;13:27;"And I just like walked into the, you know, like the Hudson News equivalent,"
13:27;13:32;"where back in the day, if you wanted to eat something like quote unquote healthy,"
13:32;13:36;"just be like, well, I'm not going to eat a f***ing KitKat right now."
13:36;13:37;"I guess I'll get the, uh,"
13:37;13:39;"- This bag of peanuts. - The salted cashews."
13:39;13:41;"Right?"
13:41;13:42;"And a diet Snapple."
13:42;13:46;"Oh, rough stuff."
13:46;13:48;"And now you go in there, I'm willing to believe this is still not healthy,"
13:48;13:51;"but you would go into these places and it'd just be like,"
13:51;13:56;"well, we got six types of paleo bars, kale chips, you know, like you find that all over the place."
13:56;13:58;"It's not a coastal thing at all."
13:58;13:59;"It's just very omnipresent."
14:00;14:02;"I don't eat no meat, no dairy, no sweets,"
14:02;14:05;"only ripe vegetables, fresh fruit and whole wheat."
14:05;14:06;"I'm from the old school."
14:06;14:08;"My household smell like soul food, bruh."
14:08;14:14;"Curry falafel, barbecue tofu, no fish dough, no candy bars, no cigarettes,"
14:14;14:17;"only ganja, fresh squeezed juice from oranges."
14:17;14:19;"Exercise and daily to stay healthy."
14:19;14:22;"And I rarely drink water out the tap because it's filthy."
14:22;14:28;"Lentil soup is mental fruit and ginger root is good for the youth."
14:28;14:33;"Fresh vegetable with them ital stew, sweet yam fries with the green callilu."
14:33;14:37;"Careful how you season and prepare your foods because you don't want to lose"
14:37;14:38;"vitamins and minerals."
14:38;14:40;"And that's the jewel."
14:40;14:40;"Life brings life."
14:40;14:41;"It's valuable."
14:41;14:43;"So I eat what comes from the ground."
14:43;14:44;"It's natural."
14:44;14:46;"Let your food be your medicine."
14:46;14:47;"No excetera."
14:47;14:48;"Strictly herb generation."
14:48;14:52;"The sun because I got melanin and drink water, eight glasses a day."
14:52;14:54;"Because that's what they say."
14:55;14:58;"They say you are what you eat, so I strive to eat healthy."
14:58;15:01;"My goal in life is not to be rich or wealthy."
15:01;15:04;"Because true wealth comes from good health and wise ways."
15:04;15:06;"We got to start taking better care of ourselves."
15:06;15:10;"They say you are what you eat, so I strive to eat healthy."
15:10;15:12;"My goal in life is not to be rich or wealthy."
15:12;15:15;"Because true wealth comes from good health and wise ways."
15:15;15:18;"We got to start taking better care of ourselves."
15:18;15:19;"Be healthy, y'all."
15:19;15:22;"I feel like there is kind of a turn to just being like,"
15:22;15:23;"""F*** it, let me get a Big Mac."""
15:23;15:26;"And maybe it also has to do with the global mood."
15:26;15:29;"Climate change, there's a lot of reasons to feel pessimistic."
15:29;15:32;"But I also have a feeling that there's probably a lot of people who,"
15:32;15:34;"five to six years ago, were like, ""Holy s***,"
15:34;15:38;"they just opened a new kind of lunch place in my town,"
15:38;15:40;"and you can get like a quinoa bowl."
15:40;15:42;"And yeah, finally, I don't have to go f***ing eat"
15:42;15:44;"Angela's sub shop for lunch anymore."""
15:44;15:47;"And then I have a feeling like probably like five years on,"
15:47;15:49;"people are just like, ""Do I feel any better?"
15:49;15:50;"I don't know, man."
15:50;15:51;"Do I?"
15:51;15:52;"Am I any healthier?"
15:52;15:55;"And by the way, I'm not advocating that people don't eat healthy at all."
15:55;15:57;"I just have a feeling that a lot of what was sold to people"
15:57;15:59;"as a healthier lifestyle,"
15:59;16:01;"some of which was probably real,"
16:01;16:05;"and some of which was kind of branded disruption nonsense."
16:05;16:07;"I just feel like what that all adds up to"
16:07;16:11;"is probably a decent number of people feeling a little burned out"
16:11;16:14;"and being like, ""Man, I remember that moment when,"
16:14;16:16;"yeah, the new lunch spot opened,"
16:16;16:19;"or when I started placing my Amazon order"
16:19;16:23;"to get these special hemp fig bars"
16:23;16:24;"that were like,"
16:24;16:27;"I was going to eat them instead of Butterfingers for my snacks and blah."""
16:27;16:28;"And I just feel like there's a lot of..."
16:28;16:31;"Maybe I'm partially this person,"
16:31;16:34;"but I just feel like there's probably a bit of exhaustion"
16:34;16:36;"that's just like, ""Well, you know what, man?"
16:36;16:37;"The revolution didn't come."""
16:37;16:40;"I mean, not to get all Michael Pollan on it,"
16:40;16:42;"but it's like, or pollen,"
16:42;16:42;"but it's like,"
16:42;16:45;"if you're just eating the processed vegan version"
16:45;16:48;"of hamburgers and candy bars,"
16:48;16:49;"you're going to feel the same."
16:49;16:53;"You have to actually eat raw vegetables."
16:53;16:54;"Yeah, that's tough."
16:54;16:55;"I know, it's a bummer."
16:55;16:57;"It's not a fun hang,"
16:57;16:59;"just eating carrots."
16:59;17:01;"And you also just got to exercise, I guess."
17:01;17:03;"I went to the gym for the first time in a long time today."
17:03;17:04;"How'd it feel?"
17:04;17:06;"I feel a little better."
17:06;17:07;"I said to the dude I work out with,"
17:07;17:08;"I was like, ""You know what, man?"""
17:08;17:09;"'Cause he always says,"
17:09;17:11;"it's always embarrassing."
17:11;17:12;"What are your goals?"
17:12;17:14;"Well, he's known me for a long time"
17:14;17:16;"and he's seen me very little the past year,"
17:16;17:17;"so he'll always be like,"
17:17;17:18;"""How's it been going on the road?"""
17:19;17:19;"Like workout wise."
17:19;17:21;"Yeah, like, ""Have you been working out?"""
17:21;17:22;"And then sometimes, you know,"
17:22;17:24;"we kind of fudge it a little bit."
17:24;17:26;"I mean, I hit the hotel gym that time."
17:26;17:27;"Then I'm thinking like,"
17:27;17:29;"""What did I actually do when I was in there?"""
17:29;17:30;"Listen to seven minutes of a podcast"
17:30;17:33;"and like run a sprint."
17:33;17:34;"And so I said to him,"
17:34;17:35;"I was like, ""You know what, man?"""
17:35;17:36;"And maybe this is a little bit of that"
17:36;17:38;"come to Jesus moment."
17:38;17:40;"And also just because I legitimately"
17:40;17:41;"have felt less healthy"
