Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis back once again."
00:02;00:04;"It's Super Bowl Sunday."
00:04;00:06;"But we still have to talk about last Sunday."
00:06;00:10;"This is a major Sunday."
00:10;00:12;"Many Sundays at the same time."
00:12;00:14;"We'll be talking about the Grammys,"
00:14;00:16;"sports,"
00:16;00:18;"Snickers, Boston Accents,"
00:18;00:23;"all that, plus the greatest hits of 1967 and 1993."
00:23;00:28;"This is a very special Sunday of Sundays on..."
00:28;00:31;"Time Crisis with Ezra King."
00:31;00:33;"Be-be-be-be-be-be-beast."
00:33;00:35;"One."
00:42;00:49;"There was a felled wobbly leaf of my rightful chances."
00:49;00:56;"My picture clear, everything seemed so easy."
00:56;01:04;"And so I dealt you the blow, one of us had to go."
01:04;01:08;"Now it's different, I want you to know."
01:08;01:15;"One of us is crying, one of us is lying."
01:15;01:19;"Leave the lonely man."
01:19;01:21;"Time Crisis back once again."
01:21;01:24;"Rolling in, hard commute over here to Culver City."
01:24;01:26;"Slamming pizza pre-show."
01:26;01:29;"Just crushing some slices."
01:29;01:30;"Do you still say ""za""?"
01:30;01:32;"Yeah. Is it kind of basic now?"
01:32;01:34;"That's a good question."
01:34;01:38;"Feel free to tweet @TimeCrisis2000, let us know how you feel."
01:38;01:40;"I feel like you've been saying ""za"" for a long time,"
01:40;01:43;"and the way that you always said it, you were just like a chilled out dude."
01:43;01:48;"Whereas like, I think there became something on the internet"
01:48;01:53;"about being really into pizza that became kind of lame."
01:53;01:54;"So when you say it, I'm still down."
01:54;01:57;"I think I'm like 20 years deep on saying ""za""."
01:57;02:00;"Listen man, whatever people are talking, memes people are sharing on Facebook,"
02:00;02:03;"I've been crushing ""za"" for 20 years, and I'm not going to stop."
02:03;02:04;"I'm old school."
02:04;02:08;"I remember saying it around my parents' house, like, ""Oh, let's get some za."""
02:08;02:11;"My dad just being like, ""What? What are you saying?"""
02:11;02:13;"You know, like, ""Pizza. Za."""
02:13;02:14;"So it just came to you?"
02:14;02:15;"Yeah."
02:15;02:17;"I remember thinking this is really pushing it with the abbreviations,"
02:17;02:19;"but I'm going to give it a spin."
02:19;02:20;"It makes a lot of sense."
02:20;02:21;"You know what it is?"
02:21;02:24;"I like the way that you deliver it, because when you say, like, ""Let's get some za,"""
02:24;02:26;"I was slamming some ""za."""
02:26;02:30;"You just sound like a hungry dude who doesn't have time to say the whole thing,"
02:30;02:35;"versus I feel like there's this type of fetishization of being into pizza."
02:35;02:38;"If somebody's just like, ""Is it za time?"""
02:38;02:39;"And it's like, ""Chill."""
02:39;02:40;"Calm down."
02:41;02:43;"Being really into pizza."
02:43;02:45;"Being really into anything."
02:45;02:49;"I was watching--I was, like, really stoned a few weeks ago at my house."
02:49;02:50;"Which I don't usually--"
02:50;02:51;"Yeah, I know."
02:51;02:53;"People probably assume that you're a huge stoner."
02:53;02:54;"I'm not."
02:54;02:55;"Yeah, just time to time."
02:55;03:00;"The guy that owns the gym that I go to gave me some pot brownies that he made."
03:00;03:01;"Whoa."
03:01;03:03;"And they were, like, fierce."
03:03;03:05;"And I went in on one one night."
03:05;03:08;"But then I started watching this David Chang cooking show."
03:08;03:09;"I think that's his name, right?"
03:09;03:10;"Oh, I've heard about this."
03:10;03:11;"Yeah, yeah."
03:11;03:14;"And, like, they're going around from, like, high-end pizzeria to high-end pizzeria."
03:14;03:15;"Yeah."
03:15;03:17;"Really parsing the differences between these restaurants."
03:17;03:18;"Yeah."
03:18;03:21;"But I was so baked, and I was like, ""Dudes, it's pizza."""
03:21;03:22;"Yeah."
03:22;03:23;"""It's all good."""
03:23;03:24;"Right."
03:24;03:25;"""Who cares?"""
03:25;03:28;"Like, ""Oh, there's, like, arugula on here."
03:28;03:29;"Who cares?"
03:29;03:30;"It's going to be good."""
03:30;03:31;"I know what you mean."
03:31;03:32;"I was, like, so tripped out."
03:32;03:35;"I find, at times, when I'm really baked--"
03:35;03:39;"On the one hand, being really baked, if you're, like, absorbing the right thing,"
03:39;03:42;"because you're a little bit in slow motion, you can be like,"
03:42;03:45;"""Whoa, there's this whole dimension of this that I never saw before."""
03:45;03:49;"On the other hand, when you're really baked, because you're in slow motion,"
03:49;03:51;"if something feels--"
03:51;03:53;"And, by the way, I ride for David Chang."
03:53;03:54;"Oh, yeah."
03:54;03:55;"Great restaurateur."
03:55;03:56;"I'm sure."
03:56;03:57;"I'm just covering my base."
03:57;03:58;"I've never had his food, but--"
03:58;03:59;"He's a good dude."
03:59;04:05;"But if I'm really baked and I'm in a situation that maybe has a lot of pretense--"
04:05;04:07;"[laughter]"
04:07;04:08;"--or formality--"
04:08;04:11;"The first time I remember having this feeling, actually, it was kind of different."
04:11;04:15;"I was just at a concert in Brooklyn when I used to live in Brooklyn,"
04:15;04:18;"and I just went to a show, and I just remember, like, seeing this band."
04:18;04:20;"You know, they were making some waves at the time,"
04:20;04:26;"and I just remember being in the audience and just being like, ""Yo, this sucks."""
04:26;04:28;"Like, in a way that I wouldn't have felt normally."
04:28;04:30;"And I was just, like, seeing it in slow motion."
04:30;04:36;"And I got a little high once at a semi-formal event where somebody was, like, speaking a lot."
04:36;04:38;"And I just remember, again, hearing this [bleep] in slow motion,"
04:38;04:44;"just being, like--a little bit out of character, just like, ""Dude, shut the [bleep] up, man."""
04:44;04:51;"I know. It's funny when weed makes it--puts you in, like, a negative headspace, but it's kind of fun."
04:51;04:56;"It's kind of fun, but you're just like--it does seem like the scales fall from your eyes."
04:56;04:58;"You're getting weed-pilled."
04:58;05:03;"You're literally getting weed-pilled, where you're just like, ""Dude, who cares?"""
05:03;05:09;"And I could totally picture that, like, watching a show, just like, ""Oh, my God, who gives a [bleep]?"""
05:09;05:11;"It only happens every now and then."
05:11;05:14;"We were, like, so serious about this pizza."
05:14;05:16;"Man, it's pizza."
05:16;05:18;"People probably think we're both big stoners."
05:18;05:20;"I've had, like, stoner moments in life."
05:20;05:28;"I wouldn't say it's an everyday thing, but just a couple of being a little too stoned stories come to mind."
05:28;05:31;"That also involved, like, the way you interpret something."
05:31;05:33;"This was, like, only half negative."
05:33;05:34;"I wonder if I've told this story."
05:34;05:37;"And also, by the way, sometimes when you're in a situation that's pretense"
05:37;05:39;"and you feel like you're super high and you're seeing through it,"
05:39;05:42;"it doesn't mean you're right, necessarily."
05:42;05:44;"You were in a special state of mind."
05:44;05:49;"I remember this time in college that a bunch of us were kind of stoned."
05:49;05:51;"And I was, like, more stoned than I thought."
05:51;05:52;"We'd, like, walk out onto the streets."
05:52;05:56;"We went down to Coronet's Pizza, which is the go-to pizza by Columbia."
05:56;05:57;"They do a big slice."
05:57;06:04;"The guy in front of us, there was a kind of, you know, collegiate guy."
06:04;06:07;"And I was, like, watching him, just, like, watching the back of his head, him talking to his friend."
06:07;06:10;"And I'm just, like, already in my head just being, like, ""Oh, my God, man."
06:10;06:12;"Shut the f--- up."""
06:12;06:15;"You know, I'm, like, a mellow guy, but I was in that slightly negative head space"
06:15;06:17;"where I'm just, like, listening to these guys have a conversation."
06:17;06:20;"I'm just thinking, like, ""Oh, my God. What the f---?"""
06:20;06:24;"And then anyway, so then they get to the front of the line."
06:24;06:25;"They each order their slice."
06:25;06:29;"And then the guy that I've been looking at goes, ""Can I get a large orange soda?"""
06:29;06:30;"And I died."
06:30;06:31;"You just--"
06:31;06:33;"Oh, my God."
06:33;06:34;"Just picture that."
06:34;06:36;"You're in that negative head space, and the dude gets an orange soda."
06:36;06:38;"Orange, bro."
