Start Timestamp;End Timestamp;Transcript
00:00;00:05;"Time Crisis in a time of crisis."
00:05;00:08;"There's a lot going on in the world you can barely keep up."
00:08;00:10;"But one thing's for sure."
00:10;00:15;"The TC crew will come together, whatever it takes."
00:15;00:22;"In a time of coronavirus and other strange, distressing things."
00:22;00:25;"This is a very unusual..."
00:25;00:30;"Time Crisis with Ezra King."
00:30;00:34;"B-B-B-B-B-B-B-B-Sport One."
00:38;00:44;"They passed me by, all of those great romances."
00:44;00:51;"The war I felt, robbing me of my rightful chances."
00:51;00:58;"My picture clear, everything seemed so easy."
00:58;01:05;"And so I dealt you the blow, when a bus had to go."
01:05;01:10;"Now it's different, I want you to know."
01:10;01:16;"One of us is crying, one of us is lying."
01:16;01:20;"[Phone ringing]"
01:20;01:22;"Time Crisis back again."
01:22;01:24;"Business as usual."
01:24;01:26;"[Laughter]"
01:26;01:28;"Just the old TC."
01:28;01:31;"Well, here's the thing, gang."
01:31;01:35;"This is the first Time Crisis ever where we're not in the same room."
01:35;01:38;"I mean, the real sticklers might say,"
01:38;01:41;"""Well, of course, in the early days, there, you know,"
01:41;01:43;"there have been episodes where Jake called in."""
01:43;01:46;"But I mean in the sense that literally,"
01:46;01:50;"none of the crew is in the same place."
01:50;01:54;"Of course, we've had, you know, some slight exceptions,"
01:54;01:56;"but this is very unusual."
01:56;02:00;"This is a true coronavirus episode in that we are conferencing in."
02:00;02:02;"We're all in the same city."
02:02;02:04;"Very strange."
02:04;02:07;"This is going to have a great flow, I can tell already."
02:07;02:10;"[Laughter]"
02:10;02:12;"Everybody's at home."
02:12;02:16;"We were advised it was better to stay put, not all get together,"
02:16;02:19;"which certainly is true for large crowds."
02:19;02:22;"Maybe it's even true for small gatherings."
02:22;02:26;"Well, you know, I've had a fever the last three days."
02:26;02:28;"It was kind of my call."
02:28;02:33;"It would be irresponsible to expose the TC family to my low-grade fever."
02:33;02:38;"Now, I feel more or less fine, but I was just like--"
02:38;02:41;"Everything I was reading was like emphasizing"
02:41;02:44;"how life and death social distancing is."
02:44;02:46;"And since we're in the sort of early days here,"
02:46;02:49;"I just thought, you know, I would take it seriously,"
02:49;02:51;"do the group a solid, and just be like,"
02:51;02:54;"""Guys, let's just do a weird conference call."""
02:54;02:56;"Don't mess around. Don't mess around."
02:56;02:58;"Well, all right, so let's start with that, Jake."
02:58;03:03;"That must have been stressful to wake up with a fever a few days ago, right?"
03:03;03:05;"Yeah, well, it came out of the evening."
03:05;03:06;"Have you been following the news?"
03:06;03:07;"Just a little bit."
03:07;03:11;"Yeah, okay. So how did you feel when you woke up with a fever?"
03:11;03:13;"Well, it was one of those-- I didn't feel great about it."
03:13;03:17;"It was also one of those things where I'd listen to a few podcasts"
03:17;03:22;"about coronavirus and read stuff on the New York Times and stuff."
03:22;03:24;"And then I started to feel a fever come on,"
03:24;03:27;"and I was like, ""Is this just psychosomatic?"""
03:27;03:31;"""Is this just rendering itself?"""
03:31;03:34;"But then, no, I actually truly did have a fever"
03:34;03:36;"and felt sort of achy."
03:36;03:38;"Luckily, didn't develop a cough."
03:38;03:40;"Honestly, I have no idea."
03:40;03:42;"I might have a very low-grade version of it."
03:42;03:44;"I might not. I don't know."
03:44;03:47;"And I had the fever kind of on and off for the last two days."
03:47;03:48;"Today, I'm feeling better."
03:48;03:50;"So you've just been at home this whole time?"
03:50;03:54;"Yeah, the last two days, three days."
03:54;03:56;"Didn't hit the bowling alley."
03:56;03:59;"Yeah, had to cancel the league game."
03:59;04:01;"Didn't go crush burritos."
04:01;04:02;"Didn't crush burritos."
04:02;04:05;"Just imagine if you were like patient zero,"
04:05;04:07;"and they're like, ""So this guy had a fever."""
04:07;04:10;"It's like in all the global newspapers, and it's like,"
04:10;04:13;"""So this man in Los Angeles, Jake Longstreet, what did he do?"""
04:13;04:16;"And they're like, ""He went to Richard Pictures practice."""
04:16;04:18;"That's his great cover band."
04:18;04:20;"He went to Chipotle."
04:20;04:23;"He went to Chipotle. He crushed a burrito."
04:23;04:25;"Emphasis on crushed."
04:25;04:29;"Just the whole world talking about it."
04:29;04:32;"Richard Pictures trending on global Twitter."
04:32;04:36;"Right. Chipotle, Eagle Rock trending."
04:36;04:43;"I just opened up Twitter, and one of the trending topics was total chaos."
04:43;04:47;"And was it about something specific, or just everybody's talking about total chaos?"
04:47;04:50;"I didn't click on it. I was just sort of like, ""Wow, that's a cool..."""
04:50;04:53;"It's probably a reference to Target and people,"
04:53;04:58;"like all the pandemonium over toilet paper and canned soup and all that stuff."
04:58;05:01;"I don't get the TP stuff."
05:01;05:06;"That seems kind of low on the totem pole in terms of essential items."
05:06;05:10;"Not if you're at home for three weeks."
05:10;05:14;"I think it's just more about just not leaving the house."
05:14;05:17;"Yeah, no, I get that, but I'm just saying..."
05:17;05:19;"Why that in particular?"
05:19;05:21;"I mean, there's a lot..."
05:21;05:23;"A lot of people have been asking that question."
05:23;05:27;"I think, you know, probably all families are different."
05:27;05:29;"[laughter]"
05:29;05:35;"It's true. If you have a household with a bunch of teenagers"
05:35;05:38;"who are just constantly taking huge stews,"
05:38;05:40;"and they got up..."
05:40;05:45;"There it is. You guys, like the family's going through a case of TP a week."
05:45;05:47;"I found something interesting, guys."
05:47;05:52;"Normally, this is something I would show Ezra rather than chime in."
05:52;05:58;"But according to CNBC, there's an article that says the reason toilet paper is..."
05:58;06:00;"People are going nuts for toilet paper,"
