Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time crisis in a continuing time of crisis"
00:03;00:11;"We get back together via FaceTime to talk about the news of the day the news that matters"
00:11;00:18;"We're joined by a new friend of the show Jerry salts to talk coffee art and so much more"
00:18;00:24;"We also get into a little bit of steakums and a lot of life"
00:24;00:27;"this"
00:28;00:30;"Crisis with Ezra Koenig"
00:30;00:32;"I"
00:40;00:42;"Oh"
00:50;00:54;"But picture clear everything seems so easy"
01:19;01:26;"All right time crisis back once again, this is the fourth or the fifth quarantine edition fifth"
01:26;01:32;"Five weeks of FaceTime crisis feel you know, I'm pretty used to the new reality. How you feeling Jake?"
01:32;01:36;"I'm feeling okay. I wore a mask today in public for the first time"
01:36;01:41;"Have you not been out of the house in a while? I haven't been out of the house hardly at all"
01:41;01:45;"Mm-hmm. And so I was taking the dog to the vet. Oh god"
01:45;01:49;"There's a whole I just take the dog to the vet. Well, not a big deal"
01:49;01:52;"Just she had to get some booster shots for rabies and stuff"
01:52;01:56;"Hmm, but the whole there's a whole protocol with you park in the parking lot of the vet office"
01:56;02:03;"You call them on your cell they come out. They're wearing masks. They take your dog in they do the stuff"
02:03;02:08;"They need to do you pay for it over the phone with your credit card. You never go in"
02:08;02:11;"You're sitting in your truck the whole time. Mm-hmm. I"
02:11;02:14;"Like that you refer to my van as a truck"
02:15;02:20;"I'm always into that when guys refer to their vans as trucks"
02:20;02:27;"There's something cool about just referring to all vehicles as trucks. Yeah, some are bigger than others, but it's all truck man"
02:27;02:31;"But yes, and Jake you're sitting to pick up you rolled up to the vet"
02:31;02:37;"They pick them up and then how long are we talking very quick turnaround 10 minutes tops"
02:37;02:42;"Did you think for a second at all about like I guess it is pretty important to get rabies shots"
02:42;02:47;"It did it cross your mind at all to be like, you know, maybe we'll take the dog a few months later"
02:47;02:51;"It crossed the mind but it was sort of like this is not gonna be a big deal"
02:51;02:56;"And I knew the protocol going in it seemed like a relatively low stress errand to run"
02:56;03:02;"Mm-hmm. Have you gone out in public wearing a mask yet? Well, I have long before"
03:02;03:08;"Kovid I've worn masks on planes before if like I felt a little sick and I eat or something like that"
03:08;03:12;"There's a while where I posted some pictures of me wearing a mask"
03:12;03:16;"Actually, I was helped out by some vampire fans because maybe two or three years ago"
03:16;03:21;"We were like working on the album and I was like starting to feel a little sick and are ill"
03:21;03:23;"He was really nervous about getting sick"
03:23;03:27;"He had just been sick and but we saw it kind of work and he was a little bit like"
03:27;03:32;"Stressed about you know, I was feeling pretty good, but he was stressing. I was like, you know, man"
03:32;03:34;"Let's like not take any chances"
03:34;03:38;"I'll wear a mask and we had some at the house and I threw on like a surgical mask and rolled over there"
03:38;03:44;"I didn't know exactly how to wear it correctly. And then the next day I actually figured out you got to like bend the nose part"
03:44;03:48;"Yeah to like really get it fitted. But so I wore that now and as I was doing that and I was like, you know"
03:48;03:54;"What this feels good. I feel like I'm not getting anybody sick. Nobody's getting into my zone either"
03:54;04:01;"So I was kind of into it then the next time was probably on my final trip before the"
04:02;04:05;"Pandemic really shut everything down. We were rolling out to Florida"
04:05;04:10;"We've talked about this a little bit but the weekend that we flew to Florida to play the Okachobe Festival"
04:10;04:15;"That was like this the kind of the last week before everything got canceled"
04:15;04:19;"So that week, you know, you still have people being like, oh, this is totally overblown"
04:19;04:23;"It's not gonna be a big deal and you had other people being like, I don't know it's gonna get wild"
04:23;04:27;"so I kind of wondered what the vibe would be at the airport and on the plane and"
04:27;04:31;"I wore a mask on the plane. I don't know where it came from"
04:31;04:36;"It was like this kind of like chic Korean one. It was like black and like foam"
04:36;04:37;"I don't know how effective it was"
04:37;04:44;"But I was wearing it and I saw maybe two or three other people five tops on the whole plane wearing masks"
04:44;04:48;"I did feel like a little bit funny and I was like am I overthinking this?"
