Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis."
00:02;00:04;"In a time of crisis."
00:04;00:07;"A FaceTime Time Crisis."
00:07;00:12;"In this episode, we dig even deeper into the concept of old wisdom."
00:12;00:16;"We talk to the men behind the song ""Old Hippie""."
00:16;00:18;"The Bellamy Brothers."
00:18;00:23;"We also talk to the absolute legend and icon, David Crosby."
00:23;00:27;"This is an episode full of wisdom."
00:27;00:32;"Time Crisis with Ezra Koenig."
00:32;00:43;"They passed me by, all of those great romances."
00:43;00:50;"They were a threat, robbing me of my rightful chances."
00:50;00:57;"My picture clear, everything seemed so easy."
00:57;01:04;"And so I dealt you the blow, one of us had to go."
01:04;01:09;"Now it's different, I want you to know."
01:09;01:15;"One of us is crying, one of us is lying."
01:15;01:19;"Leave it on me babe."
01:19;01:22;"Time Crisis back again, what's up Jake?"
01:22;01:26;"Hey man, good to see you again on the FT."
01:26;01:29;"I mean at this point this is just kind of reality."
01:29;01:30;"Yeah."
01:30;01:35;"Yeah, you make like plans, we had a little drink the other night."
01:35;01:37;"That was fun."
01:37;01:38;"With the ladies."
01:38;01:40;"Yeah, a non-Time Crisis hangout."
01:40;01:42;"But still through FaceTime."
01:42;01:45;"How are you holding up, what's your mood like?"
01:45;01:48;"My mood's good, yeah, pretty solid."
01:48;01:51;"I just found out that I'm a TikTok sensation."
01:51;01:56;"Oh right, so you were checking the old Wikipedia."
01:56;02:00;"Some prankster added TikTok sensation to your bio."
02:00;02:02;"News to me."
02:02;02:05;"I mean, was that even like a Time Crisis joke?"
02:05;02:07;"We had jokes about YouTubers."
02:07;02:08;"Yes."
02:08;02:11;"We've never even covered TikTok on this show, do you know what TikTok is?"
02:11;02:18;"Not really, I mean it's like you post a video that, does the video go away or is it permanent?"
02:18;02:23;"I think if you wanted to it can be permanent, because people like to share TikToks."
02:23;02:26;"It's a little like Vine, you remember Vine?"
02:26;02:30;"Right, I downloaded TikTok to my phone and I've never opened it."
02:30;02:31;"Really?"
02:31;02:32;"Yeah."
02:32;02:33;"Who possessed you to download TikTok?"
02:33;02:38;"A friend of mine who's also my age works for like a music licensing firm."
02:38;02:47;"And she was like, oh yeah, like so much of the stuff that I run across or am shown is on TikTok."
02:47;02:54;"It's definitely a phenomenon now, you hear a lot about it in the music industry, is that songs become hits."
02:54;03:02;"Even like old songs that kind of like missed their chance, they become hits because somebody zeros in on like a 10 second part of it."
03:02;03:07;"And there's like something funny you can do, like dance to it, do a meme to it."
03:07;03:09;"And then suddenly everybody knows the song."
03:09;03:17;"And yeah, whenever I talk to like music industry people who have like kids who are like 10 through 14, they're just like, oh yeah, they're like obsessed with that song."
03:17;03:22;"Or at least like, you know, this 10 second part of it and they only know it through TikTok."
03:22;03:29;"I feel like we've had a song or two in the top five that has like resurfaced because of TikTok."
03:29;03:30;"Oh yeah, absolutely."
03:30;03:37;"I think just last week when we listened to that Russian remix of a song, it kind of got a second life on TikTok."
03:37;03:40;"I wonder if I put Mountain Brews on TikTok, it'll blow up."
03:40;03:50;"That'd be tight because right now with all these TikTok hits, none of it is anything where you're just like, wow, this new technology radically shifted taste."
03:50;03:57;"It's all just like this like EDM song or this like rap song became a hit starting with TikTok."
03:57;03:59;"You're kind of like, yeah, all right."
03:59;04:04;"I mean, it's cool for those songs, but those are like well-represented genres."
04:04;04:10;"It would be kind of like wild if somebody was like, yeah, this kid just made like a TikTok to this Mountain Brews song."
04:10;04:14;"And, you know, it was like, it was Jake's first top 40 hit."
04:14;04:18;"First and last."
04:18;04:20;"Why can't that be like a visual meme?"
04:20;04:25;"Suddenly all these kids, they can't go hang out, you know, at 7-Eleven anymore."
04:25;04:33;"And you got all these kids from like rural areas just climbing up to the top of mountains with a can of something."
04:33;04:36;"And just like, you know, 10 seconds Mountain Brew, it becomes like a meme."
04:36;04:37;"It's Mountain Brewing."
04:37;04:43;"It's sweeping the nation and like it's encouraging kids to get outdoors, hike a little bit."
04:43;04:47;"Yeah, it could be like a Gatorade or, you know, like a Rockstar Energy drink."
04:47;04:50;"We're not encouraging underage drinking."
04:50;04:54;"So on TikTok, there is a Sweet Chili Heat by the Mountain Brews."
04:54;04:55;"Oh, really?"
04:55;04:57;"You can listen to it. Yeah, it has zero views."
04:57;04:58;"Oh, wow."
04:58;04:59;"Wait, but what do you mean?"
04:59;05:02;"But somebody made a video or the song is in the system."
05:02;05:06;"Someone just ripped it, which I've actually never seen on TikTok."
05:06;05:09;"It's just the audio for Sweet Chili Heat."
05:09;05:11;"What's the visual?"
05:11;05:14;"The visual is, I think, the cover of the album."
05:14;05:15;"Okay."
05:15;05:16;"From Let It Grow."
05:16;05:19;"Weird. So it's not like a real, it's not a real TikTok."
05:19;05:21;"No, but it is on the platform."
05:21;05:27;"So maybe there's just someone who's just waiting to discover it and make it a viral sensation."
05:27;05:33;"The only things that I've heard of that are like not exactly mainstream that kind of become hits are kind of like this,"
05:33;05:37;"I don't know what you call it, the kind of like neo indie pop."
05:37;05:40;"I don't know if any music critics have come up with like a good word to describe it."
05:40;05:44;"It's kind of like the post-Mac DeMarco, Tame Impala indie pop."
05:44;05:51;"But I haven't heard anything about like a real old song, just like some super weird, old, crunchy song."
05:51;05:52;"But that'd be tight."
05:52;05:58;"Yeah, like there could be like a look at what the light did now, Little Wings, Renaissance."
05:58;05:59;"Right."
05:59;06:05;"Well, there is Kyle, the opening of the song, you know, Kyle going, time to crack another one."
06:05;06:08;"Oh, no, Sweet Chili Heat."
06:08;06:09;"On Sweet Chili Heat."
06:09;06:12;"He's like, ooh, first one of the evening."
06:12;06:15;"Oh, yeah. That moment could become a TikTok moment."
06:15;06:16;"You're right."
06:16;06:18;"I guess it's not what the kids are looking for."
06:18;06:21;"I mean, but it's so much of it's about dancing, too."
06:21;06:30;"So, you know, if your music doesn't encourage choreography, you know, you're definitely going to be at a disadvantage in the TikTok ecosystem."
06:30;06:39;"Part of TikTok, I think, also is that you can record your dancing at a slower tempo and then speed it up and you're kind of like hitting it in an impressive way."
06:39;06:44;"But yeah, like tasteful country rock might not inspire the same type of choreography."
06:44;06:47;"So it might just be at a permanent disadvantage."
06:47;06:50;"Well, I got to rethink the next EP then."
06:50;06:52;"TikTok sensation."
06:52;06:55;"You know what? I would I'd be happy for you if you became a TikTok sensation."
06:55;07:02;"But I don't think you need more added to your opening Wikipedia sentence."
07:02;07:04;"I think you've discussed on the show."
07:04;07:06;"It's perfect."
07:06;07:09;"American painter and radio personality."
07:09;07:10;"Done."
07:10;07:15;"Yeah, of course, you can go accomplish many more things in life outside of those two things."
07:15;07:17;"But that's the perfect combo."
07:17;07:22;"That's tight. The more like the more you add to that sentence, the weaker it becomes."
07:22;07:25;"Right. Becomes diluted. Right."
07:25;07:27;"American painter and radio personality."
07:27;07:31;"I think somebody did a shirt of I think I saw that on From the Freezer."
07:31;07:34;"There was like a Jake Longstreet. Obviously, there's the Wikipedia shirt, but there's another one."
07:34;07:35;"Right."
07:35;07:39;"Like said, Jake, American painter and radio personality."
07:39;07:44;"Hannah made one of those, you know, those directors chairs, those like canvas directors chairs."
07:44;07:45;"Oh, yeah."
07:45;07:48;"And it has like the name of the actor or the director."
07:48;07:53;"She made one for me that says Jake Longstreet, American painter and radio personality."
07:53;07:54;"That's amazing."
07:54;07:55;"Yeah."
07:55;07:56;"Where do you have that now?"
07:56;07:58;"It's out on the patio."
07:58;08:08;"Do you ever have like some people over for, you know, some chips and guac and beers and you come out and like somebody sitting in that chair and you're just like, it's like
Hannah's friend's boyfriend."
08:08;08:12;"You don't know that well or something. And you're just like, uh, OK."
08:12;08:14;"Yeah, bro. Get out of my seat."
08:14;08:16;"Bro, read the canvas."
08:16;08:18;"Oh, yeah. Sorry, man."
08:18;08:23;"You wouldn't just go sit at the head of the table if you got invited over to somebody's house for Thanksgiving."
08:23;08:26;"You don't just plop down in their director's chair."
08:26;08:30;"Sunday morning, why don't we go for a hike?"
08:30;08:35;"Meet at the trailhead light around a quarter to three."
08:35;08:41;"Me and Bobby stayed out late last night."
08:41;08:46;"Get on the trail, shake the cobwebs free."
08:46;08:52;"As we get to the top of the mountain, there's a view."
08:54;08:58;"Take a load off and crack a few mountain brews."
08:58;09:06;"Mountain brews."
09:06;09:09;"Sweet mountain brews."
09:09;09:17;"Mountain brews."
09:17;09:20;"Sweet as morning dew."
09:20;09:26;"The way time passes in these strange and uncertain times is pretty strange and uncertain."
09:26;09:36;"And even though we do the show weekly, I feel like we are almost less on top of the current events than we were when we did it biweekly."
09:36;09:37;"You know what I mean?"
09:37;09:38;"Yeah."
09:38;09:42;"Like so much happens week to week. So I feel like I can barely even keep track."
09:42;09:53;"One thing I did make a mental note to remember is that last week we talked about Nancy Pelosi showing off her two refrigerators in her James Corden interview."
09:53;09:58;"And talking about all the ice cream that she has stockpiled for her family."
09:58;10:01;"Like, you know, nothing wrong with having a sweet tooth."
10:01;10:03;"But we were kind of half joking."
10:03;10:06;"But also we were like a little bit harshed out by it."
10:06;10:13;"We were half joking about that, you know, it's like perfect ammo for Trump to be like, you know, folks, like, what's up with this?"
10:13;10:17;"This woman with two fridges, she's here telling you she's for the working people."
10:17;10:18;"Get out of here."
10:18;10:24;"And like two days later, there was, you know, some like a Donald Trump campaign."
10:24;10:31;"Republican ad was made that basically with like really like intense dark music."
10:31;10:38;"Juxtaposing working class people in America, like showing their empty fridges and being like, we're screwed over, man, we're starving."
10:38;10:44;"And then cutting to Nancy Pelosi in front of her two fridges, like fighting into a Dove bar and being like, I love chocolate."
10:44;10:49;"And they call her Nancy Antoinette, a play on Marie Antoinette, let them eat cake."
10:49;10:51;"And basically said, let them eat ice cream."
10:51;10:57;"And you watch it and you're just like, on the one hand, you're just like, man, you guys, Trump, get out of here."
10:57;11:00;"Like you really care about working people and starving people."
11:00;11:03;"And you're obviously messing up the situation so much."
11:03;11:11;"But there's also that part of you that's just like, God, how can you hand that footage over to the Republicans on a golden platter?"
11:11;11:15;"Just like you're doing their job for them in a way."
11:15;11:19;"You're basically like just in front of the two fridges."
11:19;11:23;"And they also in the ad, they say that the fridge costs twenty four thousand dollars."
