Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis in a time of crisis, united by FaceTime to make this Time Crisis."
00:07;00:14;"On this episode, we talk red hot chili peppers, also Munch's make-believe band."
00:14;00:20;"All that, plus the top 5 hits of 1977 and 2020."
00:20;00:24;"This is a spicy Neapolitan."
00:24;00:28;"Time Crisis with Ezra Koenig."
00:28;00:30;"Let's dig in."
26:25;26:34;"I was thinking about a band that maybe could have taken the mantle from Aerosmith in terms of huge American bands with multi-decade runs."
26:34;26:39;"Chili Peppers. Did anyone bring them up as the greatest American band?"
26:39;26:40;"Yeah."
26:40;26:42;"Did we get an email about Chili Peppers?"
26:42;26:46;"Like about the Chili's being the greatest American band? I mean that's preposterous, but..."
26:46;26:50;"They've sold 80 million albums worldwide. Huge."
26:50;26:51;"I'm not a fan."
26:51;26:54;"[Explosion]"
26:54;26:57;"I love Blood Sugar Sex Magic and I'm out."
26:57;26:59;"Guys, we did get an email about this."
26:59;27:01;"We did get an email, right? What does the email say?"
27:01;27:04;"It's a long one, but I think the key phrase is..."
27:04;27:05;"Yeah, summarize it."
27:05;27:11;"Whether we'd like to admit it or not, RHCP was, for a period, at least the most popular rock band in the world."
27:11;27:15;"Second only to U2. I'll forward it to you."
27:15;27:17;"Second only to U2."
27:17;27:26;"Well, first of all, Jake, that's kind of harsh to say that you are not a fan when you would also say you love one of their albums."
27:26;27:28;"Yeah, Blood Sugar Sex Magic is sick."
27:28;27:32;"I just don't need any more music from them outside of that record."
27:32;27:34;"You just think that was a perfect album?"
27:34;27:36;"I think that's Rick Rubin's finest work."
27:36;27:45;"It is a pretty amazing moment and anybody who hasn't seen it, I highly recommend Funky Monks, which is hard to track down sometimes,"
27:45;27:50;"but that's a black and white documentary about the making of Blood Sugar Sex Magic."
27:50;27:58;"And that's when they're at that mansion in Laurel Canyon and you get Rick in there, Chaz Smith riding his motorcycle."
27:58;28:00;"It is pretty amazing."
28:00;28:07;"This might be a generational thing, Jake, but I find some people really love Californication,"
28:07;28:12;"which came out six or seven years after that."
28:12;28:17;"Because I think for a lot of people, they love Under the Bridge and that kind of RHCP vibe."
28:17;28:20;"And then Californication was almost like an album of that."
28:20;28:22;"Do you remember when you first heard Scar Tissue?"
28:22;28:25;"That's a beautiful song. Would you agree?"
28:25;28:31;"Yeah, no, sure. The Californication period and after is just too slick."
28:31;28:38;"There's no grit. There's no texture to it. It's just very cold and corporate sounding to me."
28:38;28:43;"Blood Sugar, there's a real sense of atmosphere. It's like music from Big Pink or something."
28:43;28:51;"In what sense? Just an American band at the height of their powers hold up in a residential home?"
28:51;28:56;"Yes, a residential recording situation. No, I do love the mythology of that."
28:56;29:04;"But also, that's a crazy sounding album. Breaking the Girl, the production on that, all those acoustics,"
29:04;29:07;"it almost sounds like Rubber Soul or something."
29:07;29:10;"When you look Under the Hood on that album, because for whatever reason,"
29:10;29:17;"when I think of Blood Sugar Sex Magic, I just picture the black and white video for Suck My Kiss."
29:17;29:20;"And I just picture funky rapping, right out Chili Peppers."
29:20;29:25;"Oh, wait, by the way, Seinfeld, real quick, go to Anthony Kiedis' Wikipedia page."
29:25;29:29;"I have a feeling I know what it says. What's his opening line?"
29:29;29:34;"Like Jake is an American painter and radio personality. What's Anthony Kiedis'?"
29:34;29:38;"Anthony Kiedis is an American singer, songwriter and rapper."
29:38;29:43;"Yeah, that's what I thought. I feel like I was on his page a while ago and that just stuck with me."
29:43;29:47;"The first track on Blood Sugar Sex Magic is that song, The Power of Equality."
29:47;29:49;"I mean, he's straight up rapping, right?"
29:49;29:53;"Yeah, he's kind of, or I guess straight up rapping. I haven't heard it in a long time."
29:53;29:57;"But I remember thinking at the time, oh damn, Kiedis is rapping."
29:57;30:02;"Yeah, and I think he raps on some of the early records too. That's a part of what they did."
30:02;30:06;"So yeah, he's an American singer, songwriter and rapper."
30:06;30:09;"Also author. He wrote a great memoir."
