Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, back once again."
00:07;00:15;"Today we're joined by Danielle Haim to talk about The Eagles, Sublime, and so much more."
00:15;00:21;"We also take a look at a track from the new Taylor Swift album."
00:21;00:27;"All this, plus a little bit of Reese's Peanut Butter Cups."
00:27;00:32;"This is Time Crisis with Ezra Koenig."
00:39;00:46;"All of those great romances, they were a fellow of me."
00:46;00:52;"All my rightful chances, my picture clear."
00:52;00:57;"Everything seemed so easy."
00:57;01:04;"And so I dealt to the blow, when a bus had to go."
01:04;01:08;"Now it's different, I want you to know."
01:08;01:14;"One of us is crying, one of us is lying."
01:14;01:19;"Leave it only there."
01:19;01:22;"Time Crisis, back once again. What's up, Jake?"
01:22;01:24;"Not a whole lot. How are you?"
01:24;01:25;"I'm tired."
01:25;01:26;"What have you been up to?"
01:26;01:28;"I've been in the studio a little bit."
01:28;01:32;"Oh, cool. With Ariel, or you don't want to say?"
01:32;01:35;"It's been a little bit with Ariel, but yeah, a bunch of stuff."
01:35;01:38;"Me, CT, and Béa, we're doing some jamming."
01:38;01:41;"We've been figuring out good ways that we can all do this kind of stuff safely,"
01:41;01:45;"involving social distancing, testing, and things like that."
01:45;01:47;"But I guess I've always known this about myself."
01:47;01:51;"I guess this is true about everybody, but I don't want to say I'm lazy."
01:51;01:54;"Everybody says they're lazy, but as quarantine went on,"
01:54;01:58;"I just kind of realized there definitely is a part of me that could imagine"
01:58;02:02;"decades going by of just kind of not really doing anything,"
02:02;02:04;"not getting to work."
02:04;02:07;"I probably would have done a lot of jamming on the piano"
02:07;02:10;"and making a little beat or something and writing a few words here and there,"
02:10;02:15;"but I do find leaving the house to go do something for real exhausting."
02:15;02:17;"Just not used to it."
02:17;02:19;"I guess I'm sort of surprised to hear that,"
02:19;02:22;"because you are such an accomplished recording artist."
02:22;02:27;"It does seem a little unlikely that you'd be like,"
02:27;02:30;"""Oh, man, I don't want to go into the studio and work."""
02:30;02:34;"I mean, it seems like to make records like that, you'd have to work your tail off."
02:34;02:37;"I know, and there were some very extreme times in the past"
02:37;02:40;"where finishing a record was really hard."
02:40;02:42;"There's also something that's like,"
02:42;02:45;"as much as the beginning of a record should be kind of laid back,"
02:45;02:48;"for me it can also be a little bit high pressure,"
02:48;02:51;"because I've never heard the first version,"
02:51;02:55;"even a rough demo of a song where I finally put down vocals"
02:55;02:58;"and didn't at least have a millisecond of being like,"
02:58;03:00;"""Well, this song sucks."""
03:00;03:03;"And then oftentimes, right after, you start to be like,"
03:03;03:05;"""Okay, maybe there's something here,"""
03:05;03:07;"and eventually your confidence builds back up."
03:07;03:10;"But yeah, even going back to the first album,"
03:10;03:13;"I always had that feeling, first take of vocals,"
03:13;03:16;"just being like, ""Yikes, all right, sorry I even brought the song in. This sucks."""
03:16;03:19;"So I find that aspect of the process maybe a little bit draining,"
03:19;03:22;"and I'll probably chill out more once I get through some of that."
03:22;03:23;"Yeah, that makes sense."
03:23;03:26;"I think in anything, with the first tentative steps of something"
03:26;03:31;"going from an idealized dream and vague vision"
03:31;03:34;"to actual data on a file of like,"
03:34;03:36;"""This is the first actual stab,"""
03:36;03:39;"whether it's painting in a sky or throwing down a vocal,"
03:39;03:44;"it's always just like, ""You, really? This is all I got? All right."""
03:44;03:47;"Dude, I've been on a real mountain bruise kick."
03:47;03:50;"I bought Logic, which is an Apple product,"
03:50;03:51;"because I'm a company man."
03:51;03:52;"Oh, sick."
03:52;03:57;"And then I bought an Apogee One, which is a very simple audio interface,"
03:57;04:00;"analog to digital interface, and I bought a mic stand."
04:00;04:02;"And it's a preamp, yeah."
04:02;04:05;"And so I've been recording stuff on my own"
04:05;04:07;"and also working on that stuff with Mountain Brews,"
04:07;04:08;"like the Raise and Deplace stuff."
04:08;04:12;"But I just was playing some stuff for Hannah,"
04:12;04:14;"and it was just like, ""God, this is embarrassing."
04:14;04:16;"These vocals are so bad."""
04:16;04:19;"I'm just like, ""Did I do it in the wrong key?"
04:19;04:22;"The song's in C. Should it have been in A major?"
04:22;04:24;"Am I singing too high?"""
