Start Timestamp;End Timestamp;Transcript
00:00;00:02;"300 years of Pennsylvania history,"
00:02;00:06;"plus Korean Billboard history,"
00:06;00:09;"plus TikTok,"
00:09;00:13;"plus Colorado history."
00:13;00:16;"This is a very historical episode"
00:16;00:18;"of Time"
00:18;00:19;"C"
00:19;00:21;"R"
00:21;00:22;"I"
00:22;00:24;"S"
00:24;00:25;"I"
00:25;00:28;"S."
00:28;00:30;"With Ezra Koenig."
00:30;00:39;"They passed me by"
00:39;00:42;"All of those great romances"
00:42;00:46;"They were a felt, probably"
00:46;00:49;"All my rightful chances"
00:49;00:52;"My picture clear"
00:52;00:57;"Everything seemed so easy"
00:57;01:00;"And so I dealt you the blow"
01:00;01:03;"One of us had to go"
01:03;01:08;"Now it's different, I want you to know"
01:08;01:11;"One of us is crying"
01:11;01:14;"One of us is lying"
01:14;01:18;"Leave it on me, babe"
01:18;01:22;"Alright, Time Crisis back once again. What's up, Jake?"
01:22;01:24;"Not a whole lot. I'm just, uh,"
01:25;01:28;"opening up a Wikipedia page for Jolly Ranchers."
01:28;01:32;"Unrelated to Time Crisis."
01:32;01:35;"You were just at home opening up the Wikipedia page, like,"
01:35;01:37;"""Oh, sh*t, we're recording TC right now."""
01:37;01:40;"Yeah, I needed to get the backstory in Jolly Ranchers,"
01:40;01:42;"and I should say I was just on the"
01:42;01:44;"page for Eddie Van Halen."
01:44;01:46;"Rest in peace, Eddie Van Halen."
01:46;01:50;"I feel like we've never talked too much about Van Halen on this show."
01:50;01:52;"I feel like we've joked about, like,"
01:52;01:55;"party bands in, like, SoCal."
01:55;01:58;"And, like, ""These guys are the best band coming out of Pasadena."""
01:58;02:02;"Guys, we talked about Van Halen in episode 89."
02:02;02:04;"It was in the Top 5."
02:04;02:08;"1984, ""Jump"" was the number one song."
02:08;02:10;"So I think that was the only time."
02:10;02:12;"Wait, how did you access? Look at that number crunch."
02:12;02:14;"Yeah, how did you crunch that number?"
02:14;02:18;"You know what, I googled ""Van Halen Jump Time Crisis"""
02:18;02:20;"because I remembered ""Jump"" somehow being on the show."
02:20;02:23;"And thanks to our friends at the TCU Wiki,"
02:23;02:25;"it's all laid out for us."
02:25;02:26;"Wow."
02:26;02:30;"I know we've discussed it, at least in private conversation, Jake,"
