Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis back once again. It's a very hot episode"
00:04;00:10;"We're joined by Ronnie Vannucci and Brandon Flowers of the killers to talk about their new hot sauces"
00:10;00:13;"we also talked about the four horsemen of 77 a"
00:13;00:16;"little bit of the Super Bowl"
00:16;00:20;"outcast and so much more this"
00:20;00:23;"is"
00:23;00:25;"Crisis with Ezra Koenig"
00:25;00:27;"[Intro]"
00:37;00:45;"It was a hell of a league, all my rightful chances."
00:45;00:52;"My picture clear, everything seemed so easy,"
00:52;00:59;"And so I dealt to the floor. One of us had to go."
00:59;01:03;"Now it's different, I want you to know."
01:03;01:09;"One of us is crying, one of us is lying."
01:09;01:14;"Leave it on me babe."
01:14;01:17;"Time Crisis, back again. What's up Jake?"
01:17;01:21;"Not too much, I was just getting caught up on these Super Bowl ads."
01:21;01:23;"I missed the big game."
01:23;01:27;"Yeah, that's crazy. You hit the threads and you were driving during the game?"
01:27;01:30;"Yeah, I was driving back from the desert with Hannah and..."
01:30;01:33;"Who did your schedule like that? Someone's getting fired."
01:33;01:36;"Jake's assistant is fired."
01:36;01:42;"I should have had my driver make sure that the TV in the back of the SUV was working properly"
01:42;01:45;"and I could have watched the game."
01:45;01:51;"I decided to rough it, so I was doing the driving myself and missed the game."
01:51;01:53;"You didn't listen to it on the radio?"
01:53;01:57;"No, you know what I listened to was the 2021 album."
01:57;01:58;"Oh yeah, sick."
01:58;02:04;"Then I listened to the new Bayo record, so I was on a real VW Headspace Sunday night."
02:04;02:10;"Oh hell yeah. The new Bayo dropped about a week ago."
02:10;02:12;"Everybody got to go check it out."
02:12;02:13;"Yeah, that sounded great."
02:13;02:14;"Yeah, great album."
02:14;02:20;"That was a complete surprise to me, this 2021 full-length album."
02:20;02:23;"Well, basically. Yeah, it was kind of a funny project."
02:23;02:27;"I was kind of kicking myself because I meant to talk about it on the last TC"
02:27;02:30;"and initially it was going to drop the Monday after."
02:30;02:34;"There's like a few reasons why I didn't feel right to drop it that day."
02:34;02:40;"Found out about the death of the incredible artist Sophie, rest in peace."
02:40;02:43;"So we pushed it to Thursday."
02:43;02:46;"But yeah, I meant to kind of like tee it up and then I was like,"
02:46;02:48;"""Oh God, I totally forgot about it."""
02:48;02:50;"Because we've been working on it for a minute."
02:50;02:53;"Although the funny thing about it is like, I kind of wish I talked about it on that episode"
02:53;02:57;"just to contextualize it because I think more or less everybody got it."
02:57;03:03;"But it's like, it's a fairly like specific kind of project because in a sense,"
03:03;03:06;"Vampire Weekend didn't do anything. You know what I mean?"
03:06;03:14;"Right, which is why I thought it was a really interesting move to have the project be titled Vampire Weekend."
03:14;03:18;"Like if you search Vampire Weekend on Apple Music, that's the first album."
03:18;03:20;"That's like the most recent release."
03:20;03:22;"Yeah, and I'll tell you why."
03:22;03:26;"It's because I wanted it to be like a remix album, but not a remix album"
03:26;03:31;"because Vampire Weekend hasn't done, had a remix in 10 years."
03:31;03:34;"So why start now was kind of our feeling."
03:34;03:41;"But something felt like very perfect about getting those artists to do these extended versions."
03:41;03:44;"But it didn't feel right to call them remixes because they're not remixes."
03:44;03:48;"It's kind of like, we basically commissioned covers."
03:48;03:52;"It basically is Vampire Weekend Presents."
03:52;03:54;"Vampire Weekend Presents Goose."
03:54;03:56;"Presents Sam Gandel and Goose."
03:56;04:03;"Shout out to rock writer Stephen Hyden, who first brought Goose to our attention on this very program."
04:03;04:09;"Like the truth is, with this project too, I don't know if we did a great job of this."
04:09;04:12;"To me, it was always way more about like the YouTube videos."
04:12;04:15;"Of course, we wanted it to be available on the streaming services."
04:15;04:19;"Like you want to jam that on Apple Music, sure."
04:19;04:27;"But I really love, well, Sam did this like incredible, like kind of improvisational animation to go with this."
04:27;04:30;"And then Goose just kind of did it in real time."
04:30;04:35;"So you could just watch a video of them in the living room in Connecticut where they rehearse."
04:35;04:39;"Just like playing the whole thing over 20 minutes and 21 seconds."
04:39;04:46;"Anybody who hasn't checked out the 4042 project, start with YouTube and then introduce yourself that way."
04:46;04:51;"If you want to jam it, you throw it on your Apple Music, get it in a playlist kind of thing."
04:51;04:55;"Yeah, because we listened to the Sam Gandel one first."
04:55;05:04;"And it was like we were driving out of Joshua Tree area down into this huge basin underneath San Jacinto Mountain."
05:04;05:08;"And it was like the most amazing kind of late winter light."
05:08;05:09;"Oh, wow. I bet."
05:09;05:11;"It was the beginning of that piece."
05:11;05:15;"It was kind of with like, I don't know, like woodwinds or oboes or something."
05:15;05:16;"He's a saxophonist."
05:16;05:23;"It kind of reminded me of like, maybe like a late period Paul Thomas Anderson soundtrack or something."
05:23;05:24;"Interesting."
05:24;05:26;"And it was super vibey."
05:26;05:31;"He really made a truly like incredible, almost just like standalone work of art."
06:02;06:06;"It's cool that you're driving because when I first heard his, I was like really blown away by it."
06:06;06:17;"And I was like, it almost reminds me of a Kraftwerk Autobahn, just like these kind of movements and just kind of like the getting in this kind of like trance with some of
the repetitive stuff."
06:17;06:20;"And then Goose took it to a very kind place."
06:20;06:26;"Well, then we merged under the Autobahn, Autobahn number 10, heading west."
06:26;06:29;"And yeah, Goose took over."
06:29;06:34;"And a 20 minute jam is tricky and it did really hold my attention."
06:34;06:38;"Sometimes like, you know, like minute 15, you're kind of zoning out."
06:38;06:39;"Oh yeah, totally."
06:39;06:41;"And I got to really commend them for that."
06:41;06:43;"Well, you know, and Sam did his thing."
06:43;06:49;"He really crafted this like kind of sweet, but then Goose doing kind of like a live jam with the band."
06:49;06:51;"Because, you know, this is like a conceptual idea."
06:51;06:55;"It's like, obviously the whole thing starts with like a bit of a joke."
06:55;06:59;"Just like, this song is called 2021, make a 20 minute, 21 second version."
06:59;07:11;"You could hand that to somebody and they might be like, all right, just so you know, around like minute 15, I did some copy and pasting just to get through it and be like,
hey, no harm, no foul, man."
07:11;07:15;"It's kind of a big ask, but they truly all brought their A game to it."
07:15;07:21;"And yeah, in the case of Goose, actually just being four or actually five dudes in a room."
07:21;07:24;"Yeah, I was very impressed that it held my attention too."
07:24;07:27;"2021, will you think about me?"
07:27;07:31;"I could wait a year, but I shouldn't wait three."
07:31;07:36;"I don't want to be."
07:36;07:40;"2021, will you think about us?"
07:40;07:44;"Copper goes green, steel beams go rust."
07:44;07:48;"It's a matter of."
07:48;07:58;"And I'm not saying that just because like we put it out, because the truth is part of why we haven't done remixes in 10 years and so many of them just like are just so deeply
pointless and boring."
07:58;08:01;"Yeah, I've never been a huge fan of the form."
08:01;08:03;"I think remixes peaked a while ago."
08:03;08:12;"Of course, you still get some very special ones, but there was a bit of a glut of remixes, I think, in the kind of blog house internet era."
08:12;08:32;"I think we've had great success as an organization with the 4042 project and I to any bands out there, if you're thinking about doing some remix album, find a
Connecticut based jam band, not Goose, because we are actually, you could ask Goose, but tell them to just jam it out for 20."
08:32;08:33;"Maybe ask Twiddle."
08:33;08:35;"That actually crossed my mind a little bit."
08:35;08:58;"Shout out to Twiddle. I was actually, me and Mahali were texting recently. I was like, could this be a long running thing where we present these long albums and one half
is like a kind of like somewhat avant garde musician and the other half is a jam band and just be like, basically, we're looking for people who specialize in the long
form."
08:58;09:01;"I don't care if you're coming from jazz, if you're coming from jam, you know."
09:01;09:06;"It's your dark star that goes into, you know, drums in space."
09:06;09:07;"Yeah."
09:07;09:08;"Seastones."
09:08;09:14;"Yeah. We could get Ned, I don't know how to pronounce his last name, Legion."
09:14;09:15;"Yeah."
09:15;09:23;"I was going to say your advice to other bands sounds, I don't know, it's really confident. It sounds like a guy that's maybe read the Dunkin Donuts CEO book."
09:23;09:32;"Oh, great transition. I appreciate that, Ned, keeping us moving. Any TCVW has, let me know if that's a good idea."
09:32;09:43;"Because, well, you know, maybe eventually it's like two 40 minute harmony halls, side A, Philip Glass, side B, Twiddle. People who specialize in the long form, man."
