Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis back again on this week's episode"
00:03;00:08;"We take a full cannonball deep into the waters of Tampa Bay"
00:08;00:13;"we talk Bob Marley his legacy his music as"
00:13;00:17;"well as the top five hits of 1981 and"
00:17;00:21;"the automotive scene of Escondido, California"
00:21;00:24;"Back in effect this"
00:26;00:30;"Crisis with Ezra Koenig"
00:30;00:40;"They passed me by All of those great romances"
00:40;00:48;"They were a felt wobbly leap of my rightful chances"
00:48;00:55;"My picture clear Everything seemed so easy"
00:55;01:02;"And so I dealt you the blow One of us had to go"
01:02;01:07;"Now it's different I want you to know"
01:07;01:13;"One of us is crying One of us is lying"
01:13;01:17;"We were only there"
01:17;01:21;"Time Crisis back again. Jake, how you doing?"
01:21;01:23;"Doing well. Doing well."
01:23;01:26;"So now you record from your studio."
01:26;01:33;"Yes. I was recording for a while in what used to be Hannah's office"
01:33;01:37;"and what is now our daughter's bedroom, nursery?"
01:37;01:40;"Office. It's now your daughter's office."
01:40;01:43;"Yeah, it's her office and recording studio."
01:43;01:47;"So yeah, I shifted gears over to my studio. Makes a lot of sense."
01:47;01:49;"This is my big night out."
01:49;01:50;"Daddy's night out."
01:50;01:51;"Yeah, Daddy's night out."
01:51;01:54;"So you're surrounded by your work, your paintings."
01:54;01:59;"Yeah, I'm surrounded by my art. I'm basking in my own glory over here."
01:59;02:05;"No, I worked today. I worked from about 10.30 to about 5.00."
02:05;02:08;"We're taping this on a Wednesday at 5.30."
02:08;02:10;"Worked on a painting of a Hooters all day today."
02:10;02:11;"Whoa."
02:11;02:15;"It's actually a painting of the first Hooters location in Florida."
02:15;02:18;"And it's not like your typical cookie cutter corporate architecture."
02:18;02:22;"It's sort of like a weird shack."
02:22;02:25;"Not a shack, but just like a weird kind of run-down old building"
02:25;02:29;"that looks like it was maybe somewhere in coastal Florida,"
02:29;02:32;"but the Hooters signs are right on there."
02:32;02:35;"They had the original logo that they never changed from the get."
02:35;02:38;"It's a really gray building on a gray day,"
02:38;02:43;"and there's like an orange mid-80s Datsun parked right in front of the building."
02:43;02:45;"And this is your first Hooters?"
02:45;02:47;"This is my first Hooters."
02:47;02:49;"Have you ever been to one?"
02:49;02:52;"No."
02:52;02:55;"I had to think about that for a sec. I don't think I have now."
02:55;02:57;"Have you? Like on the road?"
02:57;02:59;"Not on the road. I think once in high school."
02:59;03:00;"And actually--"
03:00;03:01;"That seems very high school."
03:01;03:02;"Yeah, it's very high school."
03:02;03:10;"But the funny thing about it is it wasn't even like just like a group of like knuckleheaded boys."
03:10;03:12;"Maybe we were seniors by this time."
03:12;03:14;"I think we might've like finished some big tests."
03:14;03:20;"If I recall, the valedictorian at my school was a very cool person named Lee San."
03:20;03:23;"For some reason, I feel like she spearheaded this initiative."
03:23;03:30;"Like after like AP bio test or whatever, she was just kind of like, ""We should all go to Hooters."""
03:30;03:32;"So I don't know. I wonder why that was her idea."
03:32;03:38;"We kind of rolled, and I kind of like have zero memory of like the waitstaff."
03:38;03:42;"I kind of remember like eating some wings and being kind of like, ""Okay."""
03:42;03:45;"It was right by like the Willowbrook Mall."
03:45;03:47;"It's kind of like, ""Yeah, I've driven past this a lot."""
03:47;03:53;"It really-- My memory of it is like, it's not that different than when we had the Time Crisis Christmas party at--"
03:53;03:57;"What was that wings place called? That Wang's place?"
03:57;03:59;"Oh, Big Wang's."
03:59;04:01;"Yeah, it kind of felt like going to Big Wang's."
04:01;04:07;"Yeah, I mean, I wonder if they sort of oversell the sort of like, ""Ooh, we have like these like busty waitresses."""
04:07;04:11;"They must, right? Maybe the original location in Florida, which I'm painting a picture of."
04:11;04:12;"Right."
04:12;04:14;"Was really like went hard with that."
04:14;04:19;"But if you picture like the outlet, you know, like the 300th Hooters that's opening in the--"
04:19;04:22;"adjacent to the Willowbrook Mall in New Jersey."
04:22;04:23;"It's like-- Right."
04:23;04:28;"It seems like you would also run into some sort of like weird legal hiring thing."
04:28;04:34;"Yeah, it's like, have there ever been some dudes trying to like work at Hooters and they were turned down?"
04:34;04:37;"Do you remember Hooters Airlines?"
04:37;04:38;"Oh, that sounds vaguely familiar."
04:38;04:39;"No."
04:39;04:40;"They tried to launch an airline."
04:40;04:46;"Hooters is kind of like the Las Vegas of restaurant chains where it has this like veneer of transgression,"
04:46;04:51;"which in American culture doesn't take much, which is kind of like Hooters."
04:51;04:53;"It's like, ""We're going to what happens in Vegas, stays in Vegas."""
04:53;04:59;"And then, you know, I'm sure crazy shit happens in Vegas like it happens in all American cities."
