Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis, back again."
00:03;00:06;"There's a lot of things we thought we might talk about today,"
00:06;00:08;"but we didn't get to them,"
00:08;00:10;"because we went deep."
00:10;00:12;"On Oasis,"
00:12;00:14;"The Black Crows,"
00:14;00:16;"Falco,"
00:16;00:18;"and the end of history,"
00:18;00:22;"this is a very special Time Crisis."
00:22;00:25;"And a little Grateful Dead and Talking Heads too."
00:25;00:30;"Time Crisis with Ezra Koenig."
00:35;00:38;"They passed me by,"
00:38;00:41;"all of those great romances."
00:41;00:45;"They were a palpably,"
00:45;00:48;"all my rightful chances."
00:48;00:51;"My picture clear,"
00:51;00:56;"everything seemed so easy."
00:56;00:59;"And so I dealt to the blow,"
00:59;01:02;"when a bus had to go."
01:02;01:07;"Now it's different, I want you to know."
01:07;01:10;"One of us is crying,"
01:10;01:13;"one of us is lying."
01:13;01:17;"Even only they."
01:17;01:19;"Time Crisis, back again."
01:19;01:22;"Nick just commented I look pretty Euro,"
01:22;01:24;"on the FaceTime."
01:24;01:26;"Tracksuit and Estella, it's just a different..."
01:26;01:29;"Ironically, I was trying to be all American,"
01:29;01:32;"because I wanted to wear a light jacket,"
01:32;01:35;"so I grabbed one of the sportier things I have."
01:35;01:39;"You know, like a classical American person."
01:39;01:42;"And it just so happens I have this,"
01:42;01:45;"Venetia FC track jacket,"
01:45;01:47;"that was gifted to me,"
01:47;01:50;"by somebody involved in the club."
01:50;01:52;"And then I wanted to drink a beer,"
01:52;01:53;"like an all American,"
01:53;01:55;"just happened that the only beer we had in the fridge,"
01:55;01:57;"were some Estella Artois."
01:57;01:59;"I think you look like, what I imagine,"
01:59;02:02;"Noel Gallagher's best friend/handler,"
02:02;02:05;"to appear like."
02:05;02:07;"Full tracksuit at all times."
02:07;02:09;"Is Noel sober now?"
02:09;02:11;"Are the Gallagher brothers sober?"
02:11;02:13;"I don't think so."
02:13;02:15;"I always get confused, Noel is the older brother."
02:15;02:16;"He's the songwriter."
02:16;02:18;"Oh yeah, I love him."
02:18;02:20;"Liam is sober."
02:20;02:22;"Yeah, I thought, okay."
02:22;02:25;"If one of them is sober, I would imagine the other isn't."
02:25;02:27;"Have we ever gone deep on Oasis?"
02:27;02:29;"No, we never have."
02:29;02:32;"That's really not the plan for this episode, but."
