Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Time Crisis back again. And guess who else is back again? It's Jake. In breaking"
00:06;00:14;"news, he brought some serious energy. On this episode we talk everything from"
00:14;00:23;"Olivia Rodrigo to the Grateful Dead, gentle gestures, and so much more. This is"
00:23;00:30;"Time Crisis with Ezra Koenig."
01:14;01:21;"Time Crisis back again. Opening a cold one. A cold little one."
01:21;01:26;"It's a cocktail? What is that? Coca-Cola? It's a red can. I just looked in the fridge as we were"
01:26;01:31;"starting and you know it's hot, very hot in other parts of the country but it's"
01:31;01:35;"hot here. I was like I hope I got ice-cold beer in the fridge but as previously"
01:35;01:40;"discussed I don't remember to do beer runs so when the beer is out it's out."
01:40;01:47;"But luckily we did have some Sofia Coppola California carbonated white wine"
01:47;01:51;"in the fridge so that's what I'm drinking. Wow wait a second she has her"
01:51;01:58;"own line? Yeah it's called Sofia and she and Rashida are friends and Rashida starred in"
01:58;02:04;"her film On the Rocks and yeah Sofia's sends us some beverages sometimes."
02:04;02:09;"I recommend it. Well okay. She's following in her father's footsteps of"
02:09;02:13;"getting into the wine game. I'm looking at it. So it's produced and packed by the"
02:13;02:18;"Francis Ford Coppola winery based out of Geyserville California. You ever been to"
02:18;02:24;"Geyserville Jake? I have yeah. Really? Yeah. That surprises you? Well I mean no it"
02:24;02:27;"doesn't surprise me. I feel like Jake has been to most many deep towns in"
02:27;02:31;"California but like why would you go to Geyserville to go to like a"
02:31;02:36;"Francis Ford Coppola winery? Yeah just you know me and the boys were you know"
02:36;02:40;"on a wine tasting trip up in Napa one weekend. Well I do know that Jake is a"
02:40;02:44;"big fan of the film Sideways. That's a top 10 film. Was there a period where you"
02:44;02:49;"ditched brews and you got really into wine for a few years? That's down the"
02:49;02:55;"road still. Okay. I've been in that Napa Sonoma area quite a few times in my life."
02:55;03:02;"I can't even tell you why. Usually in route to somewhere else but I haven't"
03:02;03:06;"like gone deep on Geyserville but. But you got out of the car. I've gone deep on"
03:06;03:11;"Guerneville but not Geyserville. Yeah yeah I've gotten out of the car. So how's"
03:11;03:16;"that working out? This wine? Yeah. It's good. It's a decent substitute for beer."
03:16;03:22;"It's in a tasteful little can. Nice lightly carbonated. Good flavor. Yeah not"
03:22;03:27;"as dry as some champagnes. I don't like when champagne's too dry. Oof. That's just a"
03:27;03:32;"straight headache for me. Yeah yeah. You got to make beer a grocery item. Right. You're"
03:32;03:37;"getting your Cheerios, your granola, your Swiss chard. Laundry detergent. Yeah. And"
03:37;03:42;"the beer. Pick up at 12. You don't have to drink it every day. Just have it ready"
03:42;03:48;"to go so in a pinch you're prepped. Yep I gotta remember that. I'll text you"
03:48;03:53;"tomorrow. Don't forget. Hey dude reminder. That kind of sounds like a 90s beer"
03:53;04:01;"commercial. Bros remind bros to do beer runs. Or you could also picture like a"
04:01;04:05;"whole campaign. This really actually sounds like some like Mad Men Madison"
04:05;04:11;"Avenue type sh*t. Where it's like alright people love beer and this probably"
04:11;04:16;"actually happened. People love beer but we find for like the very casual beer"
04:16;04:20;"drinker, the internet radio show host kind of guy, he's just grabbing like one"
04:20;04:25;"beer a week and when he's out he'll go months before he refills. How do we get"
04:25;04:30;"that guy to keep the house a little more stocked, squeeze out another you know 50"
04:30;04:34;"bucks out of him a year? We got to make beer a grocery item for this guy and"
04:34;04:39;"that's what the next three years are about for the Budweiser company. We're"
04:39;04:45;"making sure that the casual beer drinker understands that beer is a grocery item"
04:45;04:49;"and yeah and then like the it's like I don't know what it is it's like bros"
04:49;04:53;"reminding bros just like beer's a grocery item man. It's like two in the"
04:53;05:00;"list. It's gotta be the phrase grocery item. Dude it's a grocery item. Yeah"
05:00;05:04;"cuz maybe they're like what are the... That's very like very Coen Brothers."
05:04;05:12;"Like a character who says grocery item a lot. It's a grocery item man and like"
05:12;05:17;"yeah you have like your weird like Walter Sobchak or Yumi and Dupree type"
05:17;05:21;"like just weird beer dude. Beer's a grocery item. Actually you would probably get"
05:21;05:26;"John Goodman as Walter Sobchak to be like it's like the the husband and wife"
05:26;05:31;"sitting at the table and she's just like all right doing the grocery list I got"
05:31;05:36;"eggs I think we're actually out of oatmeal I want to try new detergent"
05:36;05:40;"anything else and the guy's like doesn't know if he can add beer he's thinking"
05:40;05:44;"instead I don't know can I really add beer to our family grocery list and then"
05:44;05:48;"like pans out to Walter Sobchak. Beer is a grocery item dude. Add it."
05:48;05:53;"Samantha add it. I don't know if I consider beer to be a grocery item. Beer"
05:53;05:57;"is a grocery item. Mark it in. Add it. Put it down. You think I'm effing around here? I"
05:57;06:02;"really think there probably is a type of person maybe like upper-middle-class"
06:02;06:07;"professional who probably they don't want beer to be a grocery item they're"
06:07;06:11;"like you know what I'll go to get beer at the liquor store I'll see a bottle of"
06:11;06:16;"wine the kind of bougie person I'll see a bottle of wine that can sit right next"
06:16;06:23;"to my you know the diapers for the baby the brie. I like in this fantasy the"
06:23;06:28;"diapers are in the fridge. No no I mean this is their anxiety when they're"
06:28;06:33;"checking out at the supermarket. Right right my baby likes cold diapers. I think"
06:33;06:38;"what you're getting at is this is like the big Madison Avenue move because it's"
06:38;06:42;"not just you're not saying that there's just a guy who they need to sort of"
06:42;06:46;"convert to say hey it's a grocery item but you're basically talking about"
06:46;06:51;"normalizing beer as a grocery item like it's sort of like that's the kind of"
06:51;06:54;"thing that I think really gets Madison Avenue excited is like we're talking"
06:54;06:59;"about it's a cultural shift. It's a paradigm shift. Cultural shift. Beer is a grocery item."
06:59;07:04;"Normalized beer is a grocery item. I also think the same way that like probably"
07:04;07:09;"certain products benefit just because they became so classic as like"
07:09;07:14;"grocery items like I mean I really like eggs but you know it's not like every"
07:14;07:19;"culture consumes as many eggs as like the average American that's because we"
07:19;07:23;"got in people's heads when you're going to the grocery store you're getting eggs"
07:23;07:26;"and there's probably some people who wake up one day after 40 years of buying"
07:26;07:29;"eggs they're like I don't like eggs I could have been eating different for"
07:29;07:33;"breakfast I don't with eggs I don't bake I don't like eating them why was I"
07:33;07:36;"buying eggs all this time it's because that's a top five grocery item survey"
07:36;07:41;"says eggs ding you know what I mean they're buying eggs and there's other"
07:41;07:45;"like that you just get in people's heads where they're just like I better get"
07:45;07:50;"eggs and milk oh milk is a class red I mean first of all straight up Madison"
07:50;07:54;"milk is wild Madison Avenue teamed up with the dairy industry to basically say"
07:54;07:58;"milk is a grocery item like what are you crazy you're gonna go to the grocery"
07:58;08:02;"store and you didn't bring back milk you need milk for every year yeah I wonder"
08:02;08:07;"what year like was the height of American per capita milk consumption"
08:07;08:12;"it's got to be down from its height but right we'll still rocking it and you go"
08:12;08:17;"to the grocery store there's still ample valuable real estate given over to me"
08:17;08:23;"literally got milk is normalizing milk as a grocery item right it's saying when"
08:23;08:28;"I walk into your house do you better be milk there better be milk in the no and"
08:28;08:31;"I bet there are probably all sorts of people who like bought into that where"
08:31;08:36;"they were just like I'm lactose intolerant I don't drink me I don't"
08:36;08:41;"drink milk but I've been buying like you know a liter of milk regularly you know"
08:41;08:46;"just in case somebody comes through who needs some milk"
08:46;08:51;"my lover's gone away the bottle stands for a symbol of the door"
08:51;08:58;"no milk today it seems a common sight but people passing by don't know the"
08:58;09:04;"reason why how could they know just what this message means the end of my hopes"
09:04;09:11;"the end of all my dreams how could they know a palace there had been behind the"
09:11;09:15;"door when my love reigned as queen I would guess that milk consumption"
09:15;09:22;"probably peaked in the 80s and maybe the got milk campaign of the 90s was them"
09:22;09:25;"being like whoa we're slipping a little bit what's going on let's remind these"
09:25;09:30;"mother they need milk in their house and then the last 20 years have really been"
09:30;09:34;"a bloodbath because they got oat milk almond milk coming out of the woodwork"
09:34;09:37;"and they're really on the ropes I mean milk consumption is probably"
09:37;09:44;"cratering rice cashew do your kids drink milk yeah you want to have growing boys"
09:44;09:48;"at the house do your boys drink milk straight up he's definitely not slamming"
09:48;09:52;"a glass of milk oh he's not okay I don't know like I used to drink milk when I"
09:52;10:00;"was a kid yeah I was at someone's house and was helping them with their espresso"
10:00;10:04;"machine I was gonna make them a coffee like a latte and I was like do you have"
10:04;10:11;"milk and they said dairy and I was like yeah I'm afraid like a cabinet go you"
10:11;10:16;"drink dairy in 2021 cow's milk it's truly a thing it would have been like"
10:16;10:21;"whatever you eat gluten in 2018 yeah I didn't know that I mean I guess no I"
10:21;10:25;"mean our metal stuff well look in your you know this is probably in a very"
10:25;10:30;"specific slice of the bourgeois LA world which we're all very familiar with on"
10:30;10:38;"but I'm concerned that beer could go the way of milk because beer a lot of people"
10:38;10:44;"associate with gluten these trends do kind of like become just these weird"
10:44;10:49;"cultural biases right now I could imagine going to like some kind of"
10:49;10:52;"coastal big city and rolling to somebody's house being like you got a"
10:52;10:56;"beer and they'd be like beer you know there was a time where I'm sake and in"
10:56;11:03;"tequila yeah I can make you a skinny margarita but we don't have beer but"
11:03;11:07;"that could spread and if I was a beer executive I'd be nervous about that and"
11:07;11:12;"then of course you have the rise of like white claws and actually true Seinfeld's"
11:12;11:17;"not on yet I don't know if we officially have a triage thing but I think Nick you"
11:17;11:22;"become the number cruncher when Seinfeld's not on yes I accept that so"
11:22;11:27;"Nick give me a sense of like where beer sales are at over the past like 30 years"
11:27;11:33;"are they down lately this is a tough number crunch I'm on it by the way just"
11:33;11:39;"speaking as I look this up milk it does look that just milk sales has been on a"
11:39;11:43;"steady decline since the 70s since the seven though they're just there yeah so"
11:43;11:48;"basically you know they're just fighting a trend so they're just trying to be"
11:48;11:53;"stable but it's been sort of yeah just on a steady decline I'm curious so about"
11:53;11:58;"your growing boys though do they eat cereal they put like rice milk on their"
11:58;12:03;"cereal what do they do in our house we always have oat milk or almond milk and"
12:03;12:07;"I think we have cows milk sometimes well the other thing I was thinking about is"
12:07;12:11;"like you like you know when you have like a baby the baby's drinking either"
12:11;12:16;"breast milk or formula right then at some point I feel like some parents like"
12:16;12:20;"transition like then the baby starts drinking like cows milk like starts"
12:20;12:25;"eating food right like real food and maybe formula or whatever but also like"
12:25;12:28;"I feel like I've run into this recently I've been you know obviously paying"
12:28;12:32;"closer attention to this this stuff I've been surprised we're like I've known a"
12:32;12:37;"few parents are just like well regularly give their kids like dairy milk mmm like"
12:37;12:42;"you know like a two-year-old or something I mean I'm happy when Max will"
12:42;12:46;"drink a glass of milk with you know it tends to only happen if he's like at"
12:46;12:50;"someone else's house and their kids will want a glass of milk with something but"
12:50;12:54;"yeah you're happy when he drinks a glass of cow's milk yeah I just feel like he"
12:54;12:59;"needs to get hit like calcium he just Nick but it's not a good sure these are"
12:59;13:02;"lies these are lies that were told relies by the dairy industry you grew up in the"
13:02;13:09;"shadow of the in the long big milk in the long decline of the milk industry"
13:09;13:13;"and they filled your head with lies there's no calcium in milk man this is"
