Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Are you a northern redneck? Perhaps. Do you like country stuff? We'll find out."
00:08;00:14;"On this episode of Time Crisis we talk about the 4th of July, Aaron Lewis,"
00:14;00:33;"Stained, BTS, and new music from Walker Hayes. This is Time Crisis with Ezra Koenig."
01:11;01:20;"Time Crisis, back again. What's up Jake? Not much, it's bright and early. We're"
01:20;01:24;"doing this one early. I'm an undisclosed different time zone."
01:24;01:29;"But, well, okay. I guess if I said what I was gonna say would disclose where you"
01:29;01:34;"are. I'll just say this, it's early for us, it's not early for you. It's TC time"
01:34;01:42;"for you. I'm in Mountain Time. You're one hour ahead. I'm one hour ahead. I'm in the"
01:42;01:48;"MT. Which is the coolest time zone as discussed. The greatest time zone. Jake,"
01:48;01:53;"how was your 4th of July? Pretty good, pretty uneventful to be honest. Let's see,"
01:53;01:57;"what did I even do? Yeah, we're way past 4th of July. We're actually closer now to"
01:57;02:02;"Bastille Day. I don't know if you guys celebrate that. What is that again? Wait,"
02:02;02:06;"Seinfeld, do you celebrate Bastille Day given that you come from a Francophone"
02:06;02:12;"land? I do not celebrate Bastille Day. I was just looking it up actually. I also"
02:12;02:17;"don't know a lot about it to be honest with you. Nick, not a Bastille Day guy?"
02:17;02:26;"Not in my house. Are you a Bastille Day guy? It begs the question. You know, it's"
02:26;02:32;"We're off to a rip-roaring start here guys. We are hot out of the gates today. It's kind of"
02:32;02:35;"weird when we're not in the same times and I'm bringing that mountain energy."
02:35;02:41;"Right. You guys are on that Pacific. Well, you know sometimes there's like a"
02:41;02:45;"fact that you really don't know that much about but you just like remember it."
02:45;02:49;"It's a little bit in the same zone as knowing that the first podcast was a"
02:49;02:54;"Grateful Dead song. You know, you come out hot with that and people are like, wow,"
02:54;02:58;"this guy knows some facts and then they sinks in. They say, well, what does that"
02:58;03:03;"mean? You say, I don't really know but it's true. I know that July 14th is"
03:03;03:08;"Bastille Day. Sometime in my childhood or school or something, I just"
03:08;03:13;"remember that because it has something to do with the French Revolution. The"
03:13;03:18;"Bastille was stormed. Whatever the Bastille was, they stormed it and I just"
03:18;03:23;"think I remembered, okay, so that's like a big Independence Day-esque celebration"
03:23;03:29;"in France and it's 10 days after the 4th of July. So, I always remember that July"
03:29;03:34;"14th is Bastille Day and I think, Seinfeld, do they have fireworks on"
03:34;03:39;"Bastille Day? Well, I'm on the Wikipedia page and there the main image is the"
03:39;03:44;"Eiffel Tower with fireworks all around it. So, there you have it folks. These are"
03:44;03:50;"two of the major July fireworks based holidays in the Western world. If you're"
03:50;03:56;"a fireworks head, you could like party on July 4th in the States somewhere and"
03:56;04:01;"then go to France. Ooh. Catch that show at the Eiffel on the 14th. I'm sure there"
04:01;04:07;"actually are like wealthy fireworks heads. People who are into like city"
04:07;04:13;"sanctioned firework shows. Well, and also they have to be Independence themed. Like"
04:13;04:16;"somebody's just talking like, ""Oh, do you ever go down at Disney World? They really"
04:16;04:19;"have a hell of a firework show every night."" And it's like, no, it's got no heart."
04:19;04:25;"It has to actually reference some type of political violence. That's the reason"
04:25;04:30;"why we set off the fireworks. Full disclosure, I'm a fireworks head that I'm"
04:30;04:36;"actually in France. I came out here for Bastille Day. I caught as"
04:36;04:41;"many shows as I could in the Los Angeles area for the 4th. Then I drove"
04:41;04:45;"cross-country and got on the fast boat to France."
04:45;04:49;"♪ Money just changed everything. I wonder how life without it would go. ♪"
04:49;04:51;"♪ From the concrete, who knew that a flower would grow? ♪"
04:51;04:54;"♪ Looking down from the top and it's crowded below. ♪"
04:54;04:57;"♪ My 15 minutes started an hour ago. Truth over fame. ♪"
04:57;05:01;"♪ You know I respect the blatant sh*t. When I hear him talking, I just don't know ♪"
05:01;05:04;"♪ what to make of it. Haters so familiar to me, I'm slowly embracing it. ♪"
05:04;05:08;"♪ Doesn't come natural, bear with me, it could take a bit. Yeah. ♪"
05:08;05:11;"♪ And my dreams are who I'm racing with, but you can see I'm pacing it so that ♪"
05:11;05:15;"♪ I'm always chasing it. Wayne put me right here, that's who I get the paper with. ♪"
05:15;05:18;"♪ I hope that my success never alters our relationship. Yeah. ♪"
05:18;05:23;"♪ This life is something I would die for. October's on, but it's looking like July 4th. ♪"
05:23;05:28;"♪ I just wish they let you try it first. This time I'm really going off. Fireworks. ♪"
05:28;05:36;"♪ Oh, today it begins. I've missed them before, but won't miss them again. ♪"
05:36;05:47;"♪ I keep having those same dreams, and I think that I just realized what it means. ♪"
05:47;05:57;"♪ All I see is fireworks. All I see is fireworks. Every night is fireworks. ♪"
05:57;06:09;"♪ All I see is fireworks. All I see is fireworks. Taking off like fireworks. Taking off like oh. ♪"
06:09;06:11;"Okay, but Jake, back to this 4th of July."
06:11;06:12;"Yeah."
06:12;06:16;"Oh wait, you know what? I think the last episode was basically on- did it air on the 4th of July?"
06:16;06:18;"Oh yeah, it was a Sunday."
06:18;06:22;"We really sh*t the bed on that one. Zero reference."
06:22;06:22;"Oh yeah."
06:22;06:25;"The last episode had zero reference to the 4th of July."
06:25;06:28;"Okay, so did you get up to anything? Grilling?"
06:28;06:34;"Yeah, now I'm remembering. We took Lizzie to our friend Morgan's house."
06:34;06:34;"Uh-huh. I heard about this."
06:34;06:38;"He was barbecuing, and there was like a ton of kids there."
06:38;06:45;"Like all of a sudden, as soon as we've had a daughter, like you just gravitate towards the people that also have kids."
06:45;06:51;"And then she usually gets really cranky and wants to go to sleep at 6.30."
06:51;06:56;"So it's like you go there at 4, and at 6 o'clock she had a major meltdown."
06:56;06:57;"So we bailed."
06:57;06:59;"Oh, you didn't make it to the fireworks."
06:59;07:04;"Oh no. But you know what? I don't care about fireworks. I don't like them. They're boring."
07:04;07:05;"You're straight up anti-fireworks?"
