Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis back again. On this week's episode we're joined by multiple members"
00:08;00:13;"of the Longstreth Fidel household. We talk Olivia Rodrigo, Saab Rock,"
00:13;00:23;"Batdance, Batman, 1989, 2021 and much much more. This is a very deluxe episode of"
00:23;00:30;"Time Crisis with Ezra Koenig."
01:15;01:20;"Time Crisis back again. What's up Jake? I'm eating a Clif Bar here."
01:20;01:27;"Got to load up on nutrients after the gym. Is that your breakfast? Kind of. I just was at the gym"
01:27;01:33;"this morning because you're still on mountain time I'm assuming. I'm on deep mountain time."
01:33;01:37;"Yeah, you're in deep mountain time. So we're in different time zones. Mountains of Central Asia."
01:37;01:45;"We're in very different time zones. But this is the first food you've had today? No, no, no,"
01:45;01:50;"I had yogurt and granola like early in the morning. Then I went to the gym. Are you still"
01:50;01:56;"on kind granola? I am on kind granola, plain Greek yogurt. Then went to the gym and now I'm wearing a"
01:56;02:02;"really sweaty Bruise It Boudiccan t-shirt. Sick. Pounding water and eating a Clif Bar. What type"
02:02;02:10;"of Clif Bar? Chocolate chip. Oh, really? What's your go-to Clif? Well, I like the brand and I'm"
02:10;02:16;"glad that somebody's still eating them because I feel like they kind of were made to seem a little"
02:16;02:21;"passé. They were a little ahead of their time and then suddenly there's so many types of bars"
02:21;02:26;"and Clif seems like a little 90s. Same way like power bars really fell off. I don't think Clif"
02:26;02:31;"fell off, dude. I'm sure you're right. I'm sure Clif still has like huge market share. I just"
02:31;02:38;"think it's, it lost some of its swag. According to a very recent article. Yeah. 2021 Clif Bar"
02:38;02:44;"plans to double its sales and positive environmental impact. All right. It's probably like a Trump"
02:44;02:47;"thing. Like coastal elites don't like it, but you know, it's outperforming."
02:47;02:52;"Clif Bar CEO, Sally Grimes has unveiled a plan to double the company's sales to $2 billion."
02:52;02:57;"It's a lot of Clif Bars. I would have guessed that was more. Okay. I don't know what I'm"
02:57;03:01;"talking about with Clif Bars. I always liked apricot Clif Bars. They were a little tangy."
03:01;03:06;"I thought they were unique, but I never liked the chocolate chip ones. I'm just also picturing"
03:06;03:11;"eating a chocolate chip Clif Bar in the morning and feeling weird. But I guess if you're post"
03:11;03:15;"workout, you're in a different zone. Yeah. I'm not psyched on it, but it's just sort of a"
03:15;03:21;"desperation move. That's what's around. Okay. Fair enough. We should also point out that"
03:21;03:27;"another member of the Longstreet Fidel household is in the building. Hannah, what's up?"
03:27;03:31;"Hey guys. How's it going? Not bad. Thanks for joining us."
03:31;03:37;"I can't even begin to tell you how happy I am to be joining you today."
03:37;03:41;"Yeah. When's the last time you were on a time crisis?"
03:41;03:44;"Well, I was supposed to be on a few weeks ago and then I bailed."
03:44;03:51;"Right. My apologies. I have a day job and it got in the way."
03:51;03:52;"Fair enough."
03:52;04:00;"But I think it was when a teacher came out. Oh, right. Yeah, of course. Congrats on all the"
04:00;04:05;"huge success. Got that little TC bump. Next thing you know, it's the biggest show on Hulu."
04:06;04:08;"We're glad that we played a small part in that."
04:08;04:11;"Big part. Let's be honest."
04:11;04:19;"Well, we're very glad to have you back racking up those TC appearances. I'm sure you're definitely"
04:19;04:24;"approaching being a top five TC guest at this point. We might as well jump right into it because"
04:24;04:30;"I know you don't have all day. Initially, Jake said you wanted to come on because you wanted"
04:30;04:38;"to discuss Olivia Rodrigo. And as Jake explained it, this is a huge album for you and your cohort"
04:38;04:44;"of new 30 something mothers. I guess the first thing I wanted to know is like,"
04:44;04:50;"how did that come about that? Obviously, Olivia Rodrigo is like this massive new pop star."
04:50;04:54;"She's just big period. But how did she come to like sweep the moms group?"
04:54;05:04;"I wish that I had an answer for you. But I feel like with the way that pop music sort of sinks"
05:04;05:12;"into the cultural conversation, it's not like a definitive this is the moment. Well, I guess there"
05:12;05:18;"are some bands where that has happened. But for Olivia, it was more like people I was hearing"
05:18;05:25;"people talk about her. And then I think all of a sudden, once the album came out, I heard"
05:25;05:31;"Driver's License, but it didn't really click for me. And then once I heard that first song,"
05:31;05:39;"Brutal, I was like, Oh, this is an incredible album. Dare I say I'm obsessed with it."
05:39;05:41;"It's brutal out there."
05:41;05:43;"I did listen."
05:43;05:47;"Hannah did tell me about 15 times that she was obsessed."
05:47;05:51;"Obsessed with Brutal. That must have been very hard for Jake to hear that you were obsessed"
05:51;05:55;"with Brutal because on the one hand, he loves the word brutal. On the other hand,"
05:55;05:57;"he doesn't like the word obsessed."
05:57;05:57;"No, I know."
05:57;06:00;"Feels it's overused in today's culture."
06:00;06:06;"I was listening. I was on my way to work and I was listening to I guess it was that episode"
06:06;06:12;"of TC where Jake was saying that I use the word obsessed too much. So I..."
06:12;06:15;"I didn't know you listened to the show."
06:16;06:19;"Yeah. Sometimes I like to just jump in, you know."
06:19;06:20;"You tap in every once in a while?"
06:20;06:21;"Oh, absolutely."
06:21;06:21;"That's tight."
06:21;06:26;"Yeah. But I, in this case, I really do think I am..."
06:26;06:28;"Actually obsessed."
06:28;06:30;"Actually obsessed, yes."
06:31;06:34;"I'm so insecure I think that I'll die before I drink."
06:34;06:38;"And I'm so caught up in the news of who likes me and who hates you."
06:38;06:42;"And I'm so tired that I might quit my job, start a new life."
06:42;06:46;"And they'd all be so disappointed because who am I if not exploited?"
06:46;06:48;"And I'm so sick of 17."
06:48;06:50;"I'm over this teenage dream."
06:50;06:53;"If someone tells me one more time, ""Enjoy your youth."""
06:53;06:56;"I'm going to cry and I don't stick up for myself."
06:56;06:58;"I'm anxious and nothing can help."
06:58;06:59;"And I wish I'd done this before."
06:59;07:02;"And I wish people liked me more."
07:02;07:04;"All I did was try my best."
07:04;07:05;"That's the kind of things I did."
07:05;07:07;"I'm relentlessly upset."
07:07;07:11;"They say these are the golden years."
07:11;07:13;"But I wish I could disappear."
07:13;07:15;"Ego crush is so severe."
07:15;07:17;"God, it's brutal out here."
07:17;07:19;"I guess the first question I just want to clear up."
07:19;07:20;"Yeah."
07:20;07:25;"Is there causation or merely correlation with the fact that"
07:25;07:30;"you and the New Moms group got obsessed as a group?"
07:30;07:30;"Yeah."
07:30;07:33;"Is it because you were New Moms that you were in this zone?"
07:33;07:35;"You brought life into the world."
07:35;07:40;"And then you see this young woman bringing a classic album into the world."
07:40;07:42;"And you're just like, ""Oh my God."""
07:42;07:45;"Or is it just merely you happen to be talking to a bunch of New Moms"
07:45;07:47;"because you got something to talk about."
07:47;07:50;"And the same way you would talk about any major news of the day"
07:50;07:51;"with whoever you're talking to."
07:51;07:53;"This happens to be the big album of the moment."
07:53;07:54;"Which is it?"
07:54;07:57;"It's actually a two-part answer."
07:57;07:58;"Great."
07:58;08:02;"I feel like for this group of 30-something women"
08:02;08:07;"who have now very clearly entered midlife,"
08:07;08:12;"maybe it is about us all having some sort of midlife crisis"
08:12;08:14;"post having a kid"
08:14;08:20;"because her music is so representative of a very specific time in one's life."
08:20;08:23;"When heartbreak and first love"
08:23;08:28;"and trying to understand the way that the world works,"
08:28;08:32;"there's something symbolic in that for sure."
08:32;08:37;"That it brings us back to the before as opposed to the now."
08:37;08:39;"It's interesting that you frame it that way"
08:39;08:41;"because maybe there's also some kind of resonance"
08:41;08:45;"with first child experiencing a new type of love,"
08:45;08:50;"thinking back to those early days of romantic love."
08:50;08:50;"Yeah."
08:50;08:52;"It's got to be some connection."
08:52;08:53;"Yeah, for sure."
08:53;08:59;"But at the same time, I can't remember an album genuinely"
08:59;09:03;"that people were continuously saying,"
09:03;09:07;"""Oh my God, have you heard it? It's so good."""
09:07;09:09;"Right. Especially when you enter your 30s,"
09:09;09:13;"unless, I mean, I guess working in music,"
09:13;09:17;"you're more likely to get people saying like that"
09:17;09:18;"just for the hell of it because it's their job."
09:18;09:21;"It's to be like, ""Oh my God, you got to hear this sh*t."
09:21;09:22;"I worked on it."""
09:22;09:26;"So you work in the arts, obviously,"
09:26;09:27;"it's not a million miles away."
09:27;09:30;"But yeah, I think generally in your 30s"
09:30;09:33;"or even by your mid to late 20s,"
09:33;09:36;"how often are multiple people being like,"
09:36;09:37;"""Have you heard this album?"""
09:37;09:40;"It's maybe once every five years."
09:40;09:42;"And also just to get the lay of the land"
09:42;09:46;"with your group of friends and your milieu."
09:47;09:50;"I mean, I know Jake's probably hitting you sometimes"
09:50;09:51;"with albums and stuff,"
09:51;09:54;"but in terms of your friends and..."
09:54;09:56;"Sort of."
09:56;10:02;"But actually, Jake, when's the last time you hit Hannah with like,"
10:02;10:04;"""Have you heard this new album? You got to check it out."""
10:04;10:06;"I have a memory of driving out to the desert"
10:06;10:09;"and playing her the Young Gov double album"
10:09;10:10;"that came out last year."
10:10;10:12;"Oh yeah, you were riding hard for that."
10:12;10:13;"I love Young Gov."
10:13;10:15;"I might've played you the second grade album too."
10:15;10:17;"I think I played you the second grade album,"
10:17;10:20;"which is my favorite album of the last year."
10:20;10:21;"Yeah, you've been riding for second grade."
10:21;10:24;"Jake, after we recorded the last episode,"
10:24;10:26;"you were pretty hyped on the new BTS song."
10:26;10:28;"Did that make it back home?"
10:28;10:29;"That did not make it back home."
10:29;10:31;"I hope it's on the top five this week."
10:31;10:34;"I hope it's on the top five this week."
10:34;10:35;"I want to hear it again."
10:36;10:38;"[laughs]"
