Start Timestamp;End Timestamp;Transcript
00:00;00:10;"Time Crisis, back again. On this episode we talk about the Eagles in China, the"
00:10;00:24;"Burger King, Chicken, Seal, Beach Boys, TLC and so much more. This is Time Crisis with"
00:24;00:31;"Ezra Koenig."
01:11;01:17;"Time Crisis, back again. The boys are back in town. Now I guess for the listeners it's only been two"
01:17;01:21;"weeks but for us we used to banked up last week so this is it's been a while."
01:21;01:28;"Long time no. When I got on it sounds like Jake you were trying to remember if"
01:28;01:33;"you knew anything about that episode. Oh yeah I have zero recollection of the"
01:33;01:37;"bank episode. I remember we talked about Neil Young. Yeah there's some Neil Young"
01:37;01:42;"talk. Jake do you remember what your soul movie is? I don't even remember, no."
01:42;01:47;"What a soul movie is? What is that? That's weird how little I remember. A soul movie"
01:47;01:53;"if I recall correctly is the movie that was number one at the box office on your"
01:53;01:58;"10th birthday. Hmm. Seinfeld is that correct? I mean per Time Crisis that's"
01:58;02:02;"the definition of a soul movie. Yeah that's that's how we did it. Do you even"
02:02;02:07;"remember having this conversation Jake? Very vaguely. Somebody's soul movie was"
02:07;02:12;"Platoon. I remember that. Probably mine then. That kind of makes sense."
02:12;02:16;"Oh yeah because that's probably like 87 that sounds right. Yeah. It's fine that"
02:16;02:19;"you don't remember the episode but just one thing that we uncovered is that"
02:19;02:24;"there is a mandate similar to the vaccine mandate that you have to watch"
02:24;02:28;"your soul movie by the end of this calendar year and that comes straight"
02:28;02:32;"from Joe Biden. Again doesn't matter if you forgot the episode but Joe Biden said"
02:32;02:37;"every American citizen vaccinated or unvaccinated he honestly doesn't give a"
02:37;02:41;"sh*t. Either way you have to watch your soul movie by the end of the year so"
02:41;02:44;"anyway just make sure you throw in Platoon sometime in the next four and a"
02:44;02:48;"half months. I'm happy to do that. You got a good one. That's your soul movie"
02:48;02:56;"brother. Brother that's your soul movie. Do you remember what year it was? It's wild to me how"
02:56;03:00;"little I remember of episodes. People will bring things up like that bit on"
03:00;03:06;"that show and I'm just like what show? I don't remember that at all. What show? I do a show."
03:06;03:10;"I always tell people when they ask me about doing time crisis I said anything"
03:10;03:15;"you do bi-weekly it's just like the the subtlest imprint. Mm-hmm. You know it's"
03:15;03:19;"just like just enough to forget it exists. Well but we also taped that show"
03:19;03:24;"like what a good six eight weeks ago. This one is particularly deep. All bets are"
03:24;03:28;"off. Any conversation I've had over a month ago is like I'm unlikely to be"
03:28;03:32;"able to recall that. I really can't remember my soul movie. I feel like Nick's was Black"
03:32;03:38;"Rain. That is deep. The Michael Douglas movie. What was my soul movie? It was D2 the"
03:38;03:44;"Mighty Ducks. Oh okay I'll watch that by the end of the year. Listen Jack you got"
03:44;03:48;"to watch your soul movie. Okay and same goes to anybody listening and anybody"
03:48;03:53;"who missed last week's episode or two weeks ago's episode just again you don't"
03:53;03:56;"have to listen to it just look up what the number one movie was on your 10th"
03:56;03:59;"birthday that's your soul movie. Joe Biden says you have to watch it. It's"
03:59;04:06;"more important than getting vaccinated. Just go go go go. Run. Do not walk. Live"
04:06;04:12;"Nation AEG just announced that you can't go to any Goose shows unless you've seen"
04:12;04:19;"your soul movie and you can't fake the card. It's very official. You're gonna have to"
04:19;04:25;"take a quiz. If you want to go see shout out to Goose they just did a festival and"
04:25;04:30;"I also just read that they're putting up their first arena show in Connecticut."
04:30;04:36;"Oh where? The Mohegan Sun arena. Is that outdoors or indoors? That's a good"
04:36;04:40;"question. I guess it's part of the whole Mohegan Sun casino complex but anyway"
04:40;04:45;"any Connecticut Jam band heads if you want to go to that show you need to see"
04:45;04:50;"your soul you need to see your soul movie. Bouncers at the venue are ready"
04:50;04:57;"with questions trivia questions about every conceivable film. I mean they have"
04:57;05:03;"the internet you know they just look up Mighty Ducks part 2 D2 Mighty Ducks. They"
05:03;05:12;"bring up the Wikipedia page. Mr. Koenig. When Emilio Estevez first met Kenan"
05:12;05:16;"Thompson's character what was he doing? It's and people say how is this feasible?"
05:16;05:20;"How's this gonna work? You can't control people like that. It infringes on our"
05:20;05:23;"civil liberties. I've heard all the arguments but here's the thing with"
05:23;05:27;"lightning-fast internet which they're gonna have at most venues each"
05:27;05:32;"interrogation session takes about a minute. They pull up the Wikipedia page"
05:32;05:37;"they look at the plot they ask you a simple question no big deal. Show them"
05:37;05:42;"your driver's license it's actually really easy and also this is that"
05:42;05:45;"there's so many people who love to take this kind of security job because"
05:45;05:50;"imagine you're a big movie buff and somebody said to you hey you want to"
05:50;05:54;"make an extra 75 bucks this weekend well what do I have to do? Ask a few hundred"
05:54;05:58;"Jam band fans about their soul movie. Yeah I think a lot of people gonna take"
05:58;06:04;"that job so we have to we just hire I don't know two three hundred people we"
06:04;06:10;"can organize it well. Anyway you're not gonna like life if you haven't seen your"
06:10;06:13;"soul movie let's put it that way. You're not gonna have too much fun if you"
