Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis back again. On this week's episode we delve deep into the heart of"
00:08;00:16;"the alleged NFT week with Despot. We also hear new music from Adele, old music"
00:16;00:23;"from Sheena Easton and so much more. Check which timeline you're on because"
00:23;00:30;"you're about to enter. Time Crisis with Ezra Koenig."
01:14;01:19;"Alright let's do this thing. Start the show. That always made a big"
01:19;01:23;"impression on me. Do you remember there used to be a Hulk Hogan reality show"
01:23;01:28;"with his whole family? No I missed that one. I mean it's kind of sad because I'm"
01:28;01:33;"pretty sure he and his longtime wife Linda split up and I think there's a"
01:33;01:38;"it's been troubles for some of the kids but in the beginning there's a part"
01:38;01:42;"where the Hulkster calls out to each member of the family with some type of"
01:42;01:49;"exhortation to like begin just like ""Linda let's go like Brooke haul ass"" and"
01:49;01:54;"I remember to somebody he goes ""Nick let's do this thing"" it's just one of"
01:54;02:00;"those things. Okay brother. Let's do this thing. It was called Hogan knows best. Oh"
02:00;02:04;"Hogan knows best of course. I mean I don't remember anything about the show"
02:04;02:08;"other than the the opening but it made a big impression on me. It's just you know"
02:08;02:11;"sometimes just a phrase hits you at a certain time in your life and it just"
02:11;02:16;"anytime I'm in a beginning scenario now I have a family of my own so sometimes"
02:16;02:21;"I'm the one kind of revving up the Hummer trying to get the family to come"
02:21;02:29;"go. Rashida let's do this thing. Rashida let's do this thing. Get in the Hummer we're"
02:29;02:35;"going to Costco. Anyway it's useful for a family scenario and anybody with family"
02:35;02:39;"but you know what you don't need to have kids you could say it to your roommate"
02:39;02:44;"you could say it to your friend you could say it to your co-hosts on your"
02:44;02:51;"internet radio show slash podcast let's do this thing. Anyway apologies if my"
02:51;02:58;"quality is lower today. I've been having mic problems. Alright welcome back to"
02:58;03:04;"time crisis Jake and Nick good to see you. Seinfeld he had to do something for"
03:04;03:10;"his other job. Wait I just had a thought like Seinfeld has like a full-time job"
03:10;03:17;"he's desk jockey but I wonder if if you added up all the hours of time crisis"
03:17;03:22;"that one of us does in a year if it's comparable to working at Sweet Martha's"
03:22;03:30;"you know the classic two week a year. Oh right. We do like roughly what 24 a year?"
03:30;03:38;"Eps? Yeah 25. We're clocking in at 50 hours of content but probably like 75"
03:38;03:43;"hours of work total. That'd be like working part-time at the Sweet Martha's"
03:43;03:48;"stall for like two weeks. Yeah pulling a couple. Should we consider a new model"
03:48;03:55;"where just every August we go rent a nice house up on Lake Minnetonka in"
03:55;04:00;"the beautiful Minnesota wilderness. Get everybody together can bring some"
04:00;04:05;"friends, partners, whoever and we just bang out a whole year's worth in two"
04:05;04:10;"weeks. We're gonna eat good. Jake's man on the grill. Sweet Martha's cookies for"
