Start Timestamp;End Timestamp;Transcript
00:00;00:03;"- Time Crisis 2022."
00:03;00:07;"In this episode, we talk about everything"
00:07;00:11;"from Indianapolis Italian food to gremlins."
00:11;00:13;"We listen to a lot of great music"
00:13;00:15;"and cover some of our favorite topics."
00:15;00:19;"We're ready to start 2022 off right in the TCU"
00:19;00:21;"and we hope you are too."
00:21;00:24;"Welcome to the first TC of the year."
00:24;00:29;"This is Time Crisis with Ezra Koenig."
00:32;00:37;"♪ They passed me by ♪"
00:37;00:41;"♪ All of those great romances ♪"
00:41;00:44;"♪ They were a pal to a believer ♪"
00:44;00:48;"♪ All my rightful chances ♪"
00:48;00:51;"♪ My picture clear ♪"
00:51;00:55;"♪ Everything seemed so easy ♪"
00:55;00:59;"♪ And so I dealt to the blow ♪"
00:59;01:02;"♪ One of us had to go ♪"
01:02;01:04;"♪ Now it's different ♪"
01:04;01:07;"♪ I want you to know ♪"
01:07;01:10;"♪ One of us is crying ♪"
01:10;01:13;"♪ One of us is lying ♪"
01:13;01:15;"♪ He can only be ♪"
01:15;01:19;"- Time Crisis back again."
01:19;01:23;"First step of the new year, 22."
01:23;01:23;"Jake, how's it going?"
01:23;01:26;"How's 22 treating you so far?"
01:26;01:28;"♪ 2022 ♪"
01:28;01:31;"♪ I took a big poo ♪"
01:31;01:33;"- Nasty."
01:33;01:34;"- For some reason with that song,"
01:34;01:37;"I always go to straight toilet humor."
01:37;01:39;"- That's usually the easiest place to go with most things."
01:39;01:40;"- Yeah."
01:40;01:43;"♪ 2023 I had to take a pee ♪"
01:43;01:44;"Just dumb, awful."
01:44;01:48;"Like truly like a fourth grader or a four-year-old."
01:48;01:51;"- That's for Jake's side project, Nasty Jake."
01:51;01:54;"- I do toilet humor, weird owl versions"
01:54;01:56;"of Vampire Weekend songs."
01:56;01:57;"- Mountain poos."
01:57;02:00;"(laughing)"
02:00;02:02;"Just like."
02:02;02:04;"- Mountain poos."
02:04;02:07;"- I've always, you know what guys,"
02:07;02:11;"I've just, I've always been a big fan of toilet humor."
02:11;02:14;"I don't have a big outlet for it in Richard Pictures,"
02:14;02:17;"nor my work as a painter, nor Mountain Brews,"
02:17;02:20;"but in Mountain Poos, I can finally, you know,"
02:20;02:22;"get some of that out there."
02:22;02:25;"- Yeah, it's truly bridging my musical life"
02:25;02:27;"and Ezra's musical life into Mountain Poos."
02:27;02:30;"- Yeah, what is Mountain Poos?"
02:30;02:33;"It's a mixture of Vampire Weekend, Mountain Brews,"
02:33;02:36;"and good old fashioned toilet humor."
02:36;02:39;"- Well, I like that if he hadn't had to change the name"
02:39;02:42;"from Dick Fix to Richard Pictures,"
02:42;02:43;"if someone were like, ""What band are you in?"""
02:43;02:45;"Well, I'm in a band, Dick Fix,"
02:45;02:47;"and then I have this other band, Mountain Poos."
02:47;02:48;"- Mountain Poos."
02:49;02:54;"Also, just to be straight up into toilet humor as an adult,"
02:54;02:57;"I mean, here's the thing, almost everybody is."
02:57;03:00;"It's actually more like the rare person you meet"
03:00;03:03;"who's just like, ""I really can't stand toilet humor."""
03:03;03:05;"But very few people, it's a big secret,"
03:05;03:06;"people don't want to admit it,"
03:06;03:09;"but most people actually are into it."
03:09;03:11;"But very few people would actually come out"
03:11;03:13;"and be part of the fan community."
03:13;03:17;"Just to say, if like ever a bunch of,"
03:17;03:19;"Jake, you're at some Hollywood party,"
03:19;03:22;"a bunch of Hannah's cool director friends,"
03:22;03:24;"and people are talking about comedy."
03:24;03:25;"Like, who's made a good comedy lately?"
03:25;03:27;"Who are some of your favorite standups?"
03:27;03:29;"And Jake just buzzes in just like,"
03:29;03:31;"well, me personally, I'm into toilet humor."
03:31;03:35;"So whether it's on the stage, on film, TV show,"
03:35;03:36;"that's what I'm into."
03:36;03:38;"I'm just a toilet humor guy."
03:38;03:39;"- Music parody, you know."
03:39;03:41;"I'm working on my own project, actually, guys."
03:41;03:42;"You wanna hear about it?"
