Start Timestamp;End Timestamp;Transcript
00:00;00:13;"Thurston Moore, John Mayer, Jerry Garcia, Bono, X-Ray Spex, Blondie."
00:13;00:21;"This is a very special episode of our program. We talk jam bands, noise music,"
00:21;00:29;"and so much more on Time Crisis with Ezra Koenig."
30:59;31:04;"Seinfeld, can you reach out to Trey Anastasiou and Thurston Moore and see if they'll be down to talk about pedals?"
31:04;31:08;"We won't bring up the controversial interview, but we just want to talk about pedals."
31:08;31:09;"Sure."
31:09;31:10;"Thank you."
36:30;36:33;"It is pretty dead. The lyrics are pretty dead."
36:33;36:34;"Totally."
36:57;37:00;"This sounds so much like pavement."
37:00;37:01;"Oh, totally."
37:01;37:08;"But I don't remember, is this unique to a Sonic Youth song?"
37:08;37:12;"It's maybe a little more spare than a lot of their stuff."
37:12;37:16;"It's so funny hearing this song and just thinking that there's somewheres like,"
37:16;37:20;"""We'll give fish our audience, but we're not going to get any of it."""
37:20;37:21;"I think it's..."
37:21;37:23;"[Laughter]"
37:23;37:25;"They do nothing for us."
37:41;37:44;"Thurston was picturing a Fish fan who would hear this and be like,"
37:44;37:46;"""My mind is f***ing blown."""
37:46;37:49;"But see, keep in mind, for the Deadhead, they're like,"
37:49;37:51;"""All right, now you're going to prove yourself."""
37:51;37:52;"Okay, let's go."
37:52;37:53;"I like the song."
37:53;37:57;"All right."
37:57;37:59;"Waiting for the solo to start."
38:13;38:15;"We're just getting warmed up still."
38:15;38:16;"Right."
38:16;38:17;"They're just kind of vamping still."
38:17;38:20;"No, for the Deadhead, the solo hasn't started yet."
38:20;38:22;"Yeah, we're waiting for it."
38:22;38:25;"In Thurston's mind, he's been soloing for 30 seconds."
38:33;38:34;"Okay."
38:34;38:35;"Ooh."
38:53;38:54;"Textural."
38:57;39:00;"Deadhead's starting to kind of fade on this a little bit maybe."
39:00;39:03;"Deadhead's like, ""I might go get another beer."""
39:03;39:04;"Yeah."
39:10;39:13;"There hasn't been a single run yet, you know?"
39:13;39:14;"Yeah."
39:21;39:24;"I mean, I would love to hear the Dead cover this song."
39:24;39:26;"I think that would be fascinating."
39:26;39:29;"Maybe Richard Pictures should cover this."
39:29;39:30;"That's tight."
39:41;39:44;"I'm going to say something controversial because, again, I like Sonic Youth a lot,"
39:44;39:45;"and I like this song."
39:45;39:49;"But actually, I feel like a lot of people who hate jam band music"
39:49;39:52;"think jam band music sounds like this."
39:52;39:54;"You know what I mean?"
39:54;39:55;"Totally."
39:55;39:57;"Like a little aimless."
39:57;39:58;"Yeah."
39:58;40:00;"Where's the focus here?"
40:00;40:02;"When people are being mean about jamming, they always say,"
40:02;40:06;"""I don't want to listen to a bunch of stoners [beep] around on guitar."""
40:06;40:10;"Whereas if you actually listen to Jerry, you're like, ""Well, [beep] around."""
40:10;40:15;"At worst, it's like watching Michael Jordan just kind of shoot around at the court."
40:15;40:18;"There's still going to be a lot of artistry there."
40:20;40:21;"Oh."
40:21;40:23;"We haven't got a single run yet."
40:52;40:55;"Wrong Warlocks, Thurston."
40:55;40:57;"It's the wrong Warlocks, man."
40:57;40:59;"Oh, I dig it, man."
40:59;41:01;"So they're doing kind of a drone thing on this thing,"
41:01;41:03;"but the next song is going to be--"
41:03;41:05;"they're going to bust out their Scarlet style."
41:05;41:07;"I think maybe the thing that Thurston also doesn't understand"
41:07;41:10;"is that this is reminiscent of The Grateful Dead."
41:10;41:18;"It's reminiscent of space, which is one of the less cherished parts."
41:18;41:20;"There's no Dead fan who said,"
41:20;41:23;"""I wish that they would just do three hours of space."""
41:23;41:24;"I mean, there might be."
41:24;41:26;"It would be an unpopular opinion."
41:26;41:27;"Yeah."
41:31;41:34;"[Applause]"
42:48;42:50;"I like this song, and actually, I do feel--"
42:50;42:53;"I like when Sonic Youth gets noisy and droney."
42:53;42:55;"It's just, you know, at the end of the day,"
42:55;42:57;"Sonic Youth is Sonic Youth."
42:57;42:59;"They're not a jam band."
43:06;43:08;"They slowed down a lot."
43:08;43:09;"Yes."
43:13;43:15;"Well, yeah, no, I love this."
43:15;43:18;"I just love picturing the Fish fan or the Dead fan being like,"
43:18;43:20;"""Okay, well, the next song is going to be, like, up."""
43:20;43:22;"And this is like, ""Nope."""
43:24;43:28;"I remember that Sonic Youth show at Lollapalooza."
43:28;43:30;"I've seen that, like, a few times."
43:30;43:35;"And, like, the last, like, 35 minutes was just a wall of, like, noise."
43:35;43:38;"Like, on the main stage at night."
43:38;43:42;"Just, like, after seeing, like, Cypress Hill and stuff."
43:42;43:44;"[Laughter]"
43:44;43:47;"Like, I think, oh, yeah, Hole played."
