Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis back again"
00:02;00:07;"This week it's a horse of a different color as we discuss"
00:07;00:09;"controversial cuisine"
00:09;00:11;"listen to Connecticut based"
00:11;00:13;"progressive jazz fusion"
00:13;00:17;"And countdown the top hits of 2006"
00:17;00:19;"ready"
00:19;00:21;"steady go"
00:21;00:26;"This is Time Crisis with Ezra Koenig"
00:26;00:28;"Let's begin"
00:33;00:35;"They passed me by"
00:35;00:37;"All of those great romances"
00:37;00:41;"The war I felt"
00:41;00:43;"Robbing me"
00:43;00:45;"Of my rightful chances"
00:45;00:47;"My picture clear"
00:47;00:51;"Everything seemed so easy"
00:51;00:55;"And so I dealt to the blow"
00:55;00:59;"When a bus had to go"
01:01;01:03;"It's different I want you to know"
01:03;01:07;"One of us is crying"
01:07;01:09;"One of us is lying"
01:09;01:13;"Leave me lonely babe"
01:13;01:17;"Time Crisis back again"
01:17;01:19;"Horse meat special"
01:19;01:21;"[horse neighing]"
01:21;01:23;"We need to add a lot of horse effects for this episode"
01:23;01:25;"I want a lot of"
01:25;01:27;"Nays, Giddys"
01:27;01:29;"Winnies"
01:29;01:31;"What are other horse sounds?"
01:31;01:33;"SignFolk can I get a number crunch?"
01:33;01:35;"What are the top five horse words?"
01:35;01:37;"Clumping sounds like the hoof"
01:37;01:39;"Oh yeah the hoofs"
01:39;01:41;"Maybe snorting"
01:41;01:43;"Snorting? Oh yeah yeah"
01:43;01:45;"I like playing horse effects"
01:45;01:47;"If I think someone's horsing around"
01:47;01:49;"You know"
01:49;01:51;"Suddenly somebody here is like"
01:51;01:53;"[horse neighing]"
01:53;01:55;"It's a good way to insert some fun into a conversation"
01:55;01:57;"If you have to have a slightly difficult"
01:57;01:59;"Talk with a colleague"
01:59;02:01;"A child"
02:01;02:03;"Even just a friend"
02:03;02:05;"That's like ""Hey enough horsing around"""
02:05;02:07;"By using the sound effect it kind of puts a smile"
02:07;02:09;"On everybody's face"
02:09;02:11;"So anyway"
02:11;02:13;"I hope nobody has a horse sound phobia"
02:13;02:15;"Because this is a horse meat special"
02:15;02:17;"And we'll be"
02:17;02:19;"Playing a lot of"
02:19;02:21;"Horse sounds but we're not going to get"
02:21;02:23;"Right into the horse meat stuff"
