Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time crisis back again"
00:02;00:05;"Rock and roll"
00:05;00:07;"Hip-hop"
00:07;00:08;"cheese crackers"
00:08;00:10;"Hall of Fame"
00:10;00:12;"Hall of Fame"
00:12;00:14;"So much to talk about so little time"
00:14;00:17;"But if you're listening you're in"
00:17;00:21;"Welcome to time crisis"
00:21;00:23;"This one is a doozy"
00:23;00:27;"crisis with Ezra Koenig"
00:34;00:36;"They passed me by"
00:36;00:40;"All of those great romances"
00:40;00:42;"They were a threat"
00:42;00:47;"Robbing me of my rightful chances"
00:47;00:49;"My picture clear"
00:49;00:54;"Everything seemed so easy"
00:54;00:58;"And so I dealt to the blow"
00:58;01:01;"When a bus had to go"
01:01;01:03;"Now it's different"
01:03;01:06;"I want you to know"
01:06;01:09;"One of us is crying"
01:09;01:12;"One of us is lying"
01:12;01:16;"He's the lonely man"
01:16;01:19;"Welcome to time crisis. We got a fully loaded F"
01:19;01:22;"Lots to talk about today. Jake, how you doing?"
01:22;01:26;"Good man. We got bacon and sour cream on the side. We're ready to go"
01:26;01:29;"Jake, when's the last time you had a baked potato?"
01:29;01:33;"That's a good one. Years. In some sort of buffet situation"
01:33;01:37;"Where it looked good for"
01:37;01:40;"Maybe options were thin and I was like oh yeah"
01:40;01:43;"Baked potato and just loaded up with green onions"
01:43;01:46;"Cheddar cheese, bacon, sour cream"
01:46;01:48;"Sour cream. Absolutely. Go off"
01:48;01:52;"Because the baked potato is so dry you need the sour cream to"
01:52;01:56;"kind of mash it into the baked potato so it kind of softens up"
01:56;01:59;"Yeah, it's got to be really buttery. Yeah. I feel like in the 90s"
01:59;02:02;"I was eating all sorts of baked potatoes"
02:02;02:05;"Yeah, it does seem like a very 20th century food, right?"
02:05;02:08;"They really left it in the 20th century. Yeah, I feel like in the 90s"
02:08;02:11;"I mean, was I eating that at home?"
02:11;02:14;"I can kind of picture going to a restaurant and being like"
02:14;02:17;"Oh man, they got baked potatoes. Yeah"
02:17;02:20;"I'm getting a fully loaded. Is fully loaded baked potato"
02:20;02:23;"Like from somewhere? Is that a side note?"
02:23;02:26;"Good question. Is that just a concept or is that"
02:26;02:29;"The proprietary intellectual property of"
02:29;02:32;"Of Fudruckers? When you google fully loaded"
02:32;02:35;"Baked potato, first of all, autocomplete activates"
02:35;02:38;"As soon as you hit the B. So and then"
02:38;02:41;"I think just the calling it a fully loaded baked potato is"
02:41;02:44;"Part of the baked potato culture. I don't think any one person"
02:44;02:47;"Owns it. Campbell's Food Service has a product"
02:47;02:50;"Called Campbell's Reserve Frozen Ready to Eat"
02:50;02:53;"Fully Loaded Baked Potato and Cheddar Soup. Okay"
02:53;02:56;"Sounds caloric. This might be a dumb question but"
02:56;02:59;"Does the phrase fully loaded come from anything"
02:59;03:02;"In particular? Or is fully loaded just a phrase"
03:02;03:05;"That refers to any object that"
03:05;03:08;"Has all the accoutrement? All the trappings"
03:08;03:11;"Great question man, this is just"
03:11;03:14;"Like an English language college course here"
03:14;03:17;"Fully loaded. I always think of Herbie"
03:17;03:20;"Fully Loaded the classic film"
03:20;03:23;"I think it's a sequel. Yeah, cars are fully loaded"
03:23;03:26;"I mean, actually I would love to do a family feud"
03:26;03:29;"Type thing. These things"
03:29;03:32;"Are commonly fully loaded"
03:32;03:35;"Baked potatoes. What would be"
03:35;03:38;"The top five fully loaded things on family feud?"
03:38;03:41;"Baked potatoes, cars. Under loaded in"
03:41;03:44;"Merriam-Webster, the fully loaded refers to"
03:44;03:47;"A car equipped with an abundance of features, i.e. a fully loaded car"
03:47;03:50;"Filled or topped with many things, a fully loaded"
03:50;03:53;"Baked potato. Those are the two examples"
03:53;03:56;"Those are the lead examples. Also"
03:56;03:59;"Can you refer to somebody who's like really drunk"
03:59;04:02;"As fully loaded? Oh bro, he was so loaded"
04:02;04:05;"He was fully loaded. I mean it doesn't"
04:05;04:08;"But I think to be fully loaded I would picture somebody who was on drugs"
04:08;04:11;"Shrooms. I feel like it has to be a variety of things"
04:11;04:14;"And obviously people have been loading wagons"
04:14;04:17;"Forever, but this idea that fully loaded"
04:17;04:20;"Doesn't just mean full, it means"
04:20;04:23;"That it has a variety of things"
04:23;04:26;"You know what I mean? Like because Seinfeld, if you and I were"
04:26;04:29;"Loading a wagon on the farm I could say"
04:29;04:32;"Is the wagon fully loaded? And you might say"
04:32;04:35;"Yes, we put all of the hay on the wagon"
04:35;04:38;"And we're just talking about one thing. You wouldn't say"
04:38;04:41;"Man, the wagon is fully loaded, man, we got hay"
04:41;04:44;"I threw a few bricks in there, I took two chickens"
04:44;04:47;"So where does this idea that fully loaded means"
04:47;04:50;"A variety of categories of things are present"
04:50;04:53;"If it was just bales of hay you'd say we have a full load"
04:53;04:56;"Yeah. Yeah. It seems like"
04:56;04:59;"The fully loaded. The wagon's loaded"
04:59;05:02;"It implies that those things are somehow built into the other thing"
05:02;05:05;"If that makes sense. That they are"
05:05;05:08;"Draw that out. Alright, yeah, okay"
05:08;05:11;"I'm trying to find it here, but essentially if you're putting hay on a wagon"
05:11;05:14;"You say it's fully loaded. The vibe is a little bit"
05:14;05:17;"Different from that wagon. It's fully loaded in that it has"
05:17;05:20;"A stereo system installed in it and it has an AC"
05:20;05:23;"Thing and the loading becomes a permanent part"
05:23;05:26;"Of the structure. But that's not true with the baked potato"
05:26;05:29;"Well Jake started off by talking about mashing the"
05:29;05:32;"Sour cream in there. I feel like. Basically it only applies"
05:32;05:35;"To baked potatoes and carbs. We kinda"
05:35;05:38;"Nailed it. First thought, best thought"
05:38;05:41;"According to Urban Dictionary"
05:41;05:44;"Professional hair styling, skin treatment and done up makeup"
05:44;05:47;"That has stark contrast to the wash and wear hair and fresh face"
05:47;05:50;"Look can be described as fully loaded"
05:50;05:53;"For example, did you see that celebrity's morning face"
05:53;05:56;"No, she's always fully loaded"
05:56;05:59;"Fully loaded? I mean that kinda makes sense"
05:59;06:02;"Got the makeup, got the mascara"
06:02;06:05;"The cover up, got the hair, all that stuff"
06:05;06:08;"I just wonder when this started. Is it a phrase"
06:08;06:11;"Does it come from like the 50's, like the post war era"
06:11;06:14;"We might have to do a bit more research"
06:14;06:17;"I just wonder also was it used first for baked potatoes or carbs"
06:17;06:20;"Is it possible that like in some part of Wisconsin"
06:20;06:23;"They referred to fully loaded baked potatoes"
06:23;06:26;"Starting in the 20's and then"
06:26;06:29;"The post war boom in the 50's, people start opening up"
06:29;06:32;"Car dealerships, people come in, then you have the introduction"
06:32;06:35;"Of this new American archetype, the slick car salesman"
06:35;06:38;"Saying, Bob"
06:38;06:41;"I'm not pulling your leg here, this is one of the best cars"
06:41;06:44;"I've ever seen and it would be a damn shame if you didn't"
06:44;06:47;"Get it fully loaded and then the guy's like, oh like a baked potato"
06:47;06:50;"He's like, of course. See I think it's the opposite"
06:50;06:53;"I think it started with the car and then because"
06:53;06:56;"You know, in the 19's, let's think about the depression"
06:56;06:59;"There wasn't the abundance to put sour cream"
06:59;07:02;"And bacon and cheddar cheese and onions"
07:02;07:05;"On your baked potato. I'm picturing a baked potato in 1930"
07:05;07:08;"And it's a pretty Spartan meal"
07:08;07:11;"Fully unloaded"
07:11;07:14;"Very dry, bland, just a lot of butter"
07:14;07:17;"Lucky to get butter maybe. Butter and salt"
07:17;07:20;"And then you know, the car dealership"
07:20;07:23;"Plus the restaurant from the car dealership is the family restaurant"
07:23;07:26;"And here we are in the age of abundance and they're fully loading"
07:26;07:29;"The baked potato. Making it just a massive"
07:29;07:32;"Caloric intake"
07:32;07:35;"Bread so old that it's moldy"
07:35;07:38;"Baked potato pockets, they ain't loaded"
07:38;07:41;"I'm talking 'bout it, it can't fold"
07:41;07:44;"I throw the paper up, I can't hold it"
07:44;07:47;"Bread so old that it's moldy"
07:47;07:50;"Baked potato pockets, they ain't loaded"
07:50;07:53;"I'm talking 'bout it, it can't fold"
07:53;07:56;"I throw the paper up, I can't hold it"
07:56;07:59;"What you know about a million dollar plate"
07:59;08:02;"I'm on the hallway look like a maze"
08:02;08:05;"I got to the money then got all my n****s paid"
08:05;08:08;"I'm too busy throwing dollars to be out here throwing shade"
08:08;08:11;"With the Rolls Royce like that b**** up out shipping"
08:11;08:14;"If you ain't talking paper then ain't nothing you can tell me"
08:14;08:17;"White chick, brand new, no belly"
08:17;08:20;"N***a name Becky, claim she don't give Becky"
08:20;08:23;"Well b**** get to stepping, I ain't with the gang"
08:23;08:26;"Cut from a different cloth, we are not the same"
08:26;08:29;"Them n****s gap in disregard what they saying"
08:29;08:32;"I can go and buy a house and get you bodied with the change"
08:32;08:35;"The more I think about it, it's very strange that it's only cars and baked potatoes"
08:35;08:38;"Because there's so many other things"
08:38;08:41;"Nobody ever talks about a fully loaded pizza"
08:41;08:44;"And that's like the number one thing, or a fully loaded burger"
08:44;08:47;"Does that exist anywhere?"
08:47;08:50;"People say the works, right? Yeah, burger with the works"
08:50;08:53;"Pizza with the works, yeah I don't know man"
08:53;08:56;"We might not get to the bottom of this one today"
08:56;08:59;"A fully loaded pizza seems crazy though"
08:59;09:02;"Well you know every-"
09:02;09:05;"No but do you understand there's only so much you'd put on a baked potato"
09:05;09:08;"There's only so much you'd do to a car"
09:08;09:11;"A pizza that's fully loaded, I'm- Yeah they're gross"
09:11;09:14;"But it could be everything Yeah pepperoni, sausage, peppers, onions"
09:14;09:17;"Olives, I mean it's just, they keep going, mushrooms"
09:17;09:20;"Pineapple, gross The average mom and pop pizza place probably has like"
09:20;09:23;"10 possible toppings"
09:23;09:26;"And they probably get somebody ordering all 10"
09:26;09:29;"On one pizza once a year at best"
09:29;09:32;"Yeah Like somebody who actually calls them, let me get a pizza with"
09:32;09:35;"With everything Pepperoni, olives, onions"
09:35;09:38;"I mean, I don't know, actually maybe not, maybe it happens"
09:38;09:41;"It does sound like some epic meal time"
09:41;09:44;"Do you remember that YouTube channel where they would like fry everything in bacon"
09:44;09:47;"And then cover it in ketchup and then refry it"
09:47;09:50;"Feels like something they would call"
09:50;09:53;"One of their concoctions Fully loaded pizza"
09:53;09:56;"That was America's peak, mid 90's"
09:56;09:59;"Somebody just driving their new"
09:59;10:02;"Fully loaded truck with a CD player"
10:02;10:05;"And a cassette player, what are the other fixins you get"
10:05;10:08;"When you really ball out a car"
10:08;10:11;"Leather interior Rolling into Kenny Rogers roasters"
10:11;10:14;"And getting that fully loaded baked potato"
10:14;10:17;"Eating it in your fully loaded truck"
10:17;10:20;"Just sitting there in your truck, all leather interior"
10:20;10:23;"Listening to a cassette or a CD, whichever you want to"
10:23;10:26;"Because you can do both, AC cranked"
10:26;10:29;"And eating that fully loaded baked potato with everything on it"
10:29;10:32;"And just feeling like you're living a fully loaded life"
10:32;10:35;"What are you listening to? You're listening to"
10:35;10:38;"Knocked Out Loaded by Bob Dylan"
10:38;10:41;"Isn't there like an alt rock record from the 90's called Loaded"
10:41;10:44;"Yeah, Metallica"
10:44;10:47;"Is that late 90's? Metallica Loaded?"
10:47;10:50;"Dude, you're listening to Metallica Loaded"
10:50;10:53;"No, no, no, sorry. The Velvet Underground have an album called Loaded"
10:53;10:56;"And then Metallica made Load"
10:56;10:59;"Which famously the cover"
10:59;11:02;"Is an artist who worked in the form of"
11:02;11:05;"Male Ejaculate and Blood"
11:05;11:08;"Really? Here we are back on the Pearl Jam theme"
11:08;11:11;"Blake Shelton"
11:11;11:14;"I don't know why the universe is taking us back to that"
11:14;11:17;"Topic so often. Yeah, let's drop it. What would you say about Blake Shelton?"
11:17;11:20;"Oh yeah, he has a 2019 album called"
11:20;11:23;"Fully Loaded God's Country"
11:23;11:26;"Fully Loaded God's Country? That's a mouthful"
11:26;11:29;"Yeah, it's a 2019"
11:29;11:32;"Compilation album featuring the title track"
11:32;11:35;"God's Country. Can we throw that on?"
11:35;11:38;"I feel like we heard it in the top 5 ones"
11:38;11:41;"It does feel like a top 5 jam"
11:41;11:44;"Blake Shelton. Let's throw that on. And I just want everybody"
11:44;11:47;"I know we probably have some listeners"
11:47;11:50;"It's been a hard few years. Maybe there's people who want"
11:50;11:53;"To open their life to more abundance"
11:53;11:56;"Your life is in some ways"
11:56;11:59;"Not been everything you wanted it to be. You've had troubles"
11:59;12:02;"We all have. Things have felt like a dry baked potato"
12:02;12:05;"In a car with nothing special about it"
12:05;12:08;"And I want you to listen to this song and imagine"
12:08;12:11;"That you're sitting in a fully loaded car with a fully loaded baked potato"
12:11;12:14;"In front of you. And this is the abundance"
12:14;12:17;"Mindset that you need to take into the rest of this year"
12:17;12:20;"Okay? Your life is fully loaded"
12:20;12:23;"And good things are going to come to you. 20th century empire mindset"
12:23;12:26;"Fully loaded"
12:26;12:29;"Is a state of mind"
12:41;12:44;"Right outside of this one church town"
12:44;12:47;"There's a gold dirt road to a whole lot of nothing"
12:47;12:50;"Got a D to the land but it ain't my ground"
12:50;12:53;"This is God's country"
12:53;12:56;"We have heard this song"
12:56;12:59;"Was it top 5?"
12:59;13:02;"This is recent"
13:02;13:05;"I know we've heard this. This is 21st century music"
13:05;13:08;"God's country"
13:08;13:11;"I saw the light of the sun"
