Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis, back again."
00:02;00:11;"So much to talk about in this funny old world of ours, and yet there's only three topics that really matter"
00:11;00:14;"this weekend."
00:14;00:17;"And that's pizza,"
00:17;00:20;"water,"
00:20;00:21;"and Kate Bush."
00:21;00:26;"This is a very special Holy Trinity episode of"
00:26;00:31;"Time Crisis with Ezra Koenig."
00:31;00:33;"Let's begin."
00:41;01:08;"chances. You were a friend, warming me, on my ride through chances. My picture clear. Everything seems so easy. And so I delved to the floor. One of us had to go. Now it's
different. I want you to know."
01:08;01:19;"One of us is crying. One of us is lying. We've been only there."
01:19;01:25;"Time Crisis back again. What's up? Another typical low energy start. We always get there."
01:25;01:30;"We don't come out the gate with a lot of heat. But that's how you know we're real. Yep. Cold"
01:30;01:38;"engine. You're along for the ride with us. Yeah, you can go ahead. Skip 45 minutes in."
01:38;01:47;"Probably a good idea. This is how Time Crisis starts. It's a little bit of housekeeping."
01:47;01:52;"I was talking with a friend who had listened to our fully loaded baked potato episode."
01:52;01:59;"And I guess we didn't talk about on the show that Wendy's used to have baked potatoes."
01:59;02:04;"That was like a go to thing at Wendy's. True. Do they still have it on the menu? I don't"
02:04;02:10;"know. I haven't been to Wendy's in like 10 years. It seems so funny and old fashioned."
02:10;02:14;"Like a Wendy's baked potato that almost, you know, it's like when you hear stories about"
02:14;02:19;"Dunkin Donuts being like a sit down restaurant or like McDonald's having like steak and mashed"
02:19;02:26;"potatoes and like 1955. Do you guys remember this Seinfeld and Nick that Wendy's had fully"
02:26;02:33;"loaded baked potatoes? I've had it like so that was like a classic thing. Yeah, but I"
02:33;02:40;"had it like three years ago. I feel like for a certain. Yeah, I feel for a certain Wendy's"
02:40;02:46;"customer. The baked potato has been sort of a mainstay. It'll be kind of sad if they ever"
02:46;02:51;"get rid of it and then they're just the same as McDonald's and Burger King. Just slightly"
02:51;02:56;"different burgers. I think the chili and the baked potato are two things that distinguish"
02:56;03:02;"Wendy's from the rest. Is Gen Z eating baked potatoes? Look, I didn't even bring this up"
