Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis back again"
00:02;00:05;"great food"
00:05;00:07;"classic rock"
00:07;00:10;"Does that tell the whole story of Elvis Presley hard to say?"
00:10;00:14;"But today we're gonna finally do a tribute"
00:14;00:17;"to the king"
00:17;00:19;"the king of rock"
00:19;00:21;"This is a very special"
00:21;00:24;"Crisis with Ezra Koenig"
00:24;00:26;"*music*"
00:31;00:33;"They passed me by"
00:33;00:37;"All of those great romances"
00:37;00:39;"They were a threat"
00:39;00:41;"Robbing me"
00:41;00:44;"Of my rightful chances"
00:44;00:46;"My picture clear"
00:46;00:51;"Everything seemed so easy"
00:51;00:55;"And so I dealt to the floor"
00:55;00:58;"When a bus had to go"
00:59;01:03;"Now it's different, I want you to know"
01:03;01:06;"One of us is crying"
01:06;01:09;"One of us is lying"
01:09;01:13;"We were only there"
01:13;01:15;"Time Crisis back again"
01:15;01:19;"With our 68th comeback special"
01:19;01:22;"We know that TC's been getting a little bit uh"
01:22;01:24;"esoteric lately"
01:24;01:26;"Fair"
01:26;01:28;"Some people want the music"
01:29;01:31;"They don't come for the tap water"
01:31;01:33;"They don't come for the pizza"
01:33;01:35;"They don't even come for the baked potatoes"
01:35;01:37;"They come for the music"
01:37;01:39;"Alright, how about Elvis Presley"
01:39;01:41;"How does that sound to everybody?"
01:41;01:43;"If you're one of those rock fans"
01:43;01:45;"Got into TC because"
01:45;01:50;"Because you love rock music and our commentary on it"
01:50;01:52;"Alright, let's go straight to the king"
01:52;01:54;"I gotta point out that today"
01:54;01:56;"We're blessedly in person"
01:56;02:00;"And Jake is wearing a Yardhouse t-shirt"
02:00;02:04;"And you've made passing reference to the Yardhouse on the show"
02:04;02:07;"But I feel like we've never like really explained it"
02:07;02:09;"And actually as I think about it"
02:09;02:11;"I only like half understand what Yardhouse is"
02:11;02:14;"Because I think I used to think it was only at one or two airports"
02:14;02:19;"But then I started to encounter them just like in various downtowns"
02:19;02:21;"Yardhouse is a big chain"
02:21;02:25;"It's like, it's kind of like an off-brand hard rock cafe"
02:25;02:28;"First of all, I love this intro"
02:28;02:30;"We're here to talk about music"
02:30;02:32;"And we're here to talk about Elvis Presley"
02:32;02:36;"But let's do a 45 minute tangent"
02:36;02:40;"On a basically glorified airport restaurant"
02:40;02:45;"Okay, but Yardhouse's famous tagline"
02:45;02:48;"Which I know Jake has quoted is ""Great food, classic rock"""
02:48;02:51;"So it's not a million miles away from Elvis Presley"
02:51;02:54;"Yeah, it's on brand"
02:54;02:56;"And I did a painting last year"
02:56;03:00;"Of just like the facade of the side of a Yardhouse"
03:00;03:03;"And it just had the text ""Great food, classic rock"""
03:03;03:05;"And also just to point out"
03:05;03:07;"Jake's wearing a kind of faded purple shirt"
03:07;03:09;"It's an oval"
03:09;03:10;"The top says ""Great food, classic rock"""
03:10;03:12;"In the middle in big letters says ""Yardhouse"""
03:12;03:16;"And on the bottom it says ""World's largest selection of draft beer"""
03:16;03:17;"Probably debatable"
03:17;03:19;"That's got to be a lot of draft beer"
03:19;03:21;"Yeah, well there was one"
03:21;03:23;"I used to go to the one occasionally in Pasadena"
03:23;03:25;"Which was adjacent to the Arclight"
03:25;03:27;"RIP to the Arclight"
03:27;03:29;"And you could go in there and get"
03:29;03:32;"Like mediocre nachos"
03:32;03:35;"After the movie for like $13.95"
03:35;03:40;"And drink one of those oversized airport sized beers"
03:40;03:42;"So was that your first experience with Yardhouse?"
03:42;03:43;"Yeah"
03:43;03:46;"And you were just hitting it because it was adjacent to the movie theater?"
03:46;03:48;"And because it said ""Great food, classic rock"""
03:48;03:51;"Okay, so it's always been ""Great food, classic rock"""
03:51;03:53;"So how does the..."
