Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Time crisis back again, and I got a feeling this is gonna be a good good episode"
00:06;00:10;"We reunite to talk about Joe Biden"
00:10;00:12;"Drake"
00:12;00:15;"Sizzler and the human skeleton"
00:15;00:17;"all that"
00:17;00:20;"Plus some great music from Lady Gaga"
00:20;00:23;"this"
00:23;00:27;"With Ezra Koenig"
00:27;00:29;"Yeah"
00:29;00:31;"I"
00:31;00:33;"Oh"
00:33;00:35;"I"
00:35;00:37;"Scrape"
00:37;00:39;"Oh"
00:45;00:49;"But everything seems so"
01:13;01:16;"Time crisis back again"
01:16;01:21;"We're in the dog days of summer. I don't know when this is airing for all I know"
01:21;01:27;"This is the Halloween episode, but we're banking the Epps. We're taking our summer vacations"
01:27;01:30;"We're working all over the world. We're traveling"
01:30;01:35;"I just got back from Cleveland did not get to go to the the rock hall bummer"
01:35;01:40;"Although it did seem like from the text thread that you were choosing not to attend"
01:40;01:45;"Yeah, I specifically chose not to attend you were in the vicinity. I was in walking distance"
01:45;01:52;"I was kicking in the text. I'm very close and I'm not gonna go. Here's why I was a bit jet-lagged"
01:52;01:54;"been zipping all over the place and"
01:54;01:59;"Would you say weak? Yeah weak weak excuse"
01:59;02:02;"Hold on it gets better"
02:02;02:06;"Not only was I jet-lagged and I had this show in Cleveland that night"
02:06;02:12;"We're actually just outside of Cleveland in the greater Cleveland area. It was Sunday. And so, you know, I was like"
02:12;02:17;"Waking up late, you know, I'm thinking about the show if it had been a weekday"
02:17;02:23;"I totally would have rolled over but I like Google Rock and Roll Hall of Fame says, you know on Google"
02:23;02:25;"It says like this time of day. It's"
02:25;02:30;"Very busy and I was like, you know what? I'd love to go pay tribute to"
02:31;02:36;"Rock and roll crates. I would love to see Rod Stewart's scarf and all that cool stuff"
02:36;02:39;"But there's some I just pictured it being like slammed on a Sunday"
02:39;02:46;"Just being like kind of like tired and out of it and just being alone at the rock hall on a Sunday"
02:46;02:53;"Just like families and I don't know that sounded that sounded unappealing. Maybe someone spotting you there"
02:53;02:59;"Right, which should also be pretty funny. Hey, aren't you playing tonight? Yep. Are you here by yourself?"
03:01;03:08;"That's right every time I'm in Cleveland I walk over here and I I leave a little note for myself in 20 years I"
03:08;03:12;"Hide a little note for myself in 20 years"
03:12;03:18;"Says, uh, welcome to the hall bro. That's like my Matthew McConaughey speech. It wasn't the day"
03:18;03:22;"Hopefully next time I'm in Cleveland, it'll be like a Tuesday. I'll be on a normal schedule"
03:22;03:28;"I'll roll over there like 11 a.m. On a Tuesday. Where is the open? That sounds like the perfect day"
03:28;03:34;"I bet the concessions at the rock hall are pretty tight. Just picturing that museum restaurant. Ooh"
03:34;03:40;"Actually, I think cuz you know up you go to like an art museum the art museum restaurant"
03:40;03:43;"It's like kind of highbrow, you know"
03:43;03:49;"It's like you're not gonna get like a cheeseburger at like the Metropolitan Museum of Art cafeteria"
03:49;03:51;"It's gonna be like, you know"
03:51;03:57;"Like a tuna salad or like a nice like a classy kind of salad or and even if it's not good"
03:57;04:03;"They're still going to try to present it as elevated almost like an airport restaurant"
04:03;04:05;"Where there's like, you know"
04:05;04:10;"There's an airport restaurant that's kind of come fill your belly at the at the feed station and then you go to some place"
04:10;04:16;"That's branded as like a nicer place and it's basically all the same food. Yeah, so I'm just picturing Rock Hall"
04:16;04:19;"you get like double cheeseburger and like"
04:20;04:26;"16 ounce Budweiser. I mean there really should be like a yard house on site"
04:26;04:29;"Absolutely. That's part of the rock all"
04:29;04:35;"Great food classic rock according to their website to Rock Hall. I mean, come on"
04:35;04:40;"According to the website Rock Hall. I'm looking at I'm trying to find the menu, but this is funny"
04:40;04:48;"Rock Hall members receive 10% discount in the cafe like being a member like if you"
04:48;04:52;"Just happen to live in Cleveland and like well, there's a great resource here in the city"
04:52;04:59;"I wonder does the Rock and Roll Hall of Fame have like a library the scholars go like post up there. I doubt it"
04:59;05:03;"I'm thinking about a little bit just because I've been and we're gonna talk about Bob Dylan later"
05:03;05:10;"But ever since I I went to the Bob Dylan show that Jake helped me score a ticket to even though Jake was not in attendance"
05:10;05:15;"I was not able to attend which was a bummer. But whatever moving on I rolled with the other longstreth"
05:16;05:18;"There's one longstreth is in attendance Dave"
05:18;05:25;"But I've just been like thinking about Bob a lot listening to deeper Bob stuff reading about Bob and I've seen a lot of references"
05:25;05:31;"In recent writing about him in the past five years or something to the fact that he like sold his archive"
05:31;05:34;"to a"
05:34;05:40;"University or a library or something in Tulsa, Oklahoma, right Bob has no specific connection at Tulsa"
05:40;05:43;"Obviously, he's from Minnesota and he's lived in New York and Malibu"
05:43;05:49;"but I think it's like a local Tulsa businessman is maybe like a huge Dylan head and"
05:49;05:54;"He wanted the honor of having the official Dylan archive in"
05:54;05:59;"Tulsa and I guess like really hardcore Dylan fans will roll to Tulsa"
05:59;06:04;"Just to kind of see it and I apparently there's some good stuff in there. There's like never-before-seen footage"
06:04;06:10;"early versions of lyrics and all sorts of writings and scraps and stuff, but I guess um"
06:11;06:19;"You know like hardcore Dylan scholars will go to Tulsa for like two three weeks just to like go through all this stuff like by hand"
06:19;06:22;"So surely if you know, obviously Bob Dylan"
06:22;06:29;"Maybe is like uniquely this kind of literary figure that people love to write about and pour over his lyrics"
06:29;06:36;"But if that's happening at the Bob Dylan archive in Tulsa, I'd imagine that there's some equivalent at the Rock Hall"
06:36;06:41;"Like maybe there's like some British music journalist who like lives in Newcastle"
06:41;06:48;"Who's just like all right going to Cleveland for three weeks. I'll be digging in the archives of the Rock and Roll Hall of Fame"
06:48;06:55;"I'll be eating at the cafeteria three meals a day, you know, just like posting up because I guess that's what scholars do at"
06:55;07:01;"Universities and stuff, right? I'm gonna get a membership to the Rock Hall so I can get that 10% off in the cafeteria"
07:01;07:04;"Let me tell you it's gonna more than pay for itself"
07:04;07:10;"Let me tell you absolutely the Yelp reviews of the Rock and Roll Hall of Fame cafe"
07:10;07:15;"Not positive this one actually from Alex S and Needham Heights"
07:15;07:21;"Massachusetts does or need my it's Maine. Sorry does actually sound like Jake wrote it"
07:21;07:26;"It says one star, please do yourself a favor and eat somewhere else literally anywhere else"
07:26;07:32;"It's a typical reheat situation a flavorless craft crap at a hefty price. I like a typical"
07:32;07:39;"The cheese steaks from Markel and Whittier, California the cheese steaks"
07:39;07:43;"I would even I ordered were awful took a few bites and threw them in the garbage"
07:43;07:45;"Wow for the prices"
07:45;07:53;"I wonder I don't even cook cooking on site if they're just like getting like precooked and prepared hamburgers and cheese steaks"
07:54;07:59;"Delivered like in packaging and then just pop it in a microwave. That's like a weird weird high school cafeteria"
07:59;08:07;"Situation where yeah, everything's like frozen or you just heat it up for safety concerns. We're not licensed to actually"
08:07;08:10;"operate a grill or an open flame"
08:10;08:17;"well, you know what it is because the it's like all of all of the ephemera in history that's in that building is so"
08:17;08:22;"Priceless right the 38 special archives are so priceless"
08:23;08:26;"That they can't risk having an open flame in the building"
08:26;08:28;"See"
08:28;08:30;"You"
08:30;08:32;"Love"
08:33;08:35;"Oh"
08:35;08:37;"You"
08:38;08:40;"Me"
08:40;08:42;"Oh"
09:11;09:14;"A lot of those Yelp reviewers have an axe to grind though"
09:14;09:18;"And so, you know, I would say look at this objectively"
09:18;09:21;"Cleveland's renowned chefs Rocco Whalen"
09:21;09:28;"Fabio Salerno and Jonathan Sawyer all put their heart and soul into the menu and they all have thriving prize-winning"
09:28;09:34;"Restaurants in Cleveland to beyond I look at these men's faces and I see heart and soul here"
09:34;09:39;"And so I would say don't put too much stock into those Yelp Yelp reviews. I see quality in this menu"
09:39;09:45;"But it's so funny how because you always see this with airlines to that the way in which"
09:45;09:48;"Food has become branded you go to some place"
09:48;09:55;"You're on a plane or something and there's some reference to some like high-end chef who has like a five-star restaurant somewhere"
09:55;10:01;"But if they always use really vague language because like of course the chef didn't literally prepare it there"
10:01;10:06;"They're not on the plane and maybe they didn't even like train anybody to make it"
10:06;10:10;"they probably just like sent some vague instructions of"
10:10;10:15;"Like have they even tasted it because I've noticed this phrase popping up here and there chef inspired"
10:15;10:21;"It's like some real like weasel words some real 1984. Yeah, I feel like you'll see like a"
10:21;10:26;"Wolfgang Puck restaurant at the airport. Oh, definitely. Yeah, and it's like the airport"
10:26;10:33;"That's just like some Trump stuff you license your name. You know what actually that reminds me. Yeah one and chef inspired. It's just like"
10:35;10:37;"Chef inspired"
10:37;10:42;"Like presumably all food is chef inspired and that like a chef probably originated"
10:42;10:47;"But what does that mean chef inspired but that reminds me too because I was talking with um, Bayo"
10:47;10:51;"when we were in Cleveland because he caught a"
10:51;10:57;"Mark Wahlberg Chevy license plate in the wild Oh tight"
10:57;11:04;"Have we ever talked about this that mark that there's a series of Chevy dealerships in Ohio that are Mark Wahlberg dealerships"
11:05;11:08;"He's the name on the dealership. Why Ohio?"
11:08;11:13;"It's a great question and it's I feel like there's the type of thing like every time I'm in Ohio"
11:13;11:19;"I'm reminded of it and then I research it and then I forget again and then I get back there and I"
11:19;11:25;"See Mark Wahlberg and like yeah, why Ohio? He's like, I mean, obviously he probably lives in the Hollywood Hills now"
11:25;11:32;"But I lives in Bel Air famously. He's from Boston. Of course, maybe there was an opening in the market"
11:32;11:35;"maybe there was like a big dealership a guy that owned like a"
11:35;11:41;"Some guy owned like nine Chevy dealerships in Ohio that was either going out of business"
11:41;11:47;"Retiring didn't feel comfortable leaving it to his like idiot son and was like, you know what? I'm just gonna sell everything"
11:47;11:52;"Well, let's put it out there. This is like a unique opportunity. That's a good guess"
11:52;11:58;"You're partially right because I looked it up and basically well, first of all, I guess Mark Wahlberg. He's like crazy about business"
11:58;12:06;"He's got Wahlburgers with his brothers and not only do they have Wahlburgers everywhere. They even have a TV show about it"
12:06;12:08;"I think he's got a clothing line"
12:08;12:14;"Obviously, he's got the movies and stuff. He's a big investor in this like Catholic app"
