Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Pearl Jam"
00:02;00:04;"Alice in Chains"
00:04;00:07;"Horse meat sashimi"
00:07;00:10;"It's a very 90s episode of time crisis"
00:10;00:15;"We got some great guests and some great conversation"
00:15;00:19;"Stick around you're not gonna want to miss this one"
00:19;00:22;"here on"
00:22;00:25;"Crisis with Ezra Koenig"
00:25;00:27;"*music*"
00:35;00:45;"All of those great romances they were a threat, robbing me of my rightful chances."
00:45;00:53;"My picture clear, everything seemed so easy."
00:53;01:04;"And so I dealt to the blow. One of us had to go. Now it's different, I want you to know."
01:04;01:15;"One of us is crying, one of us is lying. Leave it on me babe."
01:15;01:21;"Time crisis back again. How many time zones are we in today? I'm in the Japanese countryside."
01:21;01:25;"You got three guys in LA and we got Matt in Brooklyn."
01:25;01:27;"Oh, you're not still on Martha's Vineyard Jake?"
01:27;01:30;"No, I bounced. I bounced yesterday, flew back."
01:30;01:31;"Welcome back."
01:31;01:33;"Thank you. Feels great to be back."
01:33;01:35;"You're spiritually West Coast."
01:35;01:38;"Dipped through Boston very briefly because we flew out of Logan."
01:38;01:39;"Oh, how was that?"
01:39;01:43;"I haven't been there a long time. I'll keep it quick because we have a call that we have"
01:43;01:44;"to get to very quickly."
01:44;01:45;"Yes."
01:45;01:50;"We ate lunch at the Rock Bottom Brewery in Boston. Maybe we could circle back to that."
01:50;01:53;"I'd love to hear about the Rock Bottom Brewery."
01:53;01:54;"Let's just table that."
01:54;01:55;"Not at the airport?"
01:55;02:00;"No, no. It was in downtown Boston, which is even weirder. I would love to just walk you"
02:00;02:04;"through our whole two hour adventure in Boston."
02:04;02:05;"In real time."
02:05;02:06;"But we have two hours."
02:06;02:11;"Well, okay. Let's just scratch the itinerary for the show."
02:11;02:16;"Okay. But yeah, we're about to get a friend of the show, Alex Skordelis on to tell us"
02:16;02:23;"about how somehow time crisis figures into this NBA scandal, which I know very little"
02:23;02:24;"about."
02:24;02:25;"Boston Celtics actually."
02:25;02:28;"Oh, Boston Celtics. Right. Head coach being suspended."
02:28;02:33;"Yeah. When I was in Martha's Vineyard, I got a bunch of texts from Alex. He's basically"
02:33;02:37;"like, ""Has this crossed your desk? The head coach has been suspended for a year. The story"
02:37;02:43;"broke on Twitter about an hour before it did officially from this obscure account that"
02:43;02:48;"only follows 34 people."" And they couldn't figure out who this person was that broke"
02:48;02:54;"the story early. And they follow 34 people and they follow me, you, Seinfeld, and the"
02:54;03:00;"official time crisis account. Sorry, Nick. I don't think you were in the mix on this"
03:00;03:01;"one, but you will be shortly."
03:01;03:07;"I better be. You know, I'm still... Pumpkin Spice Latte official account still won't accept"
03:07;03:12;"my... I don't even know what you call it. My submission to follow them? My request to"
03:12;03:13;"follow them?"
03:13;03:20;"Yeah. That's horse crap. But anyway, so there's some deep secret TC head that broke this."
03:20;03:24;"That's also very connected to the Celtics organization."
03:24;03:28;"We'll get Alex on the phone just to explain this to us. Yeah, because I remember I was"
03:28;03:33;"waking up in Japan, seeing a bunch of texts about the economic heads or tails of it. And"
03:33;03:37;"I didn't even put it together later that the coach, I guess there's this whole other element"
03:37;03:40;"that he was married to the famous actress, Nia Long."
03:40;03:42;"Okay, news to me."
03:42;03:44;"So we're never getting her on Time Crisis now."
03:44;03:47;"Now, let's go to the Time Crisis hotline."
03:47;03:49;"Hey, guys."
03:49;03:50;"Hey."
