Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis back again"
00:02;00:06;"This week we talk about baseball"
00:06;00:09;"the sport and"
00:09;00:13;"The bubblegum"
00:13;00:20;"We also listen to great music from the Doobie Brothers Kim Petras Sam Smith and Barbara Streisand"
00:20;00:25;"All this plus special guest Chris Baio on this week's"
00:26;00:30;"Crisis with Ezra Koenig"
00:48;00:50;"♪ To make my picture clear ♪"
00:50;00:55;"♪ Everything seems so easy ♪"
00:55;00:59;"♪ And so I delve to the floor ♪"
00:59;01:02;"♪ One of us had to go ♪"
01:02;01:06;"♪ Now it's different, I want you to know ♪"
01:06;01:09;"♪ One of us is crying ♪"
01:09;01:12;"♪ One of us is lying ♪"
01:12;01:15;"♪ Even only pain ♪"
01:17;01:19;"- Time Crisis back again."
01:19;01:21;"Got Jake and Seinfeld."
01:21;01:22;"Oh, and here we are."
01:22;01:23;"- What up?"
01:23;01:25;"- In the first minute of the show,"
01:25;01:26;"joined by Chris Baio."
01:26;01:27;"What's up?"
01:27;01:28;"- How's it going?"
01:28;01:29;"Can you hear me?"
01:29;01:31;"- Yeah, loud and clear."
01:31;01:32;"- Beautiful."
01:32;01:34;"- Yeah, beautiful view behind you."
01:34;01:35;"- Where are you?"
01:35;01:37;"- I'm at home."
01:37;01:38;"- Okay, cool."
01:38;01:40;"- I'm at Los Angeles, California."
01:40;01:43;"- Los Angeles, sunny Los Angeles, California on my deck."
01:43;01:44;"- Nice."
01:44;01:46;"- Welcome back to Time Crisis."
01:46;01:48;"We had the idea to have you call in"
01:48;01:52;"'cause to talk a little bit about baseball,"
01:52;01:54;"time it kind of sucks,"
01:54;01:55;"but actually maybe it's perfect."
01:55;01:58;"We can reflect on this season."
01:58;02:01;"So first of all, for people who don't know,"
02:01;02:05;"your first cousin Harrison Bader is on the Yankees."
02:05;02:06;"- Yeah, yeah."
02:06;02:10;"So appreciate the invite, honor and a privilege"
02:10;02:15;"to return to this show as always, no question."
02:15;02:18;"But I've never, I don't know if we've ever,"
02:18;02:20;"if I've ever come on this show to discuss sports."
02:20;02:22;"Have you guys had a lot of sports related guests"
02:22;02:23;"at this point?"
02:23;02:26;"- We've never had a guest just to talk sports."
02:26;02:29;"I mean, the show definitely veers into sports talk."
02:29;02:32;"I think just because it's like adjacent to music,"
02:32;02:33;"you always get a little bit of sports,"
02:33;02:38;"a little bit of cars, sometimes whiskey on rare occasions."
02:38;02:41;"But you're the first time we've ever had somebody call in"
02:41;02:42;"just to talk sports."
02:42;02:46;"And I will say that I definitely think of you"
02:46;02:49;"as a major sports guy in my life,"
02:49;02:53;"'cause I don't know too many guys who truly follow sports."
02:53;02:56;"I guess before we even talk about Harrison and baseball,"
02:56;02:59;"anybody who knows you knows that what you're really"
02:59;03:02;"passionate about is hockey."
03:02;03:04;"- Absolutely, yeah, absolutely."
03:04;03:08;"And I grew up a New York Rangers fan."
03:08;03:11;"My dad had season tickets, went to so many games."
03:11;03:16;"And I kind of had like a relative lull in following it."
03:16;03:18;"Like, you know, we got super busy."
03:18;03:19;"We'd be touring all the time,"
03:19;03:22;"but I'd still always like check out how the team was doing."
03:22;03:26;"But sort of since the pandemic started"
03:26;03:28;"and I really had very little to do"
03:28;03:30;"for long stretches of time,"
03:30;03:34;"I've become truly obsessive about hockey on a level,"
03:34;03:37;"even beyond, you know, what it was like growing up,"
03:37;03:38;"I would say."
03:38;03:42;"And I remember like the Rangers were"
03:42;03:47;"on their Stanley Cup run in 2014"
