Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis, back again."
00:02;00:07;"As the year comes to a close,"
00:07;00:11;"we reflect on everything that's happened,"
00:11;00:12;"everything that's happening now,"
00:12;00:15;"and everything that will happen."
00:15;00:16;"We talk Christmas,"
00:16;00:18;"hoodwink,"
00:18;00:22;"and Jake and I count down our personal"
00:22;00:25;"top five most streamed songs of the year."
00:25;00:27;"This is Time Crisis"
00:28;00:30;"with Ezra Koenig."
00:33;00:40;"♪ They passed me by ♪"
00:40;00:44;"♪ All of those great romances ♪"
00:44;00:47;"♪ They were a belt from beneath ♪"
00:47;00:51;"♪ All my rightful chances ♪"
00:51;00:53;"♪ My picture clear ♪"
00:53;00:58;"♪ Everything seemed so easy ♪"
00:58;01:02;"♪ So I dealt you the blow ♪"
01:02;01:05;"♪ One of us had to go ♪"
01:05;01:06;"♪ Now it's different ♪"
01:06;01:09;"♪ I want you to know ♪"
01:09;01:12;"♪ One of us is crying ♪"
01:12;01:15;"♪ One of us is lying ♪"
01:15;01:18;"♪ In a lonely bed ♪"
01:18;01:21;"Time Crisis, back again."
01:21;01:24;"What's up, Jake?"
01:24;01:25;"Last one of the year."
01:25;01:26;"We made it."
01:26;01:28;"Unbelievable."
01:28;01:29;"What a year."
01:29;01:32;"The next day that Time Crisis would air"
01:32;01:35;"would be Christmas Eve."
01:35;01:36;"So they'll probably just-"
01:36;01:37;"Run a rerun?"
01:37;01:40;"Maybe a rerun or some Christmas music, I don't know."
01:40;01:42;"I feel like we did a Christmas,"
01:42;01:47;"way back when we did like a Christmas episode or two."
01:47;01:48;"Maybe year one or year two."
01:48;01:50;"I remember you and I going through a bunch of like,"
01:50;01:52;"rock Christmas songs"
01:52;01:57;"in like 2015 or 2016."
01:57;02:00;"It's like, oh yeah, Kinks, Father Christmas."
02:00;02:03;"Just the same ones over and over again."
02:03;02:04;"Yeah."
02:04;02:06;"Paul McCartney, Wonderful Christmas Time."
02:06;02:07;"Right."
02:07;02:10;"The Christmas song discourse, it just doesn't change."
02:10;02:13;"I think maybe the young generation,"
02:13;02:16;"the children now will have some new things to say about it."
02:16;02:19;"But I kind of feel like we lived through a time"
