Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis, back once again. On this episode we'll talk new music from the Jonas Brothers,"
00:08;00:16;"new shows from Phish, we'll be joined by Chris Thompson, and we'll get into it."
00:16;00:28;"All of this, plus the greatest hits of 1993. This is Time Crisis with Ezra Koenig."
01:13;01:20;"Alright, Time Crisis back again. Got a big show, we'll be talking some Phish later."
01:20;01:24;"A bunch of us went to the Phish show, but no spoilers, we'll get into that later."
01:24;01:31;"Got Chris Thompson calling in too. First off, Seinfeld, what is this song you've been buzzing about?"
01:31;01:34;"Hey, what's up? Yeah. What are you so excited about?"
01:34;01:39;"Yeah, I just texted the thread on the way to the studio and I just said,"
01:39;01:42;"""Is the Jonas Brothers Waffle House in the top 5?"""
01:42;01:48;"Because I came across this song in the wild this afternoon and I listened to it and I was like,"
01:48;01:53;"""Oh my god, this is a true banger."" And then I was just saying, on the way over,"
01:53;01:57;"I listened to it repeatedly because I got very obsessed very quickly,"
01:57;02:00;"and by the end of the ride here I was just completely over it."
02:00;02:02;"It was too catchy. Too good."
02:02;02:05;"Some songs can be too catchy and you can play them out very quickly."
02:05;02:10;"Right. And also the answer to your question is the song in the top 5 was ""No."""
02:10;02:14;"Yeah, which is surprising to me. That's why we're talking about it now and not saving it for the end."
02:14;02:17;"So, this is a song by the Jonas Brothers called ""Waffle House,"""
02:17;02:21;"so I have to imagine this is a collab with Waffle House."
02:21;02:25;"Maybe they're doing a merch line, maybe doing some funny commercials."
02:25;02:27;"I don't think there's any tie-in. Have you not heard this song?"
02:27;02:30;"No, I haven't heard it. Jake? Not familiar."
02:30;02:33;"I know Nick was blasting it on the way down here too. I was."
02:33;02:38;"Thoughts? I mean, I told you, I was stuck in such terrible traffic and the song is so upbeat."
02:38;02:42;"It definitely had the beginning of a movie sort of energy where, you know,"
02:42;02:45;"someone's stuck in traffic and they're listening to the song and it's getting them through"
02:45;02:50;"and then, you know, there's a big explosion or I'm carjacked or something."
02:50;02:53;"You know what I mean? It's just not saccharine. Let's listen to it."
02:53;02:58;"Okay. I definitely was, at first, when you text a thread and I'm stuck in the traffic"
02:58;03:01;"and you say, ""You guys got to listen to this song right now."""
03:01;03:06;"Also, for you to ask if it's in the top five, only now to learn that it's over a month old."
03:06;03:09;"Okay. Well, sometimes these things are like the grandpa."
03:09;03:11;"I'm sure it's new for a lot of our listeners. Well, alright, let's check it out."
03:11;03:14;"Jonas Brothers with ""Waffle House."""
03:14;03:17;"It's, I guess, it's on their album called ""The Album."""
03:20;03:24;"That's some real, like, 2000s French house move, the filter."
03:30;03:35;"♪ We're nice through gasoline on the fire ♪"
03:35;03:37;"♪ Hey now ♪"
03:37;03:39;"♪ We never knew how to perfect ♪"
03:39;03:41;"♪ Hey now ♪"
03:41;03:43;"♪ We always knew it would work 'cause ♪"
03:43;03:46;"♪ Something misread or something got said ♪"
03:46;03:49;"♪ Now before the night ends ♪"
03:49;03:51;"♪ No, don't get stressed, it's gonna get ♪"
03:51;03:53;"♪ Figured out ♪"
03:53;03:55;"♪ Oh, deep conversation that ♪"
03:55;03:56;"♪ Thought I pulled out ♪"
03:56;04:00;"♪ Had a strong father and a determined mother ♪"
04:00;04:04;"♪ Oh, let's rest some nights, we try to kill each other ♪"
04:04;04:06;"♪ But you know it's always love ♪"
04:06;04:08;"♪ Hey now ♪"
04:08;04:10;"♪ We never knew how to fake it ♪"
04:10;04:11;"♪ Hey now ♪"
04:11;04:15;"- This is a, I've never quite heard anything like this."
04:15;04:16;"It's interesting."
04:16;04:19;"- Wow, that's a surprising reaction."
04:19;04:21;"♪ Fire ♪"
04:21;04:25;"♪ Something misread or something got said ♪"
04:25;04:28;"♪ Now before the night ends ♪"
04:28;04:29;"♪ No, don't get stressed, it's gonna get ♪"
04:29;04:31;"♪ Figured out ♪"
04:31;04:33;"♪ Oh, deep conversation that ♪"
04:33;04:35;"♪ Thought I pulled out ♪"
04:35;04:36;"♪ Had a strong father and a determined mother ♪"
04:36;04:39;"- This is like a Yacht Rock song"
04:39;04:41;"that was translated into Korean"
04:41;04:44;"and then translated back into English."
04:44;04:47;"This is like, it's funny."
04:47;04:49;"- That's the old music critic and edit,"
04:49;04:51;"as we're coming out."
04:51;04:52;"- On the one hand, it's got this sample,"
04:52;04:56;"which of course makes you think of Yacht Rock."
04:56;04:59;"♪ I don't want to kill you, it's always gonna ♪"
04:59;05:02;"♪ Figure it out ♪"
05:02;05:03;"♪ Deep conversation that ♪"
05:03;05:04;"- I'm reading a lot about people"
05:04;05:07;"who are mentioning the Yacht Rock vibe."
05:07;05:09;"- But beyond Yacht Rock, it's K-pop."
05:09;05:14;"- True, but also, that sample we think is Michael McDonald,"
05:14;05:16;"I think is generic enough"
05:16;05:18;"that it's not attributed to anybody."
05:18;05:19;"It's just a vibe."
05:19;05:21;"- It's like a suspended chord."
05:21;05:22;"- Yep."
05:22;05:27;"♪ Bad, bad, bad, bad, bad, bad, bad, bad, bad, bad ♪"
05:27;05:31;"♪ Oh, it's always gonna ♪"
05:31;05:36;"- Well, I like this for them."
05:36;05:37;"- For them?"
05:37;05:37;"- I like it for them."
05:37;05:39;"- Yeah, it's a good direction."
05:39;05:41;"- Oh, I like that for you."
05:41;05:41;"- That's great."
05:41;05:42;"(laughing)"
05:42;05:43;"- I mean, I do have to say,"
05:43;05:47;"I think the Jonas Brothers are consistently interesting."
05:47;05:50;"The Jonas Brothers first came out like 15 years ago,"
05:50;05:51;"then they went their separate ways."
05:51;05:53;"Now they're making kind of more mature music."
05:53;05:55;"This song is genuinely surprising."
05:55;05:57;"It's not throwaway pop music."
05:57;05:58;"This is my first listen."
05:58;06:00;"This is my genuine reaction."
06:00;06:04;"I can picture so well what a kind of like boring,"
06:04;06:06;"late period Jonas Brothers album would sound like,"
06:06;06:09;"just generic whatever pop."
06:09;06:11;"They do always like punch above."
06:11;06:13;"And even as solo artists, they punch above."
06:13;06:16;"Joe, he had his group that had the hit song,"
06:16;06:18;"""Cake by the Ocean."""
06:18;06:20;"And even then, there's something about that song."
06:20;06:22;"There's something just like a little bit weirder about it"
06:22;06:23;"than you'd expect."
06:23;06:25;"♪ Cake by the ocean ♪"
06:25;06:26;"- We've talked about ""Cake by the Ocean."""
