Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Hello, this is Rashida Jones."
00:03;00:12;"You're listening to Time Crisis, back again, today, with a Gen X edition of the Top 5."
00:12;00:16;"And Ask Me Anything with Jake."
00:16;00:19;"I think you'll enjoy it."
00:19;00:24;"This is Time Crisis with Ezra Koenig."
01:13;01:18;"Time Crisis, back again. What's up, fellas?"
01:18;01:23;"Well, this is old school. This is some 2020, 2021 stuff."
01:23;01:25;"Talking over FaceTime."
01:25;01:30;"Back on FaceTime. Had a little bit of laryngitis this week. Can you tell?"
01:31;01:32;"Honestly, no."
01:32;01:34;"Interesting."
01:34;01:36;"Did you get it on a Monday? Because I saw you Sunday."
01:36;01:41;"Literally, when I left the Richard Pictures show, my voice started disappearing on the ride home."
01:41;01:50;"And then I had two full days of... I must have had some kind of virus or something, but then manifested as laryngitis, which I haven't had in a long time."
01:50;01:57;"It wasn't that bad, but I always find it extra psychologically stressful because it just reminds me of losing my voice on tour."
01:57;01:59;"Yeah, can't even imagine."
02:00;02:07;"But yeah, it started coming back and still feel a little bit hoarse, so maybe I'll lay low a bit on this ep."
02:07;02:11;"See, I don't want to push it too far."
02:11;02:16;"I'll see if I can have the plane take off and then successfully land the plane."
02:16;02:22;"We got some great Jake AMA questions, which Seinfeld pulled from the internet."
02:22;02:24;"So I can always bail for that."
02:24;02:29;"And then Rashida says she's down to jump in for the top five."
02:29;02:30;"Oh, great."
02:30;02:32;"So I think we're good."
02:32;02:35;"You're not even going to listen. You're just going to bail."
02:35;02:39;"When Jake starts answering questions, you'll just go to the other room."
02:39;02:42;"I've heard enough of this blowhard."
02:42;02:49;"I'm going to go gargle with salt water."
02:49;02:51;"Hell yeah."
02:51;02:55;"OK, so wait, we got an email about a hundred gecks."
02:55;02:57;"Everybody's talking about a hundred gecks."
02:58;03:01;"There were a few hundred gecks tweets in the AMA."
03:01;03:03;"Oh, and plus an email."
03:03;03:05;"So we might as well lead with it."
03:05;03:07;"Hello TC family, this is a question for Jake."
03:07;03:13;"I've been listening to the new hundred gecks album, Ten Thousand Gecks, and realized that their music is very similar to Ween."
03:13;03:18;"Jake talks a lot about how much he loves Pure Guava, and the gecks are pretty similar to that album specifically, in my opinion."
03:18;03:21;"Would love to know if he's even heard of the gecks, and if so, what he thinks."
03:21;03:25;"Thanks, Anna, long time listener and attendee of the Webster Hall Show."
03:25;03:27;"Thanks for coming, Anna."
03:27;03:29;"Jake, are a hundred gecks on your radar?"
03:29;03:30;"Yes."
03:30;03:31;"OK."
03:31;03:35;"I've listened to the album one and a half times."
03:35;03:36;"Are you seeing the Ween connection?"
03:36;03:38;"Oh, for sure."
03:38;03:44;"I listened to it a few months ago, and it came out, and there was a lot of buzz around it for three days."
03:44;03:46;"Yeah."
03:46;03:54;"Checked it out while I was in the car, and then this afternoon I was going through some of the questions, and I remembered that email, so I threw it on again."
03:55;04:04;"Definitely see the Ween connection. Deliberately clumsy drum machines, and all over the place references."
04:04;04:15;"Deliberately bad music that will suddenly turn and become a little more poetic, or verging on beauty at times."
04:16;04:27;"I dig it. I mean, am I going to throw it on a lot? No, but yeah, there's some sort of pathos in the humor, and some goofy musical references, and I can see it."
04:27;04:29;"There you have it. Jake's take."
04:29;04:33;"Yeah. I'm a light endorsement."
04:33;04:41;"I haven't listened to the new album, but I've been working hard on the Vampire Weekend album, so I'm kind of in a zone."
04:42;04:52;"I've always liked them, and I remember I have Kevin, who Nick also knows, who's a very old friend of Ariel's."
04:52;05:09;"They kind of came up together in the Southern California ska scene, and as I was a big fan of ska in the '90s, sometimes the three of us talked ska, and Kevin would often
send us ska memes, things of that nature."
05:10;05:18;"And anybody who grew up in the '90s liking third wave ska, there's always been a lot of buzz about when is the fourth wave of ska going to happen."
05:18;05:23;"And for anybody, I assume, do I need to do a quick rundown of the waves of ska?"
05:23;05:26;"Please. Sure. Let's do it."
05:26;05:31;"Always happy to. I've been doing it for about 30 years now."
05:32;05:41;"The first wave of ska is 1960s Jamaica, a precursor to reggae, of course."
05:41;05:51;"And so you can picture the famous artists, the Scottilites, Desmond Decker, early Jamaican 1960s pop music."
05:51;05:53;"Early Bob."
05:53;05:59;"Yeah, even early Bob you could call ska. Probably the best known international song would be ""My Boy Lollipop."""
06:18;06:31;"The second wave would be the kind of English punky wave. The Specials, Madness, The Selector, the English beat, known as the beat in England, stuff like that."
06:31;06:35;"The Clash, you could say. They were doing some of that."
06:43;06:49;"And then third wave would be kind of 90s, maybe starting in the late 80s, but that wave of kind of punky ska."
06:49;06:56;"Maybe for a lot of listeners, the famous example would be the Mighty Mighty Bostones, because they broke open."
07:01;07:04;"Rancid, doing their thing."
07:05;07:14;"But that's for a lot of Americans, I think people picture when you hear the word ska, they immediately picture like a somewhat dorky version of punk from the 90s."
07:14;07:22;"Like a kind of, you know, a dorky punk band with a horn section. But there's still a lot of great stuff in that era. It's unfairly maligned."
07:22;07:28;"So anyway, those are the three waves of ska. We've all been waiting patiently for a fourth wave of ska."
