Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis back again"
00:02;00:09;"It's the middle of August the dog days of summer. Are you hot? Don't blame us. We didn't start the fire"
00:09;00:17;"We'll be talking about fallout boys month-old cover of the Billy Joel classic plus light funky ones"
00:17;00:21;"Farmer country and"
00:21;00:24;"Christine Aguilera all this and more"
00:24;00:29;"With Ezra Koenig"
00:29;00:31;"Yeah"
00:31;00:33;"I"
00:35;00:37;"Oh"
00:41;00:43;"I"
00:43;00:45;"Oh"
00:48;00:52;"My picture clear everything seems so easy"
00:52;00:54;"Oh"
00:54;01:20;"Time crisis back again. It's the dog days of summer"
01:21;01:23;"How you fellas doing"
01:23;01:26;"Jake pretty good"
01:26;01:29;"we were talking we were talking before the show started and"
01:29;01:31;"Nick was"
01:31;01:38;"In about you know how the summer is torched and LA's, you know blown out and I love summer"
01:38;01:40;"I think it's the best season. I"
01:40;01:45;"Like the heat. I like the long days. I'm a summer guy dude always have been"
01:45;01:52;"Even in LA. Yeah, but you grew up in the you grew up in the tri-state area summertime in Connecticut beautiful"
01:52;01:54;"tall leafy trees"
01:54;01:59;"Cool overcast days. Yeah, those kind of interesting"
01:59;02:05;"East Coast days where it feels like it's gonna rain all day right dog days of summer and sometimes it never does"
02:05;02:11;"Just a pregnant summer day on the East Coast. Hmm. Love it. You like summer in Southern, California"
02:11;02:15;"Yeah, I do. Like I said, I like the long days. I don't really mind the heat"
02:15;02:19;"I mean if it gets up to like what's my cutoff? Yeah low hundreds then it starts to be like a bummer"
02:19;02:23;"Most days are what high 80s low 90s"
02:23;02:25;"It's been a nice summer"
02:25;02:30;"I think people are so like up in their heads about summer in a way that they didn't used to be I"
02:30;02:34;"Think it's nice to do with climate change. I think like 20 years ago a hot day"
02:34;02:40;"He would like yeah, it's hot out, but they wouldn't like have this like kind of spiritual sense of"
02:40;02:42;"malaise or or even"
02:43;02:47;"Anxiety about it. You're right. It is because of climate change and"
02:47;02:53;"people increasingly see a hot day, you know, perhaps for good reason as"
02:53;03:00;"Yeah a harbinger of their impending death and everybody else's death. But yeah, maybe that's a little bit extra"
03:00;03:03;"Yeah back in the days. It's just like you'd be looking like music"
03:03;03:06;"Old school to be like hot time summer"
03:06;03:13;"Yes, you might look at it as challenging but kind of like a welcome challenge those summer"
03:13;03:15;"nights"
03:15;03:20;"Yeah, like hot summer fun. Yeah, okay that it's not who how hot is it gonna get Wow"
03:20;03:23;"Whereas now people got that summertime sadness"
03:23;03:30;"Which is kind of launched the career of Lana del Rey that was her first really big hit because clearly it spoke to people"
03:30;03:34;"They don't want to hear a hot fun in the summertime song. They wanted summertime sadness"
03:34;03:36;"Kiss me hot before you go"
03:36;03:41;"Summertime sadness"
03:41;03:45;"I just wanted you to know"
03:45;03:48;"The baby"
03:48;03:53;"I got my red dress on tonight"
03:53;03:56;"dancing in the dark in the"
03:58;04:02;"Dumb hair up real big beauty queen style"
04:03;04:05;"Hi heels off"
04:05;04:07;"I'm feeling"
04:07;04:09;"Oh"
04:11;04:13;"I"
04:17;04:19;"Oh"
04:19;04:21;"I said"
04:21;04:23;"Me"
04:23;04:35;"I just"
04:35;04:37;"I"
04:37;05:03;"So Jake is pro summer but Nick you're more of a you're more anti summer summertime sadness guy"
05:03;05:05;"I mean, I wouldn't say I'm anti summer"
05:05;05:10;"I just I really feel the summertime sadness and I don't know and it's the last few years"
05:10;05:13;"So I I want to maybe I want to be pro summer"
05:13;05:20;"I I'm definitely like very into air, you know Jake's energy on this because I would feel he seems so upbeat about it"
05:20;05:23;"There's a thing first of all it is. I don't know if it's just"
05:23;05:28;"My neck of the woods, but it's very hot. There's been no like 80s. We're in like"
05:28;05:32;"mid 90s to 100 every day and"
05:32;05:37;"I think this is what may be going on. One is you guys have young also younger kids"
05:37;05:42;"There's a thing especially at Max's age where he's a bit older and he's not in school"
05:42;05:46;"And so you're and you don't want him just like I don't want him just like on"
05:46;05:52;"Playing video games all day long. You know what I mean? So it's like that's those school hours good for hand-eye coordination"
05:52;05:55;"It's you know that"
05:55;05:58;"Can he go?"
05:58;06:00;"He certainly told me really good"
06:02;06:03;"Yeah, exactly"
06:03;06:08;"So you're dudes like that kind of like Oh most of the day he's in school and you're able to like oh"
06:08;06:10;"I'm gonna like I can get this work done or I can"
06:10;06:16;"you know accomplish this like that sort of is out the window like summer becomes like a lot of work in a way and"
06:16;06:19;"You're in the middle of it. It's sort of probably like that"
06:19;06:24;"But then you'll find this like respite for these years, you know, once your kids in like full school mode"
06:24;06:29;"You're like, oh man, those like weekdays are like chill and then summer just becomes can can be just a lot"
06:29;06:35;"You know, it can be really a lot and you can't it's too hot just to say jump on your bike"
06:35;06:39;"Dude, I got in the neighborhood kids go catch frogs down by the creek and be like dad. It's a hundred"
06:39;06:43;"It's it's a hundred and eleven degrees. I'm not doing that. Yeah, I got this, you know"
06:43;06:50;"I got this big-ass dog that normally wants to walk for miles you get him outside right now"
06:50;06:54;"He's just like will not move and it's just sort of say I don't know if I left the house today"
06:54;06:58;"You know, I'll step outside but and take the dog out but it's I'm telling you summertime"
06:58;07:01;"I'm Siberian Husky close. It's a"
07:01;07:06;"Samoyed so yeah, big hairy free not meant to be in not meant to be in so in LA"
07:06;07:08;"Yeah, not a so not a SoCal dog"
07:08;07:10;"But you know this, you know"
07:10;07:15;"The other thing that we've talked a lot about is I had a teacher or a professor in college that you I think you took"
07:15;07:20;"A class with as well. Yeah, the legendary and Douglas of Columbia University"
07:20;07:26;"It was just the best and we took a film noir. I took a film noir class. I've often referenced to you"
07:26;07:31;"I don't think on the show and it was like talking about New York versus LA noir and how in New York"
07:31;07:35;"It's all shadows and it's all the sit, you know, like it's all secret alleyways, you know"
07:35;07:38;"And and that's where the sinister stuff happens and in LA"
07:38;07:45;"Yeah, it's just pulled into a dark alleyway in New York City pulled into the darkness and in LA darkness is the enemy"
07:45;07:52;"Yeah, and in LA the Sun is the enemy that the Sun is so there's you can't it's so oppressive and it's so there's no"
07:52;07:57;"There's no shadows that it's just like everything is seen and when it's summertime, baby"
07:57;08:02;"Feel it feels sinister. Yeah, I feel you the sinister son of Southern, California"
08:02;08:05;"Mm-hmm the sinister son of Southern, California"
08:05;08:13;"Yeah, that's the classic LA noir is somebody like hold up in a house looking through Venetian blinds as"
08:13;08:17;"Like that bright harsh Sun creeps in"
08:17;08:22;"And soon he'll walk to his death because he thought he'd never feel this way again"
08:22;08:29;"If he goes back to the house then things will go from bad to worse what could he do?"
08:29;08:36;"He wants to remember things exactly as he left them on that funny day"
08:36;08:46;"And if there is something else beyond he isn't scared because it's bound to be less boring than today"
08:46;08:49;"Bound to be less boring than tomorrow"
08:49;09:10;"Hillary went to her death because she couldn't think of anything to say"
09:13;09:17;"Everybody thought that she was boring so they never listened anyway"
09:17;09:24;"Nobody was really saying anything of interest she fell asleep"
09:24;09:33;"She was into S&M and Bible studies not everyone's cup of tea she would admit to me"
09:33;09:40;"A cup of tea she would admit to no one a cup of tea. She would admit to me"
09:41;09:43;"a cup of tea she would admit to no one"
09:43;09:48;"Maybe you got to just try framing it as a"
09:48;09:54;"You know how there's like just like random dudes who are like into trains or like"
