Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis"
00:02;00:06;"Number 200"
00:06;00:11;"After 398 hours of content"
00:11;00:16;"We're finally ready to take it all the way to 400"
00:16;00:19;"We'll take a walk down memory lane"
00:19;00:21;"And talk to some TC legends"
00:21;00:25;"All this, plus new music"
00:25;00:27;"From Oliver Anthony Music"
00:27;00:30;"This is Time Crisis"
00:30;00:32;"With Ezra Koenig"
00:37;00:39;"They passed me by"
00:39;00:42;"All of those great romances"
00:42;00:46;"You were a pelt from beneath"
00:46;00:49;"All my rightful chances"
00:49;00:52;"My picture clear"
00:52;00:57;"Everything seemed so easy"
00:57;01:00;"And so I dealt you the blow"
01:00;01:03;"When a bus had to go"
01:04;01:08;"Now it's different, I want you to know"
01:08;01:11;"One of us is crying"
01:11;01:14;"One of us is lying"
01:14;01:18;"He's a lonely man"
01:18;01:23;"Time Crisis, back again, episode 200"
01:23;01:26;"Alright lads, we did it"
01:26;01:30;"Can you believe that? 200 episodes, 400 hours of content"
01:30;01:32;"I can believe it"
01:32;01:34;"We've been doing this 8 years"
01:34;01:36;"8 years?"
01:36;01:38;"Well, yeah, 8 years"
01:38;01:39;"Good God"
01:39;01:40;"That's insane"
01:40;01:42;"Started in 2015, it's 2023"
01:42;01:46;"I mean, compared to a lot of shows, 200 episodes, that's nothing"
01:46;01:47;"That's true"
01:47;01:49;"But we're slow and steady"
01:49;01:51;"We gotta grind even harder"
01:51;01:54;"We've been grinding pretty hard the past 8 years"
01:54;01:56;"Coming up with 400 hours of content, but"
01:56;01:59;"What I'm hearing is that we need to grind even harder"
01:59;02:00;"Buckle down"
02:00;02:03;"Yeah, I guess it does feel like, when you put it that way, 8 years"
02:03;02:05;"I know, it's really messed up"
02:05;02:08;"That it's been 8 years"
02:08;02:09;"Crazy"
02:09;02:11;"One, that time would go by that fast"
02:11;02:12;"Yeah"
02:12;02:15;"And that two, we would still be doing this, like, dumb show"
02:15;02:16;"Yeah"
02:16;02:18;"The good part about it is"
02:18;02:20;"That the reason it doesn't feel like 8 years"
02:20;02:24;"Is because we do it at a leisurely pace"
02:24;02:26;"And the truth is"
02:26;02:28;"Whether mics or not"
02:28;02:30;"Apple music or not"
02:30;02:32;"This show is happening"
02:32;02:33;"This is just our life"
02:33;02:34;"It's true"
02:34;02:35;"We live this sh*t"
02:35;02:39;"We're not like some of these internet radio shows"
02:39;02:41;"And/or podcasts"
02:41;02:44;"People are just, you know, tilling the earth"
02:44;02:46;"Trying to create content"
02:46;02:48;"We would be having these exact same conversations"
02:48;02:50;"No matter what"
02:50;02:52;"We're gonna take some walks down memory lane"
02:52;02:55;"As I think we need to on episode 200"
02:55;02:56;"We've got some special guests"
02:56;02:59;"And we'll be looking over a bit of TC history"
02:59;03:01;"But before we get into that"
03:01;03:03;"I wrote myself a note on my phone"
03:03;03:05;"I wrote this a week ago"
03:05;03:07;"I wrote, ""Next TC"
03:07;03:10;"Duncan Pumpkin Spice Signature"""
03:10;03:14;"So I must have seen something that I thought would be good for Time Crisis"
03:14;03:17;"Can you guys get something up about that?"
03:17;03:19;"Okay, so I see there's a Duncan ad that says"
03:19;03:21;"""All in on pumpkin"""
03:21;03:23;"""A fresh way to pumpkin at Duncan"""
03:23;03:27;"""New pumpkin cream cold brew, pumpkin spice signature latte"""
03:27;03:30;"""And more fall into Duncan restaurants earlier than ever before"""
03:30;03:33;"And there's a press release on the Duncan website"
03:33;03:37;"It's dated August 11th, 2021"
03:37;03:39;"Okay, so we're really late on this"
03:39;03:42;"Maybe this is something that they do every summer now"
03:42;03:47;"""It may still be warm outside, but Duncan is turning up the pumpkin heat"""
03:47;03:50;"""Earlier than ever before with an incredible fall menu"""
03:50;03:54;"So I guess Duncan's been kind of playing catch up with Starbucks for a while"
03:54;03:57;"The thing that's been cracking me up about it is"
03:57;03:59;"There's something about"
03:59;04:02;"And of course, I love Duncan, I ride for Duncan"
04:02;04:05;"But obviously, when people think of a pumpkin spice latte"
04:05;04:07;"They think of Starbucks"
04:07;04:12;"Starbucks is why the PSL is a part of the public consciousness"
04:12;04:16;"And there's something that I kind of love about"
04:16;04:19;"Duncan having to name their pumpkin spice latte"
04:19;04:21;"And you can totally imagine somebody's like"
04:21;04:26;"""Well, we don't want to seem like we're just kind of playing catch up with Starbucks"""
04:26;04:30;"And somebody says like ""Let's make it seem like almost like we own this"""
04:30;04:33;"Someone's like ""Pumpkin spice signature latte"""
04:33;04:39;"It's like backwards engineering, as if this is Duncan's signature drink"
04:39;04:42;"They're working so hard to try to seem like"
04:42;04:45;"""Yeah, we've always been doing this, it's our signature latte"""
04:45;04:49;"What does that even mean? ""Pumpkin spice signature"""
04:49;04:52;"It's a little bit sad, but it's also kind of funny"
04:52;04:56;"If I wanted a pumpkin spice latte, I would go to Duncan over Starbucks"
04:56;04:57;"Oh, absolutely"
04:57;05:01;"I mean, the problem is that they're rolling this out way too early"
05:01;05:05;"It's late August, it's 98 degrees outside"
05:05;05:07;"In some parts of the country"
05:07;05:10;"I guess you could get... Can you get that as an iced pumpkin?"
05:10;05:12;"That sounds nasty"
05:12;05:14;"Oh yeah, there's plenty of iced pumpkins"
05:14;05:16;"Yeah, any of that sort of iced frap"
05:16;05:17;"And Starbucks is..."
05:17;05:22;"Corn syrup, coffee drinks, that's not my jam"
05:22;05:24;"I'm picturing it's like a cold November day"
05:24;05:28;"The leaves are down, it's 42 degrees"
05:28;05:29;"It's windy"
05:29;05:33;"Yeah, of course, that's when it's going to really be hitting"
