Start Timestamp;End Timestamp;Transcript
00:00;00:05;"Time Crisis, back again."
00:05;00:09;"As we enter a new era, we delve into an identity crisis."
00:09;00:16;"But that doesn't last long, as we listen to great music from the Grateful Dead, Queen,"
00:16;00:20;"Poison, and Marvin Gaye."
00:20;00:27;"This is Time Crisis with Ezra Koenig."
00:27;00:37;"They passed me by, all of those great romances."
00:37;00:44;"They were a felt, robbing me of my rightful chances."
00:44;00:51;"My picture clear, everything seemed so easy."
00:51;00:58;"And so I dealt to the blow, one of us had to go."
00:58;01:03;"Now it's different, I want you to know."
01:03;01:09;"One of us is crying, one of us is lying."
01:09;01:13;"Keep it only there."
01:13;01:16;"Time Crisis, back again."
01:16;01:23;"Alright fellas, we got a crisis emergency. A Time Crisis crisis."
01:23;01:28;"Seinfeld, you want to walk us through this? What's happening with our beloved internet radio show?"
01:28;01:38;"I feel like I should start this off by saying that the Time Crisis remains an internet radio show, but is now available on Apple Podcasts."
01:38;01:54;"My understanding is that this was a decision made by people at Apple Music that they have all this great content, like Time Crisis, Elton John's show, Mark Hoppus's,
all sorts of shows."
01:54;02:02;"And they thought, we can't just have this only available to the people who listen to internet radio, we gotta bring it out to the larger podcast world."
02:02;02:12;"So I think what you have is a classic 80s, 90s indie rock situation where we were out here doing our own thing, internet radio."
02:12;02:22;"And we built something cool, we built a cool cult following, a community, and then a big corporation comes and says, ""Hey guys, we want to take you mainstream."""
02:22;02:30;"What's unusual about this situation is that it's not Warner Brothers trying to poach us from SST Records, it's the same company, man."
02:30;02:34;"It's crazy, man, it's the same company."
02:34;02:41;"It's Apple, came to Apple and said, ""We like what these guys are doing, we want to take it to the big time."""
02:41;02:44;"And Apple said, ""How much are you willing to pay us?"""
02:44;02:48;"And Apple said, ""We'll give you a few..."""
02:48;02:52;"Apple goes to Apple and says, ""Hey, have you ever heard of this show?"""
02:52;03:01;"Actually, I was just reading about this when Nirvana was famously on Sub Pop Records, they put out Bleach on Sub Pop."
03:01;03:11;"And then Geffen came to them and said, ""We want to sign Nirvana,"" and I think Nirvana was ready to take that step to a major label."
03:11;03:24;"And Geffen paid Sub Pop $75,000 to get them out of their contract, but they guaranteed Sub Pop three points on the next two Nirvana albums."
03:24;03:29;"Three points meaning 3% of, I don't know, I guess the list price."
03:29;03:30;"The net or the gross?"
03:30;03:33;"Yeah, that's a good question. Maybe the gross, I don't know."
03:33;03:40;"But, you know, three points, 3% of something might not sound like enough, but 3% of Nevermind, that saved Sub Pop."
03:40;03:43;"And then, of course, Bleach started selling too."
03:43;03:48;"So, apparently Sub Pop was on the verge of going bankrupt right before that all happened."
03:48;03:59;"Yeah, so in this case, I think Apple Podcasts went to Apple Music and said, ""We'll give you $75,000 for TC plus three points on the podcast revenue."""
03:59;04:07;"Let's get these guys out of the backwoods and into the spotlight, into the acid glare of mainstream podcast culture."
04:07;04:15;"We used to have a cool kind of small community of us, Elton, Mark Hoppus."
04:15;04:18;"I mean, I remember St. Vincent still do a show."
04:18;04:19;"I mean, the truth is only-"
04:19;04:20;"Heim Sisters."
04:20;04:24;"Heim Time. I don't think they've done that in a minute."
04:24;04:32;"The only people who've been doing it from the jump at this point without breaks, I believe this is true, is Time Crisis and Elton John's show."
04:32;04:40;"But we had this cool kind of small, culty community based in the small college town of Los Angeles."
04:40;04:48;"And then just us and Elton and the crew making zines, doing internet radio the way we wanted to."
04:48;04:54;"And now they're throwing us out there in the mainstream with the Joe Rogans and the Dax Shepherds and the Office Ladies."
04:54;05:01;"How many TC heads are now going to say, ""I was there back in the day. These guys sold out."""
05:01;05:05;"It definitely changed them."
05:05;05:06;"It went to their heads."
05:06;05:11;"A truly hardcore TC head would be like, ""I've listened to that internet radio show for a long time."""
