Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis."
00:02;00:04;"Back again."
00:04;00:07;"What's that sound?"
00:07;00:10;"Sounds like glass hitting the pavement."
00:10;00:15;"Oh, it's just the new album from Rolling Stones, Hackney Diamonds."
00:15;00:25;"All this, plus Major League Baseball, and the top hits of 1964 and today."
00:26;00:31;"This is Time Crisis with Ezra Koenig."
00:32;00:36;"Time Crisis"
00:37;00:43;"They passed me by, all of those great romances"
00:43;00:50;"They were a belt from a knee, all my rightful chances"
00:50;00:57;"My picture clear, everything seemed so easy"
00:57;01:04;"And so I dealt to the floor, when a bus had to go"
01:04;01:09;"Now it's different, I want you to know"
01:09;01:15;"One of us is crying, one of us is lying"
01:15;01:19;"In a lonely bed"
01:19;01:22;"Alright, Time Crisis, back again."
01:22;01:26;"There's that classic first set energy."
01:26;01:28;"Oh yeah."
01:28;01:31;"I'm still tuning, I'm not ready."
01:31;01:34;"The band started, the band started without me."
01:34;01:39;"Everybody just kind of wandering onto the stage haphazardly."
01:39;01:41;"Did the Dead have set lists or not?"
01:41;01:43;"I'm not clear on this."
01:43;01:46;"They must have discussed what they're going to open with though."
01:46;01:48;"Or did Jerry just call it?"
01:48;01:53;"They must have been backstage being like, ""Okay, let's open with Johnny B. Goode and then we'll go into He's Gone."""
01:53;01:57;"Right? Or they just had no, they walked out with no plans."
01:57;02:04;"It's a good question about the first song because, I mean, they claim Jerry was just kind of making game time decisions throughout the show."
02:04;02:12;"And you can tell when you watch like a footage of an old show if he's kind of just like, you know, a song finishes and he's just..."
02:12;02:15;"And they're like, ""Okay."" And then they follow him."
02:15;02:16;"Yeah."
02:16;02:19;"But yeah, first song, that's a good question."
02:19;02:22;"You think they're walking in, no idea."
02:22;02:28;"Everybody gets their s*** together and then Jerry just starts playing something? It always starts with him?"
02:28;02:32;"I think there's shows that open with like a Bobby song sometimes."
02:32;02:37;"But you think Jerry just starts playing like a Bobby song, Bobby's like, ""Oh s***,"" walks up to the mic."
02:37;02:43;"I don't know. This is the whole query about the first song. I mean, I've always wondered this."
02:43;02:48;"I mean, I assume this is like common knowledge for the hardcore Dead."
02:48;02:49;"Oh yeah, I'm sure."
02:49;02:56;"This is funny. I'm reading a Steve Hoffman forum. It says, ""I don't think,"" obviously, grain of salt."
02:56;03:01;"This is somebody that might not know anything, but they said, ""I don't think they did set lists."
