Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Time Crisis, back again."
00:02;00:10;"On today's episode, we'll be joined by author and screenwriter, Carson Mel."
00:10;00:17;"We'll dig deep on the Jay Giles Band and their potential connections to Bruce Springsteen."
00:17;00:26;"All that, plus new music from Jungkook, Taylor Swift, and old music from Mary Hopkin."
00:27;00:32;"This is Time Crisis with Ezra Koenig."
01:19;01:22;"Time Crisis, back again."
01:22;01:23;"What up?"
01:23;01:25;"What's up, Jake? What's up, Seinfeld?"
01:25;01:27;"You see what I'm holding up here?"
01:27;01:29;"Wow. A Snickers."
01:29;01:33;"This is one of, I think we've discussed this on the show before,"
01:33;01:37;"this is one of probably a half dozen Snickers I'll eat this year."
01:37;01:38;"[laughs]"
01:38;01:42;"This was a desperation move ten minutes before showtime."
01:42;01:47;"I'm working in my studio, I'm like, ""Uh-oh, we're taping in ten."
01:47;01:48;"I'm going to be hungry."""
01:48;01:52;"Made a quick run to the corner store, picked up a six-pack and a Snickers."
01:52;01:55;"Are you going to drink beer as you eat the Snickers?"
01:55;01:59;"Yeah, well, I'm working on some peanut M&Ms right now, so I'm doing the candy beer combo."
01:59;02:02;"Beer and candy has always been a weird combo."
02:02;02:04;"Dude, it's a weird combo."
02:04;02:11;"Honestly, being 46 on the doorstep of 47 and rocking beer candy is hitting kind of rough right now."
02:11;02:16;"I smell beer and candy. Yeah."
02:16;02:20;"Actually, can we throw on Sex and Candy? Have we ever talked about this, Jake?"
02:20;02:21;"I'm actually very curious."
02:21;02:23;"I don't think we have."
02:23;02:26;"Okay, take me back to '97."
02:26;02:30;"You're hearing Sex and Candy by Marcy Playground everywhere."
02:30;02:36;"What's the 20-year-old collegiate GBV fan Jake thinking about this song?"
02:36;02:38;"I never liked the song."
02:38;02:43;"Hanging around downtown by myself."
02:43;02:44;"Big Nirvana."
02:44;02:48;"I had so much time to sit and think about myself."
02:48;02:49;"This verse."
02:49;02:51;"And there she was."
02:51;02:58;"Oh, totally, but then the delivery is almost little Malcomus, dinosaur, disaffected."
02:58;02:59;"No."
02:59;03:01;"But Kurt had that gear."
03:01;03:03;"It sounds a little bit like Malcomus to me."
03:03;03:08;"I smell sex and candy."
03:08;03:13;"Who's that lounging in my chair?"
03:13;03:17;"I can honestly see this being a pavement song, but with a different groove."
03:17;03:24;"This guy's kind of leaning into this nasty, kind of sexy groove."
03:24;03:25;"Right."
03:25;03:30;"Yeah, mama, this surely is a dream."
03:30;03:33;"How about this for a cover band?"
03:33;03:37;"We cover songs in the style of pavement."
03:37;03:43;"So we take more mainstream alternative rock radio hits from the '90s"
03:43;03:44;"and just do them a little pavement."
03:44;03:47;"For instance, Marcy Playground, it's not a million miles away,"
03:47;03:49;"but we do it more of a pavement groove."
03:49;03:50;"Yeah."
03:50;03:51;"The guitars get a little noisier."
03:51;03:52;"Yeah, I like that."
03:52;03:57;"In platform double suede, yeah, there she was."
03:57;04:00;"Yeah, this could honestly--it'll have those kind of cool turnarounds."
04:00;04:03;"This could have been on Bright in the Corners."
04:03;04:09;"I smell sex and candy."
04:09;04:12;"Who's that lounging in my chair?"
04:12;04:16;"It is a great chorus, and it's admirably restrained."
04:16;04:22;"Yeah, my memory of this is that it was way more kind of like funk inflected,"
04:22;04:27;"and it's much more, like you said, kind of more of a comic or something."
04:27;04:31;"Yeah."
04:31;04:39;"But I didn't like it because it was like, oh, this is the major label radio version of better bands."
04:39;04:43;"I was a snobby 20-year-old."
04:43;04:46;"I smell sex and candy."
04:46;04:49;"And I guess for me, I think of pavement because it's just a touch of--"
04:49;04:52;"A shady lane everybody wants one."
04:52;04:53;"Yeah."
04:53;04:56;"No, it's not a million miles from something on Bright in the Corners."
04:56;04:57;"Wait, when did Bright in the Corners come out?"
04:57;05:00;"'97."
