Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, back again. On this week's episode we hear new music from Vampire"
00:07;00:14;"Weekend and old music from Jay Gahl's band, two of the great East Coast"
00:14;00:20;"institutions of rock. All that, plus we're joined by extraordinary documentary"
00:20;00:28;"filmmaker Lance Oppenheim to talk about his new film Sperm World. This is Time Crisis"
00:28;00:32;"with Ezra Koenig."
01:19;01:26;"Time Crisis, back once again. One of our brothers is not here with us tonight."
01:26;01:34;"Seinfeld, he's got a day job. Don't quit your day job. Wait, have we ever talked on"
01:34;01:38;"this show about the fact that the Grateful Dead had a song, I don't think"
01:38;01:43;"they ever recorded in a studio, that they played in the late 70s early 80s that"
01:43;01:47;"was a Hunter Garcia composition called Don't Quit Your Day Job."
01:47;01:51;"I don't know this song. See if we can find a recording of Don't Quit Your Day Job."
01:51;01:55;"I listened to it once or twice, it didn't make a big impression, but what I found"
01:55;02:01;"interesting about it was that apparently the Deadheads did not respond kindly to"
02:01;02:07;"the sentiment. Was it like quit following us around? Well, like Ship of Fools kind of"
02:07;02:14;"like. Right, let's look at the actual lyrics. Still got to work that eight hour"
02:14;02:18;"day whether you like that job or not you'd better keep it on ice while you're"
02:18;02:22;"lining up your long shot which is to say hey hey keep your day job whatever they"
02:22;02:26;"say keep your day job don't give it away keep your day job till your night job"
02:26;02:32;"pays steady boys study that eight day hour never underrate that paycheck power"
02:32;02:36;"by now you know that the face on your dollar got a thumb on its nose and a"
02:36;02:41;"hand on your collar which is to say hey hey keep your day job whatever they say"
02:41;02:46;"keep your day job don't give it away keep your day job till your night job"
02:46;02:52;"pays what year was that I think they debuted in like the late 70s kind of"
02:52;02:58;"ahead of the curve a little bit it sounds very like 80s to me like the"
02:58;03:04;"dream is over yeah one of the enough with your idealism don't quit your day"
03:04;03:08;"job keep grinding let's okay you're right you're right it's 80s first"
03:08;03:16;"performance August 28th 82 okay Reagan's a year in office this is a this is a"
03:16;03:22;"sigh up well the bright the guard Garcia yeah yeah Jerry Garcia the he got that"
03:22;03:27;"call from Reagan saying well you got to get it go you got it you got to turn"
03:27;03:36;"these hippies into yuppies Garcia Jerry there's a thing called a vibe shift Jerry"
03:36;03:46;"my election is a vibe shift I want you to tell those hippies to get get some"
03:46;03:50;"day jobs and I'm on the horn with Bruce Springsteen telling him that his next"
03:50;03:55;"record misunderstood or not has to have a kind of exciting tone in the American"
03:55;04:00;"flag on the front he's allowed to have whatever subtext he wants but I can't"
04:00;04:07;"have another Nebraska this is this is my this is it's morning in America Garcia"
04:07;04:15;"hey and you work for me far out man can't think of a theme that the Dead"
04:15;04:23;"Heads would be less receptive to then don't quit your day job that's really"
04:23;04:28;"it's kind of kind of wild they're like their whole subculture was like people"
04:28;04:33;"you know quitting their day job and following them on tour and being like"
04:33;04:39;"you know what forget this the system of capitalism let's just like trade veggie"
04:39;04:45;"burritos in the parking lot right camp out have a good time and then the dead"
04:45;04:50;"get up there and are just like plug back in plug back your society you could"
04:50;04:57;"actually imagine I mean statistically there must be somebody who had just"
04:57;05:01;"quit their day job to follow the dead mm-hmm ingest a massive amount of acid"
05:01;05:07;"or psilocybin at their first show in their brand new life and right when it's"
05:07;05:11;"hitting they hear a song they never heard before and they just see Jerry"
05:11;05:16;"singing keep your day job don't give it away keep your day job whatever they say"
05:16;05:21;"and they were just like what like it is a message from the universe you you"
05:21;05:27;"really up bro hey Matt Matt found it and when he does I'm just reading I'm through"
05:27;05:34;"I'm on a message board and someone wrote I was reading the box of rain the lyrics"
05:34;05:40;"book and it said that this song day job was removed due to fan requests removed"
05:40;05:47;"from the I guess from like any what is this is a part of the record I mean"
05:47;05:52;"that's insane I originally liked the song but was bummed to hear it at every"
05:52;05:56;"other show so they played it a lot in it too much yeah that's what they're"
05:56;06:00;"saying but then other people are like it's a bummer sentiment we're gonna add"
06:00;06:05;"this to the richer picture set yeah open with it"
06:09;06:19;"kind of a US blues yeah"
06:19;06:24;"it's a real right rewrite of you"
06:24;06:34;"this is from the Hartford Civic Center Oh Connecticut I like this 10 1483"
06:34;06:46;"I could see musically with the lyrics this could be tongue-in-cheek"
06:46;06:56;"I mean if I was like stone or drunk a dead show in 83 and I was like what are"
06:56;07:00;"these things about a day job I would assume that it was like some yes some"
07:00;07:06;"sarcastic sender right cuz like us blues is kind of sarcastic yeah I don't think"
07:06;07:12;"if the dead is having like a lot of earnest messaging so it's weird to"
07:12;07:16;"think about people taking this seriously"
07:16;07:24;"which is to say"
07:24;07:39;"I kind of want to cover this this is a perfect song for Richard pictures where"
07:39;07:46;"everyone is in their late 30s and 40s and has day jobs yeah you at this show"
07:46;07:49;"you could say I know there might be some people in the crowd tonight who've quit"
07:49;07:53;"their jobs to be here but I want you to understand something about all these guys"
07:53;08:00;"on stage we have day jobs do not follow us this is a passion project we're not"
08:00;08:03;"playing that many shows"
08:03;08:21;"well I love this it has almost classic Jerry cord loose yeah this would have"
08:21;08:26;"been great on in the dark yeah"
08:26;08:41;"it is funny for them to say this is gonna be the one we play in every show"
08:41;08:49;"I mean it kind of rips I could see them being psyched on"
08:49;09:18;"I don't know if we can address the elephant in the room any further what are you wearing"
09:18;09:24;"then well this was just cosmic timing when I came home there's a big box of"
09:24;09:30;"stuff in the house from Adidas I think primarily they were lacing my"
09:30;09:37;"significant other mm-hmm with some swag but there was something in the box for"
09:37;09:41;"me I'd like to see her in this unless maybe this was meant for Rashida but it"
09:41;09:46;"was there a note that said Ezra no it was unclear but this is it's just my"
09:46;09:53;"size and it's a it's a classic black Adidas tracksuit I'm not wearing the"
09:53;09:56;"pants but I have them in the other room and basically it's just a classic black"
09:56;10:02;"Adidas tracksuit but on the top and the bottom it says corn k-or-n like the corn"
10:02;10:08;"logo and that's all I know about it but it's not like a corn logo it is the corn"
10:08;10:13;"logo yeah this is official Adidas actually I don't know the backstory"
10:13;10:18;"maybe Nick you can do some research yeah Adidas and corn linked up now of course"
10:18;10:25;"I am a corn fan and I had at least one corn CD in the 90s and I always had a"
10:25;10:31;"soft spot for them and I remember they had a song called Adidas except in their"
10:31;10:37;"version it's all day I dream about sex okay took me a second there but I guess"
10:37;10:40;"probably you know I wonder if Adidas used to be more conservative but after"
10:40;10:42;"everything they've been through with Kanye they're probably just like oh who"
10:42;10:46;"gives a f*** this link up with corn this is the all day I dream about sex"
10:46;10:51;"collection actually can we throw that on"
10:51;11:09;"picture this I pull up to one of your guys houses just blasting this throw open"
11:09;11:16;"the door I get out of my full Adidas corn tracksuit just like"
11:32;11:38;"late 90s early 2000s let me take off like that I think this is my least"
11:38;11:43;"favorite subgenre of rock this is from 1997"
11:43;11:55;"corn and Adidas have an interesting history hmm"
11:55;12:02;"so Adidas gave corn free product back in the day so around you know mid 90s but"
12:02;12:07;"they were unwilling to sign the band to a proper deal so instead corn ink to"
12:07;12:14;"deal with Puma in 98 so they were officially rep by Puma and then you know"
12:14;12:20;"Jonathan Davis told Kerrang we switched to Puma because they told us they put us"
12:20;12:24;"in a commercial and give us a little money to wear their sh*t I kind of respect"
12:24;12:30;"that you want to know how it works they gave us a little money to wear their"
12:30;12:36;"sh*t and now they you know but I think they've always I mean they always wore"
