Start Timestamp;End Timestamp;Transcript
00:00;00:10;"Hüsker Dü, Sonic Youth, Nirvana, Butthole Surfers. What do these bands have in common?"
00:10;00:16;"They've all been written about by the iconic rock journalist Michael Azarath."
00:16;00:24;"Today we'll be asking him the questions for his first appearance on Time Crisis"
00:24;00:31;"with Ezra Koenig."
00:32;00:38;"They passed me by, all of those great romances"
00:38;00:45;"They were, I felt, probably, all my rightful chances"
00:45;00:53;"My picture clear, everything seemed so easy"
00:53;01:00;"And so I dealt to the floor, when a bus had to go"
01:00;01:04;"Now it's different, I want you to know"
01:04;01:10;"One of us is crying, one of us is lying"
01:10;01:15;"Leave it on me, babe"
01:15;01:19;"Time Crisis, back again. How's everybody doing?"
01:19;01:25;"Doing great. Pretty warmed up. Full disclosure, we're banking the eps."
01:25;01:27;"We just talked about Nirvana and Taylor Swift."
01:27;01:29;"Down in the mines, banking the eps."
01:29;01:31;"Now we're going to talk to Michael Azarath."
01:31;01:36;"Yeah, today's show is all about Michael Azarath, legendary rock journalist,"
01:36;01:43;"author of the classic Nirvana book, Come As You Are, as well as Our Band Can Be Your Life."
01:43;01:51;"Very excited to talk to him about his life and work, and we'll be talking about a lot of classic bands."
01:51;01:54;"Who here has read Our Band Can Be Your Life?"
01:54;01:55;"I've read it."
01:56;01:58;"Naken Seinfeld?"
01:58;02:02;"No, I haven't had a chance to read it yet."
02:02;02:03;"Go to hell."
02:03;02:04;"Is there an audiobook?"
02:04;02:11;"There is an audiobook, and actually, I haven't heard it, but each chapter is read by a different musician."
02:11;02:14;"And one of the chapters is read by Dave Longstreth."
02:14;02:17;"I believe he reads the Black Flag chapter."
02:17;02:24;"Okay, will I get it if I go to his first? Do I need to listen to them in order? Can I skip around?"
02:24;02:27;"I'm assuming you can skip around the chapters on an audiobook."
02:27;02:33;"I mean, I think Azarath thoughtfully picked whatever 10 or 11 bands and placed them, each chapter in order,"
02:33;02:37;"to tell a larger story about the American independent music scene."
02:37;02:39;"It's in chronological order, right?"
02:39;02:40;"Yeah."
02:40;02:42;"So it's like a book. It's like a normal book style."
02:42;02:50;"It's not exactly chronological, but I think he wants you to read about certain bands first."
02:50;02:52;"Somewhat chronological."
02:52;02:54;"I have a dog-eared copy."
02:54;02:55;"Great book."
02:55;02:56;"On my bookshelf."
02:56;02:59;"Quick question. What's the best music book you ever read?"
02:59;03:01;"That's a good question."
03:01;03:05;"Mine would be Hellfire by Nick Toshias. Does that count?"
03:05;03:07;"What's that about?"
03:07;03:09;"It's the story of Jerry Lee Lewis."
03:09;03:14;"I mean, it's an incredible book. I don't know if you-- I mean, it's maybe one of my favorite books ever written."
03:14;03:15;"Really?"
03:15;03:16;"Yeah, it's incredible."
03:16;03:18;"Just because Jerry Lee Lewis had such a crazy life?"
03:18;03:22;"Yeah, but mainly because Nick Toshias is one of the greatest, you know."
03:22;03:23;"I don't know Nick Toshias."
03:23;03:28;"Oh, he's like-- let's see what else. He wrote this great book on Sunny Liston."
03:28;03:34;"I mean, it is really about music. But would you say specifically-- also, what's that grill mark? It's lipstick traces?"
03:34;03:36;"That's more of like rock--"
03:36;03:37;"Oh, I've heard of that. Yeah."
03:37;03:38;"That's a great one."
03:38;03:46;"I like-- I've been enjoying The Creative Act by Rick Rubin. I got that recently. I've been kind of-- I'm not kidding. I've been thumbing through it."
03:46;03:48;"Hannah loves that book."
03:48;03:50;"Does that count as a music book? Or is that like more of a--"
03:50;03:53;"He said-- well, he's a music guy."
03:53;04:09;"No, of course that's a music book. It's-- I think he purposefully kept it without like juicy details about rock history because he wants it to be almost like a self-help
book for, you know, for people trying to be creative."
04:09;04:12;"So, no, that's totally fine."
04:12;04:23;"I also say I-- because I don't read as many of these music books, I think, as you guys do. I really liked-- featuring Vampire Weekend, I really liked Mimi in the Bathroom."
04:23;04:25;"Oh, yeah. People like that book."
04:25;04:28;"I think that's a good one. What's your favorite?"
04:28;04:37;"I mean, let's see. I've read so many because I can-- I can just burn through like a musical memoir very quickly."
04:37;04:46;"You know, there's a book I cracked open again recently called I'm Your Man that's a very detailed biography of Leonard Cohen."
04:46;04:53;"And that's like the only music book I've ever wanted-- I've ever like specifically gone out of my way to start reading again."
04:53;05:01;"We'll see if I make it through a full second read, but I kind of like-- liked having this whole-- going through his whole career."
05:01;05:07;"Is it just a story or is it written? Is it-- is there something sort of really nice about the way it's written?"
05:07;05:10;"You know, that's hard to say. I mean, the writing certainly doesn't get in the way."
05:10;05:18;"Obviously, with something like that, you're so much more fixated on the content than-- and probably not appreciating the writing."
05:18;05:20;"But I think it's-- I think it's very strong."
05:20;05:31;"Probably the deepest I've gone is maybe last year I found a book that was specifically about the making of Infidels, the Bob Dylan album."
05:31;05:33;"Wow. That's amazing."
05:33;05:35;"It's called Surviving in a Ruthless World."
05:35;05:36;"How long was that book?"
05:36;05:38;"The Making of Infidels."
05:38;05:40;"God, there are so many music books."
05:40;05:44;"Yeah, and I've always like wondered like how many people have bought this book?"
05:44;05:46;"That's really deep."
05:46;05:49;"How long is it? You know, it's maybe like a few hundred pages."
05:49;05:50;"Wow."
05:50;05:52;"Normal book length."
05:52;05:54;"You are assuming it must be pretty short."
05:54;06:00;"I mean, I was picturing, yeah, more of like a 33 and a third style, like, you know."
06:00;06:01;"No, no, no. It's longer than that."
06:01;06:06;"It's-- some of those books are great. I'm not a big music book guy, to be honest."
06:06;06:08;"Let's talk about Love. Have you read the Carl Wilson Celine Dion?"
06:08;06:10;"Love it. Great Canadian."
06:10;06:12;"That's a classic. That's a classic."
06:12;06:13;"I love that one."
06:13;06:14;"Oh, yeah. He's a good writer."
06:14;06:15;"Yeah, the Celine Dion one."
06:15;06:19;"Oh, let's see. I read Ozzy Osbourne's autobiography."
06:19;06:20;"That's deep."
06:20;06:22;"Last year. I loved it."
06:22;06:24;"Dirt. Great."
06:24;06:25;"Oh, I've heard that's great."
06:25;06:26;"Oh, it's great."
06:26;06:33;"When I moved to L.A., I moved into this apartment and there was a-- someone had left behind Slash's autobiography."
06:33;06:38;"And I was like, this is perfect. I'm going to read this the first week I live in L.A."
06:38;06:43;"But I got to say, like, a lot of those music books, like, you kind of-- they just kind of like wash over you."
06:43;06:48;"And then I-- yeah, they don't really leave much of an impression, but that's just me."
