Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis, back again."
00:03;00:11;"The early 2000s, the start of the new millennium, a new era in indie music,"
00:11;00:16;"and a time to move into your grandma's computer room."
00:16;00:24;"Four men in their 40s chop it up about life, purpose, chilling, and indie."
00:24;00:29;"This is Time Crisis with Ezra Koenig."
00:29;00:30;"Check it!"
01:15;01:18;"Time Crisis."
01:18;01:21;"Hey, what's up? We're back again."
01:21;01:23;"This feels weird with me doing this."
01:23;01:24;"Jake, what's going on?"
01:24;01:26;"We're banking, dude. We are remote."
01:26;01:28;"It's late at night and we are banking."
01:28;01:32;"Just for anybody wondering, Ezra is on this show."
01:32;01:34;"He's just asked us to kick it off."
01:34;01:36;"I'm just finishing my ice cream."
01:36;01:37;"Jake, go ahead."
01:37;01:42;"The flagship of the brand is hitting the road for bulk of the summer,"
01:42;01:45;"so we are trying to bank as much as we can."
01:45;01:46;"Banking the Eps."
01:46;01:50;"Yeah, I don't know when you'll hear this, but banking the Eps."
01:50;01:52;"We're banking the Eps."
01:52;01:53;"Probably soon."
01:53;01:59;"You know, with these banked Eps, we try to keep things somewhat evergreen."
01:59;02:07;"You know, we're not going to be talking about the Kendrick Drake beef, for instance."
02:07;02:09;"You don't know when we're recording this."
02:09;02:12;"For all we know, it just kicked off."
02:12;02:14;"[laughs]"
02:14;02:16;"You might have already forgotten about it by now."
02:16;02:22;"Either we're recording this when it just kicked off, or for all you know, it's already over."
02:22;02:27;"And nobody knows when something like that will end, so who knows?"
02:27;02:30;"But we're not going to talk about stuff like that."
02:30;02:34;"This stuff that people think is so interesting for a week,"
02:34;02:37;"maybe you'll reflect on it at the end of the year, but, you know,"
02:37;02:42;"we're trying to go a little bit further back, a little more evergreen."
02:57;03:26;"[rapping]"
03:26;03:32;"So, you know, we're racking our brains to come up with excellent topics for a banked Ep."
03:32;03:38;"Because, first of all, I want to say there's absolutely no reason why a banked Ep cannot be top-tier TC."
03:38;03:39;"Oh, no reason at all."
03:39;03:41;"These could be some of our best episodes."
03:41;03:43;"We don't need to always be current."
03:43;03:49;"I mean, I think our Michael Azarad interview that has already aired, that was a banked Ep."
03:49;03:50;"Absolutely."
03:50;03:51;"Top tier."
03:51;03:54;"Seinfeld's Guide to Taylor Swift was a banked Ep."
03:54;03:57;"Maybe Seinfeld, now's the time if you want to apologize."
03:57;03:59;"Oh, my God."
03:59;04:03;"I didn't mean to misinform the viewership."
04:03;04:09;"I was getting a lot of my facts from the scoop.net, which I don't know if you're familiar,"
04:09;04:17;"but it's an up-and-coming entertainment gossip website that I won't be referring to again as a primary source."
04:17;04:22;"So for anyone who's misled, anybody who told their friends that Taylor Swift's first name"
04:22;04:29;"was actually Penelope, I was duped as were you, and I'm sorry that I passed that misinformation along."
04:29;04:31;"It won't happen again."
04:31;04:32;"Nelly Swift."
04:32;04:34;"You're a Swifty, too."
04:34;04:38;"Died in the wool, Swifty to the bone marrow."
04:38;04:45;"And so it's doubly embarrassing to both forsake the integrity of the show"
04:45;04:50;"and also betray one of the top music artists of our day."
04:50;04:53;"And to also betray Penelope Taylor Swift."
04:53;04:55;"Heir to the Swiffer."
04:55;04:57;"Heir to the Swiffer, which had fortune."
04:57;05:00;"All right, well, we'll see how this goes."
05:00;05:09;"But my idea for today's banked Ep was to talk about a decade that I think often gets short shrift on this program."
05:09;05:16;"Obviously, we talked quite a bit about the tasteful palette of the 1970s."
05:16;05:21;"Top 5 often takes us into the 80s, the 90s."
05:21;05:23;"We have a lot of reminiscences about."
05:23;05:30;"We have our famous Gen X 90s battles between Jake and Rashida."
05:30;05:36;"But, you know, one era that I feel like we rarely go deep in is the 2000s."
05:36;05:38;"And I want to correct that today."
05:38;05:40;"So let's take it to the 2000s."
05:40;05:46;"And what I threw out that this episode could be about 2000s era indie."
05:46;05:51;"I don't know if that's too narrow, but I think let's start there."
05:51;05:52;"Shoots too narrow."
05:52;05:56;"Those shoots might be a little too narrow, but let's see."
05:56;06:00;"I mean, first of all, let's get the rules of the game set."
