Start Timestamp;End Timestamp;Transcript
00:00;00:17;"Time Crisis, Summer 2016. Raw. This is a summer episode. We're gonna go back to 2006, '96 and '86 to discover what those summers were like."
00:17;00:26;"We're gonna talk to Mike D from the Beastie Boys. We're gonna eat Cool Ranch Doritos. And of course, we're gonna count down the top five."
00:26;00:37;"This is the Summer of Time Crisis with Ezra King. B-B-B-B-B-B-Beasts 411."
01:13;01:26;"Time Crisis, we're back. Two weeks ago we did a 4th of July special where we went through all 50 states. That went down pretty well. But now we're back, it's just a regular
old show. Back here in LA. What's up, Jake?"
01:26;01:28;"Not much, man. New digs."
01:28;01:34;"Yeah, we're at this new studio in Culver City. It's a lot fancier than the room we used to work in."
01:34;01:42;"The last room we worked in, there was just like a college dorm microfridge and a couple folding tables."
01:42;01:47;"Yeah, this room has, what do you think, 14 foot high ceilings?"
01:47;01:49;"Pretty good guess. I might even say 16."
01:49;01:58;"Wow. Alright, 16 foot high ceilings. A lot more like Apple branded panels and light boxes."
01:58;02:08;"Jake, you made the very astute comment you brought a long sleeve shirt because you quote unquote knew the AC would be jacked."
02:08;02:10;"It's true. It's cold in here."
02:10;02:14;"Yeah, what is that? The more corporate a place is, the more jacked the AC is."
02:14;02:16;"Yeah, I think that's true."
02:16;02:22;"I feel like independent movie theaters, it's going to be maybe in the low 70s."
02:22;02:23;"I would say high 70s."
02:23;02:28;"In the high 70s. And then a big corporate chain like at AMC, it's going to be 65."
02:28;02:37;"You're set like a 2pm screening of Independence Day Resurgence, whatever it's called. And it's just like 67 degrees in there."
02:37;02:39;"It's wild. Where do you keep it at your house?"
02:39;02:47;"75 or 78. Honestly, I'm not an AC guy. If we have it like 71, 72, it feels cold."
02:47;02:53;"And if it's 90 out and you walk into your house and it's 78, that feels great."
02:53;02:54;"Yeah."
02:54;02:58;"Like 78 with ceiling fans, you're golden."
02:58;03:05;"Yeah. And I can't remember what I keep it at in LA. In New York, I just have like a window."
03:05;03:08;"You say 70 on the, you don't know what the temperature actually is."
03:08;03:12;"The place I'm living in now is the first place I've had or lived in that had AC."
03:12;03:13;"Really?"
03:13;03:14;"Yeah."
03:14;03:15;"You just lived without AC?"
03:15;03:16;"Yeah."
03:16;03:19;"So it would just be like 100 degrees outside and what were you doing?"
03:19;03:22;"Fans, you know."
03:22;03:23;"Wet paper towel on the back of your neck?"
03:23;03:26;"Yeah, being hot, hanging out shirtless."
03:26;03:31;"You know, it's interesting. In a lot of Europe, they don't really have AC."
03:31;03:40;"So like Germany, which is a, by most people's standards, a very evolved country in terms of like quality of life or whatever."
03:40;03:44;"People eat well, exercise, blah, blah, blah."
03:44;03:49;"There's no, even at like rich people's houses, it's just hot."
03:49;03:50;"Huh."
03:50;03:51;"It just like opened the windows."
03:51;03:52;"Old school."
03:52;03:53;"Yeah."
03:53;03:56;"I wonder about like at like offices and corporate and government buildings and whatnot."
03:56;03:59;"Yeah, it's probably a little more jacked."
04:18;04:25;"Laughing all our cares away, just you and I"
04:25;04:33;"Sweet, sleepy warmth of summer nights"
04:33;04:40;"Gazing at the distant lights in the starry sky"
04:42;04:49;"They say that all good things must end someday"
04:49;04:55;"Autumn leaves must fall"
04:55;05:01;"They say that all good things must end someday"
05:01;05:07;"Autumn leaves must fall"
05:07;05:12;"Yeah, Europe's alright. I definitely, you know, of course all countries are great in their own way"
05:12;05:15;"I tend to have a better time in Italy than in France"
05:15;05:19;"Maybe it's just because I'm a real Italian food"
05:19;05:27;"Aficionado. I feel that. Pasta just tastes so good, man. One thing I'll tell you that I got was difficult for me though is"
05:27;05:33;"The two-hour Italian lunch phenomenon. Wow. It's like a beautiful thing"
05:33;05:39;"I think it's great that people like sit down with their families more than in America. People take off work, go home, eat"
05:39;05:45;"But I get really like maybe just because I'm such like a dip-shit American"
05:45;05:52;"You know everything all the time. I just need it fast that you know because I've always been the type of dude"
05:52;05:59;"Just like you know grab like the cold cuts out of the fridge eat it over the garbage can that's lunch. Yeah, you know"
05:59;06:06;"Go go go go go go gotta keep moving. Puritan work ethic. Yeah, I guess"
06:06;06:12;"Hypercapitalist, yeah non-stop infinite growth, but so in Italy"
06:12;06:18;"People sit down with and have like kind of coursed out meals and sit and talk with the family"
06:18;06:23;"It's nice, but then I'd really I feel like this physical sensation after I eat lunch"
06:23;06:26;"Which is like I just got to like move or lie down"
06:26;06:30;"Yeah, I just can't keep sitting at the table, and then it's a little bit like oh who wants an espresso"
06:30;06:33;"and then like bring up the espresso, and then you just like chilling and"
06:33;06:39;"Chatting and it almost made me feel like a child again. Just like may I be excused"
06:39;06:42;"But you know maybe it's like I gotta just work on my"
06:42;06:49;"My attention deficit disorder, I guess I mean the funny thing is I can't imagine you had things that were pressing that you had to get"
06:49;06:55;"To while you're in Italy on vacation no of course not I gotta get to this email like what no no"
06:55;06:58;"But you know it's funny. It's like life puts those"
06:58;07:04;"Feelings into you, and it's hard to unwind so it's like yeah of course you're out there in Italy just chilling"
07:04;07:07;"There's nothing you have to get to but then your body"
07:07;07:13;"Responds as if you have something to get to stress is a choice fight-or-flight"
07:13;07:22;"Adrenaline were you drinking at lunch like red wine often Wow yeah, that would put me to sleep pasta and red wine at like"
07:22;07:25;"30 one well then and then you have the espresso"
07:25;07:30;"Okay, so that kind of and then me and then my most y'all and then maybe a siesta"
07:30;07:34;"Also, I think I don't know if this is true or not, but I think"
07:34;07:36;"Italian people"
07:36;07:38;"know how to"
07:38;07:43;"Not go crazy with the pasta, but again coming from my American"
07:43;07:50;"Hyper-capitalist all about me greed old spaghetti factory I"
07:51;07:56;"Just I just can't yeah, I don't know you know Italian people. I think are"
07:56;08:00;"in better health and shape than Americans although some people"
08:00;08:05;"Michael Moore would say it's because of their six weeks of paid vacation versus our"
08:05;08:07;"zero"
08:07;08:14;"That might have something to do with it, but also. I just feel like when there's a big beautiful ball of pasta on the table I"
08:14;08:17;"Could truly have infinite servings of it"
08:17;08:22;"I have no impulse control whereas like some Italian people have like a little bowl of pasta and then onto this whatever right"
08:22;08:28;"How do they do that or like my favorite like the classic like Italian restaurant in America vibe? That's like a"
08:28;08:31;"giant chicken parm already like just coated in"
08:31;08:34;"like breadcrumbs"
08:34;08:40;"Already full of carbohydrates, and then for your side a bowl of pasta that always mystified me"
08:40;08:43;"I feel like it's like the plain bowl of pasta"
08:44;08:49;"That you have to put the red sauce on I love Italian food so much chicken parm chicken parm"
08:49;08:54;"I love Italian American food, but of course Italy does have a unique food culture"
