Start Timestamp;End Timestamp;Transcript
00:00;00:05;"Time Crisis, back in LA."
00:05;00:09;"I'm joined once again by my co-host Jake Longstreth."
00:09;00:15;"As we survey the terrain of American politics and culture,"
00:15;00:20;"we talk about the music of the DNC and the RNC."
00:20;00:23;"We revisit a special moment in Eagles history."
00:23;00:28;"Plus, we count down the hits of 2016 and 1992."
00:28;00:34;"This is Time Crisis with Ed Sprung King."
00:34;00:38;"Beats 1."
00:38;00:44;"They passed me by, all of those great romances"
00:44;00:51;"They were a friend who I believed, all my rightful chances"
00:51;00:58;"My picture clear, everything seemed so easy"
00:58;01:05;"And so I dealt to the blow, one of us had to go"
01:05;01:10;"Now it's different, I want you to know"
01:10;01:16;"One of us is crying, one of us is lying"
01:16;01:20;"Time Crisis, back again."
01:20;01:21;"Jake, what's up man?"
01:21;01:25;"Hey, episode 29."
01:25;01:26;"Really?"
01:26;01:27;"No, I don't know."
01:27;01:29;"We're definitely in the 20s."
01:29;01:31;"I was in the studio all day today, man."
01:31;01:33;"You seem wiped."
01:33;01:37;"I'm wiped, but I'm going to bring it for this Time Crisis."
01:37;01:39;"Because the world's in trouble, man."
01:39;01:40;"It's heavy."
01:40;01:41;"Streets are hot."
01:41;01:43;"Streets are very hot."
01:43;01:44;"Oh man."
01:44;01:48;"Well, before we get into all that, obviously the world is a horrible place."
01:48;01:50;"Everybody's having a real tough time."
01:50;01:52;"A lot of bad things happening."
01:52;01:55;"But at least there's some good news."
01:55;01:59;"If you recall, a couple of Time Crises ago,"
01:59;02:05;"we were talking about Smash Mouth and how Steve Harwell--"
02:05;02:06;"Is that his name?"
02:06;02:07;"I have no idea."
02:07;02:10;"The singer from Smash Mouth, he was getting in a lot of fights"
02:10;02:16;"because a lot of kids on Twitter were using internet humor to bully him"
02:16;02:21;"and imply that their only hit song was All Star."
02:21;02:24;"And also implying that All Star was only a hit song because of Shrek."
02:24;02:27;"So they're hitting him from both sides."
02:27;02:32;"As anybody who likes music knows, Smash Mouth had more than one hit,"
02:32;02:37;"and anybody with even a cursory knowledge of music history"
02:37;02:41;"is also aware that All Star was a hit song before it was used on the Shrek soundtrack."
02:41;02:46;"So anyway, we were imploring the kids to stop bothering him"
02:46;02:49;"because you shouldn't use social media to bully people."
02:49;02:51;"Especially your elders."
02:51;02:54;"But anyway, so finally some good news from the Smash Mouth camp."
02:54;03:01;"They got a new song, and this one is a collaboration with an EDM artist."
03:01;03:03;"Do you know what EDM is, Jake?"
03:03;03:04;"Yeah."
03:04;03:05;"What is it?"
03:05;03:07;"Electronic dance music."
03:07;03:10;"All right. All right, man."
03:10;03:13;"They collaborated with an EDM artist called Spectre."
03:13;03:14;"That's Visionary."
03:14;03:16;"I'm not familiar with him."
03:16;03:19;"And honestly, it works."
03:19;03:22;"You'll hear some of the hallmarks of modern radio EDM,"
03:22;03:25;"but you'll also hear just like that classic Smash Mouth delivery."
03:25;03:28;"That distinctive Smash Mouth sound."
03:28;03:30;"And the song is called ""Love is a Soldier,"""
03:30;03:36;"and I know that a lot of people are going to want to use Internet humor to diss this song."
03:36;03:39;"You know what? And that bothers me because I'm a musician."
03:39;03:42;"I know that every time I put music out, the haters,"
03:42;03:45;"they're not listening to it with open ears."
03:45;03:46;"They're looking for something to hate,"
03:46;03:48;"and I know the Smash Mouth has the same issue,"
03:48;03:51;"but hopefully people have learned their lesson."
03:51;03:53;"So anyway, this is what it sounds like."
03:53;03:59;"So it's cool because that bass line right there, the chord progression,"
03:59;04:02;"it's got that late '90s Smash Mouth vibe."
04:02;04:04;"But then the drums, there's like an extra kick."
04:04;04:06;"You know what I'm saying?"
04:06;04:08;"Hold on, hold on."
04:08;04:14;"That's the same singer?"
04:14;04:16;"Yeah."
04:16;04:20;"Come on, that sounds like him."
04:20;04:21;"Getting a little bit there."
04:21;04:23;"They mixed the vocals down a little bit."
04:23;04:26;"He's singing like an octave lower than he used to."
04:26;04:30;"People get older, voices change."
04:30;04:34;"Oh, here we go."
04:34;04:42;"""Love is a soldier."""
04:42;04:47;"Who is this for?"
04:49;04:54;"I can't imagine this is going to please OG Smash Mouth fans."
04:54;05:00;"Here it comes. We're building up."
05:00;05:06;"Sick, guys."
05:06;05:08;"I think technically this is the drop."
05:08;05:10;"It's a Smash Mouth drop."
05:10;05:15;"Imagine these guys listening to the playback in the recording studio."
05:15;05:17;"Yeah, man."
05:17;05:19;"I think it's okay."
05:19;05:22;"I'm not lying, man."
05:22;05:24;"Here's the thing."
05:24;05:28;"Are you familiar with the phrase?"
05:28;05:31;"""You can't always get what you want."""
05:31;05:35;"No, I was going to say the phrase, ""The narcissism of small difference."""
05:35;05:36;"I love that phrase."
05:36;05:39;"Me too. I've been thinking about it a lot."
05:39;05:43;"As I mercilessly hate on people similar to me."
05:43;05:48;"For those of you who don't know, ""narcissism of small difference"" is a phrase from Freud."
05:48;05:54;"Some psychologist basically says the ego acts up the most not when the people are very different from us,"
05:54;05:57;"but when the people are just a little bit different from us."
05:57;05:59;"You don't hate the person a million miles away from you."
05:59;06:01;"You hate the person right next to you who is very similar to you"
06:01;06:05;"because it triggers your own feelings of insecurity or worthlessness or something."
06:05;06:09;"So anyway, people hate on Smash Mouth."
06:09;06:10;"Have you listened to that?"
