Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis, back in New York City. This week I'm joined by my old pals Despot"
00:08;00:16;"and Asher as we talk about Summer 16 and the future of music. We'll also be joined"
00:16;00:20;"by a fashion expert Mordecai Rubinstein and we'll get a call from our old pal"
00:20;00:25;"Jake Longstreth, teach us some dark secrets about Frito-Lays and Oreos."
00:25;00:33;"This is Time Crisis with Ezra King."
00:33;00:35;"Peaceful One."
00:45;00:49;"♪ Take my rightful chances ♪"
00:49;00:52;"♪ My picture clear ♪"
00:52;00:56;"♪ Everything seemed so easy ♪"
00:56;01:00;"♪ And so I dealt you the blow ♪"
01:00;01:03;"♪ One of us had to go ♪"
01:03;01:08;"♪ Now it's different, I want you to know ♪"
01:08;01:11;"♪ One of us is cryin' ♪"
01:11;01:14;"♪ One of us is lyin' ♪"
01:14;01:19;"♪ Lonely man ♪"
01:19;01:24;"♪ Staring at the ceiling ♪"
01:24;01:29;"♪ Wishing she was somewhere else instead ♪"
01:29;01:34;"♪ One of us is lonely ♪"
01:34;01:35;"♪ One of us is ♪"
01:35;01:36;"- Time Crisis."
01:36;01:40;"Back in New York, I feel like Patrick Ewing."
01:40;01:44;"♪ Back in New York, I feel like Patrick Ewing, boy ♪"
01:44;01:45;"- Ah, every time I get back to New York,"
01:45;01:47;"I just think about that Maconan line."
01:47;01:48;"♪ What's the whole thing ♪"
01:48;01:50;"♪ My nana's so damn boomin', boy ♪"
01:50;01:51;"- I don't remember."
01:51;01:51;"- I don't know."
01:51;01:53;"♪ Back in New York, I feel like Patrick Ewing, boy ♪"
01:53;01:54;"- The important part is back in New York,"
01:54;01:56;"I feel like Patrick Ewing, boy."
01:56;01:58;"- I think the ""huh"" is important too."
01:58;02:00;"It's the name of the song."
02:00;02:02;"- I'm joined again by Cousin Asher and Despot."
02:02;02:03;"What's up, fellas?"
02:03;02:04;"- What's up, Ezra?"
02:04;02:05;"- Hi, man."
02:05;02:07;"- So it's the end of summer, it's fashion week."
02:07;02:09;"- Yeah, I'm wearing white pants."
02:09;02:11;"- It's the end of fashion week."
02:11;02:12;"Wait, you're not supposed to--"
02:12;02:13;"- We're breaking some rules right now."
02:13;02:15;"- It's after Labor Day."
02:15;02:19;"- I'm all about breaking that particular rule."
02:19;02:22;"I think if you adhere to that rule,"
02:22;02:26;"obviously you are not pushing any fashion boundaries,"
02:26;02:32;"and I might say you are scared, and I'm not scared."
02:32;02:34;"- Some rules are there for a reason, though."
02:34;02:36;"- So what's the reason?"
02:36;02:36;"- I don't know, man."
02:36;02:37;"I mean, it's--"
02:37;02:38;"(laughing)"
02:38;02:39;"- I can guess."
02:39;02:42;"- Well, I think in the Bible,"
02:42;02:46;"the Israelites were up to all sorts of no good."
02:46;02:49;"They were worshiping a golden calf,"
02:49;02:53;"making love in inappropriate fashions,"
02:53;02:56;"and Moses was called up the mountain by God."
02:56;02:58;"God gave him 10 commandments,"
02:58;03:00;"and he brought it back down to the people."
03:00;03:01;"- Right, and that's one of them."
03:01;03:03;"- I think that, yeah, number seven."
03:03;03:04;"- Number seven."
03:04;03:06;"- No white pants after Labor Day."
03:06;03:07;"- Right, that's true."
03:07;03:09;"I mean, I'm not really that religious,"
03:09;03:10;"so I guess I kinda just forgot."
03:10;03:12;"- You gotta get back to the synagogue, my friend."
03:12;03:13;"- You're right."
03:13;03:15;"- Some misogynists think that one of the 10 commandments"
03:15;03:16;"is bros before hoes, but it's not."
03:16;03:21;"- But it is money over B words."
03:21;03:24;"- No, it's actually cash rules everything around me."
03:24;03:25;"- Oh, okay."
03:25;03:27;"- Everybody should go talk to their rabbi or priest"
03:27;03:28;"or imam or whatever your religion is"
03:28;03:29;"and get to the bottom of it."
03:29;03:32;"- I like how you're like a feminist."
03:32;03:34;"You wouldn't allow me to even try"
03:34;03:38;"the other misogynist commandment."
03:38;03:39;"- I don't need that kind of negative energy"
03:39;03:41;"on my internet radio show."
03:41;03:43;"- That's fair."
03:43;03:45;"- I mean, we haven't had a female guest in a long time, so."
