Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis, back once again. Today we have an epic episode. We'll be talking"
00:08;00:15;"about old dudes and snack foods. Whether Flaming Hot Cheetos, Fritos, Bruce"
00:15;00:23;"Springsteen, or Phil Collins. This is a major episode. I hope you're sitting down."
00:23;00:26;"This is..."
00:26;00:33;"Time Crisis with Ben Siracane and BeeBeeBeeBeeBeeBeeBeeSport1."
00:33;00:47;"They passed me by, all of those great romances. The war I felt, war being me. All my rightful chances."
00:47;01:01;"My picture clear, everything seemed so easy. And so I dealt to the floor. One of us had to go."
01:01;01:11;"Now it's different, I want you to know. One of us is crying, one of us is lying."
01:11;01:17;"Leave it on me, babe."
01:17;01:28;"Welcome back to Time Crisis. Got a hell of a show today. This show is really focusing on two Time Crisis classic topics."
01:28;01:38;"Classic rock and corporate history. We'll be hitting them both from different angles."
01:38;01:49;"I'm here joined by Jake. What's up Jake? We just ate some tacos. When I came into the studio, somebody got a bag of Flaming Hot Cheetos."
01:49;01:56;"We talked on the last episode a lot about the history of Flaming Hot Cheetos. I think it's possible I've never actually had any. Have you?"
01:56;02:02;"Richard Montanez. Richard Montanez invented them. Credited with the invention. No, I've never had them."
02:02;02:09;"I think maybe to start off the show we should just open it. Have you had regular Cheetos? Up on the mic."
02:09;02:20;"Yeah, I've had Cheetos. Maybe we'll each take a handful. You grab a few. I have to stretch to get it because this table is so huge here at Apple Studios in Culver City."
02:20;02:28;"I'm looking at the Cheetos. They're very red. Mmm."
02:28;02:36;"Okay, pretty mild initially. Yeah, that's not Flaming Hot. Maybe we got a defective bag. It lingers."
02:36;02:46;"I would barely even call that hot, let alone Flaming Hot. Yeah, I mean, if you were like 14, maybe that would blow your mind."
02:46;02:56;"But I've been putting Tabasco and hot sauce on eggs and things for like 25 years. So kind of like Chris Bale style."
02:56;03:03;"My level of hot is like ratcheted way up. But if you're like 12 or 14, those Cheetos might blow your mind."
03:03;03:08;"If you've never had anything spicy before? It does kind of linger. Honestly, if you..."
03:08;03:22;"Do you have to? Do you have to let it linger? I think if somebody told me those are regular Cheetos and I just grabbed a handful at a party or event, I wouldn't even think
twice."
03:22;03:31;"Right. Maybe we got a defective bag. Doubt it, dude. So that's how hot Flaming Hot Cheetos are. Is there a step above?"
03:31;03:43;"Ratcheted up a notch, dudes. Like crazy Flaming Hot? Probably. Three alarm, five alarm. Anyway, today's show is not about Flaming Hot Cheetos."
03:43;03:52;"I'm not going to eat any more of these. You're not going to eat any more? No. We also got some Fritos. Some Fritos scoops. I will talk about that later."
04:07;04:16;"Let's get right into it, Matt. Got a lot of stuff on the docket today. Yeah. Just to kick things off, a very disturbing story. Yeah?"
04:16;04:29;"Involving Time Crisis favorite, Phil Collins. Now, if I just asked you to guess who's more of a chill dude, Phil Collins or Paul McCartney, without any info, what would
your gut tell you?"
04:29;04:37;"Paul. Yeah, Paul in the Beatles. He was known as like kind of the sweet-natured one. Yeah. Kind of all-around nice guy."
04:37;04:48;"And as discussed on earlier episodes of the show, Phil has an incredibly conflicted and self-conscious relationship with his previous career. Yeah."
04:48;05:03;"He retired because he felt embarrassed and shamed by his emotionally outward 80s material. He felt that everybody thought Phil Collins was uncool. Right."
05:03;05:11;"So here's this poor guy living in Switzerland, collecting Civil War memorabilia. That's a real fact. Yeah. That's what Phil's into."
05:11;05:20;"And just feeling like the whole world hates him, where it couldn't be further from the truth. And a whole new generation of kids think ""In the Air Tonight"" is one of the
greatest songs of all time."
05:20;05:27;"But anyway. So he does not seem chill. And Paul seems like an all-around nice guy. Actually, I think about it. I met Paul McCartney briefly once. Oh, yeah?"
05:27;05:38;"It was at an industry event. Industry event? You know, I'm an industry professional. So I was at an industry event. Was this the barbecue that John Cougar Mellencamp
was at?"
05:38;05:49;"No, although that's a whole other story. I don't think I actually got to meet JCM at that party. I think maybe I briefly met his girlfriend. Christy Brinkley? Christy
Brinkley."
05:49;06:00;"No, this was at, there was this big Saturday Night Live 40th anniversary show. Oh, okay. I remember that. You had to wear a tuxedo. You went to that? I went to that."
06:00;06:13;"And you know who my date was? Do I know them? Yeah. Should I know them? It's a man. A musician? Yeah. Very closely associated with the time crisis. East Coast."
06:13;06:27;"Oh, Despot? Yeah. What? You and Despot were in tuxes. I had a plus one. So me and Despot. All due respect to Despot, but for some reason the way you phrased that, it made it
sound like you were someone's plus one."
06:27;06:35;"And I was like, oh, you were Despot's plus one. I'm pretty sure they invited everybody who'd ever been on the show before. That's right. Of course. You've played on it
three times."
06:35;06:44;"Three times. We're SNL veterans. That's deep, dude. I'll tell you one quick story about SNL. Now we're three Inception levels deep. We're going to get back to Phil
Collins."
06:44;06:55;"Yeah, yeah, yeah, yeah. So my mom loves to go to sleep early. And in fact, the previous times when we played SNL and I'd be like, mom, you want to come to the show?"
06:55;07:02;"She'd always be like, what time does it start? 1130? She'd be like, can I come to the dress rehearsal? I can go home and go to sleep. And I'd be like, all right."
07:02;07:12;"So the third time we played, my mom comes, she watches the dress rehearsal, and then you have 30, 40 minutes before the real one starts. Okay."
07:12;07:21;"And then we got like a lot of buddies are there. It's like a fun, exciting atmosphere. And before she takes off, she comes to say hi, and she's kind of hanging backstage."
07:21;07:30;"And, you know, so she's hanging with the band and management and friends are there. Then as it gets closer and closer to the show, you know, there's all this excitement."
07:30;07:37;"And they were like filming an opening bit right outside the dressing room door. And I'm kind of like, all right, mom, well, like, do you want somebody to take you down and
get you in a car?"
07:37;07:49;"And she was like, well, I don't know. Maybe I'll stay for the beginning of the show. And I was like, all right. So then the energy of just like being on live TV, that SNL
energy, she ends up staying for the entire show."
07:49;08:02;"Then she comes to the after party. Your mom's going deep. Mom's going deep. She has like a, like a sip of alcohol. She feels drunk. She's like talking with like cousin
Asher, like she and Ross have a conversation."
08:02;08:09;"Of course, she's like at the SNL after party. And three in the morning. When all said and done, it's like three in the morning. And I remember she was having a great time."
08:09;08:19;"And I was like, and this is somebody who literally was trying to get in bed by 11, you know, a woman in her 60s. And I remember at the end of that, I said, mom, when's the last
time you stayed up until 3 a.m.?"
08:19;08:26;"And she said, no irony, the 70s. It was just that live TV energy."
32:50;32:51;"Beats one."
32:51;32:55;"Ezra Koenig's Time Crisis."
32:55;32:56;"All right, well, can I give you my take?"
32:56;32:57;"Yeah, yeah, get in there."
32:57;33:00;"When I heard the news on the radio, I pulled over."
33:00;33:05;"I was on the 101, it was really difficult to get over to the shoulder."
33:05;33:07;"But I knew I couldn't drive."
33:07;33:09;"I knew I had to process this information first."
33:09;33:13;"And at first, I was with you, I was like, I love Bob Dylan."
33:13;33:17;"He's won all sorts of Grammys, probably a Kennedy Center's Honor."
33:17;33:19;"Presidential medal."
33:19;33:20;"Yeah, whatever."
33:20;33:21;"Yeah."
33:21;33:24;"He's sitting on all sorts of awards."
33:24;33:25;"Yeah."
33:25;33:28;"So my first thought was, you know what, man?"
33:28;33:34;"Give the Nobel Prize in literature to someone who worked in poetry or fiction."
33:34;33:37;"Give Bob Dylan the Nobel Prize for music."
33:37;33:39;"Wah, wah, wah."
33:39;33:41;"Yeah, so then I composed myself."
33:41;33:43;"I started driving again."
33:43;33:47;"But I go home rather than the place I was going."
33:47;33:51;"And I sit down in front of my desktop computer."
33:51;33:56;"And I look up, I wanted to see who usually wins the Nobel Prize for music."
33:56;33:57;"And you know where I'm heading with this, Jake."
33:57;33:58;"Yeah, I do."
33:58;34:00;"It doesn't exist, man."
34:00;34:04;"Oh, I thought Eddie Van Halen won it last year."
34:04;34:08;"Searing, original, virtuosic guitar work."
34:08;34:10;"For the solo on ""Beat It."""
34:10;34:12;"Yeah."
34:12;34:13;"Eddie Van Halen."
34:13;34:16;"Well, you don't win it for--oh, I guess you do win it for--so anyway."
34:16;34:18;"There's only a handful of Nobel Prizes, man."
34:18;34:19;"Yeah."
34:19;34:26;"There's physics, economics, peace, maybe a couple other ones, and literature."
34:26;34:27;"I think that's it, actually."
34:27;34:29;"Okay, so maybe there's four."
34:29;34:30;"Yeah."
34:30;34:34;"So literature is the only Nobel Prize that even remotely deals with art."
34:34;34:35;"Yeah."
34:35;34:40;"And I'm not trying to say that physics and economics are not art, but I'm speaking in a very traditional sense."
34:40;34:44;"So the only one that has anything to do with art is the Nobel Prize for literature."
34:44;34:46;"And of course there's the Grammys."
34:46;34:47;"But you know what else, man?"
34:47;34:49;"There's the Man Booker Prize for books."
34:49;34:50;"There's the Pulitzer Prize."
