Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis Episode 2. Wow, has it been two weeks already?"
00:04;00:07;"2015 just keeps getting more and more Time Crisis-y."
00:07;00:12;"I'm so glad that I have this outlet to talk about things and listen to music with my friends and enemies."
00:12;00:14;"This is a really beautiful show."
00:14;00:18;"We've got Despot, Cousin Asher, Tracy, and Heaven from Another Round Podcast,"
00:18;00:22;"Florence from Florence and the Machine, a music story from Rashida Jones,"
00:22;00:27;"and lots of great, beautiful music by wonderful people."
00:27;00:31;"Time Crisis with Ezra Koenig."
54:32;54:34;"What's up? This is Time Crisis with Ezra."
54:34;54:36;"Got some very special guests."
54:36;54:38;"We got Florence Welsh from Florence and the Machine."
54:38;54:40;"What's up? Nice to see you again."
54:40;54:42;"Thank you for having us."
54:42;54:43;"Thank you."
54:43;54:44;"We feel very privileged."
54:44;54:45;"And Florence has with her, Mireille."
54:45;54:46;"Hi."
54:46;54:47;"You guys work together?"
54:47;54:49;"I'm Florence's manager. I manage her with Hannah."
54:49;54:50;"Oh, it's the two of you?"
54:50;54:51;"Yeah."
54:51;54:52;"Okay."
54:52;54:53;"We're a power couple."
54:53;54:56;"And as always, got my main man, Alec aka Despot."
54:56;54:57;"Hi."
54:57;54:59;"One thing I was thinking of when I found out that you were going to come in,"
54:59;55:01;"I was trying to think about the first time I ever met you."
55:01;55:03;"Do you know the first time you ever met me?"
55:03;55:04;"I can't remember."
55:04;55:06;"I think it was at a festival though, wasn't it?"
55:06;55:08;"This might not even be the first time I met you,"
55:08;55:10;"but this is the first time ever I saw your face."
55:10;55:11;"Yeah."
55:11;55:12;"I think."
55:12;55:14;"And actually, I want you to tell me if this is true."
55:14;55:16;"I think it was at Reading/Leeds."
55:16;55:17;"Yes."
55:17;55:19;"2008, and you were hanging out with MGMT."
55:19;55:23;"When me and Andrew were sitting underneath your table that had your snacks on it"
55:23;55:25;"and shooting juice cartons through the paper."
55:25;55:27;"Okay, I didn't even know about that."
55:27;55:28;"[laughter]"
55:28;55:30;"Okay, so that was that summer?"
55:30;55:32;"I don't think, because we were hiding in your dressing room"
55:32;55:35;"and I think we were going to try and surprise you."
55:35;55:36;"We were hiding underneath your--"
