Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, the final episode of the 2016 election cycle."
00:07;00:16;"We'll be talking to Felix from Chapo Trap House, as well as Jennifer Sines, Chief Marketing Officer of the Frito-Lay Corporation."
00:16;00:21;"All this, plus the hits of 2016 and 1964."
00:21;00:25;"Two days till the election. This is..."
00:25;00:32;"Time Crisis with Ezra King. Beep beep beep beep beep beep beep."
00:32;00:33;"One."
00:33;00:39;"They passed me by, all of those great romances"
00:39;00:46;"The war I felt, warming me, all my rightful chances"
00:46;00:53;"My picture clear, everything seemed so easy"
00:53;01:00;"And so I dealt to the floor, one of us had to go"
01:00;01:05;"Now it's different, I want you to know"
01:05;01:11;"One of us is crying, one of us is lying"
01:11;01:16;"Keep an only bae"
01:16;01:21;"Staring at the ceiling"
01:21;01:28;"Wishing she was somewhere else instead"
01:28;01:31;"One of us is lying"
01:31;01:33;"Back in the studio. What's up, Jake?"
01:33;01:34;"Hey."
01:34;01:39;"Wow, this is a really crazy Sunday. It's the Sunday before the election."
01:39;01:40;"Very stressful."
01:40;01:43;"Very stressful. Don't know who's gonna win."
01:43;01:46;"The good news is that we got a sick show today."
01:46;01:49;"We have two sick guests calling in."
01:49;01:53;"First up, we're gonna have Felix Beiderman,"
01:53;01:57;"who is a dude I've followed on Twitter for a long time."
01:57;02:02;"He's a writer and co-host of a podcast called ""Chapo Trap House."""
02:02;02:04;"What's that podcast about?"
02:04;02:06;"Politics, basically."
02:06;02:10;"I guess they're guys you would call left-leaning, but very funny."
02:10;02:11;"Great."
02:11;02:15;"Then after that, we're gonna have probably, no disrespect to Felix,"
02:15;02:21;"but probably the great-- I imagine this is gonna be the greatest time crisis interview of all time."
02:21;02:24;"We got Jennifer Sines. You know who Jennifer Sines is?"
02:24;02:25;"I do."
02:25;02:26;"Who is she?"
02:26;02:32;"She is the chief marketing officer of the Frito-Lay Corporation of Plano, Texas."
02:32;02:33;"That's right."
02:33;02:36;"We've been talking a lot about snack foods over the past few months."
02:36;02:38;"We've been talking about Fritos, we've been talking about Doritos,"
02:38;02:40;"we've been talking about Flamin' Hot Cheetos."
02:40;02:45;"But this is the first time we're actually gonna talk to somebody who works at the Frito-Lay Corporation."
02:45;02:48;"So she's the chief marketing officer, aka the CMO."
