Start Timestamp;End Timestamp;Transcript
00:00;00:05;"This is the Chris McCutts Show with Mike D and Ezra Koenig."
00:05;00:07;"What's up, what's up y'all?"
00:07;00:10;"Mike D, special edition, holiday edition."
00:10;00:15;"We're talking Christmas, we're talking Hanukkah, we're talking Chris McCutts, we're talking,"
00:15;00:19;"I don't even know, not so much Kwanzaa, but we really got into a little bit of everything,"
00:19;00:21;"or we're getting into a little bit of everything."
00:21;00:27;"I got some very, very special guests on today's special holiday edition."
00:27;00:32;"We got Ezra Koenig in the house, we got Jonah Hill in the house."
00:32;00:38;"We're gonna be getting into a little bit of festive holiday foods with a latke tasting,"
00:38;00:43;"a little battle, if you will, a little special latke."
00:43;00:49;"These are potato pancakes, people, a little potato pancake battle, royale, if you will."
00:49;00:56;"We're gonna be playing some of our individual and collective favorite songs of 2016, doing"
00:56;01:01;"a little year end reflection, and we're gonna see where the holidays take us."
01:01;01:04;"Everybody, welcome to the special holiday edition."
01:04;01:05;"Get holiday, y'all."
01:05;01:06;"Been waiting on that sunshine boy, I think I need that back."
01:06;01:07;"Can't do it like that, no one else gon' get it like that."
01:07;01:08;"So I argue, you yell, but you take me back."
01:08;01:09;"Who cares when it feels like crack?"
01:09;01:10;"Well you know that you always do it right."
01:10;01:11;"Rip your pride, just take it on back boy, take it on back boy."
01:11;01:12;"You know you can't take it back, you know you can't take it back."
01:12;01:13;"You can't take it back, you know you can't take it back."
01:15;01:43;"You can't take it back, you know you can't take it back."
01:43;02:12;"You can't take it back, you know you can't take it back."
02:12;02:41;"You can't take it back, you know you can't take it back."
02:41;03:02;"You can't take it back, you know you can't take it back."
03:02;03:31;"You can't take it back, you know you can't take it back."
03:31;03:59;"You can't take it back, you know you can't take it back."
03:59;04:28;"You can't take it back, you know you can't take it back."
04:28;04:56;"You can't take it back, you know you can't take it back."
04:56;05:25;"You can't take it back, you know you can't take it back."
05:25;05:28;"saying this is multicultural."
05:28;05:29;"It's all about the experience."
05:29;05:30;"- I appreciate that."
05:30;05:31;"- Have we started?"
05:31;05:32;"- Yeah, we have started."
05:32;05:33;"This is a show."
05:33;05:35;"This is a holiday edition."
05:35;05:36;"- It's not a Hanukkah show."
05:36;05:37;"- It's not a Hanukkah show."
05:37;05:38;"Although one of the things I want to get into,"
05:38;05:40;"and I'm going to need some help."
05:40;05:42;"And I think Ezra, you might just be the man"
05:42;05:45;"for this job is, I looked it up briefly."
05:45;05:47;"The first day of Hanukkah is going to be Christmas Eve."
05:47;05:48;"- Right."
05:48;05:52;"- This coinciding of Hanukkah and Christmas happens"
05:52;05:54;"roughly four times in a century."
05:54;05:55;"- Whoa."
05:55;05:56;"- Yeah, I don't really remember it."
05:56;05:59;"I remember Hanukkah coinciding with Thanksgiving"
05:59;06:00;"in the past."
06:00;06:01;"- Right, yeah, it can go."
06:01;06:03;"- It's all over the place."
06:03;06:05;"- That's the problem of the calendar we're on"
06:05;06:08;"being non-lunar."
06:08;06:08;"- Right."
06:08;06:10;"- Cool, guys."
06:10;06:11;"- But this is not a Hanukkah show."
06:11;06:12;"- Jonah's like, ""Oh, hell no."""
06:12;06:12;"- I'm bored as."
06:12;06:13;"- This is."
06:13;06:14;"- Whatever."
06:14;06:15;"- We're opening this up."
06:15;06:17;"- No, I was actually just trying to use fancy words"
06:17;06:17;"for the moon."
06:17;06:18;"I'm out."
06:18;06:23;"- This is not an ethnocentric, one culture kind of show."
06:23;06:24;"We're talking about Hanukkah."
06:24;06:25;"- We're all inclusive here."
06:25;06:26;"- Christmas."
06:26;06:29;"Those might be the only holidays at exactly the same time."
06:29;06:30;"- Who sets the date for Kwanzaa?"
06:30;06:31;"- That's a good question."
06:31;06:34;"I don't know where Kwanzaa falls."
06:34;06:36;"I know Ramadan also varies year to year."
06:36;06:38;"- Kwanzaa, December 26th."
06:38;06:41;"Isn't Boxing Day December 26th?"
06:41;06:43;"Is Boxing Day always the day after Christmas"
06:43;06:44;"or two days after Christmas?"
06:44;06:45;"- I'm not sure."
06:45;06:46;"And then you guys, the."
06:46;06:47;"- The best part is."
06:47;06:48;"- Three kings day."
06:48;06:49;"- None of it matters."
06:49;06:50;"- Yeah, 'cause let's keep it real."
06:50;06:51;"- Well, what do you mean?"
06:51;06:52;"It matters a lot to me."
06:52;06:53;"That's gonna determine."
06:53;06:54;"- It matters to some people,"
06:54;06:58;"but this is America and the only God is money."
06:58;06:59;"Let's keep it real."
06:59;07:01;"That's what we celebrate."
07:01;07:02;"That's what the Christians, the Jews,"
07:02;07:05;"everybody celebrates that because."
07:05;07:06;"- Paper."
07:06;07:08;"- It's paper, it's money, it's presents."
07:08;07:10;"- That's why we got Trump as a president, yo."
07:10;07:11;"- That's right, yeah."
07:11;07:13;"- That's why gold is the new green."
07:13;07:15;"- And orange is the new skin."
07:15;07:22;"I don't think Hanukkah is very well represented culturally."
07:22;07:24;"Like I don't ever hear about Hanukkah"
07:24;07:27;"other than like family."
07:27;07:29;"I never see it on TV."
07:29;07:31;"- Well, 'cause it's a minor holiday."
07:31;07:34;"- Yo, you think you guys know better?"
07:34;07:36;"(laughing)"
07:36;07:37;"- It's a minor work of the holiday."
07:37;07:40;"- Well, it's not like a high holy day."
07:40;07:42;"I mean, there's no, I don't, I'm not."
07:42;07:43;"- It's a minor holiday."
07:43;07:46;"If it was a Jay-Z album, it'd be ""Kingdom Come."""
07:46;07:48;"That's what Hanukkah is."
07:48;07:49;"- Shots fired."
07:49;07:50;"- Jay-Z would agree with that."
07:50;07:52;"- Is Jay-Z Jewish?"
