Start Timestamp;End Timestamp;Transcript
00:00;00:12;"Time Crisis 2017. Today marks the first time crisis in the era of the new president. We"
00:12;00:17;"won't be talking about him too much, but we will be talking with Bart Elmore, author of"
00:17;00:24;"Citizen Coke, The Making of Coca-Cola Capitalism. We'll be talking about the new film, The Founder,"
00:24;00:28;"plus digging a little deeper into the connection between McDonald's and Walt Disney. This is"
00:28;00:36;"Time Crisis with Ezra King. B-B-B-B-Beats 1."
00:37;00:43;"They passed me by, all of those great romances"
00:43;00:50;"The war I felt, the war beneath All my rightful chances"
00:50;00:57;"My picture clear, everything seemed so easy"
00:57;01:04;"And so I dealt to the blow, when the boss had to go"
01:04;01:09;"Now it's different, I want you to know"
01:09;01:15;"One of us is crying, one of us is lying"
01:15;01:20;"Even only they"
01:20;01:25;"Time Crisis 2017. Can you believe it?"
01:25;01:28;"Sort of. Sort of."
01:28;01:53;"Back in LA, I'm here with Jake. This is the first episode of 2017, which also means it's the first episode of the Trump presidency. Plenty to talk about there, but we know
that the true TC heads have been waiting a long time for us to get back in the mix, so we want to start you off with some real time crisis type stuff."
01:53;01:59;"So, not only am I joined by Jake, we also got Seinfeld 2000 back in the mix. What's up, Seinfeld 2000?"
01:59;02:00;"Hey, what's up?"
02:00;02:09;"First off, I put you in charge of running the Time Crisis Twitter account, Time Crisis 2000. I haven't been keeping a close eye on it. How's it been going?"
02:09;02:15;"It's fully viral. We got almost 2,500 Twitter followers, which is almost as many as you have."
02:15;02:16;"Well, I-"
02:16;02:17;"It's twice as many as me."
02:17;02:18;"Really?"
02:18;02:19;"Three times the amount."
02:19;02:20;"You got over a thousand?"
02:20;02:21;"No."
02:21;02:31;"Okay, well, Seinfeld, I want to say one thing. I haven't been looking at it every day, but I noticed that I think it got to about 2,500 very quickly."
02:31;02:32;"Yeah."
02:32;02:35;"And the growth has really slowed."
02:35;02:45;"Yeah, well, you haven't really been pumping it. I mean, nobody here has really been supporting it the way I have, so it's been its own autonomous thing, but if you want to
lend some of your juice to it-"
02:45;02:48;"That's not how virality works."
02:48;02:51;"Virality comes from content."
02:51;02:53;"Content is hot fire."
02:53;02:57;"Okay, I want you to get to 5K."
02:57;02:59;"By when?"
02:59;03:01;"Two weeks. Can you do it?"
03:01;03:06;"If we can mention the Twitter account every 10 minutes throughout this episode, I can guarantee you-"
03:06;03:22;"Okay, we have a Time Crisis Twitter. It's @TimeCrisis2000, and it's run by Seinfeld 2000. But anyway, Seinfeld, I wanted to have you on for this first segment, because
as we said, the world's changed in many ways."
03:22;03:37;"But Time Crisis, we talk about what's happening in the world, but it's also supposed to be a brief Sunday respite from some of the brutality of what's going on. And it's
important to continue to take these moments to enjoy culture."
03:37;03:45;"So I wanted to talk about a song, because originally this was a music show, before it became a corporate food history and politics."
03:45;03:52;"Originally this was a music show, so I want to play you guys a song. I assume you know it. Let's just listen to it first."
03:52;03:54;"It's a jazz tune."
04:22;04:24;"Yikes."
04:24;04:29;"So that's a classic tune. Who can identify it?"
04:29;04:31;"It's a Fraser theme."
04:31;04:43;"That's the Fraser theme. So it's in a jazz style. It's a very notable 90s TV theme song, because it's jazz, and because- who's that on vocals?"
04:43;04:44;"Kelsey."
04:44;04:49;"That's Kelsey Grammer, the star of Fraser, singing the show's theme song, which is pretty rare."
04:49;04:58;"So Seinfeld 2000, can you contextualize Fraser? As somebody who really cares a lot about 90s TV, just explain what Fraser is, in case anybody at home is not familiar."
04:58;05:06;"Okay, well, to understand Fraser, I think you've got to take it back to another show called Cheers. Do you remember Cheers, the TV show?"
05:06;05:07;"Vaguely. Ted Danson."
05:07;05:21;"Kelsey Grammer, Fraser was a character who was in that show, and he was kind of the erudite, educated doctor who would come in, and he'd provide his sort of elevated,
highbrow perspective."
05:21;05:35;"Cheers ends, and a few years later, Fraser has his own spinoff, where he's now set in Seattle. He's a radio host. He lives with his father, and has a dog named Eddie.
That's his father's dog."
05:35;05:39;"And is there a jazz element to the show? Does he play a little sax on the side?"
05:39;05:40;"He's sophisticated."
05:40;05:44;"Yeah, he liked jazz. He's a sophisticated man."
05:44;05:48;"It's like Carrie on Homeland. She's a big jazz head."
05:48;05:55;"Oh my god, I totally forgot. I stopped watching Homeland because it got so racist. But I guess that was her redeeming quality."
05:55;05:59;"And that show has the worst theme music of any show in history."
05:59;06:00;"Oh yeah, it has this kind of like…"
06:00;06:01;"Collage-y."
06:01;06:02;"Yeah, yeah."
06:02;06:04;"Like, jazzy, collage-y."
06:04;06:06;"Yeah, there's that like…"
06:06;06:20;"Homeland is the original La La Land. I just realized the connection. They're both lands, and they're both about jazz. La La Land is kind of like, they didn't want to
touch some of those more political elements."
06:20;06:22;"Okay, but anyway, back to Fraser."
06:22;06:23;"Yeah."
06:23;06:24;"Wait, I got a question for you."
06:24;06:25;"Shoot."
06:25;06:30;"We all know that you're a huge fan of NBC in the 90s. Seinfeld, Friends, you name it, right?"
06:30;06:31;"Not Friends."
06:31;06:33;"Oh, you don't like Friends?"
06:33;06:34;"Dude."
06:34;06:35;"Okay, alright, alright."
06:35;06:36;"Follow me on…"
06:36;06:44;"You specifically like Seinfeld. Okay, so we know hardcore Seinfeld heads hate Friends. Where do they fall on Fraser?"
06:44;06:53;"Fraser's cool. I mean, Fraser never really tried to ape the Seinfeld formula. It was doing its own thing. You know, the two shows kind of complemented each other."
06:53;06:54;"I think they were on different nights of the week."
06:54;06:56;"That's why you hate Friends. You think it was aping Seinfeld."
06:56;07:08;"Yeah, what they did was that they took the core elements of Seinfeld and they tried to pretty them up and, you know, we'll have better looking people and we'll have more
people and the apartment will be nicer and on and on. Give me a break."
07:08;07:09;"Wow."
07:09;07:10;"Sand off all the edges."
07:10;07:11;"Right?"
07:11;07:12;"Exactly."
07:12;07:23;"But I never thought of them as directly competing because Seinfeld tonally was very unique and it was ironic and it was original. Friends was just like a
straightforward sitcom, right?"
07:23;07:26;"I didn't think that they were even trying to go for the same…"
07:26;07:34;"I think Friends sort of like also had a bit of that focus on like the minutia of the day and like the stories were very small."
07:34;07:44;"I know what you mean. Friends is kind of like a more basic Seinfeld. But frankly, they're both kind of basic compared to the erudite, jazzy Seattle atmosphere of Fraser."
07:44;07:48;"Okay, I thought that the Fraser song was a Joni Mitchell song."
07:48;07:50;"Wait, you thought this was a Joni Mitchell song?"
07:50;08:03;"I thought it was a cover of a Joni Mitchell song. Yeah. Okay, can someone cue up the last song on Court and Spark? The 1974 Joni Mitchell album, Court and Spark, the last
song."
08:03;08:07;"Oh, this is the song. You think it's Twisted by Joni Mitchell?"
08:07;08:08;"Yeah."
08:08;08:11;"Okay, it's jazzy. I'll give you that."
