Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Time Crisis. It's February and we're back."
00:06;00:08;"We've got a great show this week."
00:08;00:11;"Jake turns 40."
00:11;00:16;"We get a call from David Berkowitz of the Bagel Nook in Freehold, New Jersey."
00:16;00:19;"Plus, it's the day of the Grammys."
00:19;00:24;"So we'll be digging back into Grammy history from 1981 and today."
00:24;00:26;"This is..."
00:26;00:30;"Time Crisis with Ezra King."
00:30;00:32;"B-B-B-Beast."
00:32;00:34;"One."
00:42;00:50;"But picture clear Everything seems so easy"
00:50;01:05;"And so I dealt you the blow One of us had to go"
01:05;01:12;"One of us is crying One of us is lying"
01:12;01:16;"We were only made"
01:16;01:20;"Time Crisis, February 12th, 2017."
01:20;01:23;"It's Grammy Day, Jake. Did you know that?"
01:23;01:24;"I did."
01:24;01:26;"I'm about to roll to the Grammys."
01:26;01:27;"Are you? You're going?"
01:27;01:28;"Yeah, man."
01:28;01:29;"Why?"
01:29;01:30;"'Cause I'm nominated."
01:30;01:31;"You are? For what?"
01:31;01:35;"I don't think a lot of people know, but I'm nominated for Album of the Year."
01:35;01:36;"What?"
01:36;01:38;"For Time Crisis."
01:38;01:39;"Oh!"
01:39;01:40;"No, just kidding."
01:40;01:41;"Comedy album."
01:41;01:45;"I'm nominated for Album of the Year because of my work on the Beyonce album."
01:45;01:46;"That's right."
01:46;01:47;"I've learned a lot about--"
01:47;01:48;"Okay."
01:48;01:49;"It's complicated."
01:49;01:52;"In different categories, different people get nominated."
01:52;01:57;"But for Album of the Year, all featured artists and all producers are nominated"
01:57;02:01;"as a producer on the song Hold Up."
02:01;02:02;"I'm nominated."
02:02;02:03;"Okay. That was my question."
02:03;02:06;"I was like, ""Were you a featured artist or were you a--?"""
02:06;02:07;"No, it's as a producer."
02:07;02:08;"Not as a writer."
02:08;02:10;"Writers don't get nominated, but--"
02:10;02:11;"So you helped produce that song?"
02:11;02:13;"I thought you just wrote that."
02:13;02:15;"Remember last year we did that whole segment?"
02:15;02:16;"Yeah, we broke it down."
02:16;02:17;"That was cool."
02:17;02:20;"No, me and Diplo and Beyonce are the three producers on that song."
02:20;02:21;"Really?"
02:21;02:22;"Yeah."
02:22;02:23;"That's cool, man."
02:23;02:24;"We'll see."
02:24;02:26;"So are you going to sit with them?"
02:26;02:28;"See, I don't know how all that's going to go down."
02:28;02:29;"I think--"
02:29;02:31;"There's harsh hierarchies."
02:31;02:36;"Well, I heard that I will be sitting in the vicinity of Beyonce"
02:36;02:38;"because I think they try to keep the crew--"
02:38;02:40;"because we're rolling with the crew."
02:40;02:42;"We're going to go with Ariel, too."
02:42;02:43;"Okay."
02:43;02:44;"Because Ariel's also nominated for Album of the Year"
02:44;02:48;"because he worked on the Adele album."
02:48;02:49;"Oh, wow."
02:49;02:50;"So I'm going head to head."
02:50;02:51;"God, look at you guys."
02:51;02:54;"Going head to head with one of my good friends."
02:54;02:56;"I was just asking somebody, like, oh, can we all sit together?"
02:56;02:58;"And they're like, well, you've got to sit by Beyonce"
02:58;02:59;"and Ariel's got to sit by Adele."
02:59;03:00;"And I was like, really?"
03:00;03:02;"Because I don't think Beyonce and Adele care."
03:02;03:04;"Yeah."
03:04;03:07;"So if she won, you'd go up on stage with her."
03:07;03:08;"That's another question."
03:08;03:09;"I'm not aware of that."
03:09;03:12;"That's something I'm going to have to figure out there."
03:12;03:13;"Here's the thing."
03:13;03:15;"I wasn't even sure I was going to go."
03:15;03:16;"Wait, why is that?"
03:16;03:21;"Just because, you know, like most things,"
03:21;03:23;"most things are better to watch on TV."
03:23;03:25;"I was just thinking about this because of the Super Bowl."
03:25;03:26;"OK."
03:26;03:28;"Because I was talking to a dude who's"
03:28;03:30;"like a huge Boston sports fan."
03:30;03:32;"And he was really torn up about all the Trump"
03:32;03:34;"connections on the Pats."
03:34;03:35;"Right."
03:35;03:37;"And he was like, you know, I had a ticket to go."
03:37;03:38;"And this is actually before."
03:38;03:40;"We were having dinner before the Super Bowl."
03:40;03:43;"And he's like, you know, I had a ticket to go to the Super Bowl."
03:43;03:46;"But I feel like I should just watch it on TV."
03:46;03:48;"I feel like going there, it feels too weird"
03:48;03:49;"with the political situation."
03:49;03:51;"And, you know, he's trying to make a moral choice."
03:51;03:52;"Wow."
03:52;03:54;"I wonder if he regrets it now that it's like considered"
03:54;03:56;"one of the best Patriots games of all time."
03:56;03:59;"But anyway, he was saying all this to me like, yeah,"
03:59;04:00;"I don't know."
04:00;04:02;"I mean, you know, I know it'd be really fun."
04:02;04:03;"Like, I love going to see football."
04:03;04:06;"And I was like, look, morality aside,"
04:06;04:08;"isn't it just better to watch on TV?"
04:08;04:09;"Yeah."
04:09;04:10;"I went to the Super Bowl once."
04:10;04:11;"Really?"
04:11;04:15;"Yeah, when it was in New Jersey at the Metaland"
04:15;04:17;"or whatever it's called, MetLife Stadium."
04:17;04:18;"And I was just watching it."
