Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis, Sunday, March 12th."
00:04;00:07;"There's a lot to discuss."
00:07;00:11;"Jake made a Home Depot playlist, a dream playlist."
00:11;00:16;"Vin Diesel sang a Kygo and Selena Gomez song."
00:16;00:23;"All this, plus Dwayne ""The Rock"" Johnson, Dave Longstreth as our guest,"
00:23;00:28;"and the top five hits of 2017 and 1981."
00:28;00:37;"This is... Time Crisis, with Ezra Keenan. B-b-b-b-b-beastz. 1."
00:38;00:44;"They passed me by, all of those great romances."
00:44;00:51;"The war I felt, robbing me of my rightful chances."
00:51;00:58;"My picture clear, everything seemed so easy."
00:58;01:05;"And so I delved to the floor, when a bus had to go."
01:05;01:10;"Now it's different, I want you to know."
01:10;01:15;"One of us is crying, one of us is lying."
01:15;01:26;"Leave her lonely there, staring at the ceiling."
01:26;01:32;"Wishing she was somewhere else instead."
01:32;01:41;"2."
01:41;01:48;"How do you feel? Is it loneliness?"
01:48;01:55;"Is there shining in your heart, but no gloss on your lips?"
01:55;02:06;"Do you sail alone, round the island with a silhouette of a shark beneath the skin?"
02:06;02:08;"And then you say..."
02:08;02:12;"Wanna be where you are, you're the right one."
02:12;02:15;"Wanna be where you are, you're the right one."
02:15;02:19;"Wanna be where you are, you're the right one."
02:19;02:21;"The right one, the right one."
02:21;02:27;"3."
02:27;02:36;"You've been waiting for your love in me."
02:36;02:40;"And there's been waters and deep."
02:40;02:48;"We've been hanging tight for all the things we would have loved."
02:48;02:54;"So wait, but if only I was there."
02:54;02:57;"Wanna be where you are, you're the right one."
02:57;03:00;"Wanna be where you are, you're the right one."
03:00;03:04;"Wanna be where you are, you're the right one."
03:04;03:07;"The right one, the right one."
03:07;03:10;"Wanna be where you are, you're the right one."
03:13;03:17;"Wanna be where you are, you're the right one."
03:17;03:19;"The right one, the right one."
03:19;03:26;"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh."
03:26;03:28;"Time Crisis, Sunday, March 12th."
03:28;03:30;"We're back."
03:30;03:31;"I'm here with Jake."
03:31;03:31;"What's up, Jake?"
03:31;03:33;"Hey."
03:33;03:34;"But this time we got a bonus."
03:34;03:36;"We got a bonus Longstreth in the building."
03:36;03:37;"Dave Longstreth."
03:37;03:38;"What's up, Dave?"
03:38;03:39;"What's up?"
03:39;03:41;"So Dave, you've been on the show before."
03:41;03:42;"Yeah."
03:42;03:46;"Dave is the guy behind the group Dirty Projectors."
03:46;03:47;"Known him for a long time."
03:47;03:48;"He's also Jake's brother."
03:48;03:53;"Just dropped a new album, but we've known each other too long"
03:53;03:55;"for me to ask you questions about your new album."
03:55;03:59;"So we're just gonna talk about more like Time Crisis type stuff."
03:59;04:00;"Although it is out."
04:00;04:01;"Check it out."
04:01;04:06;"You can stream it on Apple Music and you can buy it on vinyl at your local record store."
04:06;04:07;"Oh, yeah, I do."
04:07;04:09;"I do want to say, wow, the vinyl looks sick."
04:09;04:10;"Yeah."
04:10;04:11;"Oh, cool."
04:11;04:15;"'Cause you actually printed it on, it's like a gray cloudy vinyl."
04:15;04:21;"It's that stuff, duvetyne, that like weird black light absorbing fabric."
04:21;04:23;"People use it in like theater productions."
04:23;04:23;"Yeah, yeah."
04:23;04:28;"And then the things are like black plexiglass reflecting a ceiling."
04:28;04:28;"It looks really..."
04:28;04:30;"It's not printed on duvetyne."
04:30;04:31;"No, no, no."
04:31;04:31;"Oh, yeah, yeah."
04:31;04:32;"I haven't seen it."
04:32;04:34;"Domino hasn't sent me one."
04:34;04:34;"I literally have..."
04:34;04:35;"You only seen pictures?"
04:35;04:37;"I've only seen pictures."
04:37;04:37;"Damn."
04:37;04:39;"I don't have a copy of the album."
04:39;04:42;"You gotta pick one up, man."
04:42;04:43;"Swing by Amoeba."
04:43;04:45;"I know, I should."
04:45;04:45;"Gimme, gimme."
04:45;04:49;"Mom and dad asked for one too, Jake."
04:49;04:50;"Hook 'em up."
04:50;04:50;"I know, I got some."
04:50;04:52;"It's so funny when you're around siblings,"
04:52;04:56;"'cause your siblings are the only people you can talk about your parents as mom and dad."
04:56;05:00;"In fact, it's really hilarious and a very weird character trait"
05:00;05:02;"when people say that to people who aren't their siblings."
05:02;05:06;"So for instance, you guys together, you would say,"
05:06;05:09;"""Oh, by the way, mom said, dad said."""
05:09;05:11;"Or M, M and D."
05:11;05:13;"Wait, you call your parents M and D?"
05:13;05:13;"Yeah."
05:13;05:14;"Frequently."
05:15;05:16;"In text or in language?"
05:16;05:17;"Like verbal language."
05:17;05:19;"Mom and dad, this seems long."
05:19;05:23;"M and D is a little bit shorter."
05:23;05:24;"Wait, so you'll just be like..."
05:24;05:29;"So M and D said they were gonna come visit in mid-April."
05:29;05:29;"Yep."
05:29;05:30;"Yeah."
05:30;05:32;"It's like not even a joke at this point."
05:32;05:36;"M said she wanted to definitely go check out the museum while she was here,"
05:36;05:39;"while D said it'd be cool maybe to go down to Marina del Rey and do some fishing."
05:39;05:42;"That's like an actual conversation?"
05:43;05:45;"M and D, it sounds like R and D."
05:45;05:56;"Huh."
08:56;08:59;"So two weeks ago we did the show and it was Oscars day."
08:59;09:04;"So when you do a show every two weeks, it's always kind of hard to know,"
09:04;09:07;"like should you cover stuff that happened in the past two weeks?"
09:07;09:09;"Like should we talk about the Oscars right now?"
09:09;09:13;"Right, because we did the Grammys recap, which was great because you were there,"
09:14;09:17;"and so there were a lot of anecdotes to relay."
09:17;09:17;"Right."
09:17;09:22;"We probably have a lot of new insightful things to say about the Grammys."
09:22;09:24;"Oh, he's still talking about the Grammys."
09:24;09:27;"That's funny, why don't we just keep talking about the Grammys after all the award shows?"
09:27;09:28;"Oscars were cool."
09:28;09:33;"Oh yeah, well one thing I can say is I've met that guy, the producer before."
09:33;09:35;"Which producer?"
09:35;09:38;"The producer who said, ""Stop, Moonlight, you won."""
09:38;09:39;"Oh, this is not a joke."
09:39;09:40;"This is not a joke."
09:40;09:42;"His wife, who he referred to-"
09:42;09:43;"Yeah, why didn't you call her?"
09:43;09:44;"As his blue-eyed wife."
09:44;09:45;"That was so strange."
09:45;09:47;"For anybody who didn't see or doesn't remember that part,"
09:47;09:51;"when the La La Land people thought they'd won and they were giving their speeches,"
09:51;09:53;"which is the most brutal part of all of it,"
09:53;09:57;"is just being like, ""Believe in your dreams,"" and then you find out it didn't happen."
09:57;10:00;"One of the producers referred to his blue-eyed wife."
10:00;10:03;"He said, ""I've got a great baby,"" and you know, ""Julia, you have a blue-eyed-"""
10:03;10:04;"My beautiful blue-eyed wife."
10:04;10:07;"Well anyway, his blue-eyed wife went to Columbia."
10:07;10:11;"She actually directed Rostam and I in a production of Romeo and Juliet."
10:12;10:13;"Whoa."
10:13;10:16;"So, we got a connection to this whole fiasco."
10:16;10:18;"Wait, you guys both acted in a production?"
10:18;10:21;"We were like the bottom of the barrel, like the dudes had a couple lines."
10:21;10:23;"We were the night watchmen."
10:23;10:24;"You both were?"
10:24;10:24;"Yeah."
10:24;10:25;"Together?"
10:25;10:26;"Before Vampire."
10:26;10:29;"Yeah, this was like freshman year, night watchman number one and two."
10:29;10:29;"Maybe sophomore year."
10:29;10:36;"But anyway, the director was Julia Hart, who was the blue-eyed wife of the speech."
10:36;10:41;"And then once I'd met him, I met that guy via her."
10:41;10:46;"He was casting a movie that was like about- that involved like an indie band in Chicago."
10:46;10:49;"Like a struggling indie band in Chicago."
10:49;10:55;"And like to his credit, he was trying to cast real musicians to play the roles."
10:55;10:57;"Although this is one thing that I will say."
