Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Tom Crysis back once again. Today in the studio we'll be joined by Gerard Carmichael,"
00:06;00:13;"my favorite comedian of all time. We'll also talk to Steve Horlick, composer of"
00:13;00:20;"the Reading Rainbow theme song, as well as RJ Ritchie, Kid Rock's son, Apple Genius"
00:20;00:28;"employee, and rising music star. This plus fan mail and the top five, today on"
00:28;00:36;"Time Crisis with Ezra King. Beep beep beep beep beep beep beep. Spawn One."
00:36;00:50;"They passed me by, all of those great romances. You are a friend to a many, all my rightful chances."
00:50;01:04;"My picture clear, everything seems so easy. And so I delve to the floor, when the bus had to go."
01:04;01:15;"Now it's different, I want you to know. One of us is crying, one of us is lying."
01:15;01:20;"Keep an eye on me babe."
01:20;01:29;"Tom Crysis back again. I'm here with Jake and Gerard Carmichael. What? Honorary member of the Crysis crew."
01:29;01:34;"I feel so connected to you guys. You've been on it more than anybody else. I like this place."
01:34;01:40;"It feels all warm and nice. We're very glad to have you back, even if only for the beginning of the show."
01:40;01:47;"We appreciate that. So just to set the stage for the people at home, because radio is not a visual medium,"
01:47;01:53;"both Jake and I are wearing Grateful Dead shirts right now. This was a gift you gave me just right now."
01:53;01:59;"I just gave Jake a bootleg Grateful Dead shirt that's a Grateful Dead and Mets baseball shirt."
01:59;02:02;"Mets logo within the skull of the Steely logo."
02:02;02:08;"Because I was just browsing Grateful Dead shirts on the internet. And you grew up as a Mets fan, right?"
02:08;02:10;"Yankees, but it's..."
02:10;02:12;"I really thought you were a Mets fan."
02:12;02:13;"No, no, no."
02:13;02:14;"Oh, that's hilarious."
02:14;02:17;"I'm ride or die '86 Mets. I mean, how could you not?"
02:17;02:24;"And then I'm wearing this like vintage weird one that was like from a series of concerts in 1985 in San Francisco."
02:24;02:26;"Oh, I thought it was Japan."
02:26;02:28;"I don't know if the Dead ever played Japan, but it's..."
02:28;02:29;"That's a good question."
02:29;02:33;"It was the year of the ox. But anyway, so we talk about the Grateful Dead on the show a lot."
02:33;02:39;"And so, Gerard, just before we started, you said you weren't sure if you've ever heard a Grateful Dead song."
02:39;02:43;"Yeah, I don't think I've ever knowingly. I'll say knowingly. I'm sure I was in a bar or something."
02:43;02:51;"And it came on and I was like, ""Oh, what is this?"" But knowingly, I don't think I've ever heard a single Grateful Dead song."
02:51;02:52;"Interesting."
