Start Timestamp;End Timestamp;Transcript
00:00;00:09;"Time Crisis, episode 50. Boy, Time Crisis sure does fly. On this episode, I'll be"
00:09;00:14;"joined by two of my New York compatriots, Despot and Cousin Asher. We'll be joined"
00:14;00:20;"on the phone by Jake to talk about his Eclipse experience. All this, plus the top"
00:20;00:26;"10 songs of summer 2017. This is a very special time."
00:26;00:31;"Time Crisis with Ezra King."
00:31;00:35;"Peaceful Mind."
00:35;00:39;"All of those great romances"
00:39;00:43;"The war I felt, robbing me"
00:43;00:46;"Of my rightful chances"
00:46;00:49;"But picture clear"
00:49;00:54;"Everything seemed so easy"
00:54;00:57;"And so I dealt you the blow"
00:57;01:00;"One of us had to go"
01:00;01:05;"Now it's different, I want you to know"
01:05;01:08;"One of us is crying"
01:08;01:11;"One of us is lying"
01:11;01:16;"He's a lonely man"
01:16;01:21;"Staring at the ceiling"
01:21;01:28;"Wishing she was somewhere else in space"
01:28;01:47;"When the lie lie hits, your lyrics just split ya"
01:47;01:49;"Head so hard that your hat can't fit ya"
01:49;01:51;"Either I'm with ya or against ya"
01:51;01:54;"Format bencha, back through that maze I sent ya"
01:54;01:56;"Talking to the rap inventor"
01:56;01:58;"The gang type fifth at Flame Right"
01:58;02:01;"Spell my name right, B-I-double G-I-E"
02:01;02:04;"Ice out, lights out, me and Cesar Leo"
02:04;02:06;"Getting hit for some Chiquino"
02:06;02:08;"See it's all about the cheddar, nobody do it better"
02:08;02:11;"Going back to Cali, strictly for the weather"
02:11;02:13;"Women and the ***, sticky green"
02:13;02:16;"No seats, please, Papa ain't stalled"
02:16;02:18;"Dead up in the hood, ain't no love lost"
02:18;02:20;"Got me mixed up, you drunk them licks up"
02:20;02:23;"Mad 'cause I got my *** and my ***"
03:49;03:52;"Time Crisis, episode 50."
03:52;03:56;"This is just insane that we've done 50 episodes of this show."
03:56;03:58;"I guess it kind of makes sense."
03:58;04:00;"We do it every two weeks."
04:00;04:02;"It's been about two years."
04:02;04:04;"These years have really been flying by, man."
04:04;04:09;"Anyway, this is a really special Time Crisis because I'm here in Los Angeles"
04:09;04:12;"where I've been living in exile for over a year."
04:12;04:18;"Normally, my co-host in LA is Jake Longstreth, but he's out of town."
04:18;04:25;"So finally, we got Despot and Cousin Asher flown out here to LA."
04:25;04:26;"Welcome, guys."
04:26;04:27;"What's up, Ezra?"
04:27;04:29;"What's up, Cousin Asher? What's up, Despot?"
04:29;04:30;"Hi."
04:30;04:32;"[LAUGHTER]"
04:32;04:36;"The energy in the room is palpable."
04:36;04:39;"I cannot believe that we got these two East Coast dudes here on the West Coast."
04:39;04:43;"Now, Despot, you come out to LA pretty frequently."
04:43;04:45;"Yeah, against my will."
04:45;04:46;"You just love it."
04:46;04:47;"Yeah."
04:47;04:48;"You got your sun time in."
04:48;04:49;"Got to get out to Malibu."
04:49;04:52;"But Asher, you haven't been to LA in over a decade."
04:52;04:53;"In over a decade."
04:53;04:57;"I went to school in LA at Occidental College,"
04:57;05:03;"and I left the day of graduation, and this is my first full day back."
05:03;05:04;"That's crazy."
05:04;05:06;"Since I graduated. Yeah, it's crazy."
05:06;05:08;"It's going to be your only full day because you've got to go back."
05:08;05:10;"Only full day. I've got to get back to the East Coast."
05:10;05:11;"This is wild, man."
05:11;05:13;"Yeah, it's crazy."
05:13;05:15;"I mean, we've got a lot of catching up to do."
05:15;05:18;"I can't believe this, the two coasts of Time Crisis reunited."
05:18;05:22;"Of course, Jake is not here, but we got Despot, Cousin Asher."
05:22;05:23;"We also got Seinfeld 2000."
05:23;05:24;"Hey, what's up?"
05:24;05:27;"You're going to have to get on the mic more today, Seinfeld."
05:27;05:30;"Okay."
05:30;05:33;"But anyway, Jake is not fully forgotten because when Jake leaves,"
05:33;05:36;"he becomes our correspondent elsewhere."
05:36;05:38;"So we're going to give Jake a call, see what he's been up to."
05:38;05:42;"Now, let's go to the Time Crisis hotline."
05:42;05:45;"[phone ringing]"
05:45;05:47;"Jake, what's up?"
05:47;05:49;"Hey, I'm calling from a landline in Vermont."
05:49;05:50;"Where are you?"
05:50;05:53;"I'm at the Lake Mansfield Trout Club."
05:53;05:55;"[laughter]"
05:55;05:59;"It's about five miles outside of Stowe, Vermont."
05:59;06:03;"And actually, I drove by the Ben & Jerry's factory today."
06:03;06:05;"Oh, my God. Oh, nice."
06:05;06:07;"I know, I've got to stop in sometime this week."
06:07;06:09;"You can like, it's open to the public?"
06:09;06:11;"Yeah."
06:11;06:13;"Yeah, I went a few times as a kid."
06:13;06:18;"Yeah, they got that graveyard where you can look at all the flavors that they've retired."
06:18;06:20;"That's pretty morbid."
06:20;06:22;"Yeah, it's pretty rough."
06:22;06:23;"How are you guys?"
06:23;06:26;"Not bad. We just got in here back in L.A."
06:26;06:28;"Cousin Asher and Despot in the building."
06:28;06:31;"You and Cousin Asher have never met, and I guess you never will."
06:31;06:32;"It's never going to happen."
06:32;06:33;"At this rate."
06:33;06:35;"Maybe the 100th episode."
06:35;06:38;"Maybe on the 100th, we can finally get everybody in the same room."
06:38;06:40;"So, Jake, you got anything to report from Vermont?"
06:40;06:42;"Well, I just got here today."
06:42;06:46;"I was in Casper, Wyoming the last three days."
06:46;06:48;"Oh, you went to go see the eclipse?"
06:48;06:52;"Yep, I saw the eclipse in its totality."
06:52;06:57;"Right, so you hauled ass from Los Angeles to Casper, Wyoming because you wanted to be right in the path."
06:57;06:59;"Check it out."
06:59;07:04;"I came up with a good name for like either a rapper or some kind of rock and roll guy."
07:04;07:07;"His name is Dave Totality."
