Start Timestamp;End Timestamp;Transcript
00:00;00:05;"It's time crisis, 2018."
00:05;00:07;"We're about to burst into the new year."
00:07;00:13;"We'll be talking about the Taco Bell Belluminati commercial."
00:13;00:18;"We'll also be talking about Tim Hortons, a very popular Canadian chain."
00:18;00:24;"All this, plus a phone call from journalist and podcaster Jeff Weiss to let us know what's"
00:24;00:27;"been happening with LA Weekly."
00:27;00:29;"Welcome to 2018."
00:29;00:35;"Welcome to Time Crisis with Ezra King."
00:35;00:37;"Be-be-be-be-be-be-be-be-beace."
00:37;00:38;"One."
00:38;00:51;"They passed me by, all of those great romances."
00:51;01:00;"My picture clear, everything seems so easy."
01:00;01:16;"And so I tell to the world, one of us had to go."
01:16;01:17;"Now it's different, I want you to know."
01:17;01:18;"One of us is crying, one of us is lying."
01:18;01:19;"Time crisis 2018."
01:19;01:24;"So what Happy New Year happy new year Jake happy new year to the listeners"
01:24;01:28;"When do you stop saying happy new year to people around now?"
01:28;01:31;"mid January"
01:31;01:36;"Okay, I haven't seen you. I don't think this year yet. Yeah, it's true, and it feels appropriate to say happy new year"
01:36;01:40;"But if I didn't see you until like the last week of January"
01:40;01:44;"Forget it like it was like hey man. It's January 27th first time. I'm running into you"
01:45;01:51;"Happy New Year happy new year, bro. We'll be pushing it so how was your new year Jake sounds like you came down with the"
01:51;01:55;"Something yeah, I came down with bronchitis still kind of"
01:55;02:01;"Fighting it off. I hear it in your voice a lot of people getting sick. Yeah, it's been it's been rough"
02:01;02:07;"But I'm on the mend played a big show New Year's Eve at Zebulon right so Richard pictures"
02:07;02:12;"You're grateful dead cover band played a New Year's show. I'm sorry. I couldn't make it. How was it? Where were you man?"
02:13;02:20;"Well, we took a little vacation. We got back that morning nice, but my significant other was invited to another party"
02:20;02:25;"Okay, I had to company her I get it. I'd really tested my loyalties. This was more of a hip-hop party"
02:25;02:29;"Two of my favorite things right this was a Westside hip-hop party"
02:29;02:35;"Mmm, and you're doing Eastside dead party, and I you know I lost I do feel bad"
02:35;02:41;"I did not make it out. It was a great show so what's the crowd like at the Grateful Dead cover band New Year's?"
02:42;02:47;"Silver Lake pretty thick yeah a lot of heads a lot of deadhead yep people"
02:47;02:55;"I don't know Hannah talked to one person that is an elementary school teacher on the west side of LA that had nothing going on"
02:55;03:03;"Heard about the show took some shrooms and rolled solo rolled solo. Oh hell. Yeah, it was just like blazed like up front"
03:03;03:09;"Just like look she had like this like sparkly lip gloss on and then she was talking to Hannah after the show"
03:09;03:11;"She's like yeah, I mean I how old"
03:12;03:13;"20"
03:13;03:14;"7"
03:14;03:18;"27 year old female teacher yes, here's about"
03:18;03:23;"Grateful Dead cover band playing across town on New Year's yeah, no plans"
03:23;03:27;"Nope, or is that she hit up some of her like friends and was like guys was cooking for New Year's"
03:27;03:30;"They're like oh, we're getting like a nice bottle of wine and going over to"
03:30;03:36;"Jeff's house, and she was like does anybody want to come see a Grateful Dead cover band on the other side of town and they"
03:36;03:40;"Were like oh, I don't think so and she was like all right"
03:40;03:42;"I'll just pop some shrooms jump in an uber"
