Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis back once again. Jake and I reunite in late January to discuss the"
00:08;00:13;"topics of the day. We'll be joined by Carson Mel, creator of the new TBS"
00:13;00:19;"cartoon Tarantula. We'll also dig into the listener email bag, count down the"
00:19;00:26;"hits of 1987, and discuss a very controversial topic. Pepperidge Farm"
00:26;00:34;"Goldfish. This is Time Crisis with Ezra King."
01:19;01:26;"Time Crisis, second one of 2018. Can you believe it? We're already like deep into"
01:26;01:35;"2018. Week four. Crazy. How you doing Jake? How you enjoy that beer? Um, pretty buzzed."
01:35;01:42;"First beer of 2018 for me. So for people who didn't listen to the last show, how long"
01:42;01:47;"did you take off from drinking? Three weeks? Not even that long. Because you went"
01:47;01:51;"hard on New Year's at the Richard Pictures Grateful Dead show? Moderately"
01:51;01:55;"hard. So then you woke up January 1st and you're like I'm taking the month off."
01:55;02:01;"Yeah. So even just taking a few weeks off from drinking, that your first beer, you"
02:01;02:04;"really feeling it? Yeah, I'm surprised actually. Because we talked about last"
02:04;02:08;"time that you're a moderate to heavy drinker. That's true. What was it? Two to"
02:08;02:14;"three a night? Two to three a night. That's moderate. Is that heavy? I don't"
02:14;02:20;"like to think of myself as a heavy drinker. That's sad. I'm not shaming you"
02:20;02:26;"because you always have your s*** together, but hold on. What's the definition of a"
02:26;02:30;"heavy drinker? Yeah, exactly. And also it's probably worth noting that alcoholism and"
02:30;02:36;"heavy drinking are not synonymous. True that. So the first definition we found"
02:36;02:42;"from the NIH defines heavy alcohol use as binge drinking on five or more days"
02:42;02:48;"in the past month. Okay, but what is binge drinking? I don't binge drink. Yeah, two"
02:48;02:52;"to three drinks doesn't sound like binge drinking. No, binge drinking is like probably like five or more."
02:52;02:57;"Six. We're on the NIH website. Okay. This is what our government really thinks"
02:57;03:03;"about alcohol. Specifically the NIH has something called NIA, the National"
03:03;03:06;"Institute on Alcohol Abuse and Alcoholism. This is valuable information for us all"
03:06;03:13;"to have. So NIA defines binge drinking as a pattern of drinking that brings blood"
03:13;03:20;"alcohol concentration levels to 0.08 g/dL. This is classic. It's like so"
03:20;03:24;"unhelpful. You go to this government website to like get some insight and"
03:24;03:27;"they're just like, it's real technical. Government doesn't solve problems."
03:27;03:32;"Government is the problem. Okay, hold on. Just get government out of my way. So this typically occurs"
03:32;03:36;"after four drinks for women and five drinks for men in about two hours. How"
03:36;03:45;"often are you having five drinks in two hours? Never. Two hours? That's crazy. It's no joke"
03:45;03:48;"though. I mean I was looking at this chart of like how much people drink and"
03:48;03:53;"the vast majority of people drink very little. Yeah. Then there's that top 10% of"
03:53;03:59;"drinkers drink it. It's like unbelievable. Right. I'm doing my 2.5 a night."
03:59;04:05;"Over like a three to four hour period. That's not binge drinking. Far from it."
04:05;04:10;"The point is I haven't had a drink in 23 days or whatever. Do you feel better? I"
04:10;04:17;"sleep better. I'll say that. Okay. I lost probably four pounds and I sleep better."
04:17;04:22;"So that's something to consider going forward. But I just had one beer and I'm"
04:22;04:25;"feeling it right now."
04:25;04:37;"One scotch and one bill. One bourbon, one scotch and one bill."
04:37;04:52;"Hey Mr. Bartender, come here. I want another drink and I want it now. My baby she gone, she been gone tonight. I ain't seen my baby since night of full light."
04:52;04:58;"One bourbon, one scotch and one bill."
04:58;05:04;"So we got some great listener emails. We got a lot of fun stuff on the show. We're"
05:04;05:08;"gonna talk about your Sundance trip. We're gonna talk about the new TV show"
05:08;05:13;"Tarantula. Got your buddy Carson calling in, the creator. But first we've gotten so"
05:13;05:18;"many good emails lately. Yeah. The mailbag is popping. And also I want to point out,"
05:18;05:23;"I know I always say this, but we get so many great emails that anybody who sent"
05:23;05:25;"us an email we didn't read it. It's not because we didn't think was a good email."
05:25;05:29;"Because we just have too many. And we don't do emails every show. No. Let's"
05:29;05:41;"start by doing a callback. Corporate food history. Let's talk about it. On the last"
05:41;05:47;"show we got into a kind of fierce debate about $5 footlongs. Right. Could you make"
05:47;05:53;"a footlong at home with store-bought ingredients for under $5? It's a serious"
05:53;05:57;"issue because what we're really talking about is can you save significant"
05:57;06:01;"amounts of money by making your own food and still eating decently? And not going"
06:01;06:06;"to Subway. Because it's important for us to believe that making your own food,"
06:06;06:12;"doing meal prep, will allow you to significantly save money versus going out."
06:12;06:17;"Because if you can't, then you're trapped. That's the serious side. The funny side"
06:17;06:22;"to me is just this image of like every day every family member gets one footlong."
06:22;06:29;"Not a sandwich. Ezra's up at 7 a.m. just making footlongs. Just slaving in the"
06:29;06:35;"kitchen. Did you finish your footlong? Oh, I only could eat six inches, dad. You're"
06:35;06:39;"gonna sit there till you take down the other six. I did not spend my entire"
06:39;06:44;"Sunday prepping footlongs for the week. Also, that's so gross. Like eating a"
06:44;06:50;"sandwich that's like four days old on Thursday. Isn't that bad? You can't eat a"
06:50;06:54;"sandwich that's been sitting in the fridge for like a day. Well, so we got"
06:54;06:59;"some emails because we asked the Time Crisis listeners about this. So first of"
06:59;07:04;"all, here's a short one. Let's go to the Time Crisis mailbag. This one comes from"
07:04;07:08;"Amanda Frank. She listened to last week's show and she emailed Time Crisis saying"
07:08;07:12;"$5 footlong could be a loss leader. I believe we've talked about this concept"
07:12;07:17;"before on the show. For whatever reason, ""loss leader"" entered my vocabulary at"
07:17;07:21;"some point and I say it constantly. I guess for a lot of people it's like a"
07:21;07:25;"very typical phrase but every once in a while somebody's like, ""what are you"
07:25;07:31;"talking?"" because it is a slightly weird marketing technical term. It's kind of jargon. So I'm"
07:31;07:36;"gonna explain off the top of my head what I believe a loss leader is. Yeah. My"
07:36;07:41;"understanding is a loss leader is any kind of product or service that a"
07:41;07:46;"company offers. Knowing full well on that individual item, they will lose money."
07:46;07:53;"Hence the loss. But it serves the greater good because it gets people in the store"
07:53;07:58;"perhaps. It engages them with the corporation. So in the case of $5"
07:58;08:02;"footlongs, you're trying to build an army of loyal customers. Well, you're also"
08:02;08:06;"making money on the SunChips that you sell for $1.29 a bag. Well, exactly."
08:06;08:12;"And the Diet Coke. So maybe Subway's taking a big L on the $5 footlong. Maybe"
08:12;08:17;"the $5 footlong costs $6 to make and they're losing a dollar but they assume"
08:17;08:21;"that you're gonna go in there and get some SunChips. Yeah, why do they sell SunChips"
08:21;08:26;"as such like a Subway thing? Maybe the cookies. Right. Maybe an iced tea or even"
08:26;08:31;"maybe just you come in enough for a $5 footlong, another day of the week you"
08:31;08:37;"might come in and get that $7.29 meatball parm. Yeah, you're burned out on the $5"
08:37;08:41;"footlong. So there's a lot of reasons why companies will occasionally take an L."
08:41;08:45;"And so I think what Amanda's suggesting is that maybe the $5 footlong is a"
08:45;08:52;"money-losing proposition for Subway that gets people in the door. And she might be"
08:52;08:57;"right about that. But either way. I doubt it, but I like where she's at. Maybe"
08:57;09:03;"they're like breaking even. Yeah. I'm sure their profit margin is slim on the $5 footlong."
10:28;10:31;"We also got another email that was pretty in-depth. This one is from Alexandra Gomez."
10:31;10:37;"She wrote, ""Hi. According to 5am EDT calculations..."" What does that mean?"
10:37;10:42;"Oh, EDT. I guess she's Canadian. So she's saying it would run her about $5.18"
10:42;10:49;"in Canadian dollars or $4.17 US per footlong sub sandwich."
10:49;10:53;"Okay, so this is her actually breaking down what she would have to buy. So she's"
10:53;10:58;"saying that if she was making her home footlongs, the best she could do is $4.17."
10:58;11:04;"Not that significant. You're only saving 83 cents. And then she breaks it down."
11:04;11:08;"I don't know if we have to go into all the detail. But basically she said, ""This is an extremely"
11:08;11:11;"basic sandwich, but I have no interest in browsing the ingredients of $5 footlongs."""
11:11;11:17;"Fair enough. She's thrown in cheese, lettuce, turkey, and she went with homemade bread because"
11:17;11:21;"it's cheap to make with long lasting ingredients you can buy in bulk. See, this is where I depart"
