Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, back once again. On this episode we'll be joined by Chris Bale to"
00:07;00:15;"explain to us the phenomenon known as Shaggy Sting or Sting Shaggy. We'll also"
00:15;00:23;"read some spicy listener emails and dig in to an incredible top five featuring"
00:23;00:32;"music of 1972 and today this is Time Crisis with Ezra King."
00:32;00:34;"Be Spoken. One."
00:34;00:41;"They passed me by, all of those great romances."
00:41;00:48;"The war I felt, robbing me of my rightful chances."
00:48;00:55;"My picture clear, everything seemed so easy."
00:55;01:02;"And so I dealt to the blow, when a bus had to go."
01:02;01:07;"Now it's different, I want you to know."
01:07;01:13;"One of us is crying, one of us is lying."
01:13;01:17;"We were only there."
01:17;01:22;"Time Crisis back at it again. What's up Jake? Hey, how are you? Not bad."
01:22;01:27;"I enjoyed the past week of rainy gloomy weather in LA. I found it very refreshing."
01:27;01:31;"Yeah, I love it. There was a snowstorm in New York though, I was jealous of that."
01:31;01:35;"Really? Jealous? Yeah man, you're from the East Coast too."
01:35;01:39;"You never just dream about a snowy day? I don't romanticize that at all."
01:39;01:43;"I was talking about that with some people the other day, some California people who were like,"
01:43;01:47;"""Yeah, if you ever went back you would be like, 'Oh my God, how did I do this?'"""
01:47;01:52;"I even remember growing up and being in middle school and there'd be some kids who'd be like,"
01:52;01:57;"""Oh my God, I hate winter. Can't wait till my family goes on a cruise in the Bahamas."""
01:57;02:02;"Right. And I would just always be like, ""I mean, it is what it is, man."""
02:02;02:07;"Of course, spring is a beautiful season, April, the flowers bloom and shit,"
02:07;02:12;"but I just never related to that visceral hatred of winter. Did you hate it?"
02:12;02:19;"No. As a kid, I was into it. And then I lived on the West Coast pretty much my entire adult life,"
02:19;02:24;"except for two years in New York, 2010 and 2011. I remember those years."
02:24;02:30;"And I moved from Oakland, California to New York. And I remember thinking to myself,"
02:30;02:33;"""I don't remember winter being this traumatic when I was a kid."""
02:33;02:36;"Well, I guess in New York you're out on the street more. You get those wind tunnels."
02:36;02:42;"Oh, the wind tunnels. I think I just got ruined living in California for so many years."
02:42;02:43;"I just don't pine for it."
02:43;02:45;"Who knows? Maybe one day you'll be back there."
02:45;02:47;"Oh, I'll visit."
02:47;02:48;"Connecticut."
02:48;02:51;"Oh, to live? That would be weird. Not happening."
02:51;02:56;"I don't know anyone in Connecticut anymore. My parents don't live there anymore."
02:56;03:00;"My high school friends that I'm still in touch with, all three of them don't live in CT."
03:00;03:01;"Really?"
03:01;03:04;"Apparently my town was super Trumped out."
03:04;03:05;"Oh, really?"
03:05;03:07;"Even though Connecticut is super blue."
03:07;03:08;"Your town was Trump country?"
03:08;03:10;"My town was always kind of Republican."
03:10;03:13;"Do you think Lonnie's dad voted for Trump?"
03:13;03:14;"Oh, hell, big time."
03:14;03:17;"Trump's going to make them have McRibs year round."
03:17;03:23;"For lower level TC heads, Lonnie's dad was the dad of Lonnie, a childhood friend of Jake,"
03:23;03:30;"who had two fridges and one of them was exclusively dedicated to McRibs because he wanted to enjoy McRibs year round."
03:30;03:33;"So he would scoop up a lot of McRibs, freeze them."
03:33;03:36;"He needed that access 24/7, 65."
03:36;03:37;"Yeah."
03:37;03:39;"Wait, do they have McRibs year round?"
03:39;03:40;"No, I think it's a thing that-"
03:40;03:41;"It's still a special thing?"
03:41;03:43;"You know, I don't think it's even every year."
03:43;03:44;"Really?"
03:44;03:49;"I want to say every like, don't quote me on this, but I feel like it's every couple years."
03:49;03:51;"It's like the McRib is back."
03:51;03:56;"You know, it's like it's been gone for 18 months or it's been gone for two years."
03:56;03:57;"The McRib is back."
03:57;04:03;"We got a lot of good emails after our show about where we talked about people who had two fridges."
04:03;04:05;"I think one person said we actually had three fridges."
04:05;04:06;"Right."
04:06;04:09;"People were just kind of updating us, just letting us know."
04:09;04:11;"We live in a very divided country."
04:11;04:14;"Some people barely struggle to have one fridge."
04:14;04:18;"Then the millionaires and the billionaires got two, three, four, five fridges."
04:19;04:24;"We'll make a living, darling, down the road"
04:24;04:33;"'Cause I got you holding on to see where it goes"
04:33;04:40;"So don't you feel lonely?"
04:40;04:44;"I want you to know I can take you there"
04:46;04:49;"I want to drive around"
04:49;04:54;"With you with the windows down"
04:54;04:59;"And we can ride all night"
04:59;05:03;"Jake and I saw a rock show last week."
