Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis, back once again."
00:04;00:06;"This is a very major show."
00:06;00:08;"We'll be talking about the Wendy's mixtape"
00:08;00:11;"with the legendary T-Pain."
00:11;00:17;"We'll also be counting down the top 5 hits of today in 1985,"
00:17;00:19;"the year T-Pain was born."
00:19;00:23;"We'll also be talking about Diet Coke,"
00:23;00:26;"Donald Trump, and Alanis Morissette."
00:26;00:27;"This is..."
00:27;00:31;"Time Crisis with Ezra King."
00:31;00:33;"Be-be-be-be-be-beast..."
00:33;00:35;"One."
00:35;00:38;"# They passed me by"
00:38;00:41;"# All of those great romances"
00:41;00:45;"# You were a friend who robbed me"
00:45;00:48;"# Of my rightful chances"
00:48;00:51;"# My picture clear"
00:51;00:56;"# Everything seemed so easy"
00:56;00:59;"# And so I dealt to the floor"
00:59;01:02;"# When a bus had to go"
01:02;01:07;"# Now it's different, I want you to know"
01:07;01:10;"# One of us is crying"
01:10;01:13;"# One of us is lying"
01:13;01:17;"# Leave me lonely there... #"
01:17;01:19;"Time Crisis back again."
01:19;01:20;"What up, Jake?"
01:20;01:21;"Hey."
01:21;01:23;"Where you been? You're in Chicago?"
01:23;01:24;"Yep."
01:24;01:27;"I feel like we don't talk about Chicago very much on this show."
01:27;01:28;"That's true."
01:28;01:30;"Should we make this a very special Chicago episode?"
01:30;01:32;"I'm in, man."
01:32;01:34;"I've been listening to Smashing Pumpkins recently."
01:34;01:36;"Oh, getting ready for their big comeback tour?"
01:36;01:38;"Yeah, I want to go this summer."
01:38;01:39;"You want to go?"
01:39;01:41;"I want to go. I want to do a Time Crisis concert report."
01:41;01:42;"You're a fan?"
01:42;01:43;"Oh, yeah."
01:43;01:45;"So, in the '90s,"
01:45;01:47;"when you were listening to Guided by Voices and Pavement,"
01:47;01:49;"you also liked Smashing Pumpkins?"
01:49;01:50;"I did."
01:50;01:51;"'Cause for people who don't know,"
01:51;01:55;"Smashing Pumpkins is a rock band from Chicago."
01:55;01:58;"Rock is a form of music from roughly the..."
01:58;02:02;"Mid '50s to the early 2000s."
02:02;02:03;"Early 2000s."
02:03;02:05;"And they were a really big band in the '90s."
02:05;02:06;"Huge."
02:06;02:09;"And Pavement was more of an indie rock band,"
02:09;02:10;"and they had a slight rivalry"
02:10;02:13;"because there's a kind of weird, sarcastic Pavement lyric."
02:13;02:16;"♪ Out on tour with the Smashing Pumpkins ♪"
02:16;02:17;"And Billy Corgan heard that."
02:17;02:18;"♪ Nature kids ♪"
02:18;02:20;"He thought, ""What, are you making fun of me?"""
02:20;02:21;"Yep."
02:21;02:22;"♪ They don't have no function ♪"
02:22;02:25;"So, in Jake's estimation, Smashing Pumpkins, good band."
02:25;02:28;"Yeah, I love Smashing Pumpkins."
02:28;02:29;"Always have."
02:29;02:31;"You check out any Billy Corgan solo?"
02:31;02:33;"I checked out Zwan."
02:33;02:34;"Yeah?"
02:34;02:36;"He put out a record in, like, 2002."
02:36;02:38;"Oh, you're a Zwan fan, too?"
02:38;02:39;"Oh, yeah, Zwan, that record's great."
02:39;02:41;"But you haven't checked out Billy's solo stuff?"
02:41;02:42;"Mm-mm."
02:42;02:45;"Nor have I checked out any albums after Adore."
02:45;02:48;"But I will go to the mat for Adore,"
02:48;02:49;"which is a great record."
02:49;02:51;"Yeah, that was kind of like their last big album."
02:51;02:55;"Yeah, I mean, not like Siamese or Melancholy."
02:55;02:56;"Mm-mm."
02:56;02:58;"Definitely a step down commercially."
02:58;02:59;"Yeah."
02:59;03:01;"And in terms of visibility, but, yeah, great record."
03:01;03:04;"Were you in Chicago just doing Smashing Pumpkins research?"
03:04;03:05;"Yep."
03:05;03:08;"Yep, I was just checking out the old haunts."
03:08;03:13;"So, I got an email that JetBlue was doing some low rates"
03:13;03:15;"out to Chicago, so..."
03:15;03:17;"[ Both laugh ]"
03:17;03:19;"But it is funny, when I meet people from Chicago,"
03:19;03:21;"I always want to ask them about, like,"
03:21;03:22;"what was your vibe with the Pumpkins?"
03:22;03:24;"Oh, that's the first thing that you think of?"
03:24;03:25;"That's the first thing I think of."
03:25;03:27;"I'm like, ""Oh, you grew up there?"
03:27;03:28;"""Like, you were living there in the '90s?"
03:28;03:29;"""Like, did you see them?"
03:29;03:31;"""Did you think they were whack?"
03:31;03:33;"""Or, like, were they hometown heroes?"""
03:33;03:34;"Mm."
03:34;03:35;"Because they're a huge band,"
03:35;03:38;"intimately associated with Chicago,"
