Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis, back once again."
00:03;00:10;"It is with a heavy heart that today we must uncover a dark secret behind Tic Tacs, one"
00:10;00:11;"of America's favorite mints."
00:11;00:18;"We'll also be talking Doritos with Phil Matariz, creator of the HBO comedy Animals."
00:18;00:23;"We'll also be joined by Chris Baio to debut his Sting and Shaggy remix."
00:23;00:28;"All this, plus the greatest hits of 2018 and 1969."
00:28;00:35;"This is Time Crisis with Ezra King."
01:20;01:23;"Time Crisis, back once again."
01:23;01:25;"It feels like it's been a long time."
01:25;01:31;"Because the real hardcore TC heads, I wonder if they realize that the last episode was"
01:31;01:33;"recorded weeks in advance."
01:33;01:34;"Deeply canned."
01:34;01:36;"A little radio magic."
01:36;01:40;"That's the one that we had Dev and Dave and Despot, RL."
01:40;01:45;"The reason that we pre-recorded that one is because Jake was going on his honeymoon."
01:45;01:46;"That's right."
01:46;01:49;"Long-time listeners may remember that Jake got married."
01:49;01:51;"How long have you been married now?"
01:51;01:52;"Eight months."
01:52;01:54;"Got married in September of 2017."
01:54;01:56;"You just did a delayed honeymoon?"
01:56;01:58;"Yeah, delayed HM."
01:58;02:00;"What, you went to Italy?"
02:00;02:01;"Went to Italy."
02:01;02:02;"How was it?"
02:02;02:03;"Great trip."
02:03;02:08;"I believe we talked about it before you went that that was your first time in Europe in"
02:08;02:10;"almost 20 years."
02:10;02:15;"Yeah, I went in 2002 with Wolf Kernel."
02:15;02:16;"On tour?"
02:16;02:17;"Yeah."
02:17;02:20;"Renowned K-Records band, Wolf Kernel."
02:20;02:21;"Played drums on that tour."
02:21;02:22;"Oh, really?"
02:22;02:23;"I don't play drums anymore."
02:23;02:25;"I've never seen you play drums."
02:25;02:26;"I'm not that good."
02:26;02:28;"My drumming on that tour was very basic."
02:28;02:32;"So you were slapping the tubs for Wolf Kernel on a 2002 European tour."
02:32;02:33;"Yep."
02:33;02:35;"And that was the last time you checked across the Atlantic."
02:35;02:36;"Yep."
02:36;02:37;"So that's a big deal."
02:37;02:42;"It's a long time to be away from Europe."
02:42;02:45;"Did it feel like a big deal to be like setting foot in Italy?"
02:45;02:47;"A big deal in what sense?"
02:47;02:52;"I guess I always think for me that I think the first time I ever left the country I was"
02:52;02:55;"a teenager, like 14 with my family."
02:55;03:02;"And I think about those early trips I took from age like 14 to 22 a few times and everything"
03:02;03:06;"about it, going to the airport was such a big deal because I hadn't been on planes that"
03:06;03:08;"much as a child, basically not at all as a child."
03:08;03:12;"And there's something about like being a teen, you know, leaving the country and things feeling"
03:12;03:13;"so different."
03:13;03:14;"You notice everything."
03:14;03:18;"And it's kind of like you're in a dream the whole time you're in this other place."
03:18;03:19;"Right."
03:19;03:22;"I even remember going to Canada the first time, which I think was on a Dirty Projectors tour"
03:22;03:25;"and like being in Toronto and like the money being different."
03:25;03:27;"Just what are all these Tim Hortons everywhere?"
03:27;03:28;"Yeah."
03:28;03:30;"Just being shocked by the density of Tim Hortons."
03:30;03:36;"Then in my twenties, Vampire Weekend toured like crazy to the point that, you know, you're"
03:36;03:38;"like rolling through Amsterdam for like the fifth time or something."
03:38;03:42;"You're just kind of like, yeah, you're like jet lagged and you kind of like draw the curtain"
03:42;03:44;"and just say whatever."
03:44;03:48;"And then it's actually, I haven't traveled that much in the hiatus years."
03:48;03:53;"So I guess I was kind of thinking like, as you get older, is leaving the country less"
03:53;03:54;"exciting?"
03:54;03:57;"Did I just get a little bit like jaded from touring too much?"
03:57;04:00;"Will I be kind of psyched when I get back over there?"
04:00;04:06;"Did you do any international tourism for leisure in the last few years?"
04:06;04:07;"Not really."
04:07;04:08;"I mean, I know you went to Hawaii."
04:08;04:09;"Went to Hawaii."
04:09;04:10;"That's part of the US."
04:10;04:11;"But it's exotic."
04:11;04:12;"It's not mainland."
04:12;04:14;"I was just hitting McDonald's every day."
04:14;04:16;"I was, you know, nothing fancy."
04:16;04:18;"I mean, I've left the country here and there."
04:18;04:20;"There's been some trips, but really I've been kind of like..."
04:20;04:21;"Holding it down."
04:21;04:24;"Yeah, I've been holding it down in the old US of A."
05:03;05:11;"Also, I found that, especially when you go on tour a lot, and you'd be in like"
05:11;05:15;"the really big cities like London and Paris a lot, the more time you'd spend"
05:15;05:19;"there, the more you'd kind of realize how global culture was kind of like"
05:19;05:21;"bending into one thing."
05:21;05:22;"Sure."
05:22;05:25;"So even on that level, those like feelings I associate with the first times I ever"
05:25;05:29;"left the country of being like everything's so different, but then flash forward to"
05:29;05:34;"being in like, you know, Portland, L.A., New York, London, all like the same"
05:34;05:36;"poke restaurant."
05:36;05:37;"Wow."
05:37;05:38;"And everybody kind of dresses the same."
05:38;05:39;"But Italy's always been its own thing."
05:39;05:40;"Italy's not like that."
05:40;05:41;"Yeah."
05:41;05:43;"I mean, maybe Milan would be like that because we left for Milan."
05:43;05:45;"That definitely seemed more northern."
05:45;05:49;"But like in terms of the big towns, Rome and Florence and Siena, which I spent"
05:49;05:53;"time in on this past trip, definitely felt like a different trip."
05:53;05:57;"There weren't poke restaurants that I saw in those towns."
05:57;05:58;"But I have to say --"
05:58;06:01;"Ooh, that sounds like a good business opportunity for me."
06:01;06:03;"I did see sushi restaurants."
