Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, episode 69 if you can believe it. I'm here with Jake and this"
00:07;00:14;"is a very special show as we have a guest calling in a legend. That's right"
00:14;00:21;"Alanis Morissette. We'll also be talking about Tic Tacs a little more, the Richard"
00:21;00:26;"Pictures Vampire Weekend shows in Ojai and counting down the hits of 1974. This"
00:26;00:32;"is Time Crisis with Ezra King."
02:11;02:15;"Time Crisis back once again. Jake and I just rolled up to the studio there were a bunch"
02:15;02:20;"of acoustic instruments in here. Including an acoustic bass. Yeah Jake grabbed the guitar."
02:20;02:26;"I got the acoustic bass. You were just playing a pretty kind bass solo on there."
02:26;02:34;"Yeah a couple of Martin acoustic bass. Not an upright bass. I don't know what the"
02:34;02:41;"practicality of the acoustic bass is really. I mean I guess you want to do some. It's got"
02:41;02:47;"a different kind of sound. Every time I pick up a bass I always play the same songs. Like"
02:47;02:58;"Give It Away. Is that Rage? Yeah. Bomb Track. Oh the intro to Bomb Track. It'd be better"
02:58;03:14;"with a pick. And then. Wait. Do it again. This is like two dudes in their bedroom in"
03:14;03:25;"high school. 90's bedroom. And the other one. It's all like 90's. The other one I always"
03:25;03:35;"play was. Look out. Wait what is that? I don't know what that is. It's another one of the"
03:35;03:47;"black rockin beats. It's like a Chemical Brothers song. Oh man. Do you know any Chili's dude?"
03:47;03:58;"On bass? Yeah dude like some sick Flea Parts. Give It Away dude. I don't know how to do"
03:58;04:13;"the funk of it. This is a major show we got today. Yeah. Packed. This is a packed show."
04:13;04:17;"You know normally when we do this show we always like barely even talk about what's"
04:17;04:21;"gonna happen. Maybe you know in the intro but we don't talk about it here but today"
04:21;04:26;"we got a big guest calling in. Yep. Alanis Morissette. Finally getting her on the horn."
04:26;04:31;"Makes sense. She's been coming up a lot lately. She's definitely in the zeitgeist. She got"
04:31;04:35;"some shows coming up. She got a musical. We're gonna talk about that with her. But before"
04:35;04:41;"that Jake you actually dropped some of your own musical stylings recently. I did man."
04:41;04:46;"Wrote it today. That was today? Yeah. Wow. Woke up really inspired. Was thinking about"
04:46;04:52;"that sweet Chili Heat refrain from last show. And I just had it in my head. So you turned"
04:52;04:59;"it into a proper song. Poured a cup of coffee. Grabbed the guitar and panned an instant classic."
04:59;05:05;"So for people who don't remember. I actually don't even remember. Sweet Chili Heat was"
05:05;05:12;"the Canadian version. That's the Canadian version of Spicy Sweet Chili. Spicy Sweet Chili."
05:12;05:16;"Which is in the verse of the song I reference. Oh and to clarify we're talking about Doritos."
05:16;05:20;"Oh yeah. Which we are not sponsored by. People sometimes find it hard to believe that on"
05:20;05:25;"time crisis we're not sponsored. But you know what? That's how crass the world has become."
05:25;05:31;"Anytime somebody shouts something out just cause they like it. Right. People say what"
05:31;05:36;"are you sponsored by them? You gotta say that it's an ad if you're sponsored. I just wanted"
05:36;05:40;"to write a song about Doritos. Sometimes you just like stuff people. Or just want to talk"
05:40;05:46;"about it. By the way we keep it real on this show. We don't always toe the Frito-Lay corporate"
05:46;05:54;"line. Not at all. Yeah in fact Fritos suck. Lays are okay but Fritos suck. I like Frito"
05:54;05:59;"Pie maybe but just like Fritos? I don't want to eat that. That's bottom of the barrel."
05:59;06:09;"You should just hold that bass the whole show. I might hold the bass the whole time. And"
06:09;06:15;"just maybe just do some interludes here and there. Can you play any like Seinfeld style?"
06:15;06:20;"Beyo was playing that the other day at the rehearsal. He can actually play it. That's"
06:20;06:21;"tight."
07:03;07:08;"Yeah so anyway we're not sponsored by Frito-Lay. Fritos suck but we do take an interest in"
07:08;07:12;"these types of things and we're not even being complimentary about Doritos. In fact I think"
07:12;07:16;"it's confusing that they give two different names to the same chip in America and Canada."
07:16;07:22;"But anyway we were talking about how in Canada there's a Dorito called Sweet Chili Heat and"
