Start Timestamp;End Timestamp;Transcript
00:02;00:09;"Time Crisis, here once again. Jake and I return to the studio to reflect"
00:09;00:16;"on our weekend in Ojai, our legendary weekend. We also talked to Dear Nora's Katie Davidson"
00:16;00:25;"about their new album and when they first met Jake in college in Portland. This is kind of"
00:25;00:35;"a different tone for the intro but anyway this is Time Crisis with Ezra Koenig. Beats one."
00:37;01:04;"Time Crisis back once again. Back from Ojai. I guess we should talk about the Ojai shows a"
01:04;01:09;"little bit. Yeah. At this point they were two weeks ago but hell of a weekend. It was a great"
01:09;01:14;"weekend. For people who don't know Richard Pictures, Jake's Grateful Dead cover band and"
01:14;01:19;"Vampire Weekend played two shows together. That was kind of the Vampire Weekend's kickoff after"
01:19;01:24;"not having played live in a long time. Crowds were great and I gotta say I love playing during the"
01:24;01:29;"day because we played Saturday night and then Sunday morning. And the Saturday night show was"
01:29;01:36;"we played at 6 p.m. Yeah so it's more of like a late afternoon show. Late afternoon in a morning"
01:36;01:42;"show. Yeah Sunday morning we had to be there at 8 30 a.m. for sound check. That was a first. That's"
01:42;01:48;"brutal. Did you make it at 8 30? I was there at 8 15. Wow. Had a breakfast sandwich, cup of coffee,"
01:48;01:54;"I was ready to go. Yeah that was a great vibe just like it was a good backstage vibe there. Oh yeah."
01:54;01:58;"We had so many like friends and family around. Food was on point. Shout out to Beacon Coffee in"
01:58;02:04;"Ojai. They set up a little stand. I also love that just like on the Sunday show just sipping"
02:04;02:09;"a coffee in between songs. Oh yeah. Feeling good. Saturday night I was doing a little tequila between"
02:09;02:14;"songs. Yeah. Sunday morning doing some coffee. Doing some coffee. I definitely want to do more."
02:14;02:23;"I think that's the I want to do the Vampire Weekend patented weekend show concept. We play"
02:23;02:28;"Saturday night Sunday morning. That's strong. Tequila and coffee. We could we could we could"
02:28;02:36;"we'll get get a sponsorship from both. Tequila and coffee tour. Gotta finish the album now."
02:36;02:40;"It may be a little bit off in the future but we'll definitely do it. What are you like half"
02:40;02:46;"done with the album? About I just I just feel like I need to write a few more songs. I think"
02:46;02:52;"I might go to down to Mexico for a couple weeks get some inspo. So we're looking like a mid 2020"
02:52;03:00;"release on that record. Yeah definitely the next president. Trump's second term. Oh god no we got"
03:00;03:06;"hope. Um no it's very close to being done but finishing records is truly one of my least"
03:06;03:12;"favorite things to do. What is it so many details and like second guessing like what's the? Well"
03:12;03:16;"it's kind of like I think the things that I do well or the things that I like to do that I care"
03:16;03:24;"about a lot of like songwriting arrangement conceptual things. Right. Singing. I like the"
03:24;03:29;"micro details of songwriting and I like the big picture details of production and arrangement."
03:29;03:35;"You know I love to be working with a producer and be kind of like no we should rethink this the song"
03:35;03:38;"should be tight and dry and the drum should be like this. What I don't like is getting really"
03:38;03:42;"into the weeds which is what you have to do at the end. And this is what I'm listening to like"
03:42;03:47;"literally sometimes I mean RL bust my balls because we literally have songs where because"
03:47;03:52;"you know you have to save the a new version every time you restart Pro Tools. Oh wow. Well you know"
03:52;03:56;"just to for you just to be diligent because what if you needed to go back to a version. Right so"
03:56;04:03;"save as. There's songs where I think there's like 150 to 200 versions. That's insane. How do you"
04:03;04:07;"even like. Well you know. Parse that out. You hope you don't have to go back to it but that's why"
04:07;04:13;"it's a lot of data. So you're just chewing through hard drives. Oh yeah man terabytes. Good lord."
04:13;04:20;"Like mining Bitcoin over there. Basically. Cooking the earth. God we probably should have."
04:20;04:26;"Back where back I used to front lock and go out mechanics bug anchorage and Dar es Salaam."
04:26;04:34;"Well only New York with champagne and disco. Take some M&A slash San Francisco. But actually Oakland"
04:34;04:40;"and Alameda. Your girl was in Berkeley with a communist reader. Mine was in town with a boombox"
04:40;04:47;"and Walkman. I was a horrible girl that was back then. But yeah you have to do all this stuff at"
04:47;04:53;"this point where and I've always hated this on every album where you know the song is good. You"
04:53;04:57;"know the arrangements good. You know that the conceptual production is good. But now I'm"
04:57;05:01;"listening to it I'm just like wait are people going to know it. Did the vocal get too quiet"
05:01;05:06;"there. People can be weirded out. Or does that sit well. Does it get a little harsh. Get a little"
05:06;05:11;"too mid rangy like those kind of real micro details which. And then you're so in and you"
05:11;05:15;"take a step back. But yeah. So now I have this real strong feeling when we were driving back"
05:15;05:22;"from Ohio and it was a really fun weekend like the shows were great. Great crew of people. We"
05:22;05:28;"had after party on Saturday night. We had a barbecue with great tacos. That was huge. On Sunday people"
05:28;05:35;"flew in from New York. It was just amazing. Then Monday ripping back to L.A. Rashid and Despot in"
05:35;05:40;"the car talking about life. I was just kind of looking out the window and I was like I really"
05:40;05:48;"have this sense of accomplishment where I was like man we really did it. We crushed Ohio. We"
05:48;05:55;"crushed Ohio for the weekend. And then I started to realize that my work had barely even begun."
05:55;05:58;"I had this sense of exhaustion from working on the album so long. And even you know it was like"
05:58;06:07;"a fun weekend. But like on Sunday I ate a lot of tacos. And I ate a Choco Taco for dessert too."
06:07;06:14;"And I was throwing down spicy margs at the barbecue. And then I stayed in the hot tub too long."
06:14;06:24;"I was cooked. You crashed out hard at like 645. Yeah when I got out of the hot tub I felt"
06:24;06:29;"incredibly nauseous. I really could like visualize the spicy marg and the Choco Taco and the real"
06:29;06:36;"tacos. Oh and the real quesadillas just getting like boiled in my stomach. Yeah so whatever."
06:36;06:41;"I'm basically I'm trying to say we worked hard. We played hard. It was a big weekend. And then"
06:41;06:45;"I'm driving back and I had this real sense of like that's all it should be. You know it's like when"
06:45;06:50;"you're a kid and you're in a school play. They rehearse for like four months. Then they do two"
06:50;06:57;"performances. And it's like really just like you know or maybe they do three. Yeah. A Sunday matinee."
06:57;07:02;"But you know like it's like this giant thing that the kids do. Working their asses off like learning"
07:02;07:08;"their lines and like holy this is such a big deal. Then you perform it three times by Sunday evening."
07:08;07:12;"Parents are there. Yeah parents are there. Everybody comes out. The community comes out."
07:12;07:18;"Saturday. Sunday night you crush some Coca-Cola from a plastic two liter and some pizza. Pasta"
07:18;07:23;"dinner. Maybe a pasta dinner. And you're like wow we really did this. And you're like but it's only"
07:23;07:27;"one weekend. And I don't know I felt like that a little bit. Like that'd be hilarious. It's just"
07:27;07:33;"like you work on an album for years and it's all building up to one weekend of shows. Two shows in"
07:33;07:38;"Ojai. Just two shows in Ojai. Tequila and coffee. I almost had this feeling and it was like funny"
07:38;07:43;"because we didn't really even play any new stuff. So it's not like we even presented any of the new"
07:43;07:48;"music to the fans. But I did have this feeling of just like kind of rolling back to L.A. just kind"
07:48;07:53;"of like had that feeling like yeah you know maybe I'll just take a few days off to chill and start"
07:53;08:00;"thinking about the next record."
08:01;08:11;"What's Texas bound? We stopped over in Santa Fe. That day in the pool. Just about halfway."
08:11;08:15;"Hey you know it was the hottest part of the day."
08:15;08:26;"And I took the horse up to the stall. Went to the bar room. Ordered drinks for all."
08:27;08:34;"Three days in the saddle. You know my body hurt. It'd been summer. I took off my shirt."
08:34;08:38;"And I tried to wash off some of that dusty dirt."
08:38;08:49;"Went to Texas Cowboys. There's all around. We were liquor and money. They loaded down."
08:50;08:58;"So soon after payday. No it seemed a shame. He starts playing the game."
09:20;09:23;"How was Santa Ana? Oh yeah then I forgot that we were playing Santa Ana."
09:23;09:29;"We played the two shows at the observatory in Santa Ana. What's that? Like is that a"
09:29;09:35;"rock club or what is it? Yeah it's a it's an 1100 cap rock club. Great sight lines."
09:35;09:40;"What does that mean exactly? It's not like some weird old theater where everybody is just like"
09:40;09:46;"standing in in a row. This place I don't know how long this has been open like five years. This place"
09:46;09:52;"was clearly designed for fan enjoyment. So it's kind of like a wide club and there's tiers. Oh"
09:52;09:56;"cool. So there's kind of not a bad place to stand in the house. I mean it's not like I've ever seen"
09:56;10:00;"a show there but my impression was there wasn't a bad place to stand in the house. It was definitely"
10:00;10:04;"different energy than the Ohio shows. I think I talked about it on stage a little bit because"
10:04;10:10;"Ohio was like crunchy hippy dippy father's day weekend. A lot of t-shirt sales going off the"
10:10;10:15;"chain. Oh yeah the t-shirt sales in Ohio were just unbelievable. Your guys shirts blew out. Oh yeah"
10:15;10:20;"sold them out first day. The father yeah first day. I had people just irate with me on the internet."
10:20;10:27;"Really? Just like do not post t-shirts online that you will not be selling on the internet. Oh and"
10:27;10:31;"I was like I got nothing for that. Guys it's 2018 there's gonna be a lot of interplay between the"
10:31;10:36;"internet and IRL. Yep. That's just how it is. Yeah and then the vampire weekend father's day shirts"
10:36;10:43;"blew out. Shout out to uh bring out your dead. Oh yeah. His shirts blew out very soft too. Yeah I"
10:43;10:49;"got in trouble with even some uh people close to me in my life because everybody was like yo can I"
10:49;10:53;"get some of those shirts and I was like yeah and I was like you know what on Sunday I'll grab some"
10:53;10:57;"then I get there on Sunday and I'm like yo can I get like five of these all gone. Yeah. I'm gonna"
10:57;11:02;"do a little reprint. It gets stressful with the shirts because it's limited run people are just"
11:02;11:07;"like right like I need one. Like yeah well but hey it's a good problem to have. Yeah. It's better"
11:07;11:14;"than the stress of uh ripping back down to LA with 200 unsold vampire weekend Richard pictures"
11:14;11:20;"June 16th 17th 2018 Ohio shirts. Taking up all sorts of room in the garage."
11:20;11:28;"Smash got like two years from now. Although are these the shirts from that Ohio weekend still here?"
11:28;11:34;"Oh man. I think we're gonna start doing shirts for every show. Oh I love it. Like we're playing"
11:34;11:39;"August 9th at the Old Town Pub. SoCal people mark your calendars. It's the anniversary of"
11:39;11:45;"Jerry Garcia's death. Oh yeah. So we're playing a big two set night there August 9th but we're"
11:45;11:50;"gonna do shirts for that. Oh sick. Yeah we did we did a special Santa Ana shirt too. Oh really?"
11:50;11:55;"I don't know if it blew out though. That's a deep shirt. We just did another long sleeve but anyway"
11:55;12:01;"yeah the observatory is a great club in Santa Ana. Um I think I've said things to this effect"
12:01;12:06;"on the show before but sometimes people think like you know when we post certain things on"
12:06;12:11;"Instagram we're being cryptic or mysterious or yeah or even like with the shows that there's"
12:11;12:15;"like you know sometimes there's no rhyme or reason it's just like somebody asked me a month ago hey"
12:15;12:20;"after the Ohio shows you want to do a couple more get everybody like continue to play yeah and you"
12:20;12:23;"know of course in my head a month ago I'm like yeah maybe even by then we'll be dropping new"
12:23;12:27;"songs in the set but whatever people seem chill but anyway yeah the energy was super different"
12:27;12:34;"because I don't know if it's like part of Orange County culture but people there like bring real"
12:34;12:38;"enthusiasm because you know like a lot of times people will generalize and say like well LA New"
12:38;12:44;"York shows the crowd's a little more arms crossed yeah not that psyched but then you know if you go"
12:44;12:49;"play show in Jersey or Orange County or just you know a little bit away from the big city"
12:49;12:54;"right people know how to have a good time and I kind of forgot that like there was significant"
12:54;12:59;"amounts of crowd surfing in Santa Ana sick which of course like you know Sunday morning in Ohio"
12:59;13:06;"you're not gonna get any of that especially after the a dead cover band opens it up in a real chill"
13:06;13:12;"way yeah that was chill vibes this was a little more intense a lot of like really loud singing"
13:12;13:17;"which was cool like people shouting the songs at the top of their lungs yeah nice yeah and just"
13:17;13:24;"really have some moshing moshing yeah to what songs cousin um there was like sometimes there'd"
13:24;13:30;"be like a light mosh to a not very moshy type song but yeah definitely the higher energy ones"
13:30;13:34;"you would see like real movement dude the pit during white sky yeah there was like yeah there"
13:34;13:39;"was a little bit like that have you had pits before yeah it was it made me think back because"
13:39;13:45;"maybe also because like I've been haven't done it in years and you know I'm older so I'm just more"
13:45;13:50;"chill now I then I kind of remembered I was like oh yeah in certain places we used to play it was"
13:50;13:56;"like straight up crazy pits wow I remember the UK that would happen a lot because they get down there"
13:56;14:03;"over there no but I remember one time it was like there was like a pit during horchata or some like"
14:03;14:09;"song that wasn't like one of the punky ones people just want to rage yeah but I respect that it's"
14:09;14:12;"tight yeah well then you always get a little stressed out because you know you're watching"
14:12;14:17;"the whole thing unfold in a way that the audience can't see yeah so and there was like some very"
14:17;14:23;"athletic crowd surfing there's like this uh dude and uh the second Santana show who wasn't even"
14:23;14:28;"just crowd surfing at a certain point his bros were like holding up his feet and legs and he was"
14:28;14:34;"crowd standing you know what I mean wow almost like some uh cheerleading but then there's also"
14:34;14:38;"just like you know sometimes you see like a big dude crowd surfing and the whole especially there"
14:38;14:44;"the whole club can see it so you're kind of like hell yeah you shout him out but then you look and"
14:44;14:48;"you're like you know see his like foot just missed somebody's head and you're just like imagining"
14:48;14:55;"some scenario where you're like oh hell yeah check it out crowd surfing bro and the next thing you"
14:55;14:59;"know like some you know smaller person is being like carried out by the bouncer everybody's like"
14:59;15:04;"dead quiet I'm just like I'm sorry I wasn't encouraging it I was just you know trying to"
15:04;15:10;"shout out I like the enthusiasm but yeah ratcheting it down a couple notches guys"
17:28;17:34;"all right well this is a hell of a show now that we're all caught up we got your original college"
17:34;17:41;"buddy katie davidson yep who I also know calling in calling in talk about the new dear nora album"
17:41;17:48;"which is katie's iconic is it fair to call them indie dear nora yeah yeah iconic indie band um"
17:48;17:54;"we got some listener emails and uh I don't know if we're totally done talking about wendy's and"
17:54;17:59;"iHob and things like that okay that was a major event man I saw someone tweeted at you that the"
17:59;18:05;"data seems to imply that they did not get more foot traffic right iHob that was gratifying the"
18:05;18:10;"thing that I don't like about it though is like you know everybody's gonna gang up on iHob but"
18:10;18:14;"they're gonna let all these other suckers get a pass you know what I mean everybody likes to see"
18:14;18:19;"a loser but sometimes you got to look around and be like you know what you're all losers all you"
18:19;18:24;"fast food social media places and by the way I haven't forgotten about Punisher Burgers"
18:24;18:28;"been accused I thought you just creeping into Punisher Burger character I'm still thinking"
18:28;18:34;"about it I still want to do it Frank Castle I make my own burgers and I do my own social media"
18:34;18:41;"I I still like that idea this is one TC idea that's not going to get lost in the sands of"
18:41;18:46;"time but anyway we'll get into all that later let's get Katie on the phone now let's go into"
18:46;18:58;"the time crisis hotline hey this is Katie hey Jake how are you great hey what's up Katie"
18:58;19:04;"Ezra's here too Ezra hello welcome to time crisis thank you honored to be here this might be the"
19:04;19:10;"best connection by far that we've ever had for a phone call oh nice is it because we're using"
19:10;19:21;"we're using FaceTime audio FaceTime audio I'm in a like a pretty empty room concrete and drywall"
19:21;19:26;"I guess I better net better internet speeds than I was imagining so all good you got some blazing"
19:26;19:33;"fast internet or did you like pay extra to get some like industrial like Google like with big fat"
19:33;19:44;"cables I did not know just standard I bet you could deal a terabyte and a lot of reverb off"
19:44;19:50;"that concrete and drywall too it's nice it's nice is it nice yeah you ever record vocals in there"
19:50;19:57;"no I should um well I got a question to kick things off for both of you so you and Jake"
19:57;20:02;"originally college buddies went on to play music together but just paint the paint the picture for"
20:02;20:11;"me you two guys Lewis and Clark College Portland Oregon what uh fall of 95 fall of 95 Jerry's just"
20:11;20:18;"died Jerry just died Bill Clinton's president what's going on you guys are freshmen yeah yeah"
20:18;20:24;"wow have you said your side yet Jake no no this is new territory for time crisis"
20:26;20:36;"here's my recollection I lived one floor below Katie and we started playing music together pretty"
20:36;20:41;"shortly after meeting I would say within like a month or two and I remember our first like real"
20:41;20:47;"friend road trip was to Eugene Oregon and I want to say October November 95 to see Pavement play"
20:47;20:54;"yeah wowie zowie tour oh wow that's some classic that's some classic college stuff is like trying"
20:54;20:58;"to figure out who your friends are totally like you guys known each other for a month and just"
20:58;21:04;"being like uh you want to see pavement and Eugene yeah yeah figuring out that we like the same band"
21:04;21:11;"it's important well Lewis and Clark at that time though was a real hippie school yeah I think it's"
21:11;21:18;"a little more hip now but totally back then it was like hardcore hacky sack campus dogs"
21:20;21:26;"fish right fish was like the predominant aesthetic and so if you kind of sniffed out someone else"
21:26;21:32;"that was into like other you know whatever pavement that kind of stuff that was a big deal"
21:32;21:38;"is that fair yeah totally fair um I got one more addition to to your story I mean there's I'm sure"
21:38;21:45;"there's more but so I was roomed with our friend Mariana Richie and we used to we were kind of"
21:45;21:51;"becoming friends quickly as well and we would we were in I can't remember if we were in the same"
21:51;21:56;"Spanish class together or something whatever the point is I had my acoustic guitar with me"
21:56;22:03;"she had her banjo with her and we used to just make up songs in our dorm room and um sing so"
22:03;22:09;"loud and just sing in harmony and sing these songs in Spanish I remember this yeah and so I remember"
22:09;22:16;"that one of our connections was that you were into the music that you could hear coming out of our"
22:16;22:23;"I loved it Jake just yeah walking down the hallway just do like a quick knock on the door"
22:23;22:30;"just like yeah hey sounds pretty good sounds pretty good my name is Jake Longstreet I'm a"
22:30;22:37;"freshman from Connecticut so formal oh I know yeah oh god that reminds me I don't know if I"
22:37;22:42;"ever told this story on time crisis but I remember the first week of me being at college and I didn't"
22:42;22:50;"know anybody and I was pretty like a little tiny bit panicked because I'd gone to some like"
22:50;22:55;"students weekend at Brown when I was a senior in high school and the guy who was hosting me"
22:55;23:01;"was kind of like not that into his experience at Brown so far and I just remember you know trying"
23:01;23:05;"to do whatever you're in these weird situations where you're kind of like I guess I'm supposed"
23:05;23:10;"to ask questions I was like um do you have any advice for incoming freshmen and the guy and the"
23:10;23:16;"guy got dead-ass serious and said my advice make sure you make friends in the first week I messed"
23:16;23:23;"up man I didn't lock it down first semester and by spring semester I was floundering it's not fun"
23:23;23:28;"and I was like oh my god oh my god so anyway I took that with me so my my friend my first week"
23:29;23:37;"in college I do remember actually walking down a hallway and hearing some dude blasting um"
23:37;23:43;"kid a by Radiohead and then I was like every fiber in my being did not want to do it but"
23:43;23:49;"I like another voice in my head was just like this is how it gets done in adulthood and I just kind"
23:49;23:55;"of walked in and be like oh you like Radiohead I'm like I'm pretty sure I never talked to that"
23:55;24:01;"person again had like an awkward 15 minute like dorm room hang and so anyway I'm pretty cool I'm"
24:01;24:03;"glad it worked out for you guys"
24:09;24:14;"'Cause around and 'round we'll go until we stop."
24:14;24:21;"So I can't get around the way I feel when you're around."
24:21;24:26;"'Cause around and 'round we'll go until we stop."
24:26;24:34;"But you are right and I am wrong, and so we never get along."
24:34;24:40;"And so we go around and 'round again."
24:40;24:42;"Time Crisis"
24:42;24:45;"Yeah, and then we started playing music and started a few bands."
24:45;24:46;"Yep."
24:46;24:48;"And then what year did Dear Nora start? '97?"
24:48;24:54;"No, dude, it wasn't until after... it was like pretty much right after we graduated."
24:54;24:58;"I think senior year, Richie and I just started recording all those"
24:58;25:01;"songs in the Lewis and Clark basement."
25:01;25:01;"Right."
25:01;25:03;"Like the music, the music rooms and the drum rooms."
25:04;25:09;"And then those would go on to be called Dear Nora recordings, but we didn't..."
25:09;25:09;"Right."
25:09;25:13;"I think we started playing Dear Nora live shows."
25:13;25:16;"I'm pretty sure... I want to say fall... wait, when did we graduate?"
25:16;25:18;"Yeah, fall '99. So it was the fall after we graduated."
25:18;25:19;"Oh, wow. Okay."
25:19;25:21;"Yeah."
