Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis, a very, very special episode."
00:04;00:10;"We're joined in person by Winter, the god of starbucking."
00:10;00:16;"We'll also be joined by Merc, the guy who got savaged by Walmart on Twitter."
00:16;00:21;"All this, plus Dave Long's dearth of dirty projectors, in the studio."
00:21;00:23;"This is..."
00:23;00:27;"Time Crisis with Ezra King."
00:27;00:31;"B-b-b-b-b-b-b-sport one."
00:32;00:38;"They passed me by, all of those great romances"
00:38;00:45;"They were a threat, robbing me of my rightful chances"
00:45;00:52;"My picture clear, everything seemed so easy"
00:52;00:59;"And so I dealt to the blow, one of us had to go"
00:59;01:04;"Now it's different, I want you to know"
01:04;01:10;"One of us is crying, one of us is lying"
01:10;01:14;"Leave it on me, babe"
01:14;01:17;"Time Crisis back again. What's up, Jake?"
01:17;01:18;"Hey."
01:18;01:20;"Been seeing a lot of each other in between the shows lately."
01:20;01:23;"It's true. Sometimes it's nothing."
01:23;01:28;"Sometimes it's like no contact, not seeing each other, hard two weeks."
01:28;01:31;"Recently, there's been a lot of hangouts."
01:31;01:34;"We've been doing multiple Vampire Weekend Richard Pictures shows."
01:34;01:36;"Right, this week was huge."
01:36;01:39;"This week was huge. That's a tradition we're definitely going to keep going."
01:39;01:41;"I can't wait to start doing those outside of California."
01:41;01:43;"Dude, we're on board."
01:43;01:51;"Yeah, I don't want to over-promise, but if I can, I want to be taking Richard Pictures to London, New York."
01:51;01:52;"Love the idea."
01:52;01:53;"Paris."
01:53;02:01;"As I said to Brian, your TM, tour manager, I don't want to throw around industry lingo that people can't follow."
02:01;02:06;"Your TM, I was like, ""Listen, people have children and jobs."
02:06;02:08;"So we need a couple weeks warning here."
02:08;02:12;"You can't be like, 'Hey, can you guys be in New York tomorrow?'"
02:12;02:14;"That's not going to fly with Richard Pictures."
02:14;02:16;"This is a family band."
02:16;02:18;"People have responsibilities."
02:18;02:21;"But if you give it, you know, ""Hey, two weeks from now, we've got a show."" Boom."
02:21;02:24;"I need a photocopy of everyone's passport."
02:24;02:28;"Oh, our drummer doesn't have a passport. It expired."
02:28;02:31;"Will you guys front the money to rush it?"
02:31;02:34;"We would. We would."
02:34;02:38;"That's a huge part of the music industry is expedited passport processing."
02:38;02:40;"Because people are just flakes."
02:40;02:42;"It ain't cheap."
02:42;02:44;"Or because you get a gig in some country. I don't know."
02:44;02:46;"Right. We need a visa."
02:46;02:52;"Yeah, that's a big part of management is getting on the horn with the State Department sometimes."
02:52;02:55;"Oh, my God. Got to do that Richard Pictures Vampire Weekend show in Brazil."
02:55;02:57;"That would be sick."
02:57;02:59;"I don't know if we need a visa for that."
02:59;03:00;"You know, it would be cool."
03:00;03:02;"I remember once reading an article, I don't know how big they are these days,"
03:02;03:05;"about a Sublime cover band called Bad Fish."
03:05;03:06;"Wow."
03:06;03:09;"Well, because now Sublime is back on the road."
03:09;03:12;"They're called Sublime with Rome because this guy Rome is the new singer."
03:12;03:13;"That's his first name?"
03:13;03:19;"Yeah, but in the interim after Brad died and the other guys were doing like Long Beach Dub All Stars and things like that,"
03:19;03:21;"there was kind of a fertile cover band scene."
03:21;03:25;"And this one Bad Fish got pretty big, starting to play to like thousands of people."
03:25;03:26;"Wow."
03:26;03:30;"Especially on the East Coast, the places where Sublime never really got to tour."
03:30;03:32;"That's kind of surprising."
03:32;03:34;"Sublime was like a SoCal phenomenon."
03:34;03:35;"Yep."
03:35;03:37;"And then this dude, he died in his prime."
03:37;03:38;"Right."
03:38;03:40;"You know, he died before the big album came out."
03:40;03:41;"Yep."
03:41;03:42;"It's a tragic story."
03:42;03:45;"But think about all the places the dead never went."
03:45;03:46;"Right."
03:46;03:47;"The dead barely went to Europe."
03:47;03:48;"Right."
03:48;03:51;"I think outside of that, they played one show like randomly in the Caribbean."
03:51;03:52;"I looked this up once."
03:52;03:54;"Famously, they played in Egypt, in Cairo."
03:54;03:55;"Right."
03:55;03:58;"I don't think the dead ever played Australia, Asia."
03:58;03:59;"Really?"
03:59;04:00;"South America."
04:00;04:01;"Wow."
04:01;04:02;"Yeah, I don't think the dead ever went to Australia."
04:02;04:04;"Was that a thing back then?"
04:04;04:07;"I mean, like were bands, like did Led Zeppelin play Australia?"
04:07;04:08;"The Beatles did."
04:08;04:09;"They must have."
04:09;04:10;"Right."
04:10;04:13;"I remember Vampire Weekend played a show in Melbourne or something."
