Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, a very special episode. This week we check in with Sweet Martha to"
00:07;00:13;"find out what's going on in Minnesota. We also compare the top five hits of"
00:13;00:20;"Jake's Birth Year '77 with mine, 1984. All this plus Droga 5, The Rolling"
00:20;00:29;"Stones, and Tobin Sprout and Tim Allen. This is Time Crisis with Ezra King."
00:29;00:31;"And the TV beats won."
00:39;00:53;"I felt wobbly, all my right foot chances My picture clear, everything seemed so easy"
00:53;01:04;"And so I dealt you the blow, one of us had to go Now it's different, I want you to know"
01:04;01:15;"One of us is crying, one of us is lying Leave the lonely man"
01:15;01:17;"Time Crisis back again."
01:17;01:20;"This is an early record."
01:20;01:25;"We're spiritually live with you July 29th, but we had to get this one pretty early because"
01:25;01:27;"I'm in Japan."
01:27;01:28;"You're playing a show in Japan today?"
01:28;01:29;"This is a hilarious tour."
01:29;01:31;"I mean, this is just how it is over there."
01:31;01:34;"Two week tour, two shows."
01:34;01:35;"Wait, really?"
01:35;01:37;"Yeah, because one's in Australia, one's in Japan."
01:37;01:38;"Why only two shows?"
01:38;01:41;"Why not do four shows in each country?"
01:41;01:42;"It's a hassle."
01:42;01:45;"And also, you know, there's like radius clauses and stuff."
01:45;01:47;"Well, Australia is really crazy because..."
01:47;01:48;"Radius clauses?"
01:48;01:49;"Radius."
01:49;01:51;"You're not familiar with radius clauses?"
01:51;01:52;"No."
01:52;01:54;"Sounds like a guy to buy voices song."
01:54;01:56;"Radius clauses."
01:56;02:01;"I'm familiar with the concept if you go to a town and you're playing like a big venue,"
02:01;02:05;"that venue doesn't want you to play like a small secret show the night before."
02:05;02:06;"Right."
02:06;02:09;"And the exact same thing is true with festivals."
02:09;02:10;"Oh, festies."
02:10;02:11;"Yeah."
02:11;02:15;"So you think if you're going to play Coachella that you could just do two nights at the forum"
02:15;02:16;"with impunity?"
02:16;02:22;"No, but maybe you could play a show in like Springfield, Illinois, like a few days before."
02:22;02:23;"Exactly."
02:23;02:25;"Hence the radius clause."
02:25;02:28;"Yeah, but you're saying the entire country is the radius?"
02:28;02:30;"No, I'm not saying that."
02:30;02:33;"And I don't even know about these two festivals, but well, okay."
02:33;02:36;"You can't play a show in Melbourne if you're playing a show in Sydney?"
02:36;02:38;"They're both difficult countries to tour."
02:38;02:40;"I'm pissed."
02:40;02:46;"Australia is funny too, because infamously you leave Tuesday night from LA, you get in"
02:46;02:47;"Thursday."
02:47;02:48;"Whoa."
02:48;02:53;"So it's kind of like, I'm going to leave Tuesday night on Thursday, going to go link up with"
02:53;02:56;"the record label, play the album for some Australians."
02:56;02:59;"I guess you gain that day when you go back?"
02:59;03:00;"Yeah, kind of."
03:00;03:04;"Because that's weird to really truly lose a day."
03:04;03:05;"Yep."
03:05;03:06;"That's trippy."
03:06;03:09;"So already just the flight alone is quote unquote two days."
03:09;03:14;"Get in, go, you know, hang with the label and play the album and stuff."
03:14;03:19;"Then go to the town where the festival is called Splendor in the Grass, kind of like"
03:19;03:21;"an iconic Australian festival."
03:21;03:24;"And so then we got to go up to Byron, because in Australia you got to fly everywhere."
03:24;03:25;"Right."
03:25;03:29;"I remember when we did this like long Australian tour called Groovin' in the Moo."
03:29;03:30;"Moo?"
03:30;03:33;"Yeah, I think it was a reference to like farm towns."
03:33;03:34;"Okay."
03:34;03:37;"I was super into the festival and the shows."
03:37;03:38;"Getting from place to place was kind of brutal."
03:38;03:42;"Because my understanding, the way they told us about this, this is like on the second"
03:42;03:46;"album or something, they were like, the cool thing about Groovin' in the Moo is like, you're"
03:46;03:50;"going to these kind of off the beaten path Australian towns that like, normally if somebody"
03:50;03:55;"just come to do like a whirlwind global tour, they might just play Sydney and Melbourne."
03:55;03:56;"That might be it."
03:56;03:59;"Unless you're like huge in Australia and you book a whole tour around it."
03:59;04:02;"But this was interesting because we were like, I remember one place we played was called"
04:02;04:04;"Townsville, which we thought was kind of funny."
04:04;04:06;"Just like sounds so made up."
04:06;04:08;"What up Townsville?"
04:08;04:13;"Those shows, I just remember like the vibe was always like, play the show, get in the"
04:13;04:19;"van, two and a half hours back to the hotel, lobby call at seven, like another hour to"
04:19;04:21;"the airport, fly."
04:21;04:22;"I think this is true."
04:22;04:24;"I feel like somebody said this to me."
04:24;04:26;"It's the same size as the US."
04:26;04:28;"Perth is on the West Coast."
04:28;04:32;"That's a six hour flight from the East Coast, roughly."
04:32;04:35;"Might be wrong a little bit, but I think to properly tour Australia, which I hope we get"
04:35;04:39;"to do again, Australia is a major Vampire Weekend country."
04:39;04:42;"Well, I still don't understand why you can't, I guess I don't understand why you're not"
04:42;04:44;"playing like two or three shows."
04:44;04:46;"Even on the size of the country."
04:46;04:51;"Well, I think because in Australia, it's just simply not possible for us in this timeframe."
04:51;04:52;"Okay."
04:52;04:53;"I won't drill down on it any further."
04:53;04:54;"There's also crazy stuff too."
04:54;04:56;"That's like, it takes a minute."
04:56;04:59;"You know, Australia to Japan is a 12 hour flight."
04:59;05:01;"That's kind of brutal too."
05:01;05:02;"You kind of feel like, all right, I'm here."
05:02;05:03;"Yeah."
05:03;05:04;"I wouldn't think it was that far."
05:04;05:07;"That's like going from like LA to like Paris or something."
05:07;05:08;"Yeah."
05:08;05:09;"Wow."
05:09;05:12;"So there's a lot of flying and then like the gear has to be shipped."
05:12;05:14;"That's a whole other interesting world."
05:14;05:15;"Not on the plane?"
05:15;05:17;"Oh, you can't bring that on a commercial flight."
05:17;05:19;"You see all that Vampire Weekend gear."
05:19;05:20;"How does it go?"
05:20;05:21;"Vintage amps."
05:21;05:23;"Is it like kind of like a two drum sets?"
