Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Time Crisis, back once again."
00:03;00:05;"It's the dog days of summer."
00:05;00:08;"A sweet chilly heat engulfs the world."
00:08;00:11;"Here in Time Crisis we're trying to keep cool"
00:11;00:14;"by talking about the songs of the summer,"
00:14;00:17;"catching up with Kazzy David,"
00:17;00:21;"and riffing on topics ranging from Frosted Flakes"
00:21;00:24;"to the Grateful Dead, I assume."
00:24;00:29;"This is Time Crisis with Eds Rukin."
00:29;00:33;"P-P-P-P-P-Peaceful World One."
00:33;00:39;"They passed me by, all of those great romances."
00:39;00:46;"The war I felt, war being me, all my rightful chances."
00:46;00:53;"My picture clear, everything seemed so easy."
00:53;01:00;"And so I dealt you the blow, one of us had to go."
01:00;01:05;"Now it's different, I want you to know."
01:05;01:11;"One of us is crying, one of us is lying."
01:11;01:15;"Keep it on me babe."
01:15;01:18;"Time Crisis, back once again."
01:18;01:20;"It's the dog days of summer right now."
01:20;01:21;"Yeah, we're in it."
01:21;01:23;"The world is on fire."
01:23;01:25;"Real global heat wave this summer."
01:25;01:27;"Yeah, we touched on that last episode."
01:27;01:29;"It's like a haunting phrase."
01:29;01:30;"Global heat wave."
01:30;01:32;"I just crushed a breakfast burrito"
01:32;01:34;"from the company cafeteria."
01:34;01:36;"Yeah, Jake's been checking out,"
01:36;01:38;"exploring a little more of the Apple campus"
01:38;01:40;"here in Culver City."
01:40;01:42;"Well, we're doing a morning taping."
01:42;01:44;"Right, this time we're actually taping in the morning."
01:44;01:45;"Full disclosure."
01:45;01:46;"This one's a little early."
01:46;01:47;"Yeah, a little early."
01:47;01:49;"Lately I've been trying not to eat breakfast."
01:49;01:50;"Why?"
01:50;01:52;"Because I've been intermittent fasting."
01:52;01:54;"Oh, how long? 16 hours?"
01:54;01:56;"Yeah, so because I snack late at night,"
01:56;02:00;"that means I can't eat lunch until like 2 or 3."
02:00;02:02;"So you eat nothing until 2 or 3?"
02:02;02:04;"Some days, not every day."
02:04;02:05;"Okay, so it's like a 2 to 10."
02:05;02:07;"The thing I can't figure out is that"
02:07;02:09;"the only times in my life where I felt like I was like,"
02:09;02:12;"I really felt like I had a lot of clarity,"
02:12;02:17;"mental acuity, and I was like kind of powerful,"
02:17;02:20;"a little less chubby, was when I would actually"
02:20;02:22;"actively try to have periods of not eating."
02:22;02:24;"By the way, I'm not recommending anything."
02:24;02:26;"I'm just talking about my journey."
02:26;02:27;"Right."
02:27;02:29;"One of the first times I went on tour with your brother"
02:29;02:30;"on a Dirty Projectors tour,"
02:30;02:32;"I feel like it wasn't the one with you."
02:32;02:34;"I just remember being like,"
02:34;02:37;"okay, every day I'm in the car for like 7 hours."
02:37;02:39;"And I weirdly got this thing in my head where I was like,"
02:39;02:42;"I'm going to see how much I can fast on this tour."
02:42;02:44;"I remember a few times just like being at Denny's"
02:44;02:46;"with like Dave and whoever,"
02:46;02:49;"like getting ready to drive from Oklahoma"
02:49;02:52;"to West Texas or something,"
02:52;02:54;"and just be like people just like housing"
02:54;02:55;"like Denny's scrambles and really,"
02:55;02:56;"you guys aren't hungry?"
02:56;02:57;"And I'd be like, no, I'm not hungry."
02:57;02:59;"James Sumner eating two entrees."
02:59;03:00;"Yeah, exactly."
03:00;03:03;"There was a guy in the crew who literally ate double everything."
03:03;03:04;"And so I don't know."
03:04;03:06;"I just feel like as much as I love breakfast food,"
03:06;03:08;"maybe I just got to try to not eat."
03:08;03:09;"Because here's the thing,"
03:09;03:11;"I can't cut myself off at the end of the day."
03:11;03:12;"That's too hard."
03:12;03:13;"See, that's what I do."
03:13;03:15;"You can just cut yourself off at the end of the day."
03:15;03:17;"I usually go to bed mildly hungry."
03:17;03:19;"It's like Karl Lagerfeld."
03:19;03:20;"Is that what his diet is?"
03:20;03:21;"He doesn't eat after 7 p.m."
03:21;03:22;"Oh, wow."
03:22;03:25;"Yeah, I try to like load all the calories"
03:25;03:27;"first chunk of the day."
03:27;03:29;"So I just crush this huge breakfast burrito."
03:29;03:31;"Yeah, I'm sure that makes more sense."
03:31;03:32;"I'll eat some like almonds and stuff,"
03:32;03:34;"some carrots and hummus this afternoon."
03:34;03:35;"Yeah."
03:35;03:37;"And then just like a dinner at like 7,"
03:37;03:38;"but like chill."
03:38;03:39;"A reasonable dinner."
03:39;03:41;"Sometimes I go big at dinner, but you know."
03:41;03:43;"Chicken breast, some steamed broccoli."
03:43;03:45;"That's a little clinical."
03:45;03:46;"I'm not really sure."
03:46;03:48;"I haven't thought that far ahead."
03:48;03:49;"There's a lot of people in this world"
03:49;03:51;"who all they eat for every meal"
03:51;03:53;"is chicken breast and steamed vegetables."
03:53;03:54;"Yeah, that's crazy."
03:54;03:55;"That's a lifestyle."
03:55;03:56;"Yeah."
03:56;03:58;"Definitely lose weight that way."
03:58;04:01;"You should try like a week-long fast."
04:01;04:02;"What, no food?"
04:02;04:03;"Yeah."
04:03;04:04;"A friend of mine did it."
04:04;04:05;"It's actually not."
04:05;04:06;"Is that healthy?"
04:06;04:07;"Yeah, I think it's fine."
04:07;04:10;"I mean, like he would drink green tea"
04:10;04:12;"because he's like a coffee addict."
04:12;04:16;"So the green tea would mitigate the caffeine withdrawal."
04:16;04:18;"You know, that's also why it's easy for me"
04:18;04:20;"not to eat for the first five hours of the day"
04:20;04:23;"is because I'll crush one coffee, feel great."
04:23;04:24;"Two hours later, start to get hungry,"
04:24;04:26;"have another coffee, and then I'm good."
04:26;04:28;"Wow, that can backfire."
04:28;04:29;"Yeah, I don't know."
04:29;04:32;"The coffee with no food can be rough."
04:32;04:34;"Because you just get too high."
04:34;04:36;"But my buddy who fasted for a week,"
04:36;04:38;"he's like the first three days sucked."
04:38;04:39;"And then he's like day four,"
04:39;04:41;"it kicked into some other gear."
04:41;04:42;"So he was like, I started surfing a lot"
04:42;04:44;"day four, five, and six."
04:44;04:45;"That's crazy."
04:45;04:48;"Just like no food, surfing for like five hours."
04:48;04:49;"It's wild."
04:49;04:50;"And he's like, I didn't really lose that much weight."
04:50;04:52;"But I gained some neurons."
04:52;04:54;"Yeah, he's like my saliva changed."
