Start Timestamp;End Timestamp;Transcript
00:03;00:06;"Time Crisis Episode 7."
00:06;00:10;"Finally a godly number after last week's devilish number."
00:10;00:14;"Today I'm joined in the studio by painter Jake Longstreth"
00:14;00:18;"and friend of the show, actress/writer Rashida Jones."
00:18;00:22;"We'll be hearing new music from my friend Lush Life"
00:22;00:26;"as well as counting down the hits of 1979 and 2015."
00:26;00:30;"Plus, we'll be digging into one of the greatest albums of all time,"
00:30;00:32;"Fleetwood Mac's ""Tusk."""
00:32;00:36;"This is Time Crisis with Ezra Kainey."
00:48;01:14;"can say. My picture clear, everything seems so easy. And so I dealt to the floor, one of us had to go. Now looks different, I want you to know. One of us is crying, one of us is
lying."
01:14;01:31;"Leave a lonely bed. Staring at the ceiling. Wishing she was somewhere else instead."
01:31;01:47;"And one of us is lonely, one of us is lonely. Waiting for a call. Sorry for ourself, we're a stupid thing."
01:47;02:13;"Shakedown, 1979. Cool kids never have a time."
02:13;02:25;"Like what right above this dream, could I should be?"
02:25;02:47;"Two bodies skipping like a stone. Headlights pointing at the dawn. We were sure we'd never see an end to it all."
02:47;03:05;"And I don't even care to shake this in my head. And we're looking down now, just where our love rested us."
03:05;03:25;"I guess I'm guiding the flow to the end of the road."
03:25;03:40;"Jump across the vacant path of water. Then I judge what we have in store."
03:40;03:57;"The more I think the city's slipping tubes down a sea. And we don't even care. As restless as we are."
03:57;04:18;"We feel without hope in the land of a thousand years. A port of silent lamented and a shout to the lights and towns below."
04:18;04:41;"Past the bed of sweet sound. Past the bed of thought. We're gone beneath the sound of love."
04:41;04:55;"Justine never knew the rules. Hungdown with the freaks and fools."
04:55;05:11;"No apologies ever need be made. Are you better than you've begun to see?"
05:11;05:29;"And we don't even care to shake this in our mood. And we're looking down now, just where our love rested us."
05:29;05:42;"I guess I'm guiding the flow to the end of the road."
05:42;05:56;"The street heats the urgency of now. As you see there's no one around."
06:02;06:06;"That was the Smashing Pumpkins with 1979. You're listening to Time Crisis, episode 7."
06:06;06:12;"This episode we're going to be talking a lot about 1979 because it's the 36th anniversary of 1979."
06:12;06:16;"I'm joined in the studio today by Jake Longstreth."
06:16;06:17;"What's up?"
06:17;06:18;"And Rashida Jones."
06:18;06:19;"Hey."
06:19;06:23;"Rashida, we're very glad to finally have you in person at the Time Crisis studio."
