Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis back again. Guess what TC heads? I finally saw a Star is Born. I"
00:07;00:13;"stepped into the SCBoo and I left a piece of my heart there. On this week's"
00:13;00:19;"episode we get some great fan submissions. We read an email from Beto O'Rourke"
00:19;00:24;"that I thought was a personal one but went out to millions of people and we"
00:24;00:34;"also count on the top hits of today in 1991. This is Time Crisis with Eds M. Kaden."
00:34;00:35;"Peace."
00:35;00:37;"[MUSIC - ""THE GREAT ROMANCES""]"
00:37;00:44;"They passed me by, all of those great romances."
00:44;00:51;"You were a friend to a belief, all my rightful chances."
00:51;00:58;"My picture clear, everything seemed so easy."
00:58;01:05;"And so I dealt to the blow, when the boss had to go."
01:05;01:10;"Now it's different, I want you to know."
01:10;01:16;"One of us is crying, one of us is lying."
01:16;01:20;"Leave it on me, babe."
01:20;01:22;"All right, Time Crisis back once again."
01:22;01:26;"How are the Joker Man rehearsals going?"
01:26;01:28;"I was just telling Jake that we've"
01:28;01:31;"been working on a pretty good cover of Joker Man."
01:31;01:33;"Full version, all the verses?"
01:33;01:35;"Yeah, plus some of our own fun stuff."
01:35;01:38;"We did a version, I was just listening to it."
01:38;01:41;"We have one version of Joker Man that's 11 minutes."
01:41;01:42;"That's what I want to hear."
01:42;01:44;"I know, I know that's what you want."
01:44;01:46;"Does this include solos?"
01:46;01:50;"Yeah, although it's not too noodley, actually."
01:50;01:54;"Right, because the original was like, what, six or seven?"
01:54;01:56;"The original's already six, so you start adding in some"
01:56;01:57;"instrumental moments."
01:57;01:58;"It gets long."
01:58;02:00;"Are you transitioning into Joker Man,"
02:00;02:02;"or are you just starting it cold?"
02:02;02:02;"We started cold."
02:02;02:04;"It's Joker Man."
02:04;02:04;"Yeah."
02:04;02:05;"It's Joker Man."
02:05;02:08;"It's pretty faithful at first, and you'll see."
02:08;02:11;"Jake, I finally have joined you as somebody"
02:11;02:13;"who has seen A Star is Born."
02:13;02:14;"Congratulations."
02:14;02:16;"We've been talking a lot about this."
02:16;02:19;"A Star is Born, before the show, somebody"
02:19;02:21;"was saying A Star is Born may almost"
02:21;02:25;"be the new Ed Sheeran shape of you for the show."
02:25;02:27;"It's just inescapable, on the charts."
02:27;02:30;"And we'll be talking about it, one of the Oscars, February,"
02:30;02:31;"March, or whatever."
02:31;02:32;"Yeah, yeah."
02:32;02:34;"So we'll be talking about it between now"
02:34;02:36;"and that period, at least."
02:36;02:37;"Well--"
02:37;02:38;"Three, four months."
02:38;02:39;"--well into 2019."
02:39;02:41;"We just heard that Bradley Cooper"
02:41;02:43;"said he's got something special planned for the live"
02:43;02:45;"performance of Shallow."
02:45;02:46;"You know what I think it is?"
02:46;02:48;"He'll be hammered."
02:48;02:49;"I'm just going to get [BLEEP] faced."
02:49;02:52;"I think he's going to do an 11-minute Shallow."
02:52;02:55;"The Oscar's infamously strict, trying to get people off stage."
02:55;02:57;"The speech is running long."
02:57;02:59;"Bradley just rolls up with Bob Weir."
02:59;03:00;"You know what would be sick?"
03:00;03:02;"Launch into it."
03:02;03:03;"The network freaks out."
03:03;03:04;"They cut the ad."
03:04;03:04;"They come back."
03:04;03:06;"Still going."
03:06;03:09;"At that point, they transition into Jack Straw."
03:09;03:13;"Shallow, Arrow, Jack Straw."
03:13;03:17;"They recreate that early '70s 42-minute plane in the band"
03:17;03:18;"with Shallow just in the middle."
03:18;03:20;"[HUMMING]"
03:20;03:21;"It's my dream."
03:21;03:24;"I want you a special screening of A Star Is Born."
03:24;03:25;"OK."
03:25;03:27;"It's been out for months."
03:27;03:28;"I know."
03:28;03:30;"That's the hilarious part."
03:30;03:32;"Basically, friend of Time Crisis, Mark Ronson,"
03:32;03:35;"who's one of the writers of Shallow, hosted a screening."
03:35;03:36;"Oh, cool."
03:36;03:38;"And I was like, Ted, I haven't seen it yet."
03:38;03:39;"Most people had seen it."
03:39;03:39;"But whatever."
03:39;03:40;"It was cool to go see it."
03:40;03:44;"So the screening was sponsored by the studio, whoever made it."
03:44;03:47;"So when I walked in, there were some people"
03:47;03:50;"from the studio, from the film company."
03:50;03:54;"And before you sat down, they said, do you want a t-shirt?"
03:54;03:55;"And they had them all laid out."
03:55;03:57;"And we've talked about A Star Is Born"
03:57;03:59;"merch on this show before."
03:59;04:03;"Because if you go online, you can find very realistic A Star"
04:03;04:07;"Is Born merch that's like a real Jackson Maine, who's"
04:07;04:08;"the character, shirt."
04:08;04:09;"Or you can get an Ali shirt."
04:09;04:12;"Louisville, Kentucky show, 2009."
04:12;04:13;"Yeah, exactly."
04:13;04:16;"And there was an even deeper one that was like Maine Brothers,"
04:16;04:17;"'95."
04:17;04:20;"That's so obscure, even within the A Star Is Born"
04:20;04:21;"universe, a.k.a."
04:21;04:22;"the S.C. Boo."
04:22;04:23;"So I was kind of excited."
04:23;04:25;"Maybe this is going to be one of those Jackson Maine shirts"
04:25;04:26;"or an Ali shirt."
04:26;04:28;"And I could give it to Jake to wear in public."
04:28;04:32;"That would be the real test."
04:32;04:33;"A test of your fandom."
04:33;04:36;"But I could tell as I approached, it wasn't quite that."
04:36;04:39;"It's a black t-shirt, kind of over the left breast."
04:39;04:40;"It says A Star Is Born."
04:40;04:42;"And I'm like, all right, it's a little boring."
04:42;04:45;"And then I get closer, and they're all v-necks."
04:45;04:48;"Wow, it's rough stuff, folks."
04:48;04:51;"Which is so weird."
04:51;04:53;"Although I guess fitting for A Star Is Born,"
04:53;04:55;"because probably Bradley Cooper's character"
04:55;04:56;"is the type of dude who--"
04:56;04:57;"I don't know if he wears them in the movie,"
04:57;05:00;"but he's the type of guy who might wear a v-neck."
05:00;05:01;"I could see him pulling it off."
05:01;05:04;"Not that there's only one type of guy who wears a v-neck,"
05:04;05:06;"but he's a type of guy who'd wear a v-neck, which"
05:06;05:07;"is the kind of--"
05:07;05:09;"because there's the kind of like Jersey Shore v-neck,"
05:09;05:12;"and this is more like the rugged v-neck."
05:12;05:15;"Anyway, so now I have a A Star Is Born v-neck t-shirt."
