Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Time Crisis, back once again. We're joined by a very special guest, a man from the East."
00:08;00:17;"You know who it is. Despot. We also count down the top hits of 1946 and today. All that,"
00:17;00:23;"plus some Oscars talk, a dip in the mailbag, and a little sneak preview of Vampire Weekend's"
00:23;00:34;"upcoming tour. This is Time Crisis with Ezra King. B-B-B-B-B-B-B-Spotlight One."
01:20;01:26;"Time Crisis, back again. I'm joined in our Los Angeles studio by Jake as always."
01:26;01:27;"Hey."
01:27;01:32;"And a very special guest, the head of Time Crisis East, Despot."
01:32;01:33;"Hi."
01:33;01:35;"President of TC East."
01:35;01:38;"I didn't know I was the head or the president."
01:38;01:38;"Well."
01:38;01:39;"Or both."
01:39;01:40;"You just got a promotion."
01:40;01:42;"Thanks."
01:42;01:46;"It's actually really winter here for the first time I can remember."
01:46;01:50;"The whole time I've been here, raining and cold, and you guys don't know how to drive"
01:50;01:53;"when it's raining and you get scared when it's cold."
01:53;01:56;"That's kind of true. Not me."
01:56;01:59;"Yeah, well, you have a thicker skin."
01:59;02:00;"That's right."
02:00;02:01;"I barely drive."
02:01;02:06;"I'm really excited about it. I'm wearing my New York, big New York coat around town."
02:06;02:07;"It's good luck."
02:07;02:12;"Gonna have a hot coffee, almost pretend that I'm back in New York here and there."
02:12;02:13;"I'm here."
02:13;02:13;"You're here?"
02:13;02:14;"It's like you're in New York."
02:14;02:16;"I got the president of TC East here."
02:16;02:19;"You know, slowly but surely, man."
02:19;02:21;"Man, we got so much to talk about."
02:21;02:25;"It's been an absolutely jam-packed last two weeks."
02:25;02:30;"Well, one thing that you guys noted as we came in is that you're both openers"
02:30;02:33;"on the next Vampire Weekend Tour."
02:33;02:34;"That is true."
02:34;02:34;"Yeah."
02:34;02:39;"The last show, we started talking about the tour a little bit, but we didn't go that deep."
02:39;02:41;"Now the tix have been on sale for a while."
02:41;02:47;"And I can talk more specifically about the bills because with both of you guys,"
02:47;02:49;"you're not doing like full legs of the tour."
02:49;02:51;"Although that could be fun in the future."
02:51;02:51;"That'd be tight."
02:51;02:53;"Richard Pictures and Death Spot."
02:53;02:55;"You're kind of dangling the carrot here."
02:55;02:56;"Well, I know."
02:56;02:56;"Who plays first though."
02:56;02:57;"That's tough."
02:57;02:59;"Because we alternate at night to night."
02:59;03:00;"You're both busy guys."
03:00;03:02;"I mean, at least Death Spot is just one man."
03:02;03:04;"Richard Pictures is five men?"
03:04;03:06;"It's a seven person band."
03:06;03:07;"Full seven?"
03:07;03:09;"It varies from five to seven."
03:09;03:11;"By the way, all seven are in for Chicago."
03:11;03:12;"Oh really?"
03:12;03:12;"Yeah."
03:12;03:12;"Sick."
03:12;03:13;"Yeah."
03:13;03:15;"Because when you guys are the Novo."
03:15;03:16;"Oh yeah, of course."
03:16;03:16;"Yeah."
03:16;03:18;"At the Novo, that was a five man jam."
03:18;03:18;"Yeah."
03:18;03:21;"Donna and Keith were out of town."
03:21;03:26;"And you guys are a little harder to wrangle also because, well, you're not full-time musicians."
03:26;03:28;"Not a professional band."
