Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis, back once again."
00:04;00:09;"On this week's episode, we dig into two new songs from up and coming band Vampire Weekend."
00:09;00:14;"We also briefly discuss this year's festivals, including the Skull and Roses Grateful Dead"
00:14;00:20;"Festival in Ventura, all this, plus the greatest hits of 2019 and 1969."
00:20;00:25;"This is Time Crisis with Ezra King."
01:15;01:18;"Time Crisis, back once again."
01:18;01:19;"Hello, Jake."
01:19;01:20;"Hey, man."
01:20;01:21;"Episode 90."
01:21;01:22;"Really?"
01:22;01:23;"Spring 90."
01:23;01:24;"Oh my God."
01:24;01:25;"Yeah, spring 90."
01:25;01:28;"Great time for the Grateful Dead."
01:28;01:33;"I'm not a real head about the 90s stuff, but the people that I know that are full dead"
01:33;01:36;"completists all swear by spring 90."
01:36;01:42;"I feel like a few years ago, there was an officially released best of the whole spring"
01:42;01:43;"of 1990."
01:43;01:44;"Right."
01:44;01:48;"For people who don't know, hardcore Grateful Dead heads, people have their favorite years"
01:48;01:51;"and their favorite eras, and clearly their favorite, not even just full year, is their"
01:51;01:53;"favorite season of a year."
01:53;01:55;"Spring 77 is a very-"
01:55;01:56;"It's a classic."
01:56;01:57;"Classic time."
01:57;02:02;"I wonder if even real hardcore dead heads are kind of like spring 77 is overrated."
02:02;02:03;"Oh, I'm sure."
02:03;02:07;"You remember a few years ago, they released that Cornell 77 show?"
02:07;02:08;"Sure."
02:08;02:09;"That was really trumpeted to everybody."
02:09;02:12;"It's like, ""Hey, maybe you don't know that much about the Grateful Dead, but this is"
02:12;02:14;"considered their best show."""
02:14;02:19;"I feel like in any community, the people who are just real heads are probably like, ""Oh"
02:19;02:20;"yeah, entry level."""
02:20;02:24;"I can see why you might think that's the best Grateful Dead show ever, but actually-"
02:24;02:28;"Actually, dude, May 3rd, 90."
02:28;02:35;"Was spring 90 kind of like some of the last great recordings with Brent?"
02:35;02:37;"Yeah, I think Brent died-"
02:37;02:38;"The end of the Brent era."
02:38;02:39;"... summer or fall of 90."
02:39;02:40;"Oh, damn."
02:40;02:42;"To be replaced by Bruce Hornsby."
02:42;02:43;"Among others."
02:43;02:44;"Yeah."
02:44;02:45;"Vince Walnick."
02:45;02:46;"Right."
02:46;02:50;"Yeah, to me, spring 90- This is not exactly where we plan on taking the show."
02:50;02:55;"Sorry, I just saw on the sheet it said episode 90, and it's like, ""It's springtime now."""
02:55;02:57;"I've thrown on spring 90 a bunch."
02:57;03:01;"I mean, the number one thing that differentiates it is the keyboard sounds."
03:01;03:02;"There's these kind of like-"
03:02;03:03;"Should we throw some on?"
03:03;03:04;"... more of a synthy."
03:04;03:08;"All right, let's throw on some spring 90 just so people know what we're talking about."
03:08;03:09;"Episode 90, though."
03:09;03:10;"That's crazy."
